기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
"2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||로빈후드, 안드로이드용 암호화폐 지갑 출시|||https://www.digitaltoday.co.kr/news/articleView.html?idxno=510408|||0.0%||||||비트코인시세||||||"
"2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||[코툰] “반감기, 비트코인 가격에 충분히 반영 안돼""|||http://coinreaders.com/103311|||0.0%||||||이더리움시세||||||"
"2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||[토큰포스트 저녁 브리핑] 비트코인, 하루 8% 하락...FTX 파산 이후 최대 낙폭|||https://www.tokenpost.kr/article-170143|||0.0%||||||리플시세||||||"
2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||[토큰포스트 마감 브리핑] 비트코인 현물 ETF서 3억2000만 달러 순유출 外|||https://www.tokenpost.kr/article-170107|||0.0%||||||코인시세||||||
"2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||밈코인 '슬러프', 출시 첫날 이더리움  DEX  일일 거래액 추월|||https://decenter.kr/NewsView/2D6PKYRGSM|||0.0%||||||비트코인하는법||||||"
2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||업비트  거래소 에서 금일 가장 주목 받는 가상화폐는…|||https://www.khgames.co.kr/news/articleView.html?idxno=225865|||0.0%||||||가상화폐||||||
2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||[저녁브리핑] 나홀로 치솟는 솔라나…밈코인 투자 과열 우려 목소리도|||https://www.tokenpost.kr/article-169945|||0.0%||||||비트코인가격||||||
"2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||'밈코인 열풍'에  DEX 로 몰린 코인족…제로엑스, 일주일간 36%↑[특징코인]|||https://n.news.naver.com/mnews/article/421/0007422237?sid=101|||0.0%||||||가상화폐시세||||||"
"2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||[주간 디지털 자산 시장 브리핑] 가상화폐, 코스피와 동반 상승|||https://www.khgames.co.kr/news/articleView.html?idxno=225833|||0.0%||||||코인거래소||||||"
2024-03-21|||일별 급상승|||DEX거래소|||디지털자산|||3980.0|||8.51%|||[디센터 스냅샷]가상자산 영입인재 '0'명···무지의 악순환 끊어야|||https://decenter.kr/NewsView/2D6P48AA2R|||0.0%||||||블록체인||||||
"2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||2030 직장인, 月 100만원씩 꼬박꼬박 1년 모았더니…|||https://n.news.naver.com/mnews/article/015/0004962196?sid=101|||5.5%||||||에코프로주가||||||"
"2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||1위 카카오뱅크 주가·2위 제주은행 주가·3위 우리금융지주 주가, 3월 3주차...|||https://www.stardailynews.co.kr/news/articleView.html?idxno=440572|||5.5%||||||전세자금대출||||||"
2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||지난해 카드사 순이익 소폭 감소…연체율 9년 만에 최고치|||https://www.kgnews.co.kr/news/article.html?no=785880|||5.5%||||||소상공인대출||||||
"2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||1위 예스24·2위 카카오뱅크·3위 NH투자증권, 2024년 3월 2주차 테마별 주식...|||https://www.stardailynews.co.kr/news/articleView.html?idxno=439831|||5.5%||||||비상금대출||||||"
"2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||[딜링룸 백브리핑] 모틀리풀 ""평생 월세 내고 살아도 괜찮아""|||https://news.einfomax.co.kr/news/articleView.html?idxno=4301773|||5.5%||||||대환대출||||||"
2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||오직 사회 초년생을 위한 재테크 입문서|||https://www.harpersbazaar.co.kr/article/1861711|||5.5%||||||자동차담보대출||||||
2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||[창원변호사 칼럼] 늘어나는 젊은 채무자…“개인회생 제도로 구제받을 수 있...|||https://idsn.co.kr/news/view/1065577752590133|||5.5%||||||보증금대출||||||
"2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||1위 카카오뱅크 주가·2위 우리금융지주 주가·3위 하나금융지주 주가, 3월 2...|||https://www.stardailynews.co.kr/news/articleView.html?idxno=439410|||5.5%||||||대부대출||||||"
2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||노후비용 계산 후 자녀 지원 기준 세워야[정경아의 퇴직생활백서]|||https://n.news.naver.com/mnews/article/020/0003552355?sid=110|||5.5%||||||대출금계산기||||||
2024-03-21|||일별 급상승|||비상금대출|||금융상품|||69900.0|||41.32%|||초단시간 알바는 ‘노동하는 사람’ 아닌가요?|||https://n.news.naver.com/mnews/article/007/0000007593?sid=102|||5.5%||||||개인돈대출||||||
2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||로엘법무법인 검사 출신 황근주 대표 변호사  영입…강력범죄 부문  전문 성 강화|||https://n.news.naver.com/mnews/article/009/0005275732?sid=101|||2.9%||||||증여세||||||
2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||[로펌] ‘고객이 찾기 전에 먼저 보고’ 모토 … 고품질 협업으로 승부|||https://n.news.naver.com/mnews/article/025/0003348806?sid=102|||2.9%||||||상속세||||||
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||국회입법조사처, 근친혼 범위 조정 관련 보고서 공개|||http://www.cfnews.kr/news.aspx/85141|||2.9%||||||증여세면제한도||||||"
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||“이제 보통사람들도 지배구조 얘기, 정부가 대충 덮지 못할 것”|||https://n.news.naver.com/mnews/article/028/0002681653?sid=101|||2.9%||||||증여세세율||||||"
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||전안나 前 서울가정법원 부장판사, 법무법인 평산 대표 변호사 로 새출발|||https://www.lawtimes.co.kr/news/196900|||2.9%||||||상속세세율||||||"
2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||상속 분쟁 10년간 3배 증가...가족 간 불균형한  상속  있었다면 유류분반환소송...|||http://www.lawleader.co.kr/news/articleView.html?idxno=12705|||2.9%||||||증여세계산기||||||
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||법무법인 빛, 서울 강북지사 개소 ""지역 밀착형 법률 서비스 제공할 것""|||http://www.kdpress.co.kr/news/articleView.html?idxno=127292|||2.9%||||||상속세면제한도||||||"
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||[부동산 법률] ""유류분청구 대상, 한명이 아닌 경우 있다""|||https://www.smartfn.co.kr/article/view/sfn202403190046|||2.9%||||||상속세율||||||"
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||""집 주인이 사망해서..."" 임대인 아내가 보낸 문자, 전세금 반환 방법은?|||https://radio.ytn.co.kr/program/?f=2&id=94798&s_mcd=0452&s_hcd=01|||2.9%||||||상속세계산기||||||"
"2024-03-21|||일별 급상승|||상속전문변호사|||상속|||3860.0|||109.25%|||""집 주인이 사망해서..."" 임대인 아내가 보낸 문자, 전세금 반환 방법은?|||https://n.news.naver.com/mnews/article/052/0002012246?sid=100|||2.9%||||||자녀증여한도||||||"
"2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[증권소식] 금융위 ""PBR이 PER보다 국내증시 평가 적절""/ETF도 '저PBR' 테마 ...|||https://www.asiatime.co.kr/article/20240206500316|||0.0%||||||환율||||||"
2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[증권가] KB증권 하나증권 NH투자증권 IBK투자증권|||http://www.biztribune.co.kr/news/articleView.html?idxno=299407|||0.0%||||||삼성전자주가||||||
2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[#증권톡톡] KB증권 MTS 절세관리 서비스 오픈·삼성자산운용 Kodex 연금계좌...|||http://www.newsworks.co.kr/news/articleView.html?idxno=736943|||0.0%||||||달러환율||||||
2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[강정영 더봄] 내가 부자 될 확률은 얼마나 될까|||https://www.womaneconomy.co.kr/news/articleView.html?idxno=218332|||0.0%||||||미국환율||||||
2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||하반기 주목할 금융상품은 무엇..경쟁 가열|||https://n.news.naver.com/mnews/article/003/0012004482?sid=101|||0.0%||||||나스닥||||||
"2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[단신]케이뱅크, 공모주 청약 안내 서비스 출시 外|||https://n.news.naver.com/mnews/article/020/0003497588?sid=101|||0.0%||||||홍콩H지수||||||"
"2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[윤태곤의 판] 태영호는 자진사퇴, 김재원의 선택은?|||https://n.news.naver.com/mnews/article/079/0003768093?sid=100|||0.0%||||||현대차주가||||||"
"2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[금융 이모저모] 하나증권, 'All-in-one 해외투자 세미나' 개최|||http://www.greened.kr/news/articleView.html?idxno=303141|||0.0%||||||주식||||||"
"2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[알렉스 에드먼스의 Pieconomics] “위기의 자본주의,  계산기 에서 벗어나라”|||https://n.news.naver.com/mnews/article/016/0002114214?sid=101|||0.0%||||||SK하이닉스주가||||||"
2024-03-21|||일별 급상승|||주식복리계산기|||신탁|||17530.0|||7.59%|||[증권소식] '700억원 횡령' 우리은행 직원 도운 '증권맨' 구속/에코프로 그룹...|||https://www.asiatime.co.kr/article/20221202500002|||0.0%||||||검색상위종목||||||
2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||신풍제약  주가  다시 내달리나...독성 쇼크 증후군 증상은?|||https://www.pinpointnews.co.kr/news/articleView.html?idxno=253300|||0.0%||||||환율계산기||||||
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||3/30 거래량 급증 종목 기술력, '고평가' 경남제약·위더스제약... '저평가' ...|||https://www.pointdaily.co.kr/news/articleView.html?idxno=194505|||0.0%||||||엔환율||||||"
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||코로나19 관련주, '덩실덩실' 수젠텍·진시스템·소마젠·바디텍메드·엑세스...|||https://www.pointdaily.co.kr/news/articleView.html?idxno=194485|||0.0%||||||호주환율||||||"
2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||[주식마감기사] 일본 치사율 30% 전염병 확산 소식에 국제약품 상한가... 대영...|||https://www.ggilbo.com/news/articleView.html?idxno=1020744|||0.0%||||||대만환율||||||
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||의료기기 관련주, '함박웃음' 휴마시스· 한국비엔씨 ·멕아이씨에스,·수젠텍....|||https://www.pointdaily.co.kr/news/articleView.html?idxno=194490|||0.0%||||||태국환율||||||"
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||2024년 3월 20일,  한국비엔씨 에 대한 성별 및 연령별 관심도, 랭키파이의 빅데...|||https://www.stardailynews.co.kr/news/articleView.html?idxno=441070|||0.0%||||||캐나다환율||||||"
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||코스피 뉴욕증시발 훈풍에 장중 2680선 오름세, 코스닥 890선 강보합|||https://www.businesspost.co.kr/BP?command=article_view&num=346205|||0.0%||||||홍콩환율||||||"
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||한국비엔씨 주가  14%대 상승곡선, 비만치료제 임상 1상 결과 주목|||https://www.gukjenews.com/news/articleView.html?idxno=2948446|||0.0%||||||페소환율||||||"
2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||[N-Stock]  한국비엔씨 주가  18% 도약…강력한 흐름 잇나?|||https://www.cbci.co.kr/news/articleView.html?idxno=461521|||0.0%||||||USD||||||
"2024-03-21|||일별 급상승|||한국비엔씨주가|||ELS|||112800.0|||8.59%|||[52주 최고가] 삼화페인트 19.7%↑, 18개 종목 장중 신고가|||https://www.itooza.com/common/iview.php?no=2024032009381848185|||0.0%||||||김해공항||||||"
2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||병원 믿고 1천만원 주사 맞았다 '날벼락'…실손 보험  주의보|||https://n.news.naver.com/mnews/article/437/0000384926?sid=101|||0.0%||||||실비보험||||||
"2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||""실손 보험  돼요"" 의사 말 믿고 '무릎주사'… 보험 사 말은 달랐다|||https://n.news.naver.com/mnews/article/437/0000384873?sid=101|||0.0%||||||실손보험||||||"
2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||“2400만원 무릎주사  실비  보상안될 수도… 보험  확인 필수”|||https://n.news.naver.com/mnews/article/119/0002811341?sid=101|||0.0%||||||실비||||||
2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||도수치료비 지급 '기준 모호'…애꿎은 환자만 울상|||https://www.newspim.com/news/view/20240126000843|||0.0%||||||간병비보험||||||
"2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||실손 보험  7월부터  보험 료 차등제 시행...""비급여 이용 많으면  보험 료 더 내야...|||https://www.delighti.co.kr/news/articleView.html?idxno=73940|||0.0%||||||실비보험비교사이트||||||"
2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||“병원 함부로 가다간 낭패 보겠네”…실손 보험 금 300만원 이상 타면  보험 료 ...|||https://n.news.naver.com/mnews/article/009/0005247023?sid=101|||0.0%||||||실비보험가입||||||
"2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||""올해  실비  얼마나 받았지?""…비급여  보험 금 조회 시스템 나온다|||https://n.news.naver.com/mnews/article/374/0000367242?sid=101|||0.0%||||||간병보험||||||"
"2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||[마켓포스트]손해 보험 업계, 새 먹거리 '펫 보험 ' 경쟁 본격화...올해는  보험 료...|||http://www.lkp.news/news/articleView.html?idxno=42295|||0.0%||||||어른이보험||||||"
2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||4세대  실손 보험 ...실손 보험 금 100만원 이상 타면  보험 료 할증 적용|||https://www.delighti.co.kr/news/articleView.html?idxno=73065|||0.0%||||||유병자실비보험||||||
2024-03-21|||주별 급상승|||4세대실비보험|||의료비보험|||2450.0|||54.97%|||300만원 이상  실비  받으면 7월부터  보험 료 3배 할증|||https://www.polinews.co.kr/news/articleView.html?idxno=629617|||0.0%||||||실손보험비교||||||
2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||[스트레이트] 의사들은 왜 극렬 저항하나? - 엘리트 집단과 망가진 의료|||https://n.news.naver.com/mnews/article/214/0001336944?sid=102|||0.0%||||||실비보험||||||
2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||전립선비대증이 보내는 마지막 경고 '요로폐색(요로가 막혀 소변이 안 나오는...|||https://n.news.naver.com/mnews/article/346/0000071463?sid=004|||0.0%||||||실손보험||||||
2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||[알쓸인잡] 전공의 집단 사직을 그들의 눈높이로 이해해보기|||https://www.bizhankook.com/article/27195|||0.0%||||||실비||||||
2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||[기획] 퇴행성 뇌질환 연구 나선 각국 정부글로벌 제약사… 국내도 관련 연구...|||https://weekly.cnbnews.com/news/article.html?no=157810|||0.0%||||||간병비보험||||||
"2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||이사비부터 보증금까지..지자체, 전입청년 지원 총력|||http://www.dailypop.kr/news/articleView.html?idxno=74877|||0.0%||||||실비보험비교사이트||||||"
"2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||[영주24시] 영주시, 청년 이사비 최대 50만원 지원…경북 최초|||https://n.news.naver.com/mnews/article/586/0000071868?sid=102|||0.0%||||||실비보험가입||||||"
"2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||[인터뷰] '고객이 떠나고 있다'…강석주 위원장, '종합복지관 표준 매뉴얼' 만...|||https://www.gokorea.kr/news/articleView.html?idxno=749753|||0.0%||||||간병보험||||||"
"2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||""조기 유방암 지원군 '버제니오', 5년 장기효과…임상적 가치 와닿아""|||http://www.hitnews.co.kr/news/articleView.html?idxno=51063|||0.0%||||||어른이보험||||||"
2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||주요수술 환자 '27%' 타지역서 수술받아|||http://www.docdocdoc.co.kr/news/articleView.html?idxno=3011593|||0.0%||||||유병자실비보험||||||
2024-03-21|||주별 급상승|||60대실비보험|||의료비보험|||1720.0|||126.11%|||[뉴블더] 임플란트 싸게 해준다더니…알고 보니 중국에서 온 '가짜 의사'|||https://n.news.naver.com/mnews/article/055/0001108147?sid=102|||0.0%||||||실손보험비교||||||
