기준일자,유형,연관검색어,검색일자,검색량,InfoData,RisingMonth
2024-03-26,월별규칙성,14K금시세,2021-07-19,66.52758640281742,90.69,3.0
2024-03-26,월별규칙성,14K금시세,2021-08-16,63.82751462555737,90.69,12.0
2024-03-26,월별규칙성,14K금시세,2021-09-13,64.59581504815056,90.69,1.0
2024-03-26,월별규칙성,18K금시세,2021-07-19,79.0464426497986,92.23,3.0
2024-03-26,월별규칙성,18K금시세,2021-08-16,77.52005630567596,92.23,12.0
2024-03-26,월별규칙성,18K금시세,2021-09-13,75.06268362773238,92.23,1.0
2024-03-26,월별규칙성,AIG손해보험,2021-07-19,90.52739059076154,94.59,3.0
2024-03-26,월별규칙성,AIG손해보험,2021-08-16,87.1463599862368,94.59,5.0
2024-03-26,월별규칙성,AIG손해보험,2021-09-13,99.23548477223619,94.59,7.0
2024-03-26,월별규칙성,AIG손해보험,2021-10-11,78.63041723742798,94.59,10.0
2024-03-26,월별규칙성,AIG손해보험,2021-11-08,95.46197737221534,94.59,1.0
2024-03-26,월별규칙성,ELF,2021-07-19,70.22127968357479,91.56,8.0
2024-03-26,월별규칙성,ELF,2021-08-16,72.92843664672705,91.56,10.0
2024-03-26,월별규칙성,ELF,2021-09-13,76.70668449797148,91.56,11.0
2024-03-26,월별규칙성,ELF,2021-10-11,68.16148378785124,91.56,12.0
2024-03-26,월별규칙성,IRP퇴직연금해지,2021-07-19,72.8593256280892,90.29,3.0
2024-03-26,월별규칙성,IRP퇴직연금해지,2021-08-16,65.70058165431702,90.29,7.0
2024-03-26,월별규칙성,IRP퇴직연금해지,2021-09-13,64.33138456379909,90.29,11.0
2024-03-26,월별규칙성,IRP퇴직연금해지,2021-10-11,55.45593367590808,90.29,1.0
2024-03-26,월별규칙성,NPL,2021-07-19,63.52074522237492,91.03,3.0
2024-03-26,월별규칙성,NPL,2021-08-16,73.63899664403888,91.03,4.0
2024-03-26,월별규칙성,NPL,2021-09-13,73.82864537694253,91.03,7.0
2024-03-26,월별규칙성,NPL,2021-10-11,67.46987596769902,91.03,10.0
2024-03-26,월별규칙성,NPL,2021-11-08,81.9834895709545,91.03,11.0
2024-03-26,월별규칙성,POLY,2021-07-19,74.55512508211007,92.71,2.0
2024-03-26,월별규칙성,POLY,2021-08-16,68.39111834855234,92.71,3.0
2024-03-26,월별규칙성,POLY,2021-09-13,81.91157583374923,92.71,8.0
2024-03-26,월별규칙성,POLY,2021-10-11,76.187853304985,92.71,10.0
2024-03-26,월별규칙성,PYTHON,2021-07-19,71.1523731374573,91.69,3.0
2024-03-26,월별규칙성,PYTHON,2021-08-16,62.500866237298084,91.69,9.0
2024-03-26,월별규칙성,강제집행,2021-07-19,67.59706497040845,88.82,3.0
2024-03-26,월별규칙성,강제집행,2021-08-16,73.01842287908416,88.82,11.0
2024-03-26,월별규칙성,강제집행,2021-09-13,94.07765253027212,88.82,1.0
2024-03-26,월별규칙성,거실벽인테리어,2021-07-19,80.13324875950893,91.37,5.0
2024-03-26,월별규칙성,거실벽인테리어,2021-08-16,87.97698149354594,91.37,8.0
2024-03-26,월별규칙성,거실벽인테리어,2021-09-13,81.61719757394177,91.37,12.0
2024-03-26,월별규칙성,거실벽인테리어,2021-10-11,81.88976080085031,91.37,1.0
2024-03-26,월별규칙성,공모전,2021-07-19,95.62826775004058,89.78,3.0
2024-03-26,월별규칙성,공모전,2021-08-16,85.09984163911446,89.78,5.0
2024-03-26,월별규칙성,공모전,2021-09-13,91.73379922933603,89.78,7.0
2024-03-26,월별규칙성,공모전,2021-10-11,78.39715541610973,89.78,9.0
2024-03-26,월별규칙성,공모전,2021-11-08,82.36035098374727,89.78,11.0
2024-03-26,월별규칙성,공모전,2021-12-06,81.36955195968369,89.78,1.0
2024-03-26,월별규칙성,기업부설연구소,2021-07-19,55.919520527598856,91.76,3.0
2024-03-26,월별규칙성,기업부설연구소,2021-08-16,51.59740584949114,91.76,11.0
2024-03-26,월별규칙성,기업부설연구소,2021-09-13,52.98756022122144,91.76,1.0
2024-03-26,월별규칙성,노후준비,2021-07-19,65.9446251542738,90.89,3.0
2024-03-26,월별규칙성,노후준비,2021-08-16,78.53966005160008,90.89,8.0
2024-03-26,월별규칙성,노후준비,2021-09-13,89.65714733497762,90.89,1.0
2024-03-26,월별규칙성,당뇨보험,2021-07-19,88.11640582145446,92.57,5.0
2024-03-26,월별규칙성,당뇨보험,2021-08-16,87.91430595964204,92.57,7.0
2024-03-26,월별규칙성,당뇨보험,2021-09-13,97.45351191092566,92.57,8.0
2024-03-26,월별규칙성,당뇨보험,2021-10-11,80.88115917599893,92.57,10.0
2024-03-26,월별규칙성,당뇨보험,2021-11-08,80.27485263017286,92.57,11.0
2024-03-26,월별규칙성,당뇨보험,2021-12-06,83.67016709924822,92.57,1.0
2024-03-26,월별규칙성,데이터분석,2021-07-19,82.72900603829166,91.52,3.0
2024-03-26,월별규칙성,데이터분석,2021-08-16,71.85114312448997,91.52,5.0
2024-03-26,월별규칙성,데이터분석,2021-09-13,85.53434887210811,91.52,8.0
2024-03-26,월별규칙성,데이터분석,2021-10-11,68.79770679968365,91.52,9.0
2024-03-26,월별규칙성,데이터분석,2021-11-08,80.36259424725387,91.52,11.0
2024-03-26,월별규칙성,돌반지,2021-07-19,67.15073110366406,92.29,7.0
2024-03-26,월별규칙성,돌반지,2021-08-16,64.25486337977225,92.29,8.0
2024-03-26,월별규칙성,돌반지,2021-09-13,77.2971889604392,92.29,10.0
2024-03-26,월별규칙성,돌반지,2021-10-11,70.51073751500516,92.29,11.0
2024-03-26,월별규칙성,돌반지,2021-11-08,81.08431266978012,92.29,1.0
2024-03-26,월별규칙성,동물그림,2021-07-19,83.0953920558803,92.74,3.0
2024-03-26,월별규칙성,동물그림,2021-08-16,80.49967346396197,92.74,5.0
2024-03-26,월별규칙성,동물그림,2021-09-13,91.43413261973919,92.74,8.0
2024-03-26,월별규칙성,동물그림,2021-10-11,80.82413897946707,92.74,11.0
2024-03-26,월별규칙성,등기,2021-07-19,90.21192824298319,90.82,6.0
2024-03-26,월별규칙성,등기,2021-08-16,87.08328136833305,90.82,7.0
2024-03-26,월별규칙성,등기,2021-09-13,100.0,90.82,10.0
2024-03-26,월별규칙성,등기,2021-10-11,87.31652156992014,90.82,12.0
2024-03-26,월별규칙성,등기,2021-11-08,93.01081624372361,90.82,1.0
2024-03-26,월별규칙성,명함,2021-07-19,85.01011135625954,91.25,3.0
2024-03-26,월별규칙성,명함,2021-08-16,69.82670206735861,91.25,5.0
2024-03-26,월별규칙성,명함,2021-09-13,82.27332802842061,91.25,10.0
2024-03-26,월별규칙성,명함,2021-10-11,69.95654734240571,91.25,1.0
2024-03-26,월별규칙성,명함제작,2021-07-19,77.317958873583,93.63,8.0
2024-03-26,월별규칙성,명함제작,2021-08-16,67.28577360436705,93.63,10.0
2024-03-26,월별규칙성,명함제작,2021-09-13,75.4918357885353,93.63,1.0
2024-03-26,월별규칙성,법무사,2021-07-19,82.60371357490318,90.03,5.0
2024-03-26,월별규칙성,법무사,2021-08-16,79.07760171867767,90.03,7.0
2024-03-26,월별규칙성,법무사,2021-09-13,83.84862674564042,90.03,8.0
2024-03-26,월별규칙성,법무사,2021-10-11,74.41772960452946,90.03,10.0
2024-03-26,월별규칙성,법무사,2021-11-08,82.90639041229258,90.03,11.0
2024-03-26,월별규칙성,법무사,2021-12-06,81.30065888053988,90.03,1.0
2024-03-26,월별규칙성,법인등기,2021-07-19,71.63004784543033,91.56,3.0
2024-03-26,월별규칙성,법인등기,2021-08-16,69.67724023096538,91.56,8.0
2024-03-26,월별규칙성,법인등기,2021-09-13,72.253862369864,91.56,10.0
2024-03-26,월별규칙성,법인등기,2021-10-11,63.46622867434054,91.56,1.0
2024-03-26,월별규칙성,벤처인증,2021-07-19,89.98840240779874,91.48,3.0
2024-03-26,월별규칙성,벤처인증,2021-08-16,81.0977962235428,91.48,8.0
2024-03-26,월별규칙성,벤처인증,2021-09-13,83.49439410720449,91.48,10.0
2024-03-26,월별규칙성,벤처인증,2021-10-11,67.64591928181514,91.48,11.0
2024-03-26,월별규칙성,벤처인증,2021-11-08,81.25241473159247,91.48,1.0
2024-03-26,월별규칙성,보험설계사,2021-07-19,93.8522190159513,93.47,5.0
2024-03-26,월별규칙성,보험설계사,2021-08-16,85.64532066421326,93.47,8.0
2024-03-26,월별규칙성,보험설계사,2021-09-13,90.98521703684543,93.47,10.0
2024-03-26,월별규칙성,보험설계사,2021-10-11,79.57635272496357,93.47,12.0
2024-03-26,월별규칙성,보험설계사,2021-11-08,90.66009870795801,93.47,1.0
2024-03-26,월별규칙성,보험종류,2021-07-19,99.5438846400102,94.66,3.0
2024-03-26,월별규칙성,보험종류,2021-08-16,86.88362634384863,94.66,5.0
2024-03-26,월별규칙성,보험종류,2021-09-13,100.0,94.66,8.0
2024-03-26,월별규칙성,보험종류,2021-10-11,83.72780941843764,94.66,10.0
2024-03-26,월별규칙성,보험종류,2021-11-08,89.52169405844782,94.66,11.0
2024-03-26,월별규칙성,보험종류,2021-12-06,89.3737655265337,94.66,12.0
2024-03-26,월별규칙성,보험종류,2022-01-03,90.32297512505373,94.66,1.0
2024-03-26,월별규칙성,부가세,2021-07-19,60.96729172600944,92.08,4.0
