date,20대실비보험
2020-03-20,35.13513
2020-03-21,25.22522
2020-03-22,31.53153
2020-03-23,36.48648
2020-03-24,24.32432
2020-03-25,28.82882
2020-03-26,20.27027
2020-03-27,22.07207
2020-03-28,15.76576
2020-03-29,21.17117
2020-03-30,35.13513
2020-03-31,28.37837
2020-04-01,21.17117
2020-04-02,15.31531
2020-04-03,15.31531
2020-04-04,9.9099
2020-04-05,6.3063
2020-04-06,12.16216
2020-04-07,14.86486
2020-04-08,25.67567
2020-04-09,21.17117
2020-04-10,10.36036
2020-04-11,11.71171
2020-04-12,16.21621
2020-04-13,18.46846
2020-04-14,20.72072
2020-04-15,15.31531
2020-04-16,24.32432
2020-04-17,11.26126
2020-04-18,13.51351
2020-04-19,10.81081
2020-04-20,19.81981
2020-04-21,21.62162
2020-04-22,17.11711
2020-04-23,25.67567
2020-04-24,16.21621
2020-04-25,14.86486
2020-04-26,17.56756
2020-04-27,26.12612
2020-04-28,23.42342
2020-04-29,29.72972
2020-04-30,18.46846
2020-05-01,13.51351
2020-05-02,13.96396
2020-05-03,9.9099
2020-05-04,24.32432
2020-05-05,13.06306
2020-05-06,26.57657
2020-05-07,32.88288
2020-05-08,36.93693
2020-05-09,18.46846
2020-05-10,16.66666
2020-05-11,22.52252
2020-05-12,38.73873
2020-05-13,31.53153
2020-05-14,19.36936
2020-05-15,24.32432
2020-05-16,13.06306
2020-05-17,12.61261
2020-05-18,20.27027
2020-05-19,26.57657
2020-05-20,20.27027
2020-05-21,21.62162
2020-05-22,31.98198
2020-05-23,15.31531
2020-05-24,20.27027
2020-05-25,42.34234
2020-05-26,39.18918
2020-05-27,45.49549
2020-05-28,28.37837
2020-05-29,28.37837
2020-05-30,16.66666
2020-05-31,14.86486
2020-06-01,32.43243
2020-06-02,30.63063
2020-06-03,25.67567
2020-06-04,23.87387
2020-06-05,23.42342
2020-06-06,22.97297
2020-06-07,11.71171
2020-06-08,25.67567
2020-06-09,24.32432
2020-06-10,42.79279
2020-06-11,39.63963
2020-06-12,18.91891
2020-06-13,10.36036
2020-06-14,9.9099
2020-06-15,21.17117
2020-06-16,37.83783
2020-06-17,25.22522
2020-06-18,34.68468
2020-06-19,27.02702
2020-06-20,22.97297
2020-06-21,14.86486
2020-06-22,19.36936
2020-06-23,21.62162
2020-06-24,20.72072
2020-06-25,14.41441
2020-06-26,22.97297
2020-06-27,15.31531
2020-06-28,8.55855
2020-06-29,23.87387
2020-06-30,23.42342
2020-07-01,20.27027
2020-07-02,17.11711
2020-07-03,18.91891
2020-07-04,20.72072
2020-07-05,12.61261
2020-07-06,26.57657
2020-07-07,31.08108
2020-07-08,27.02702
2020-07-09,13.51351
2020-07-10,22.52252
2020-07-11,11.71171
2020-07-12,5.4054
2020-07-13,16.21621
2020-07-14,22.52252
2020-07-15,17.11711
2020-07-16,25.22522
2020-07-17,18.91891
2020-07-18,8.55855
2020-07-19,17.11711
2020-07-20,22.52252
2020-07-21,20.27027
2020-07-22,25.22522
2020-07-23,28.82882
2020-07-24,23.42342
2020-07-25,9.45945
2020-07-26,11.71171
2020-07-27,17.11711
2020-07-28,23.42342
2020-07-29,22.52252
2020-07-30,31.53153
2020-07-31,25.67567
2020-08-01,12.16216
2020-08-02,9.9099
2020-08-03,18.46846
2020-08-04,29.27927
2020-08-05,29.27927
2020-08-06,21.62162
2020-08-07,18.01801
2020-08-08,9.009
2020-08-09,12.61261
2020-08-10,29.27927
2020-08-11,21.17117
2020-08-12,29.27927
2020-08-13,26.57657
2020-08-14,25.22522
2020-08-15,12.61261
2020-08-16,11.26126
2020-08-17,15.76576
2020-08-18,24.77477
2020-08-19,18.91891
2020-08-20,31.08108
2020-08-21,32.43243
2020-08-22,14.41441
2020-08-23,11.26126
2020-08-24,22.07207
2020-08-25,30.18018
2020-08-26,31.08108
2020-08-27,29.72972
2020-08-28,22.97297
2020-08-29,12.61261
2020-08-30,6.75675
2020-08-31,27.47747
2020-09-01,29.27927
2020-09-02,25.22522
2020-09-03,23.42342
2020-09-04,27.92792
2020-09-05,15.76576
2020-09-06,15.31531
2020-09-07,20.72072
2020-09-08,22.97297
2020-09-09,38.28828
2020-09-10,31.98198
2020-09-11,24.77477
2020-09-12,14.86486
2020-09-13,5.85585
2020-09-14,18.46846
2020-09-15,36.48648
2020-09-16,29.27927
2020-09-17,25.22522
2020-09-18,24.32432
2020-09-19,9.45945
2020-09-20,13.51351
2020-09-21,16.21621
2020-09-22,27.47747
2020-09-23,27.02702
2020-09-24,15.76576
2020-09-25,19.36936
2020-09-26,13.06306
2020-09-27,16.21621
2020-09-28,17.11711
2020-09-29,16.21621
2020-09-30,8.1081
2020-10-01,8.1081
2020-10-02,11.71171
2020-10-03,7.2072
2020-10-04,10.36036
2020-10-05,29.72972
2020-10-06,29.27927
2020-10-07,31.08108
2020-10-08,24.32432
2020-10-09,13.51351
2020-10-10,13.51351
2020-10-11,11.71171
2020-10-12,19.36936
2020-10-13,18.46846
2020-10-14,27.02702
2020-10-15,20.72072
2020-10-16,14.86486
2020-10-17,8.55855
2020-10-18,7.65765
2020-10-19,18.46846
2020-10-20,26.57657
2020-10-21,28.37837
2020-10-22,15.31531
2020-10-23,19.81981
2020-10-24,9.45945
2020-10-25,10.36036
2020-10-26,15.76576
2020-10-27,27.02702
2020-10-28,17.11711
2020-10-29,21.62162
2020-10-30,13.51351
2020-10-31,7.2072
2020-11-01,10.36036
2020-11-02,22.07207
2020-11-03,22.97297
2020-11-04,20.27027
2020-11-05,27.02702
2020-11-06,18.91891
2020-11-07,7.2072
2020-11-08,9.9099
2020-11-09,13.51351
2020-11-10,20.72072
2020-11-11,23.42342
2020-11-12,22.97297
2020-11-13,17.11711
2020-11-14,7.2072
2020-11-15,12.16216
2020-11-16,25.67567
2020-11-17,23.42342
2020-11-18,21.17117
2020-11-19,22.07207
2020-11-20,22.97297
2020-11-21,5.4054
2020-11-22,4.05405
2020-11-23,19.36936
2020-11-24,24.77477
2020-11-25,23.87387
2020-11-26,18.46846
2020-11-27,24.32432
2020-11-28,7.2072
2020-11-29,11.26126
2020-11-30,20.27027
2020-12-01,38.28828
2020-12-02,27.47747
2020-12-03,26.57657
2020-12-04,23.42342
2020-12-05,6.3063
2020-12-06,14.41441
2020-12-07,19.81981
2020-12-08,29.27927
2020-12-09,27.47747
2020-12-10,30.63063
2020-12-11,32.43243
2020-12-12,12.16216
2020-12-13,16.66666
2020-12-14,18.46846
2020-12-15,40.99099
2020-12-16,50.0
2020-12-17,34.23423
2020-12-18,45.04504
2020-12-19,8.1081
2020-12-20,17.11711
2020-12-21,31.53153
2020-12-22,39.63963
2020-12-23,34.23423
2020-12-24,27.92792
2020-12-25,13.96396
2020-12-26,14.41441
2020-12-27,24.77477
2020-12-28,38.28828
2020-12-29,60.81081
2020-12-30,42.79279
2020-12-31,25.22522
2021-01-01,9.45945
2021-01-02,18.01801
2021-01-03,16.66666
2021-01-04,31.98198
2021-01-05,30.63063
2021-01-06,27.92792
2021-01-07,36.93693
2021-01-08,22.97297
