date,2월상장주식
2020-06-08,0.68119
2021-01-02,1.08991
2021-01-04,0.95367
2021-01-05,2.58855
2021-01-06,1.22615
2021-01-07,0.95367
2021-01-08,1.63487
2021-01-10,0.95367
2021-01-11,2.04359
2021-01-12,0.68119
2021-01-13,1.63487
2021-01-14,3.40599
2021-01-15,1.22615
2021-01-17,1.22615
2021-01-18,1.63487
2021-01-19,1.22615
2021-01-20,2.86103
2021-01-21,2.99727
2021-01-22,2.58855
2021-01-23,3.54223
2021-01-24,4.08719
2021-01-25,5.04087
2021-01-26,5.58583
2021-01-27,5.99455
2021-01-28,37.05722
2021-01-29,32.5613
2021-01-30,23.56948
2021-01-31,36.92098
2021-02-01,70.43596
2021-02-02,89.91825
2021-02-03,73.02452
2021-02-04,47.00272
2021-02-05,75.34059
2021-02-06,27.11171
2021-02-07,31.8801
2021-02-08,100.0
2021-02-09,87.3297
2021-02-10,53.95095
2021-02-11,17.02997
2021-02-12,17.02997
2021-02-13,16.34877
2021-02-14,20.29972
2021-02-15,44.68664
2021-02-16,40.32697
2021-02-17,25.88555
2021-02-18,19.2098
2021-02-19,8.44686
2021-02-20,5.04087
2021-02-21,6.94822
2021-02-22,14.57765
2021-02-23,10.76294
2021-02-24,15.39509
2021-02-25,13.62397
2021-02-26,7.35694
2021-02-27,3.54223
2021-02-28,1.90735
2021-03-01,1.22615
2021-03-02,2.45231
2021-03-03,4.08719
2021-03-04,2.45231
2021-03-05,4.49591
2021-03-06,2.86103
2021-03-07,2.58855
2021-03-08,3.67847
2021-03-09,3.67847
2021-03-10,5.17711
2021-03-11,5.04087
2021-03-12,4.08719
2021-03-13,2.04359
2021-03-14,2.04359
2021-03-15,2.04359
2021-03-16,3.26975
2021-03-17,1.08991
2021-03-18,1.49863
2021-03-19,0.95367
2021-03-31,0.68119
2021-04-12,0.68119
2021-04-14,0.95367
2021-07-01,2.04359
2021-07-02,0.68119
2022-01-11,0.68119
2022-01-12,0.81743
2022-01-14,0.81743
2022-01-16,0.95367
2022-01-18,2.17983
2022-01-19,1.63487
2022-01-20,5.58583
2022-01-21,5.31335
2022-01-22,3.40599
2022-01-23,3.26975
2022-01-24,2.04359
2022-01-25,1.22615
2022-01-26,2.72479
2022-01-27,5.72207
2022-01-28,3.13351
2022-01-29,11.58038
2022-01-30,10.6267
2022-01-31,8.17438
2022-02-01,9.67302
2022-02-02,18.93732
2022-02-03,56.5395
2022-02-04,43.73297
2022-02-05,18.11989
2022-02-06,16.75749
2022-02-07,39.10081
2022-02-08,25.47683
2022-02-09,19.07356
2022-02-10,18.93732
2022-02-11,11.17166
2022-02-12,5.31335
2022-02-13,10.76294
2022-02-14,10.89918
2022-02-15,11.85286
2022-02-16,12.26158
2022-02-17,11.44414
2022-02-18,11.9891
2022-02-19,4.49591
2022-02-20,6.13079
2022-02-21,16.34877
2022-02-22,9.40054
2022-02-23,16.34877
2022-02-24,9.2643
2022-02-25,5.85831
2022-02-26,2.45231
2022-02-27,2.04359
2022-02-28,7.35694
2022-03-02,4.63215
2022-03-03,2.58855
2022-03-04,2.04359
2022-03-05,0.95367
2022-03-06,1.22615
2022-03-07,1.63487
2022-03-11,0.68119
2022-03-27,0.95367
2022-06-17,0.68119
2023-01-18,0.68119
2023-01-25,0.81743
2023-01-26,0.81743
2023-01-27,0.81743
2023-01-28,0.95367
2023-01-29,1.08991
2023-01-30,5.04087
2023-01-31,4.08719
2023-02-01,2.04359
2023-02-02,2.17983
2023-02-03,2.86103
2023-02-04,2.04359
2023-02-05,2.58855
2023-02-06,2.17983
2023-02-07,4.76839
2023-02-08,2.99727
2023-02-09,11.44414
2023-02-10,4.63215
2023-02-11,1.49863
2023-02-12,0.81743
2023-02-13,9.9455
2023-02-14,12.53405
2023-02-15,11.9891
2023-02-16,14.85013
2023-02-17,8.44686
2023-02-18,3.95095
2023-02-19,2.99727
2023-02-20,10.6267
2023-02-21,7.08446
2023-02-22,4.63215
2023-02-23,5.04087
