date,CI보험
2020-03-20,22.53586
2020-03-21,14.76168
2020-03-22,15.50208
2020-03-23,32.67006
2020-03-24,27.76492
2020-03-25,27.11707
2020-03-26,32.99398
2020-03-27,24.1092
2020-03-28,19.48172
2020-03-29,14.94678
2020-03-30,24.06293
2020-03-31,23.41508
2020-04-01,21.61036
2020-04-02,22.72096
2020-04-03,23.739
2020-04-04,12.21656
2020-04-05,11.52244
2020-04-06,25.35863
2020-04-07,36.97362
2020-04-08,31.83711
2020-04-09,32.20731
2020-04-10,25.08098
2020-04-11,16.10365
2020-04-12,31.23553
2020-04-13,35.63165
2020-04-14,24.01665
2020-04-15,13.37343
2020-04-16,20.96251
2020-04-17,21.93428
2020-04-18,14.57658
2020-04-19,18.69504
2020-04-20,27.11707
2020-04-21,27.30217
2020-04-22,27.48727
2020-04-23,24.94215
2020-04-24,21.65664
2020-04-25,14.76168
2020-04-26,14.43776
2020-04-27,26.79315
2020-04-28,29.84729
2020-04-29,26.00647
2020-04-30,10.78204
2020-05-01,11.52244
2020-05-02,13.41971
2020-05-03,18.23229
2020-05-04,24.43313
2020-05-05,14.76168
2020-05-06,23.50763
2020-05-07,23.13743
2020-05-08,20.12956
2020-05-09,26.09902
2020-05-10,13.78991
2020-05-11,28.04257
2020-05-12,27.95002
2020-05-13,22.62841
2020-05-14,26.5155
2020-05-15,22.58213
2020-05-16,13.46598
2020-05-17,10.55067
2020-05-18,24.8496
2020-05-19,26.83942
2020-05-20,23.22998
2020-05-21,24.2943
2020-05-22,21.65664
2020-05-23,15.17815
2020-05-24,11.24479
2020-05-25,29.38454
2020-05-26,26.3304
2020-05-27,25.31235
2020-05-28,22.35076
2020-05-29,20.22211
2020-05-30,26.83942
2020-05-31,14.02128
2020-06-01,29.66219
2020-06-02,22.07311
2020-06-03,24.4794
2020-06-04,20.45349
2020-06-05,22.25821
2020-06-06,17.39935
2020-06-07,10.36557
2020-06-08,24.6645
2020-06-09,22.21193
2020-06-10,21.24016
2020-06-11,21.88801
2020-06-12,19.01897
2020-06-13,12.35539
2020-06-14,10.18047
2020-06-15,23.9241
2020-06-16,22.16566
2020-06-17,24.24803
2020-06-18,25.26608
2020-06-19,27.44099
2020-06-20,16.79777
2020-06-21,12.03146
2020-06-22,21.88801
2020-06-23,21.98056
2020-06-24,26.97825
2020-06-25,20.31466
2020-06-26,19.75937
2020-06-27,10.31929
2020-06-28,11.19851
2020-06-29,21.19389
2020-06-30,18.50994
2020-07-01,21.00879
2020-07-02,18.74132
2020-07-03,21.28644
2020-07-04,13.88246
2020-07-05,7.86672
2020-07-06,21.00879
2020-07-07,21.88801
2020-07-08,24.71078
2020-07-09,33.8732
2020-07-10,28.78297
2020-07-11,18.64877
2020-07-12,11.56871
2020-07-13,32.7626
2020-07-14,27.85747
2020-07-15,26.42295
2020-07-16,31.32808
2020-07-17,19.48172
2020-07-18,20.08329
2020-07-19,21.05506
2020-07-20,44.47015
2020-07-21,29.47709
2020-07-22,24.75705
2020-07-23,37.99167
2020-07-24,100.0
2020-07-25,37.43637
2020-07-26,23.55391
2020-07-27,26.79315
2020-07-28,25.7751
2020-07-29,46.41369
2020-07-30,29.43081
2020-07-31,21.74919
2020-08-01,12.12401
2020-08-02,11.19851
2020-08-03,15.826
2020-08-04,19.66682
2020-08-05,21.70291
2020-08-06,27.2559
2020-08-07,21.93428
2020-08-08,17.90837
2020-08-09,19.66682
2020-08-10,23.13743
2020-08-11,21.98056
2020-08-12,24.6645
2020-08-13,24.80333
2020-08-14,23.9241
2020-08-15,18.50994
2020-08-16,10.59694
2020-08-17,17.76955
2020-08-18,21.19389
2020-08-19,28.69042
2020-08-20,32.25358
2020-08-21,24.4794
2020-08-22,22.81351
2020-08-23,11.84636
2020-08-24,23.60018
2020-08-25,26.00647
2020-08-26,23.9241
2020-08-27,19.80564
2020-08-28,24.01665
2020-08-29,12.67931
2020-08-30,9.62517
2020-08-31,19.34289
2020-09-01,22.07311
2020-09-02,23.64645
2020-09-03,21.14761
2020-09-04,24.1092
2020-09-05,11.29106
2020-09-06,19.99074
2020-09-07,21.51781
2020-09-08,23.9241
2020-09-09,23.04488
2020-09-10,21.00879
2020-09-11,19.43544
2020-09-12,16.42757
2020-09-13,20.22211
2020-09-14,21.00879
2020-09-15,21.98056
