date,CPM
2020-03-20,55.48686
2020-03-21,27.51159
2020-03-22,27.04791
2020-03-23,71.40649
2020-03-24,65.68778
2020-03-25,70.17001
2020-03-26,70.01545
2020-03-27,58.57805
2020-03-28,35.8578
2020-03-29,28.43894
2020-03-30,74.034
2020-03-31,72.64296
2020-04-01,67.85162
2020-04-02,72.17928
2020-04-03,62.28748
2020-04-04,31.53013
2020-04-05,29.21174
2020-04-06,66.15146
2020-04-07,72.17928
2020-04-08,63.83307
2020-04-09,66.15146
2020-04-10,54.40494
2020-04-11,29.67542
2020-04-12,27.97527
2020-04-13,64.45131
2020-04-14,65.53323
2020-04-15,38.02163
2020-04-16,65.53323
2020-04-17,62.13292
2020-04-18,31.37557
2020-04-19,31.37557
2020-04-20,71.87017
2020-04-21,70.17001
2020-04-22,64.14219
2020-04-23,65.84234
2020-04-24,62.59659
2020-04-25,32.76661
2020-04-26,30.60278
2020-04-27,66.30602
2020-04-28,70.17001
2020-04-29,55.17774
2020-04-30,33.69397
2020-05-01,32.92117
2020-05-02,27.51159
2020-05-03,29.3663
2020-05-04,48.8408
2020-05-05,40.95826
2020-05-06,77.27975
2020-05-07,84.6986
2020-05-08,64.14219
2020-05-09,38.94899
2020-05-10,32.14837
2020-05-11,75.42503
2020-05-12,77.58887
2020-05-13,76.66151
2020-05-14,73.2612
2020-05-15,58.88717
2020-05-16,31.22102
2020-05-17,32.30293
2020-05-18,78.67078
2020-05-19,78.82534
2020-05-20,77.27975
2020-05-21,77.58887
2020-05-22,65.06955
2020-05-23,50.07727
2020-05-24,39.10355
2020-05-25,87.63523
2020-05-26,83.15301
2020-05-27,78.36166
2020-05-28,74.18856
2020-05-29,67.38794
2020-05-30,35.8578
2020-05-31,30.9119
2020-06-01,76.04327
2020-06-02,95.36321
2020-06-03,83.92581
2020-06-04,73.41576
2020-06-05,67.69706
2020-06-06,41.5765
2020-06-07,42.19474
2020-06-08,72.4884
2020-06-09,75.27047
2020-06-10,86.70788
2020-06-11,73.87944
2020-06-12,67.38794
2020-06-13,44.20401
2020-06-14,39.72179
2020-06-15,81.60741
2020-06-16,87.017
2020-06-17,77.89799
2020-06-18,83.30757
2020-06-19,63.83307
2020-06-20,44.20401
2020-06-21,40.34003
2020-06-22,76.81607
2020-06-23,72.17928
2020-06-24,85.4714
2020-06-25,76.19783
2020-06-26,62.75115
2020-06-27,34.62132
2020-06-28,28.90262
2020-06-29,74.49768
2020-06-30,74.96136
2020-07-01,80.68006
2020-07-02,73.87944
2020-07-03,68.77897
2020-07-04,36.47604
2020-07-05,31.99381
2020-07-06,68.46986
2020-07-07,70.78825
2020-07-08,68.77897
2020-07-09,74.8068
2020-07-10,61.36012
2020-07-11,28.74806
2020-07-12,23.80216
2020-07-13,76.04327
2020-07-14,75.73415
2020-07-15,74.18856
2020-07-16,70.01545
2020-07-17,63.67851
2020-07-18,35.39412
2020-07-19,29.21174
2020-07-20,70.17001
2020-07-21,71.87017
2020-07-22,67.85162
2020-07-23,74.18856
2020-07-24,64.29675
2020-07-25,34.31221
2020-07-26,32.92117
2020-07-27,65.22411
2020-07-28,63.98763
2020-07-29,67.38794
2020-07-30,66.61514
2020-07-31,56.41421
2020-08-01,26.73879
2020-08-02,28.5935
2020-08-03,56.25965
2020-08-04,62.59659
2020-08-05,62.44204
2020-08-06,63.21483
2020-08-07,65.22411
2020-08-08,28.90262
2020-08-09,28.28438
2020-08-10,68.93353
2020-08-11,67.69706
2020-08-12,78.36166
2020-08-13,68.3153
2020-08-14,56.56877
2020-08-15,23.80216
2020-08-16,21.48377
2020-08-17,43.89489
2020-08-18,65.84234
2020-08-19,70.94281
2020-08-20,63.52395
2020-08-21,58.11437
2020-08-22,27.66615
2020-08-23,26.73879
2020-08-24,63.52395
2020-08-25,68.93353
2020-08-26,67.85162
2020-08-27,64.60587
2020-08-28,65.84234
2020-08-29,29.52086
2020-08-30,25.03863
2020-08-31,64.91499
2020-09-01,68.3153
2020-09-02,70.94281
2020-09-03,70.63369
2020-09-04,62.28748
2020-09-05,29.21174
2020-09-06,28.43894
2020-09-07,73.87944
2020-09-08,74.34312
2020-09-09,68.46986
2020-09-10,71.25193
2020-09-11,68.00618
2020-09-12,30.75734
2020-09-13,24.72952
2020-09-14,64.45131
2020-09-15,74.34312
2020-09-16,71.87017
2020-09-17,65.06955
2020-09-18,63.36939
2020-09-19,30.29366
2020-09-20,33.07573
2020-09-21,68.93353
2020-09-22,76.19783
2020-09-23,76.35239
2020-09-24,72.64296
2020-09-25,57.95981
2020-09-26,27.66615
2020-09-27,27.97527
2020-09-28,65.84234
2020-09-29,50.54095
2020-09-30,24.4204
2020-10-01,22.41112
2020-10-02,18.54714
2020-10-03,23.18392
2020-10-04,31.22102
2020-10-05,78.9799
2020-10-06,77.58887
2020-10-07,68.16074
2020-10-08,63.83307
2020-10-09,37.71251
2020-10-10,31.99381
2020-10-11,34.46676
2020-10-12,81.91653
2020-10-13,79.90726
2020-10-14,80.37094
2020-10-15,73.87944
2020-10-16,75.57959
2020-10-17,54.25038
2020-10-18,41.88562
2020-10-19,72.33384
2020-10-20,88.25347
2020-10-21,83.30757
2020-10-22,79.13446
2020-10-23,69.55177
2020-10-24,36.78516
2020-10-25,31.37557
2020-10-26,79.44358
2020-10-27,79.44358
2020-10-28,74.34312
2020-10-29,78.82534
2020-10-30,60.89644
2020-10-31,29.67542
2020-11-01,33.69397
2020-11-02,68.93353
2020-11-03,82.53477
2020-11-04,78.67078
2020-11-05,74.96136
2020-11-06,64.91499
2020-11-07,29.52086
2020-11-08,35.54868
2020-11-09,70.63369
2020-11-10,77.43431
2020-11-11,74.34312
2020-11-12,78.9799
2020-11-13,65.84234
2020-11-14,34.46676
2020-11-15,30.60278
2020-11-16,71.40649
2020-11-17,72.02472
2020-11-18,74.34312
2020-11-19,77.27975
2020-11-20,68.62442
2020-11-21,37.24884
2020-11-22,37.71251
2020-11-23,76.19783
2020-11-24,86.86244
2020-11-25,77.27975
2020-11-26,66.7697
2020-11-27,67.69706
2020-11-28,35.54868
2020-11-29,39.10355
2020-11-30,65.9969
2020-12-01,74.8068
2020-12-02,72.02472
2020-12-03,70.17001
2020-12-04,60.12364
2020-12-05,49.45904
2020-12-06,35.39412
2020-12-07,77.74343
2020-12-08,97.21792
2020-12-09,76.50695
2020-12-10,74.96136
2020-12-11,73.87944
2020-12-12,36.6306
2020-12-13,33.53941
2020-12-14,76.66151
2020-12-15,77.12519
2020-12-16,81.60741
2020-12-17,83.46213
2020-12-18,57.03245
2020-12-19,33.84853
2020-12-20,23.80216
2020-12-21,68.62442
2020-12-22,65.22411
2020-12-23,60.12364
2020-12-24,48.99536
2020-12-25,21.79289
2020-12-26,25.34775
2020-12-27,26.58423
2020-12-28,68.46986
2020-12-29,63.67851
2020-12-30,60.12364
2020-12-31,47.2952
2021-01-01,28.43894
2021-01-02,28.90262
2021-01-03,30.44822
2021-01-04,76.66151
2021-01-05,74.49768
2021-01-06,71.09737
2021-01-07,71.09737
2021-01-08,61.51468
2021-01-09,32.45749
2021-01-10,34.31221
2021-01-11,72.33384
2021-01-12,68.46986
2021-01-13,69.70633
2021-01-14,69.70633
2021-01-15,67.23338
2021-01-16,30.29366
2021-01-17,30.29366
2021-01-18,75.57959
2021-01-19,72.95208
2021-01-20,72.79752
2021-01-21,67.23338
2021-01-22,62.13292
2021-01-23,33.38485
2021-01-24,28.90262
2021-01-25,73.41576
2021-01-26,75.73415
2021-01-27,68.46986
2021-01-28,70.17001
2021-01-29,59.65996
2021-01-30,26.58423
2021-01-31,28.12982
2021-02-01,69.08809
2021-02-02,70.63369
2021-02-03,71.25193
2021-02-04,62.44204
2021-02-05,59.19629
2021-02-06,30.75734
2021-02-07,23.18392
2021-02-08,60.2782
2021-02-09,69.39721
2021-02-10,46.36785
2021-02-11,28.28438
2021-02-12,23.02936
2021-02-13,24.57496
2021-02-14,29.05718
2021-02-15,75.11591
2021-02-16,69.39721
2021-02-17,71.56105
2021-02-18,63.06027
2021-02-19,56.56877
2021-02-20,25.81143
2021-02-21,25.65687
2021-02-22,65.37867
2021-02-23,59.35085
2021-02-24,68.16074
2021-02-25,64.45131
2021-02-26,55.17774
2021-02-27,25.96599
2021-02-28,22.72024
2021-03-01,29.67542
2021-03-02,69.39721
2021-03-03,72.64296
2021-03-04,68.77897
2021-03-05,62.59659
2021-03-06,28.90262
2021-03-07,38.33075
2021-03-08,76.04327
2021-03-09,75.57959
2021-03-10,74.65224
2021-03-11,77.58887
2021-03-12,62.13292
2021-03-13,25.19319
2021-03-14,28.5935
2021-03-15,72.64296
2021-03-16,77.27975
2021-03-17,71.09737
2021-03-18,73.10664
2021-03-19,65.22411
2021-03-20,34.15765
2021-03-21,36.16692
2021-03-22,70.32457
2021-03-23,78.05255
2021-03-24,66.15146
2021-03-25,66.92426
2021-03-26,58.11437
2021-03-27,34.77588
2021-03-28,37.4034
2021-03-29,75.42503
2021-03-30,74.49768
2021-03-31,75.88871
2021-04-01,65.22411
2021-04-02,60.43276
2021-04-03,37.24884
2021-04-04,31.22102
2021-04-05,74.49768
2021-04-06,74.034
2021-04-07,66.7697
2021-04-08,70.94281
2021-04-09,68.93353
2021-04-10,31.68469
2021-04-11,31.37557
2021-04-12,77.58887
2021-04-13,81.29829
2021-04-14,71.40649
2021-04-15,83.61669
2021-04-16,78.05255
2021-04-17,39.10355
2021-04-18,37.24884
2021-04-19,83.30757
2021-04-20,90.57187
2021-04-21,82.38021
2021-04-22,80.5255
2021-04-23,69.86089
2021-04-24,39.87635
2021-04-25,31.99381
2021-04-26,82.84389
2021-04-27,84.08037
2021-04-28,74.49768
2021-04-29,72.4884
2021-04-30,57.49613
2021-05-01,36.01236
2021-05-02,40.34003
2021-05-03,70.47913
2021-05-04,72.95208
2021-05-05,44.82225
2021-05-06,74.8068
2021-05-07,77.43431
2021-05-08,38.33075
2021-05-09,40.95826
2021-05-10,82.84389
2021-05-11,76.35239
2021-05-12,72.17928
2021-05-13,68.93353
2021-05-14,58.26893
2021-05-15,29.3663
2021-05-16,30.29366
2021-05-17,61.8238
2021-05-18,66.46058
2021-05-19,33.69397
2021-05-20,69.86089
2021-05-21,72.02472
2021-05-22,31.22102
2021-05-23,29.21174
2021-05-24,68.16074
2021-05-25,70.78825
2021-05-26,67.5425
2021-05-27,69.08809
2021-05-28,61.66924
2021-05-29,34.00309
2021-05-30,26.42967
2021-05-31,69.39721
2021-06-01,70.17001
2021-06-02,68.3153
2021-06-03,71.40649
2021-06-04,58.26893
2021-06-05,43.43122
2021-06-06,33.07573
2021-06-07,77.43431
2021-06-08,90.57187
2021-06-09,75.88871
2021-06-10,81.91653
2021-06-11,70.63369
2021-06-12,31.37557
2021-06-13,38.02163
2021-06-14,78.82534
2021-06-15,76.50695
2021-06-16,73.57032
2021-06-17,74.18856
2021-06-18,56.87789
2021-06-19,38.79443
2021-06-20,27.66615
2021-06-21,67.69706
2021-06-22,65.22411
2021-06-23,57.49613
2021-06-24,57.49613
2021-06-25,53.47758
2021-06-26,27.51159
2021-06-27,27.35703
2021-06-28,61.8238
2021-06-29,70.94281
2021-06-30,68.3153
2021-07-01,67.23338
2021-07-02,55.02318
2021-07-03,26.73879
2021-07-04,24.88408
2021-07-05,68.46986
2021-07-06,62.90571
2021-07-07,69.39721
2021-07-08,67.38794
2021-07-09,60.74188
2021-07-10,31.99381
