date,GPU관련주
2020-03-31,1.54397
2020-04-01,1.04769
2020-04-03,1.54397
2020-04-04,0.24813
2020-04-05,0.22056
2020-04-16,0.41356
2020-04-19,0.13785
2020-04-25,0.4687
2020-05-06,0.49627
2020-05-07,0.24813
2020-05-14,0.30328
2020-05-15,0.19299
2020-05-16,0.22056
2020-05-17,0.22056
2020-05-21,0.13785
2020-05-24,0.16542
2020-05-25,0.30328
2020-06-02,0.71684
2020-06-03,0.90984
2020-06-04,0.16542
2020-06-06,0.33085
2020-06-07,0.19299
2020-06-16,0.13785
2020-06-19,0.35842
2020-06-21,0.13785
2020-07-05,0.33085
2020-07-07,0.16542
2020-07-09,1.13041
2020-07-10,1.02012
2020-07-11,0.57899
2020-07-12,0.8547
2020-07-13,0.57899
2020-07-14,0.4687
2020-07-15,0.41356
2020-07-16,0.74441
2020-07-17,1.46126
2020-07-18,3.63937
2020-07-19,3.74965
2020-07-20,1.98511
2020-07-21,3.06038
2020-07-22,3.00523
2020-07-23,3.88751
2020-07-24,3.91508
2020-07-25,2.64681
2020-07-26,1.57154
2020-07-27,2.26082
2020-07-28,2.3711
2020-07-29,3.25337
2020-07-30,2.23325
2020-07-31,2.23325
2020-08-01,2.64681
2020-08-02,2.15053
2020-08-03,1.95754
2020-08-04,1.54397
2020-08-05,1.95754
2020-08-06,1.59911
2020-08-07,0.68927
2020-08-08,0.4687
2020-08-09,0.8547
2020-08-10,1.54397
2020-08-11,1.18555
2020-08-12,0.74441
2020-08-13,0.79955
2020-08-14,0.6617
2020-08-15,0.4687
2020-08-16,0.49627
2020-08-17,1.35097
2020-08-18,1.07526
2020-08-19,0.24813
2020-08-20,0.77198
2020-08-21,0.2757
2020-08-22,0.41356
2020-08-23,0.41356
2020-08-24,0.71684
2020-08-25,0.38599
2020-08-26,1.79211
2020-08-27,1.5164
2020-08-28,1.04769
2020-08-29,1.35097
2020-08-30,1.07526
2020-08-31,1.10283
2020-09-01,1.04769
2020-09-02,5.37634
2020-09-03,6.92031
2020-09-04,2.06782
2020-09-05,2.64681
2020-09-06,1.59911
2020-09-07,1.37854
2020-09-08,1.13041
2020-09-09,0.93741
2020-09-10,0.90984
2020-09-11,0.74441
2020-09-12,0.68927
2020-09-13,0.63413
2020-09-14,2.15053
2020-09-15,2.04025
2020-09-16,1.02012
2020-09-17,0.44113
2020-09-18,0.44113
2020-09-19,0.35842
2020-09-20,0.33085
2020-09-22,1.02012
2020-09-23,0.44113
2020-09-24,0.4687
2020-09-25,0.19299
2020-09-26,0.24813
2020-09-27,0.6617
2020-09-28,0.44113
2020-09-29,0.74441
2020-09-30,0.19299
2020-10-01,0.13785
2020-10-02,0.2757
2020-10-03,0.38599
2020-10-04,0.41356
2020-10-05,0.71684
2020-10-06,0.63413
2020-10-07,0.30328
2020-10-08,0.41356
2020-10-09,0.24813
2020-10-10,0.24813
2020-10-11,0.38599
2020-10-12,0.96498
2020-10-13,2.1781
2020-10-14,0.44113
2020-10-15,0.22056
2020-10-17,0.19299
2020-10-19,0.33085
2020-10-20,0.74441
2020-10-21,0.41356
2020-10-22,0.24813
2020-10-23,0.19299
2020-10-26,0.30328
2020-10-27,0.2757
2020-10-29,0.19299
2020-10-30,0.13785
2020-11-02,0.13785
2020-11-07,0.19299
2020-11-08,0.24813
2020-11-15,0.16542
2020-11-18,0.16542
2020-11-20,0.16542
2020-11-21,0.24813
2020-11-25,0.19299
2020-11-29,0.2757
