date,HBM관련주
2020-07-17,0.10269
2020-08-08,0.12322
2021-02-17,0.4313
2021-02-18,0.18484
2021-11-06,0.12322
2021-11-11,0.10269
2021-11-17,0.34914
2021-11-20,0.12322
2021-12-14,0.10269
2022-06-11,0.12322
2022-06-12,0.10269
2023-01-04,0.14376
2023-01-25,0.12322
2023-01-27,0.10269
2023-01-28,0.24645
2023-01-29,0.12322
2023-01-30,0.10269
2023-01-31,0.1643
2023-02-01,0.30807
2023-02-02,0.18484
2023-02-03,0.7599
2023-02-04,0.53399
2023-02-05,0.39022
2023-02-06,0.5956
2023-02-07,0.4313
2023-02-08,0.67775
2023-02-09,0.67775
2023-02-10,6.16142
2023-02-11,1.95111
2023-02-12,3.14232
2023-02-13,8.11254
2023-02-14,38.09817
2023-02-15,15.38303
2023-02-16,6.77757
2023-02-17,4.00492
2023-02-18,3.77901
2023-02-19,6.51057
2023-02-20,4.41569
2023-02-21,2.5878
2023-02-22,2.38241
2023-02-23,4.08708
2023-02-24,4.66214
2023-02-25,2.56726
2023-02-26,2.46457
2023-02-27,5.62743
2023-02-28,2.1565
2023-03-01,4.10761
2023-03-02,1.0269
2023-03-03,0.88313
2023-03-04,1.04744
2023-03-05,1.76627
2023-03-06,4.16923
2023-03-07,1.49928
2023-03-08,3.0191
2023-03-09,9.81721
2023-03-10,1.04744
2023-03-11,1.84842
2023-03-12,3.20394
2023-03-13,1.6225
2023-03-14,1.31443
2023-03-15,1.08851
2023-03-16,2.09488
2023-03-17,1.60197
2023-03-18,0.57506
2023-03-19,2.46457
2023-03-20,2.42349
2023-03-21,1.25282
2023-03-22,0.90367
2023-03-23,0.90367
2023-03-24,2.44403
2023-03-25,2.77264
2023-03-26,4.9086
2023-03-27,2.89587
2023-03-28,2.56726
2023-03-29,1.76627
2023-03-30,4.60053
2023-03-31,1.91004
2023-04-01,0.69829
2023-04-02,1.23228
2023-04-03,0.82152
2023-04-04,0.67775
2023-04-05,0.61614
2023-04-06,0.73937
2023-04-07,0.73937
2023-04-08,0.39022
2023-04-09,1.33497
2023-04-10,0.67775
2023-04-11,0.73937
2023-04-12,1.49928
2023-04-13,1.31443
2023-04-14,0.80098
2023-04-15,0.4313
2023-04-16,0.34914
2023-04-17,0.34914
2023-04-18,2.50564
2023-04-19,2.81371
2023-04-20,3.0191
2023-04-21,2.46457
2023-04-22,1.64304
2023-04-23,4.55945
2023-04-24,1.21174
2023-04-25,0.41076
2023-04-26,1.80735
2023-04-27,1.82789
2023-04-28,0.94475
2023-04-29,0.8626
2023-04-30,0.73937
2023-05-01,1.76627
2023-05-02,1.15013
2023-05-03,2.81371
2023-05-04,5.52474
2023-05-05,0.92421
2023-05-06,1.43766
2023-05-07,0.90367
2023-05-08,2.1565
2023-05-09,1.37605
2023-05-10,3.10125
2023-05-11,2.13596
2023-05-12,1.41712
2023-05-13,1.04744
2023-05-14,0.82152
2023-05-15,1.95111
2023-05-16,2.69049
2023-05-17,1.35551
2023-05-18,2.30026
2023-05-19,3.94331
2023-05-20,2.62887
2023-05-21,3.34771
2023-05-22,3.12179
2023-05-23,1.8895
2023-05-24,4.60053
2023-05-25,12.26124
2023-05-26,15.21873
2023-05-27,10.04313
2023-05-28,9.75559
2023-05-29,16.10186
2023-05-30,12.30232
2023-05-31,11.89155
2023-06-01,4.78537
2023-06-02,3.98439
2023-06-03,2.69049
2023-06-04,3.28609
2023-06-05,2.64941
2023-06-06,2.23865
2023-06-07,2.19757
2023-06-08,3.06017
2023-06-09,4.37461
2023-06-10,2.64941
2023-06-11,2.5878
2023-06-12,8.91353
2023-06-13,7.24994
2023-06-14,16.92339
2023-06-15,26.59683
2023-06-16,32.69665
2023-06-17,15.46518
2023-06-18,22.20168
2023-06-19,28.11665
2023-06-20,15.9581
2023-06-21,25.24132
2023-06-22,11.46025
2023-06-23,21.19531
2023-06-24,10.7825
2023-06-25,8.40008
2023-06-26,20.02464
2023-06-27,18.83343
2023-06-28,21.21585
2023-06-29,45.57403
2023-06-30,28.38365
2023-07-01,14.68474
2023-07-02,12.672
2023-07-03,48.67529
2023-07-04,51.67385
2023-07-05,28.85602
2023-07-06,20.84616
2023-07-07,39.04292
2023-07-08,19.05935
2023-07-09,12.38447
2023-07-10,15.58841
2023-07-11,37.05072
2023-07-12,22.38652
2023-07-13,100.0
2023-07-14,85.9314
2023-07-15,27.93181
2023-07-16,42.00041
2023-07-17,46.80632
2023-07-18,28.01396
2023-07-19,20.35325
2023-07-20,24.05011
2023-07-21,13.22653
2023-07-22,11.09057
2023-07-23,23.4545
2023-07-24,19.92195
2023-07-25,35.59252
2023-07-26,25.50831
2023-07-27,77.77777
2023-07-28,59.27295
2023-07-29,30.6223
2023-07-30,52.12569
2023-07-31,82.83014
2023-08-01,78.31176
2023-08-02,46.5804
2023-08-03,29.96508
2023-08-04,20.06572
2023-08-05,17.8476
2023-08-06,16.61532
2023-08-07,20.72294
2023-08-08,18.58697
2023-08-09,19.26473
2023-08-10,25.46724
2023-08-11,15.56787
2023-08-12,10.20743
2023-08-13,9.07783
2023-08-14,10.20743
2023-08-15,16.53316
2023-08-16,22.61244
2023-08-17,22.55083
2023-08-18,29.20517
2023-08-19,20.47648
2023-08-20,30.7866
2023-08-21,45.2865
2023-08-22,35.61306
2023-08-23,29.43109
2023-08-24,46.72417
2023-08-25,22.05791
2023-08-26,16.32778
2023-08-27,19.28527
2023-08-28,18.52536
2023-08-29,17.10823
2023-08-30,27.21298
2023-08-31,21.23639
2023-09-01,43.72561
2023-09-02,27.91127
2023-09-03,25.65208
2023-09-04,40.95296
2023-09-05,27.13082
2023-09-06,15.67056
2023-09-07,15.97864
2023-09-08,13.84267
2023-09-09,12.34339
2023-09-10,10.37173
2023-09-11,14.15074
2023-09-12,38.26247
2023-09-13,28.87656
2023-09-14,16.80016
2023-09-15,12.56931
2023-09-16,10.84411
2023-09-17,14.70527
2023-09-18,12.03532
2023-09-19,7.35263
2023-09-20,4.9086
2023-09-21,4.64161
2023-09-22,8.60546
2023-09-23,6.44896
2023-09-24,6.92133
2023-09-25,11.39864
2023-09-26,6.61326
2023-09-27,8.27685
2023-09-28,4.7443
2023-09-29,3.98439
2023-09-30,8.17416
2023-10-01,5.64797
2023-10-02,4.35407
2023-10-03,7.66071
2023-10-04,9.40644
2023-10-05,10.86465
2023-10-06,8.87245
2023-10-07,10.28958
2023-10-08,5.87389
2023-10-09,5.7712
2023-10-10,7.0651
2023-10-11,13.47299
2023-10-12,16.34832
2023-10-13,20.62025
2023-10-14,16.28671
2023-10-15,18.58697
2023-10-16,16.57424
2023-10-17,22.28383
2023-10-18,17.58061
2023-10-19,14.58204
2023-10-20,12.71308
2023-10-21,11.11111
2023-10-22,10.20743
2023-10-23,8.33846
2023-10-24,12.56931
2023-10-25,15.48572
2023-10-26,14.62312
2023-10-27,17.64222
2023-10-28,13.32922
2023-10-29,20.90778
2023-10-30,23.0232
2023-10-31,25.15917
2023-11-01,26.41199
2023-11-02,36.35243
2023-11-03,27.15136
2023-11-04,25.32347
2023-11-05,24.7484
2023-11-06,18.52536
2023-11-07,28.44526
2023-11-08,29.69808
2023-11-09,14.00698
2023-11-10,32.36804
2023-11-11,13.90429
2023-11-12,12.48716
2023-11-13,15.28034
2023-11-14,13.45245
2023-11-15,26.49414
2023-11-16,22.61244
2023-11-17,12.56931
2023-11-18,8.07147
2023-11-19,16.16348
2023-11-20,27.95235
2023-11-21,27.78804
2023-11-22,27.3362
2023-11-23,19.59334
2023-11-24,13.02115
2023-11-25,25.71369
2023-11-26,24.23495
2023-11-27,14.72581
2023-11-28,13.28814
2023-11-29,15.11604
2023-11-30,19.05935
2023-12-01,15.19819
2023-12-02,19.90141
2023-12-03,12.85684
2023-12-04,12.81577
2023-12-05,10.92626
2023-12-06,9.6529
2023-12-07,9.0573
2023-12-08,17.72437
2023-12-09,11.52187
2023-12-10,10.0842
2023-12-11,14.02752
2023-12-12,15.83487
2023-12-13,17.14931
2023-12-14,18.44321
2023-12-15,12.56931
2023-12-16,17.74491
2023-12-17,16.53316
2023-12-18,23.57773
2023-12-19,18.64859
2023-12-20,16.84124
2023-12-21,12.672
2023-12-22,20.62025
2023-12-23,11.87102
2023-12-24,8.48223
2023-12-25,9.09837
2023-12-26,16.22509
2023-12-27,35.88005
2023-12-28,27.15136
2023-12-29,17.27254
2023-12-30,13.43191
2023-12-31,32.05997
2024-01-01,21.565
2024-01-02,23.33127
2024-01-03,42.51386
2024-01-04,17.10823
2024-01-05,10.41281
2024-01-06,10.59765
2024-01-07,11.78886
2024-01-08,22.32491
2024-01-09,21.19531
2024-01-10,11.54241
2024-01-11,9.46806
2024-01-12,20.41486
2024-01-13,23.49558
2024-01-14,11.66563
2024-01-15,13.45245
2024-01-16,7.80447
2024-01-17,9.38591
2024-01-18,20.78455
2024-01-19,27.58266
2024-01-20,16.14294
2024-01-21,14.72581
2024-01-22,20.98993
2024-01-23,23.00266
2024-01-24,52.14623
2024-01-25,50.52372
2024-01-26,30.23208
2024-01-27,19.98356
2024-01-28,22.5919
2024-01-29,25.73423
2024-01-30,16.61532
2024-01-31,27.99342
2024-02-01,12.73362
2024-02-02,12.34339
2024-02-03,18.34052
2024-02-04,17.35469
2024-02-05,19.71657
2024-02-06,18.21729
2024-02-07,14.89012
2024-02-08,52.24892
2024-02-09,25.85746
2024-02-10,20.25056
2024-02-11,29.67755
2024-02-12,31.93674
2024-02-13,42.00041
2024-02-14,31.81351
2024-02-15,24.17334
2024-02-16,18.46375
2024-02-17,23.53666
2024-02-18,69.275
2024-02-19,27.19244
2024-02-20,31.19737
2024-02-21,28.21934
2024-02-22,37.72848
2024-02-23,37.68741
2024-02-24,38.40624
2024-02-25,34.36023
2024-02-26,25.96015
2024-02-27,78.88683
2024-02-28,74.26576
2024-02-29,30.43746
2024-03-01,20.72294
2024-03-02,59.56048
2024-03-03,33.41548
2024-03-04,36.41404
2024-03-05,33.9084
2024-03-06,29.71862
2024-03-07,27.25405
2024-03-08,28.60957
2024-03-09,13.59622
2024-03-10,20.7024
2024-03-11,14.43828
2024-03-12,16.04025
2024-03-13,17.4163
2024-03-14,12.83631
2024-03-15,11.27541
2024-03-16,12.46662
2024-03-17,8.85192
2024-03-18,14.6642
2024-03-19,17.43684
2024-03-20,72.95132
