date,HBM대장주
2023-05-31,0.68762
2023-06-16,0.49115
2023-06-21,0.68762
2023-06-23,0.58939
2023-06-27,0.49115
2023-06-28,0.88408
2023-06-29,1.96463
2023-06-30,0.49115
2023-07-01,0.78585
2023-07-03,2.84872
2023-07-04,2.25933
2023-07-05,1.17878
2023-07-06,1.27701
2023-07-07,1.5717
2023-07-08,0.49115
2023-07-09,0.58939
2023-07-10,0.98231
2023-07-11,4.91159
2023-07-12,3.83104
2023-07-13,10.31434
2023-07-14,9.52848
2023-07-15,5.10805
2023-07-16,7.76031
2023-07-17,7.07269
2023-07-18,5.00982
2023-07-19,3.63457
2023-07-20,3.63457
2023-07-21,2.84872
2023-07-22,1.5717
2023-07-23,3.14341
2023-07-24,2.84872
2023-07-25,4.81335
2023-07-26,5.10805
2023-07-27,17.97642
2023-07-28,22.88801
2023-07-29,18.46758
2023-07-30,20.43222
2023-07-31,29.27308
2023-08-01,27.50491
2023-08-02,16.69941
2023-08-03,12.47544
2023-08-04,9.23379
2023-08-05,6.67976
2023-08-06,7.26915
2023-08-07,8.3497
2023-08-08,7.95677
2023-08-09,9.72495
2023-08-10,9.62671
2023-08-11,7.76031
2023-08-12,5.10805
2023-08-13,4.42043
2023-08-14,4.3222
2023-08-15,10.90373
2023-08-16,11.88605
2023-08-17,13.65422
2023-08-18,16.20825
2023-08-19,18.86051
2023-08-20,25.44204
2023-08-21,39.68565
2023-08-22,29.66601
2023-08-23,27.50491
2023-08-24,34.5776
2023-08-25,15.71709
2023-08-26,13.35952
2023-08-27,17.87819
2023-08-28,18.66404
2023-08-29,15.71709
2023-08-30,24.36149
2023-08-31,21.51277
2023-09-01,33.39882
2023-09-02,32.02357
2023-09-03,22.69155
2023-09-04,31.13948
2023-09-05,23.08447
2023-09-06,14.14538
2023-09-07,13.94891
2023-09-08,16.69941
2023-09-09,14.53831
2023-09-10,12.08251
2023-09-11,15.22593
2023-09-12,42.33791
2023-09-13,31.72888
2023-09-14,15.61886
2023-09-15,13.94891
2023-09-16,13.85068
2023-09-17,16.69941
2023-09-18,11.19842
2023-09-19,8.055
2023-09-20,4.91159
2023-09-21,4.81335
2023-09-22,9.82318
2023-09-23,5.30451
2023-09-24,9.52848
2023-09-25,13.45776
2023-09-26,9.43025
2023-09-27,9.33202
2023-09-28,7.56385
2023-09-29,6.4833
2023-09-30,12.6719
2023-10-01,8.15324
2023-10-02,5.79567
2023-10-03,7.46561
2023-10-04,6.77799
2023-10-05,10.01964
2023-10-06,7.46561
2023-10-07,16.01178
2023-10-08,7.17092
2023-10-09,7.17092
2023-10-10,6.67976
2023-10-11,11.88605
2023-10-12,17.19056
2023-10-13,19.74459
2023-10-14,21.02161
2023-10-15,22.69155
2023-10-16,16.69941
2023-10-17,23.28094
2023-10-18,20.92337
2023-10-19,15.1277
2023-10-20,12.9666
2023-10-21,12.57367
2023-10-22,8.15324
2023-10-23,7.07269
2023-10-24,10.70726
2023-10-25,13.75245
2023-10-26,16.50294
2023-10-27,16.89587
2023-10-28,13.16306
2023-10-29,21.41453
2023-10-30,20.92337
2023-10-31,26.03143
2023-11-01,26.71905
2023-11-02,36.34577
2023-11-03,26.62082
2023-11-04,32.90766
2023-11-05,26.22789
2023-11-06,19.74459
2023-11-07,27.11198
2023-11-08,25.34381
2023-11-09,14.44007
2023-11-10,27.70137
2023-11-11,14.44007
2023-11-12,15.81532
2023-11-13,17.19056
2023-11-14,13.16306
2023-11-15,25.14734
2023-11-16,23.28094
2023-11-17,10.11787
2023-11-18,7.85854
2023-11-19,16.89587
2023-11-20,32.51473
2023-11-21,31.23772
2023-11-22,29.86247
2023-11-23,23.37917
2023-11-24,12.57367
2023-11-25,30.45186
2023-11-26,27.60314
2023-11-27,12.37721
2023-11-28,14.04715
2023-11-29,16.11001
2023-11-30,21.21807
2023-12-01,15.52062
2023-12-02,22.88801
2023-12-03,14.14538
2023-12-04,11.00196
2023-12-05,11.19842
2023-12-06,11.68958
2023-12-07,9.82318
2023-12-08,19.25343
2023-12-09,13.94891
2023-12-10,11.88605
2023-12-11,21.90569
2023-12-12,20.53045
2023-12-13,18.46758
2023-12-14,20.53045
2023-12-15,16.20825
2023-12-16,25.14734
2023-12-17,22.88801
2023-12-18,29.56777
2023-12-19,23.08447
2023-12-20,16.01178
2023-12-21,15.22593
2023-12-22,17.87819
2023-12-23,15.02946
2023-12-24,10.70726
2023-12-25,11.88605
2023-12-26,22.29862
2023-12-27,36.444
2023-12-28,33.10412
2023-12-29,22.39685
2023-12-30,19.25343
2023-12-31,42.23968
2024-01-01,33.79174
2024-01-02,27.21021
2024-01-03,57.95677
2024-01-04,21.02161
2024-01-05,12.18074
2024-01-06,12.77013
2024-01-07,14.34184
2024-01-08,29.86247
2024-01-09,29.86247
2024-01-10,14.53831
2024-01-11,9.23379
2024-01-12,19.54813
2024-01-13,29.46954
2024-01-14,17.77996
2024-01-15,18.56581
2024-01-16,11.49312
2024-01-17,12.27897
2024-01-18,20.82514
2024-01-19,29.46954
2024-01-20,18.66404
2024-01-21,18.36935
2024-01-22,24.65618
2024-01-23,31.72888
2024-01-24,62.18074
2024-01-25,52.25933
2024-01-26,41.45383
2024-01-27,27.7996
2024-01-28,26.71905
2024-01-29,32.22003
2024-01-30,21.11984
2024-01-31,35.85461
2024-02-01,17.09233
2024-02-02,15.52062
2024-02-03,28.58546
2024-02-04,29.46954
2024-02-05,28.0943
2024-02-06,23.08447
2024-02-07,20.72691
2024-02-08,64.73477
2024-02-09,34.18467
2024-02-10,27.60314
2024-02-11,42.9273
2024-02-12,47.64243
2024-02-13,48.23182
2024-02-14,36.14931
2024-02-15,30.45186
2024-02-16,22.10216
2024-02-17,35.16699
2024-02-18,100.0
2024-02-19,34.38113
2024-02-20,37.72102
2024-02-21,38.31041
2024-02-22,44.20432
2024-02-23,45.18664
2024-02-24,49.21414
2024-02-25,48.13359
2024-02-26,30.94302
2024-02-27,85.16699
2024-02-28,82.71119
2024-02-29,34.18467
2024-03-01,28.0943
2024-03-02,81.23772
2024-03-03,50.98231
2024-03-04,42.14145
2024-03-05,43.90962
2024-03-06,32.80943
2024-03-07,33.30058
2024-03-08,35.16699
2024-03-09,18.07465
2024-03-10,26.42436
2024-03-11,16.01178
2024-03-12,18.95874
2024-03-13,23.18271
2024-03-14,17.87819
2024-03-15,12.08251
2024-03-16,18.76227
2024-03-17,16.11001
2024-03-18,14.73477
2024-03-19,20.23575
2024-03-20,74.65618
