date,KB손해보험다이렉트
2020-03-20,44.08127
2020-03-21,22.34982
2020-03-22,21.46643
2020-03-23,60.6007
2020-03-24,48.32155
2020-03-25,47.43816
2020-03-26,51.5901
2020-03-27,54.15194
2020-03-28,23.49823
2020-03-29,25.17667
2020-03-30,60.77738
2020-03-31,53.35689
2020-04-01,48.76325
2020-04-02,43.55123
2020-04-03,47.17314
2020-04-04,22.5265
2020-04-05,23.05653
2020-04-06,52.73851
2020-04-07,41.43109
2020-04-08,41.07773
2020-04-09,42.75618
2020-04-10,38.42756
2020-04-11,22.34982
2020-04-12,21.6431
2020-04-13,51.94346
2020-04-14,44.25795
2020-04-15,24.29328
2020-04-16,52.73851
2020-04-17,46.02473
2020-04-18,22.26148
2020-04-19,21.46643
2020-04-20,58.65724
2020-04-21,50.61837
2020-04-22,50.26501
2020-04-23,24.46996
2020-04-24,18.99293
2020-04-25,9.62897
2020-04-26,9.62897
2020-04-27,23.14487
2020-04-28,20.75971
2020-04-29,17.75618
2020-04-30,14.04593
2020-05-01,8.92226
2020-05-02,5.65371
2020-05-03,7.15547
2020-05-04,21.81978
2020-05-05,8.5689
2020-05-06,18.72791
2020-05-07,20.93639
2020-05-08,18.28621
2020-05-09,8.83392
2020-05-10,7.50883
2020-05-11,26.76678
2020-05-12,21.55477
2020-05-13,20.58303
2020-05-14,18.90459
2020-05-15,18.72791
2020-05-16,7.68551
2020-05-17,10.33568
2020-05-18,22.79151
2020-05-19,21.37809
2020-05-20,20.14134
2020-05-21,23.40989
2020-05-22,17.84452
2020-05-23,8.30388
2020-05-24,8.65724
2020-05-25,21.81978
2020-05-26,20.14134
2020-05-27,22.70318
2020-05-28,21.02473
2020-05-29,27.0318
2020-05-30,13.25088
2020-05-31,15.01766
2020-06-01,40.106
2020-06-02,44.69964
2020-06-03,47.96819
2020-06-04,51.41342
2020-06-05,45.31802
2020-06-06,30.91872
2020-06-07,25.79505
2020-06-08,54.94699
2020-06-09,48.93992
2020-06-10,46.02473
2020-06-11,48.40989
2020-06-12,42.66784
2020-06-13,25.0
2020-06-14,32.86219
2020-06-15,67.04946
2020-06-16,52.82685
2020-06-17,44.6113
2020-06-18,47.61484
2020-06-19,44.43462
2020-06-20,21.6431
2020-06-21,28.88692
2020-06-22,68.72791
2020-06-23,55.74204
2020-06-24,53.44522
2020-06-25,46.28975
2020-06-26,42.66784
2020-06-27,21.37809
2020-06-28,24.20494
2020-06-29,57.42049
2020-06-30,53.09187
2020-07-01,50.08833
2020-07-02,44.96466
2020-07-03,41.60777
2020-07-04,21.6431
2020-07-05,24.5583
2020-07-06,55.03533
2020-07-07,49.1166
2020-07-08,45.22968
2020-07-09,43.55123
2020-07-10,42.93286
2020-07-11,22.26148
2020-07-12,28.6219
2020-07-13,56.00706
2020-07-14,50.88339
2020-07-15,52.65017
2020-07-16,46.28975
2020-07-17,40.01766
2020-07-18,23.93992
2020-07-19,25.79505
2020-07-20,66.69611
2020-07-21,45.49469
2020-07-22,45.22968
2020-07-23,40.45936
2020-07-24,39.13427
2020-07-25,21.37809
2020-07-26,25.35335
2020-07-27,53.97526
2020-07-28,50.44169
2020-07-29,42.22614
2020-07-30,42.5795
2020-07-31,38.42756
2020-08-01,24.38162
2020-08-02,21.46643
2020-08-03,57.15547
2020-08-04,46.11307
2020-08-05,45.75971
2020-08-06,48.14487
2020-08-07,44.25795
2020-08-08,22.5265
2020-08-09,29.0636
2020-08-10,58.92226
2020-08-11,51.23674
2020-08-12,45.40636
2020-08-13,45.67137
2020-08-14,41.43109
2020-08-15,22.87985
2020-08-16,21.46643
2020-08-17,30.91872
2020-08-18,51.41342
2020-08-19,42.93286
2020-08-20,47.79151
2020-08-21,44.6113
2020-08-22,20.67137
2020-08-23,19.25795
2020-08-24,49.82332
2020-08-25,38.0742
2020-08-26,47.79151
2020-08-27,38.0742
2020-08-28,36.83745
2020-08-29,20.75971
2020-08-30,22.5265
2020-08-31,47.26148
2020-09-01,52.73851
2020-09-02,54.41696
2020-09-03,50.08833
2020-09-04,50.88339
2020-09-05,24.46996
2020-09-06,23.67491
2020-09-07,65.81272
2020-09-08,47.43816
2020-09-09,45.93639
2020-09-10,46.99646
2020-09-11,43.90459
2020-09-12,21.6431
2020-09-13,20.67137
2020-09-14,56.62544
2020-09-15,46.81978
2020-09-16,46.11307
2020-09-17,100.0
2020-09-18,61.21908
2020-09-19,29.94699
2020-09-20,39.48763
2020-09-21,67.1378
2020-09-22,43.90459
2020-09-23,45.93639
2020-09-24,43.81625
2020-09-25,41.87279
2020-09-26,20.67137
2020-09-27,20.40636
2020-09-28,45.93639
2020-09-29,43.63957
2020-09-30,18.63957
2020-10-01,26.23674
2020-10-02,22.26148
2020-10-03,20.49469
2020-10-04,27.47349
2020-10-05,74.02826
2020-10-06,49.46996
2020-10-07,51.32508
2020-10-08,46.55477
2020-10-09,25.88339
2020-10-10,21.6431
2020-10-11,25.17667
2020-10-12,63.95759
2020-10-13,58.83392
2020-10-14,47.34982
2020-10-15,55.65371
2020-10-16,50.08833
2020-10-17,24.64664
2020-10-18,24.91166
2020-10-19,51.76678
2020-10-20,50.17667
2020-10-21,46.73144
2020-10-22,47.26148
2020-10-23,36.74911
2020-10-24,17.1378
2020-10-25,19.08127
2020-10-26,41.69611
2020-10-27,36.30742
2020-10-28,36.30742
2020-10-29,38.25088
2020-10-30,38.16254
2020-10-31,19.25795
2020-11-01,21.46643
2020-11-02,45.053
2020-11-03,40.45936
2020-11-04,38.78091
2020-11-05,45.22968
2020-11-06,38.33922
2020-11-07,18.37455
2020-11-08,16.87279
2020-11-09,45.84805
2020-11-10,47.87985
2020-11-11,36.74911
2020-11-12,39.22261
2020-11-13,37.80918
2020-11-14,12.27915
2020-11-15,20.67137
2020-11-16,51.76678
2020-11-17,42.66784
2020-11-18,41.51943
2020-11-19,34.36395
2020-11-20,35.77738
2020-11-21,14.57597
2020-11-22,18.63957
2020-11-23,48.58657
2020-11-24,47.5265
2020-11-25,42.49116
2020-11-26,40.01766
2020-11-27,41.69611
2020-11-28,20.67137
2020-11-29,21.55477
2020-11-30,48.58657
2020-12-01,53.79858
2020-12-02,39.13427
2020-12-03,47.17314
2020-12-04,44.25795
2020-12-05,22.17314
2020-12-06,20.58303
2020-12-07,48.76325
2020-12-08,44.6113
2020-12-09,47.96819
2020-12-10,48.85159
2020-12-11,50.70671
2020-12-12,29.15194
2020-12-13,29.0636
2020-12-14,78.6219
2020-12-15,59.71731
2020-12-16,58.83392
2020-12-17,53.6219
2020-12-18,36.30742
2020-12-19,25.35335
2020-12-20,30.12367
2020-12-21,83.74558
2020-12-22,67.1378
2020-12-23,63.86925
2020-12-24,49.29328
2020-12-25,24.73498
2020-12-26,33.30388
2020-12-27,28.44522
2020-12-28,75.61837
2020-12-29,64.92932
2020-12-30,60.77738
2020-12-31,59.09893
2021-01-01,26.50176
2021-01-02,28.35689
2021-01-03,34.27561
2021-01-04,72.61484
2021-01-05,65.90106
2021-01-06,56.71378
2021-01-07,52.82685
2021-01-08,63.0742
2021-01-09,21.37809
2021-01-10,25.08833
2021-01-11,57.06713
2021-01-12,44.25795
2021-01-13,49.20494
2021-01-14,47.96819
2021-01-15,44.6113
2021-01-16,19.6113
2021-01-17,24.64664
2021-01-18,48.85159
2021-01-19,47.34982
2021-01-20,41.34275
2021-01-21,44.34628
2021-01-22,39.31095
2021-01-23,23.58657
2021-01-24,18.46289
2021-01-25,46.90812
2021-01-26,45.053
2021-01-27,39.57597
2021-01-28,35.77738
2021-01-29,33.03886
2021-01-30,16.25441
2021-01-31,13.78091
2021-02-01,37.36749
2021-02-02,36.30742
2021-02-03,34.71731
2021-02-04,31.89045
2021-02-05,31.36042
2021-02-06,13.16254
2021-02-07,16.16607
2021-02-08,35.51236
2021-02-09,30.65371
2021-02-10,35.86572
2021-02-11,12.01413
2021-02-12,12.98586
2021-02-13,13.0742
2021-02-14,20.31802
2021-02-15,46.55477
2021-02-16,35.24734
2021-02-17,40.90106
2021-02-18,34.71731
2021-02-19,30.30035
2021-02-20,15.28268
2021-02-21,15.72438
2021-02-22,38.0742
2021-02-23,36.48409
2021-02-24,35.07067
2021-02-25,37.80918
2021-02-26,31.97879
2021-02-27,15.63604
2021-02-28,17.75618
2021-03-01,22.96819
2021-03-02,54.0636
2021-03-03,45.67137
2021-03-04,43.72791
2021-03-05,38.42756
2021-03-06,19.87632
2021-03-07,25.08833
2021-03-08,52.56183
2021-03-09,41.87279
2021-03-10,41.25441
2021-03-11,37.80918
2021-03-12,39.22261
2021-03-13,22.70318
2021-03-14,23.32155
2021-03-15,48.93992
2021-03-16,42.40282
2021-03-17,40.28268
2021-03-18,36.83745
2021-03-19,28.53356
2021-03-20,18.90459
2021-03-21,18.0212
2021-03-22,45.053
2021-03-23,36.48409
2021-03-24,39.48763
2021-03-25,35.95406
2021-03-26,34.54063
2021-03-27,15.81272
2021-03-28,17.75618
2021-03-29,44.08127
2021-03-30,39.57597
2021-03-31,35.51236
2021-04-01,32.86219
2021-04-02,29.15194
2021-04-03,13.86925
2021-04-04,16.51943
2021-04-05,29.85865
2021-04-06,31.97879
2021-04-07,30.91872
2021-04-08,35.07067
2021-04-09,34.36395
2021-04-10,15.98939
2021-04-11,11.83745
2021-04-12,39.57597
2021-04-13,37.36749
2021-04-14,33.92226
2021-04-15,35.33568
2021-04-16,32.68551
2021-04-17,16.60777
