date,KEC주가
2020-03-20,2.42893
2020-03-21,0.25986
2020-03-22,0.21743
2020-03-23,2.10543
2020-03-24,2.31226
2020-03-25,2.56151
2020-03-26,3.18731
2020-03-27,2.65167
2020-03-28,0.22804
2020-03-29,0.12197
2020-03-30,2.56151
2020-03-31,2.57212
2020-04-01,2.56151
2020-04-02,2.77895
2020-04-03,2.44484
2020-04-04,0.66291
2020-04-05,0.46139
2020-04-06,3.70704
2020-04-07,3.72825
2020-04-08,3.00169
2020-04-09,2.8585
2020-04-10,2.5403
2020-04-11,0.37653
2020-04-12,0.25456
2020-04-13,2.49257
2020-04-14,2.24862
2020-04-15,0.3288
2020-04-16,2.35999
2020-04-17,2.71001
2020-04-18,0.3235
2020-04-19,0.30229
2020-04-20,2.83198
2020-04-21,2.39711
2020-04-22,2.6994
2020-04-23,2.46605
2020-04-24,1.9092
2020-04-25,0.17501
2020-04-26,0.17501
2020-04-27,2.33877
2020-04-28,2.21149
2020-04-29,2.25922
2020-04-30,0.27047
2020-05-01,0.37653
2020-05-02,0.20683
2020-05-03,0.1697
2020-05-04,1.73419
2020-05-05,0.23334
2020-05-06,1.99406
2020-05-07,3.4949
2020-05-08,2.56682
2020-05-09,0.37653
2020-05-10,0.21213
2020-05-11,2.46605
2020-05-12,2.39711
2020-05-13,2.23801
2020-05-14,2.08421
2020-05-15,2.03118
2020-05-16,0.20152
2020-05-17,0.20152
2020-05-18,2.24331
2020-05-19,2.92745
2020-05-20,2.29635
2020-05-21,2.05239
2020-05-22,1.70237
2020-05-23,0.21213
2020-05-24,0.20152
2020-05-25,1.68116
2020-05-26,2.00466
2020-05-27,2.0683
2020-05-28,1.78192
2020-05-29,2.03648
2020-05-30,0.23865
2020-05-31,0.1697
2020-06-01,2.42363
2020-06-02,2.45545
2020-06-03,2.65167
2020-06-04,3.26156
2020-06-05,2.72061
2020-06-06,0.28107
2020-06-07,0.33411
2020-06-08,2.2168
2020-06-09,2.57212
2020-06-10,2.15846
2020-06-11,2.20089
2020-06-12,2.063
2020-06-13,0.1644
2020-06-14,0.1644
2020-06-15,2.20619
2020-06-16,2.33347
2020-06-17,2.04179
2020-06-18,1.93572
2020-06-19,4.38056
2020-06-20,0.97581
2020-06-21,0.72655
2020-06-22,3.50551
2020-06-23,3.39944
2020-06-24,3.4843
2020-06-25,3.12367
2020-06-26,3.07594
2020-06-27,0.29168
2020-06-28,0.20683
2020-06-29,2.49257
2020-06-30,2.60924
2020-07-01,2.8532
2020-07-02,2.34408
2020-07-03,2.08421
2020-07-04,0.25986
2020-07-05,0.21213
2020-07-06,2.44484
2020-07-07,2.41302
2020-07-08,2.47136
2020-07-09,2.35999
2020-07-10,1.89859
2020-07-11,0.20683
2020-07-12,0.10076
2020-07-13,2.10543
2020-07-14,1.9145
2020-07-15,2.063
2020-07-16,2.00466
2020-07-17,1.94633
2020-07-18,0.27047
2020-07-19,0.18031
2020-07-20,1.88268
2020-07-21,3.03351
2020-07-22,2.02057
2020-07-23,1.95693
2020-07-24,1.82965
2020-07-25,0.1697
2020-07-26,0.10076
2020-07-27,1.9039
2020-07-28,1.87208
2020-07-29,1.86677
2020-07-30,1.56979
2020-07-31,1.54857
2020-08-01,0.14849
2020-08-02,0.12197
2020-08-03,1.64403
2020-08-04,1.96754
2020-08-05,1.70767
2020-08-06,1.65464
2020-08-07,1.83495
2020-08-08,0.17501
2020-08-09,0.23865
2020-08-10,1.92511
2020-08-11,1.87208
2020-08-12,1.70767
2020-08-13,3.03882
2020-08-14,2.61455
2020-08-15,0.28638
2020-08-16,0.20152
2020-08-17,0.31289
2020-08-18,2.26453
2020-08-19,2.37059
2020-08-20,2.2168
2020-08-21,2.11603
2020-08-22,0.18031
2020-08-23,0.14319
2020-08-24,2.12134
2020-08-25,2.19028
2020-08-26,1.89329
2020-08-27,1.70767
2020-08-28,3.12367
2020-08-29,0.3235
2020-08-30,0.29698
2020-08-31,9.51951
2020-09-01,15.79868
2020-09-02,27.11603
2020-09-03,14.31904
2020-09-04,10.87187
2020-09-05,2.19558
2020-09-06,2.07361
2020-09-07,10.34683
2020-09-08,7.18073
2020-09-09,7.23907
2020-09-10,9.3392
2020-09-11,5.88672
2020-09-12,1.28871
2020-09-13,1.2675
2020-09-14,8.15655
2020-09-15,7.01103
2020-09-16,5.97687
2020-09-17,11.54009
2020-09-18,8.76644
2020-09-19,1.45842
2020-09-20,1.71828
2020-09-21,13.71977
2020-09-22,15.80929
2020-09-23,14.69558
2020-09-24,10.39456
2020-09-25,8.50127
2020-09-26,1.72358
2020-09-27,1.34705
2020-09-28,8.03457
2020-09-29,9.67331
2020-09-30,1.94102
2020-10-01,1.77131
2020-10-02,2.33877
2020-10-03,1.54327
2020-10-04,1.62812
2020-10-05,10.22486
2020-10-06,8.59142
2020-10-07,8.52248
2020-10-08,13.70916
2020-10-09,2.04179
2020-10-10,1.46902
2020-10-11,1.56979
2020-10-12,12.08103
2020-10-13,10.24077
2020-10-14,23.85447
2020-10-15,47.7991
2020-10-16,29.04645
2020-10-17,4.78362
2020-10-18,3.86084
2020-10-19,56.21552
2020-10-20,55.48366
2020-10-21,35.23016
2020-10-22,36.54539
2020-10-23,28.38884
2020-10-24,4.29041
2020-10-25,2.77895
2020-10-26,25.91217
2020-10-27,23.89159
2020-10-28,21.03309
2020-10-29,16.90708
2020-10-30,18.57233
2020-10-31,2.77365
2020-11-01,2.10543
2020-11-02,17.52227
2020-11-03,20.7308
2020-11-04,18.37081
2020-11-05,22.67182
2020-11-06,19.27238
2020-11-07,2.95927
2020-11-08,3.03351
2020-11-09,29.38587
2020-11-10,20.64064
2020-11-11,17.15634
2020-11-12,16.34492
2020-11-13,16.91238
2020-11-14,2.64106
2020-11-15,2.42363
2020-11-16,14.563
2020-11-17,15.95248
2020-11-18,15.30547
2020-11-19,14.2554
2020-11-20,13.85235
2020-11-21,2.40241
2020-11-22,1.81904
2020-11-23,11.98027
2020-11-24,30.46775
2020-11-25,54.96924
2020-11-26,32.30271
2020-11-27,27.95396
2020-11-28,6.57615
2020-11-29,5.28744
2020-11-30,24.04009
2020-12-01,21.40963
2020-12-02,60.21425
2020-12-03,40.81989
2020-12-04,30.20789
2020-12-05,5.87611
2020-12-06,5.41472
2020-12-07,35.24077
2020-12-08,30.09652
2020-12-09,25.75837
2020-12-10,21.82859
2020-12-11,20.85808
2020-12-12,3.6434
2020-12-13,3.02821
2020-12-14,18.17988
2020-12-15,33.8672
2020-12-16,23.20216
2020-12-17,19.42087
2020-12-18,24.54391
2020-12-19,5.14425
2020-12-20,4.93211
2020-12-21,24.04539
2020-12-22,22.57106
2020-12-23,21.33008
2020-12-24,19.34132
2020-12-25,4.26389
2020-12-26,3.60097
2020-12-27,3.85023
2020-12-28,18.86932
2020-12-29,19.9512
2020-12-30,22.60818
2020-12-31,7.54666
2021-01-01,4.49193
2021-01-02,4.29041
2021-01-03,5.58442
2021-01-04,28.98812
2021-01-05,21.64828
2021-01-06,21.28235
2021-01-07,28.4949
2021-01-08,33.73992
2021-01-09,9.30738
2021-01-10,6.83071
2021-01-11,32.32923
2021-01-12,22.56576
2021-01-13,31.86784
2021-01-14,25.59397
2021-01-15,20.15803
2021-01-16,4.25328
2021-01-17,3.52142
2021-01-18,18.9913
2021-01-19,21.69601
2021-01-20,23.84386
2021-01-21,40.15697
2021-01-22,40.45927
2021-01-23,5.52609
2021-01-24,4.73058
2021-01-25,30.05939
2021-01-26,27.44484
2021-01-27,22.99533
2021-01-28,19.26177
2021-01-29,18.78447
2021-01-30,2.90623
2021-01-31,2.45014
2021-02-01,20.16864
2021-02-02,19.07615
2021-02-03,23.22337
2021-02-04,19.84514
2021-02-05,17.42681
2021-02-06,3.31989
2021-02-07,2.84259
2021-02-08,14.45693
2021-02-09,14.31374
2021-02-10,12.30907
2021-02-11,2.24331
2021-02-12,1.79783
2021-02-13,2.05239
2021-02-14,5.19728
2021-02-15,32.64212
2021-02-16,24.63406
2021-02-17,18.90114
2021-02-18,19.63831
2021-02-19,15.8305
2021-02-20,3.13958
2021-02-21,2.65697
2021-02-22,15.92066
2021-02-23,14.23419
2021-02-24,15.23652
2021-02-25,14.76983
2021-02-26,12.61667
2021-02-27,2.11073
2021-02-28,1.79253
2021-03-01,2.08952
2021-03-02,13.17882
2021-03-03,10.97793
2021-03-04,10.18773
2021-03-05,10.17182
2021-03-06,1.93042
2021-03-07,1.73419
2021-03-08,10.52184
2021-03-09,9.67331
2021-03-10,11.77874
2021-03-11,13.65613
2021-03-12,12.85532
2021-03-13,1.50615
2021-03-14,1.47433
2021-03-15,10.07636
2021-03-16,9.99151
2021-03-17,7.86487
2021-03-18,10.14
2021-03-19,8.53309
2021-03-20,1.52206
2021-03-21,1.53797
2021-03-22,8.52778
2021-03-23,8.4005
2021-03-24,7.72168
2021-03-25,8.00275
2021-03-26,9.17479
2021-03-27,1.5963
2021-03-28,1.53797
2021-03-29,9.86953
2021-03-30,9.3498
2021-03-31,8.03988
2021-04-01,8.79295
2021-04-02,7.76941
2021-04-03,1.38947
2021-04-04,1.18264
2021-04-05,8.83538
2021-04-06,7.90199
2021-04-07,7.2921
2021-04-08,7.62621
2021-04-09,6.77238
2021-04-10,1.50084
2021-04-11,1.28871
2021-04-12,8.5596
2021-04-13,12.08103
2021-04-14,9.07933
2021-04-15,8.13003
2021-04-16,8.18837
2021-04-17,1.30462
2021-04-18,1.36826
2021-04-19,8.33686
2021-04-20,7.78001
2021-04-21,7.54136
2021-04-22,9.20131
2021-04-23,7.78001
2021-04-24,1.24628
2021-04-25,1.14552
2021-04-26,8.58082
2021-04-27,8.20958
2021-04-28,7.02163
2021-04-29,6.88905
2021-04-30,5.91323
2021-05-01,0.92278
2021-05-02,0.81671
2021-05-03,6.88375
2021-05-04,7.48833
2021-05-05,1.36826
2021-05-06,6.79889
2021-05-07,6.30038
2021-05-08,0.94399
2021-05-09,0.76898
2021-05-10,7.00042
2021-05-11,6.21022
2021-05-12,6.09355
2021-05-13,7.26028
2021-05-14,7.04285
2021-05-15,0.97051
2021-05-16,0.9546
2021-05-17,7.84896
2021-05-18,8.48005
2021-05-19,1.15082
2021-05-20,6.59736
2021-05-21,6.22083
2021-05-22,0.90156
2021-05-23,1.01824
2021-05-24,6.04582
2021-05-25,5.53669
2021-05-26,5.47305
2021-05-27,5.64806
2021-05-28,8.17246
2021-05-29,1.29932
2021-05-30,1.22507
2021-05-31,8.46945
2021-06-01,11.64616
2021-06-02,12.17649
2021-06-03,13.53945
2021-06-04,13.43338
2021-06-05,3.21383
2021-06-06,2.67819
2021-06-07,12.07573
2021-06-08,11.85829
2021-06-09,9.40814
2021-06-10,11.556
2021-06-11,10.06045
2021-06-12,1.4372
2021-06-13,1.44251
2021-06-14,11.21658
2021-06-15,9.76347
2021-06-16,10.06045
2021-06-17,8.95205
2021-06-18,19.38375
2021-06-19,3.06003
2021-06-20,2.55621
2021-06-21,11.53478
2021-06-22,9.3392
2021-06-23,9.04221
2021-06-24,9.04751
2021-06-25,30.12303
2021-06-26,4.85787
2021-06-27,4.53966
2021-06-28,17.83517
2021-06-29,13.37505
2021-06-30,11.46054
2021-07-01,10.19304
2021-07-02,9.77407
2021-07-03,1.98875
2021-07-04,1.76071
2021-07-05,10.37335
2021-07-06,11.02036
2021-07-07,9.62558
2021-07-08,10.72337
2021-07-09,9.04221
2021-07-10,1.45311
2021-07-11,0.96521
2021-07-12,8.59673
2021-07-13,8.01336
2021-07-14,6.92087
2021-07-15,7.30271
2021-07-16,5.99278
2021-07-17,0.92278
2021-07-18,0.68413
2021-07-19,6.42235
2021-07-20,5.93975
2021-07-21,5.61094
2021-07-22,6.76707
2021-07-23,6.68222
2021-07-24,0.73716
2021-07-25,0.45608
2021-07-26,5.10182
2021-07-27,5.36168
2021-07-28,4.51845
2021-07-29,4.71998
2021-07-30,4.57148
2021-07-31,0.54094
2021-08-01,0.4773
2021-08-02,5.34047
2021-08-03,9.25965
2021-08-04,7.50424
2021-08-05,7.31862
2021-08-06,6.12537
2021-08-07,1.09779
2021-08-08,1.34705
2021-08-09,7.10649
2021-08-10,5.82838
2021-08-11,5.11773
2021-08-12,6.4966
2021-08-13,6.31098
2021-08-14,1.02354
2021-08-15,0.84853
2021-08-16,1.37356
2021-08-17,7.13831
2021-08-18,5.95036
2021-08-19,8.42702
2021-08-20,6.21552
2021-08-21,0.90156
2021-08-22,0.76898
2021-08-23,7.50954
2021-08-24,6.62388
2021-08-25,6.95799
2021-08-26,5.63746
2021-08-27,5.41472
2021-08-28,0.94399
2021-08-29,0.76368
2021-08-30,5.31395
2021-08-31,5.13894
2021-09-01,5.14425
2021-09-02,4.49193
2021-09-03,5.96627
2021-09-04,0.88035
2021-09-05,0.70004
2021-09-06,5.31926
2021-09-07,4.53436
2021-09-08,4.26919
2021-09-09,3.9563
2021-09-10,3.82371
2021-09-11,0.45608
2021-09-12,0.54624
2021-09-13,13.95311
2021-09-14,8.81947
2021-09-15,6.37462
2021-09-16,5.82308
2021-09-17,4.93211
2021-09-18,0.66291
2021-09-19,0.53563
2021-09-20,0.44017
2021-09-21,0.40305
2021-09-22,0.45078
2021-09-23,9.67861
2021-09-24,24.97348
2021-09-25,2.74183
2021-09-26,2.72592
2021-09-27,21.30356
2021-09-28,16.83814
2021-09-29,12.10755
2021-09-30,15.56003
2021-10-01,11.67798
2021-10-02,1.2781
2021-10-03,1.12961
2021-10-04,1.69707
2021-10-05,9.1854
2021-10-06,8.19367
2021-10-07,10.19304
2021-10-08,15.26834
2021-10-09,2.78425
2021-10-10,16.38205
2021-10-11,7.1277
2021-10-12,29.88969
2021-10-13,25.71595
2021-10-14,22.42787
2021-10-15,19.10797
2021-10-16,2.84789
2021-10-17,2.39711
2021-10-18,64.12282
2021-10-19,71.57403
2021-10-20,46.00657
2021-10-21,36.2484
2021-10-22,33.81417
2021-10-23,5.75943
2021-10-24,4.97984
2021-10-25,28.89266
2021-10-26,38.65613
2021-10-27,35.4582
2021-10-28,63.75689
2021-10-29,58.29444
2021-10-30,9.71043
2021-10-31,8.34217
2021-11-01,43.65188
2021-11-02,38.59249
2021-11-03,37.95078
2021-11-04,35.612
2021-11-05,35.44229
2021-11-06,5.69579
2021-11-07,4.93742
2021-11-08,60.88778
2021-11-09,39.18116
2021-11-10,29.82605
2021-11-11,28.71764
2021-11-12,34.80589
2021-11-13,5.92914
2021-11-14,5.80186
2021-11-15,74.75604
2021-11-16,59.17479
2021-11-17,46.26644
2021-11-18,39.64785
2021-11-19,100.0
2021-11-20,18.00487
2021-11-21,16.38735
2021-11-22,72.49681
2021-11-23,59.90666
2021-11-24,49.95757
2021-11-25,42.45333
2021-11-26,49.33708
2021-11-27,7.72168
2021-11-28,7.03224
2021-11-29,44.161
2021-11-30,49.3742
2021-12-01,51.9039
2021-12-02,45.30123
2021-12-03,35.90369
2021-12-04,6.63979
2021-12-05,6.21552
2021-12-06,34.51951
2021-12-07,46.81268
2021-12-08,45.00424
2021-12-09,36.37038
2021-12-10,30.67458
2021-12-11,5.8549
2021-12-12,4.62452
