date,KODEX레버리지
2020-03-20,90.05672
2020-03-21,25.53133
2020-03-22,22.36041
2020-03-23,75.2238
2020-03-24,85.03724
2020-03-25,100.0
2020-03-26,77.93343
2020-03-27,63.67798
2020-03-28,19.169
2020-03-29,20.32392
2020-03-30,57.43183
2020-03-31,46.37121
2020-04-01,45.94409
2020-04-02,50.61504
2020-04-03,39.72527
2020-04-04,11.46723
2020-04-05,11.59365
2020-04-06,44.85409
2020-04-07,49.03984
2020-04-08,38.79245
2020-04-09,40.03621
2020-04-10,36.08282
2020-04-11,8.51158
2020-04-12,8.52866
2020-04-13,29.88792
2020-04-14,30.22961
2020-04-15,10.49682
2020-04-16,26.01312
2020-04-17,35.32426
2020-04-18,8.57992
2020-04-19,8.45691
2020-04-20,28.22046
2020-04-21,34.63746
2020-04-22,30.6704
2020-04-23,27.89243
2020-04-24,22.63377
2020-04-25,7.37032
2020-04-26,6.79286
2020-04-27,26.21813
2020-04-28,22.99938
2020-04-29,19.71571
2020-04-30,6.30766
2020-05-01,7.25073
2020-05-02,5.99671
2020-05-03,5.75411
2020-05-04,23.46067
2020-05-05,8.12205
2020-05-06,21.73853
2020-05-07,16.07667
2020-05-08,15.65297
2020-05-09,5.15615
2020-05-10,5.57985
2020-05-11,15.91266
2020-05-12,17.46053
2020-05-13,17.56304
2020-05-14,17.70997
2020-05-15,14.97642
2020-05-16,3.22558
2020-05-17,3.84405
2020-05-18,15.05501
2020-05-19,18.44119
2020-05-20,14.75773
2020-05-21,14.92858
2020-05-22,13.9445
2020-05-23,3.32467
2020-05-24,3.46477
2020-05-25,13.34312
2020-05-26,16.03225
2020-05-27,14.71331
2020-05-28,15.04134
2020-05-29,11.75425
2020-05-30,2.79163
2020-05-31,2.62762
2020-06-01,14.12218
2020-06-02,15.52654
2020-06-03,24.59167
2020-06-04,20.82279
2020-06-05,17.72705
2020-06-06,5.05364
2020-06-07,4.42834
2020-06-08,17.45711
2020-06-09,17.72363
2020-06-10,14.58005
2020-06-11,18.0995
2020-06-12,21.54718
2020-06-13,4.00806
2020-06-14,3.72445
2020-06-15,23.74769
2020-06-16,25.97211
2020-06-17,18.3216
2020-06-18,13.44221
2020-06-19,12.71782
2020-06-20,3.54677
2020-06-21,3.12991
2020-06-22,12.31804
2020-06-23,11.89093
2020-06-24,13.14152
2020-06-25,15.53338
2020-06-26,12.92967
2020-06-27,4.45568
2020-06-28,4.01831
2020-06-29,13.65065
2020-06-30,13.05268
2020-07-01,11.53557
2020-07-02,9.92961
2020-07-03,8.68584
2020-07-04,2.23467
2020-07-05,2.12191
2020-07-06,12.57773
2020-07-07,11.68591
2020-07-08,9.37606
2020-07-09,9.72801
2020-07-10,7.78377
2020-07-11,1.9374
2020-07-12,1.79389
2020-07-13,8.82252
2020-07-14,8.68584
2020-07-15,9.85443
2020-07-16,8.51158
2020-07-17,7.34299
2020-07-18,1.45219
2020-07-19,1.52736
2020-07-20,7.11064
2020-07-21,9.02412
2020-07-22,7.6881
2020-07-23,7.36349
2020-07-24,7.09355
2020-07-25,1.67088
2020-07-26,1.25059
2020-07-27,7.59926
2020-07-28,10.72233
2020-07-29,9.1813
2020-07-30,8.60725
2020-07-31,7.82136
2020-08-01,1.68454
2020-08-02,1.47953
2020-08-03,6.84753
2020-08-04,7.41816
2020-08-05,8.57308
2020-08-06,10.52074
2020-08-07,9.25647
2020-08-08,1.66746
2020-08-09,1.66063
2020-08-10,9.94669
2020-08-11,13.69165
2020-08-12,11.3613
2020-08-13,12.00369
2020-08-14,9.29406
2020-08-15,1.61279
2020-08-16,1.72213
2020-08-17,2.36793
2020-08-18,10.80092
2020-08-19,8.47058
2020-08-20,16.39445
2020-08-21,14.7509
2020-08-22,2.57295
2020-08-23,2.92831
2020-08-24,10.34306
2020-08-25,9.91252
2020-08-26,9.48199
2020-08-27,9.60158
2020-08-28,9.32823
2020-08-29,1.57178
2020-08-30,1.59912
2020-08-31,9.78609
2020-09-01,8.4159
2020-09-02,8.66192
2020-09-03,9.26672
2020-09-04,12.3488
2020-09-05,3.01715
2020-09-06,2.25517
2020-09-07,7.89653
2020-09-08,8.27581
2020-09-09,8.60042
2020-09-10,7.81111
2020-09-11,7.80769
2020-09-12,1.56495
2020-09-13,1.27793
2020-09-14,7.06622
2020-09-15,7.54459
2020-09-16,7.26098
2020-09-17,7.36007
2020-09-18,6.40333
2020-09-19,1.43169
2020-09-20,1.131
2020-09-21,6.9227
2020-09-22,10.4934
2020-09-23,10.04236
2020-09-24,13.77707
2020-09-25,9.31797
2020-09-26,2.36451
2020-09-27,2.05016
2020-09-28,7.48308
2020-09-29,6.56393
2020-09-30,1.30185
2020-10-01,1.04216
2020-10-02,2.52853
2020-10-03,1.7973
2020-10-04,1.65721
2020-10-05,7.45233
2020-10-06,6.68352
2020-10-07,6.69035
2020-10-08,6.44433
2020-10-09,1.12758
2020-10-10,0.94649
2020-10-11,1.07975
2020-10-12,5.39192
2020-10-13,5.65502
2020-10-14,5.28258
2020-10-15,6.499
2020-10-16,6.13339
2020-10-17,1.2916
2020-10-18,1.04558
2020-10-19,5.27232
2020-10-20,6.0753
2020-10-21,5.31333
2020-10-22,5.37142
2020-10-23,4.70511
2020-10-24,0.85081
2020-10-25,1.21984
2020-10-26,5.21424
2020-10-27,5.39533
2020-10-28,5.78486
2020-10-29,7.39766
2020-10-30,8.20747
2020-10-31,2.04332
2020-11-01,2.38843
2020-11-02,7.36349
2020-11-03,7.05255
2020-11-04,7.65734
2020-11-05,8.49108
2020-11-06,6.20515
2020-11-07,1.25401
2020-11-08,1.27793
2020-11-09,8.56625
2020-11-10,7.65393
2020-11-11,8.07079
2020-11-12,6.89537
2020-11-13,6.68352
2020-11-14,2.51144
2020-11-15,2.19708
2020-11-16,11.43306
2020-11-17,9.09929
2020-11-18,7.7701
2020-11-19,6.28374
2020-11-20,5.41242
2020-11-21,1.16859
2020-11-22,1.37702
2020-11-23,9.92619
2020-11-24,9.85443
2020-11-25,9.93986
2020-11-26,8.01954
2020-11-27,6.69377
2020-11-28,1.80072
2020-11-29,1.74263
2020-11-30,7.29857
2020-12-01,7.64026
2020-12-02,9.87152
2020-12-03,9.70067
2020-12-04,11.54923
2020-12-05,2.89756
2020-12-06,2.78138
2020-12-07,9.59475
2020-12-08,8.597
2020-12-09,9.21888
2020-12-10,9.69725
2020-12-11,8.71318
2020-12-12,2.14925
2020-12-13,2.12533
2020-12-14,7.86919
2020-12-15,6.5981
2020-12-16,5.93521
2020-12-17,5.85662
2020-12-18,5.56276
2020-12-19,1.24376
2020-12-20,1.3531
2020-12-21,6.63568
2020-12-22,6.36916
2020-12-23,6.56734
2020-12-24,7.18239
2020-12-25,2.16975
2020-12-26,1.74605
2020-12-27,2.2005
2020-12-28,8.25873
2020-12-29,9.21205
2020-12-30,10.14487
2020-12-31,3.23925
2021-01-01,1.89981
2021-01-02,2.37818
2021-01-03,2.52853
2021-01-04,12.11986
2021-01-05,11.97977
2021-01-06,12.58798
2021-01-07,13.68482
2021-01-08,20.43326
2021-01-09,6.89195
2021-01-10,6.61518
2021-01-11,21.87863
2021-01-12,14.92175
2021-01-13,17.19401
2021-01-14,14.01284
2021-01-15,12.48889
2021-01-16,3.85088
2021-01-17,3.229
2021-01-18,12.24629
2021-01-19,12.74516
2021-01-20,10.78384
2021-01-21,10.24396
2021-01-22,8.67901
2021-01-23,2.18342
2021-01-24,2.11166
2021-01-25,11.12212
2021-01-26,11.90118
2021-01-27,11.45356
2021-01-28,11.15287
2021-01-29,13.08002
2021-01-30,4.97505
2021-01-31,4.53085
2021-02-01,12.73491
2021-02-02,11.84309
2021-02-03,10.22005
2021-02-04,9.37948
2021-02-05,8.31681
2021-02-06,2.10824
2021-02-07,2.08432
2021-02-08,6.71085
2021-02-09,6.81678
2021-02-10,6.56734
