date,KODEX미국FANG플러스(H)
2020-03-20,0.12259
2020-03-24,0.10216
2020-03-26,0.10216
2020-04-16,0.10216
2020-04-17,0.14303
2020-04-18,0.22476
2020-04-20,0.14303
2020-04-24,0.10216
2020-04-25,0.14303
2020-04-27,0.12259
2020-04-29,0.14303
2020-05-06,0.16346
2020-05-11,0.10216
2020-05-12,0.12259
2020-05-13,0.14303
2020-05-14,0.14303
2020-05-16,0.12259
2020-05-20,0.14303
2020-05-21,0.10216
2020-05-22,0.16346
2020-05-25,0.18389
2020-05-27,0.10216
2020-06-05,0.10216
2020-06-09,0.12259
2020-06-10,0.12259
2020-06-12,0.14303
2020-06-14,0.12259
2020-06-15,0.10216
2020-06-16,0.18389
2020-06-17,0.10216
2020-06-23,0.10216
2020-06-24,0.10216
2020-06-29,0.16346
2020-06-30,0.38823
2020-07-01,0.22476
2020-07-03,0.20433
2020-07-04,0.12259
2020-07-06,0.26563
2020-07-07,0.10216
2020-07-08,0.20433
2020-07-09,0.20433
2020-07-10,0.14303
2020-07-12,0.12259
2020-07-13,0.32693
2020-07-14,0.28606
2020-07-15,0.83776
2020-07-16,0.46996
2020-07-17,0.16346
2020-07-18,0.34736
2020-07-19,0.28606
2020-07-20,0.46996
2020-07-21,1.45075
2020-07-22,1.57335
2020-07-23,1.73682
2020-07-24,0.98079
2020-07-25,0.46996
2020-07-26,0.22476
2020-07-27,0.83776
2020-07-28,0.69472
2020-07-29,0.79689
2020-07-30,0.55169
2020-07-31,0.63342
2020-08-01,0.10216
2020-08-02,0.36779
2020-08-03,0.57212
2020-08-04,0.69472
2020-08-05,0.40866
2020-08-06,0.59256
2020-08-07,0.51082
2020-08-08,0.16346
2020-08-09,0.12259
2020-08-10,0.46996
2020-08-11,0.42909
2020-08-12,0.34736
2020-08-13,0.61299
2020-08-14,0.40866
2020-08-15,0.26563
2020-08-16,0.32693
2020-08-17,0.18389
2020-08-18,0.63342
2020-08-19,0.57212
2020-08-20,0.55169
2020-08-21,1.83898
2020-08-22,0.67429
2020-08-23,0.53126
2020-08-24,1.94115
2020-08-25,1.65508
2020-08-26,1.65508
2020-08-27,2.28851
2020-08-28,3.92317
2020-08-29,2.12505
2020-08-30,2.10461
2020-08-31,4.10706
2020-09-01,5.21046
2020-09-02,9.41969
2020-09-03,9.41969
2020-09-04,9.95096
2020-09-05,3.06497
2020-09-06,2.02288
2020-09-07,5.51695
2020-09-08,5.59869
2020-09-09,9.17449
2020-09-10,7.04944
2020-09-11,4.69963
2020-09-12,1.34859
2020-09-13,1.14425
2020-09-14,4.84266
2020-09-15,6.39558
2020-09-16,5.76215
2020-09-17,5.70085
2020-09-18,4.4953
2020-09-19,1.22599
2020-09-20,0.81732
2020-09-21,4.1275
2020-09-22,4.61789
2020-09-23,4.434
2020-09-24,3.98447
2020-09-25,3.4532
2020-09-26,0.96035
