date,LG이노텍주가
2020-03-20,24.94927
2020-03-21,4.95652
2020-03-22,3.47101
2020-03-23,21.60144
2020-03-24,21.43478
2020-03-25,21.37681
2020-03-26,20.90579
2020-03-27,18.15942
2020-03-28,2.61594
2020-03-29,2.24637
2020-03-30,16.82608
2020-03-31,16.22463
2020-04-01,16.97101
2020-04-02,15.25362
2020-04-03,13.85507
2020-04-04,1.62318
2020-04-05,1.63768
2020-04-06,15.42028
2020-04-07,18.97101
2020-04-08,17.16666
2020-04-09,16.40579
2020-04-10,14.89855
2020-04-11,2.57246
2020-04-12,2.14492
2020-04-13,14.75362
2020-04-14,14.02898
2020-04-15,2.97101
2020-04-16,12.63768
2020-04-17,14.07971
2020-04-18,2.10869
2020-04-19,1.45652
2020-04-20,11.34782
2020-04-21,12.72463
2020-04-22,10.71739
2020-04-23,11.0
2020-04-24,9.77536
2020-04-25,1.21014
2020-04-26,1.03623
2020-04-27,12.82608
2020-04-28,16.17391
2020-04-29,12.42753
2020-04-30,2.05797
2020-05-01,1.92028
2020-05-02,0.85507
2020-05-03,1.05797
2020-05-04,8.72463
2020-05-05,1.25362
2020-05-06,8.67391
2020-05-07,7.52898
2020-05-08,8.97101
2020-05-09,1.26811
2020-05-10,0.71739
2020-05-11,7.84057
2020-05-12,9.71014
2020-05-13,10.55797
2020-05-14,9.55072
2020-05-15,8.83333
2020-05-16,1.45652
2020-05-17,1.05072
2020-05-18,10.7826
2020-05-19,10.5
2020-05-20,8.90579
2020-05-21,9.84782
2020-05-22,8.55797
2020-05-23,1.17391
2020-05-24,0.82608
2020-05-25,8.94927
2020-05-26,9.37681
2020-05-27,7.39855
2020-05-28,10.02173
2020-05-29,8.36956
2020-05-30,1.14492
2020-05-31,0.71739
2020-06-01,9.18115
2020-06-02,9.13768
2020-06-03,9.63043
2020-06-04,8.84782
2020-06-05,8.25362
2020-06-06,1.31884
2020-06-07,0.89855
2020-06-08,9.30434
2020-06-09,8.94927
2020-06-10,12.68115
2020-06-11,13.33333
2020-06-12,14.0942
2020-06-13,2.42028
2020-06-14,1.73188
2020-06-15,13.7971
2020-06-16,12.60144
2020-06-17,13.99275
2020-06-18,11.05797
2020-06-19,10.25362
2020-06-20,1.34057
2020-06-21,1.04347
2020-06-22,10.34057
2020-06-23,10.76811
2020-06-24,10.34057
2020-06-25,8.81159
2020-06-26,10.73913
2020-06-27,1.50724
2020-06-28,1.17391
2020-06-29,9.7971
2020-06-30,12.63768
2020-07-01,9.87681
2020-07-02,8.65217
2020-07-03,7.89855
2020-07-04,1.12318
2020-07-05,0.74637
2020-07-06,8.42028
2020-07-07,8.04347
2020-07-08,7.97101
2020-07-09,8.80434
2020-07-10,7.74637
2020-07-11,0.86956
2020-07-12,0.82608
2020-07-13,8.10144
2020-07-14,7.38405
2020-07-15,8.60144
2020-07-16,8.92028
2020-07-17,8.27536
2020-07-18,1.2971
2020-07-19,0.94927
2020-07-20,8.7826
2020-07-21,10.57971
2020-07-22,13.73913
2020-07-23,18.07246
2020-07-24,13.6884
2020-07-25,2.1884
2020-07-26,2.01449
2020-07-27,11.39855
2020-07-28,13.94202
2020-07-29,11.3913
2020-07-30,10.89855
2020-07-31,9.73913
2020-08-01,1.56521
2020-08-02,1.26811
2020-08-03,10.08695
2020-08-04,11.12318
2020-08-05,12.32608
2020-08-06,11.85507
2020-08-07,13.54347
2020-08-08,2.67391
2020-08-09,2.05797
2020-08-10,16.88405
2020-08-11,14.91304
2020-08-12,12.82608
2020-08-13,15.05072
2020-08-14,12.31159
2020-08-15,1.26811
2020-08-16,1.15217
2020-08-17,1.85507
2020-08-18,11.47826
2020-08-19,10.50724
2020-08-20,12.23188
2020-08-21,10.97826
2020-08-22,1.23913
2020-08-23,1.13043
2020-08-24,12.83333
2020-08-25,13.2971
2020-08-26,10.36231
2020-08-27,11.24637
2020-08-28,10.86231
2020-08-29,1.21739
2020-08-30,1.14492
2020-08-31,9.89855
2020-09-01,12.5
2020-09-02,22.32608
2020-09-03,20.81884
2020-09-04,14.26086
2020-09-05,1.52173
2020-09-06,1.69565
2020-09-07,12.43478
2020-09-08,12.52898
2020-09-09,14.75362
2020-09-10,16.16666
2020-09-11,12.22463
2020-09-12,2.20289
2020-09-13,1.90579
2020-09-14,12.44202
2020-09-15,13.47826
2020-09-16,11.47101
2020-09-17,11.63768
2020-09-18,10.78985
2020-09-19,1.12318
2020-09-20,0.86231
2020-09-21,9.36956
2020-09-22,9.31159
2020-09-23,9.75362
2020-09-24,9.71739
2020-09-25,8.76086
2020-09-26,1.22463
2020-09-27,1.06521
2020-09-28,9.54347
2020-09-29,8.28985
2020-09-30,1.02898
2020-10-01,0.97826
2020-10-02,0.71739
2020-10-03,0.58695
2020-10-04,0.85507
2020-10-05,8.94927
2020-10-06,8.55797
2020-10-07,10.0942
2020-10-08,12.31159
2020-10-09,1.88405
2020-10-10,1.25362
2020-10-11,1.46376
2020-10-12,9.71014
2020-10-13,9.8913
2020-10-14,10.97826
2020-10-15,8.87681
2020-10-16,7.33333
2020-10-17,0.71739
2020-10-18,0.66666
2020-10-19,8.73913
2020-10-20,8.60144
2020-10-21,7.96376
2020-10-22,7.0
2020-10-23,6.23913
2020-10-24,0.76086
2020-10-25,0.5942
2020-10-26,6.50724
2020-10-27,7.0942
2020-10-28,7.90579
2020-10-29,7.46376
2020-10-30,7.96376
2020-10-31,0.8913
2020-11-01,0.81884
2020-11-02,6.73188
2020-11-03,6.88405
2020-11-04,6.88405
2020-11-05,7.13043
2020-11-06,6.56521
2020-11-07,0.91304
2020-11-08,0.90579
2020-11-09,6.44202
2020-11-10,6.60869
2020-11-11,6.81159
2020-11-12,7.07971
2020-11-13,6.60144
2020-11-14,1.1884
2020-11-15,0.93478
2020-11-16,8.26811
2020-11-17,7.87681
2020-11-18,7.5942
2020-11-19,12.38405
2020-11-20,10.15217
2020-11-21,2.67391
2020-11-22,2.64492
2020-11-23,12.11594
2020-11-24,9.84782
2020-11-25,9.27536
2020-11-26,11.55072
2020-11-27,9.26086
2020-11-28,1.27536
2020-11-29,1.16666
2020-11-30,8.7826
2020-12-01,10.37681
2020-12-02,11.93478
2020-12-03,13.35507
2020-12-04,25.94927
2020-12-05,8.97101
2020-12-06,8.31159
2020-12-07,24.54347
2020-12-08,19.07971
2020-12-09,17.51449
2020-12-10,16.68115
2020-12-11,17.03623
2020-12-12,2.84057
2020-12-13,2.34782
2020-12-14,13.52898
2020-12-15,12.44202
2020-12-16,18.97826
2020-12-17,15.3913
2020-12-18,12.28985
2020-12-19,2.01449
2020-12-20,3.97101
2020-12-21,12.45652
2020-12-22,11.75362
2020-12-23,36.51449
2020-12-24,26.47101
2020-12-25,4.95652
2020-12-26,4.67391
2020-12-27,3.87681
2020-12-28,30.27536
2020-12-29,28.52898
2020-12-30,23.36956
2020-12-31,7.06521
2021-01-01,6.60144
2021-01-02,5.78985
2021-01-03,6.18115
2021-01-04,31.57246
2021-01-05,31.22463
2021-01-06,29.88405
2021-01-07,32.05797
2021-01-08,34.21014
2021-01-09,7.94202
2021-01-10,6.8913
2021-01-11,35.19565
2021-01-12,32.20289
2021-01-13,32.83333
2021-01-14,28.24637
2021-01-15,23.07971
2021-01-16,3.52898
2021-01-17,3.43478
2021-01-18,20.47826
2021-01-19,23.83333
2021-01-20,39.36956
2021-01-21,44.15942
2021-01-22,38.89855
2021-01-23,8.11594
2021-01-24,9.41304
2021-01-25,50.5942
2021-01-26,84.02898
2021-01-27,63.99275
2021-01-28,44.67391
2021-01-29,38.71014
2021-01-30,5.38405
2021-01-31,4.76086
2021-02-01,34.26086
2021-02-02,33.21014
2021-02-03,37.9855
2021-02-04,35.54347
2021-02-05,30.41304
2021-02-06,5.7971
2021-02-07,4.72463
2021-02-08,27.34782
2021-02-09,24.26811
2021-02-10,24.73188
2021-02-11,5.05797
2021-02-12,3.65217
2021-02-13,3.49275
2021-02-14,4.71014
2021-02-15,27.55797
2021-02-16,23.57971
2021-02-17,25.99275
2021-02-18,32.32608
2021-02-19,51.65217
2021-02-20,15.46376
2021-02-21,11.53623
2021-02-22,45.87681
2021-02-23,35.81159
2021-02-24,32.89855
2021-02-25,35.86956
2021-02-26,32.65942
2021-02-27,13.23913
2021-02-28,11.13768
2021-03-01,11.90579
2021-03-02,41.73913
2021-03-03,39.0942
2021-03-04,40.21739
2021-03-05,30.0942
2021-03-06,4.91304
2021-03-07,5.5942
2021-03-08,33.71739
2021-03-09,31.92028
2021-03-10,34.05797
2021-03-11,31.99275
2021-03-12,34.81159
2021-03-13,6.0
2021-03-14,5.0942
2021-03-15,27.02173
2021-03-16,29.66666
2021-03-17,26.02898
2021-03-18,28.02898
2021-03-19,21.91304
2021-03-20,3.47826
2021-03-21,3.37681
2021-03-22,21.8913
2021-03-23,22.38405
2021-03-24,19.60144
2021-03-25,21.23913
2021-03-26,22.95652
2021-03-27,3.90579
2021-03-28,3.76086
2021-03-29,22.18115
2021-03-30,22.5
2021-03-31,22.7971
2021-04-01,24.76811
2021-04-02,23.35507
2021-04-03,5.03623
2021-04-04,3.71739
2021-04-05,20.39855
2021-04-06,28.36956
2021-04-07,25.56521
2021-04-08,23.11594
2021-04-09,19.71739
2021-04-10,3.11594
2021-04-11,4.21739
2021-04-12,20.2826
2021-04-13,25.26086
2021-04-14,27.04347
2021-04-15,26.45652
2021-04-16,22.66666
2021-04-17,3.41304
2021-04-18,3.71739
2021-04-19,21.04347
2021-04-20,19.23188
2021-04-21,17.78985
2021-04-22,17.68115
2021-04-23,14.83333
