date,MDS테크주가
2020-04-09,0.07874
2021-07-15,0.22497
2021-07-16,0.23622
2022-07-25,0.13498
2022-08-16,0.05624
2022-08-17,0.13498
2022-08-18,0.13498
2022-08-19,0.10123
2022-08-22,0.13498
2022-08-23,0.16872
2022-08-24,0.14623
2022-08-25,0.16872
2022-08-26,0.05624
2022-08-29,0.15748
2022-08-31,0.17997
2022-09-01,0.21372
2022-09-02,0.15748
2022-09-05,0.07874
2022-09-06,0.28121
2022-09-07,0.31496
2022-09-08,0.20247
2022-09-13,0.23622
2022-09-14,0.11248
2022-09-15,0.10123
2022-09-16,0.20247
2022-09-19,0.10123
2022-09-20,0.16872
2022-09-21,0.12373
2022-09-22,0.20247
2022-09-23,0.50618
2022-09-24,0.55118
2022-09-25,0.30371
2022-09-26,0.50618
2022-09-27,0.23622
2022-09-28,0.24746
2022-09-29,0.29246
2022-09-30,0.41619
2022-10-01,0.05624
2022-10-04,0.83239
2022-10-05,0.67491
2022-10-06,0.48368
2022-10-07,0.3487
2022-10-11,0.16872
2022-10-13,0.12373
2022-10-14,0.08998
2022-10-15,0.07874
2022-10-17,0.13498
2022-10-19,0.05624
2022-10-20,0.11248
2022-10-31,0.21372
2022-11-01,0.16872
2022-11-02,0.08998
2022-11-03,0.14623
2022-11-04,0.14623
2022-11-07,0.23622
2022-11-08,0.35995
2022-11-09,0.43869
2022-11-10,0.30371
2022-11-11,0.49493
2022-11-12,0.05624
2022-11-13,0.05624
2022-11-14,0.52868
2022-11-15,0.52868
2022-11-16,0.33745
2022-11-17,0.28121
2022-11-18,0.21372
2022-11-20,0.05624
2022-11-21,0.30371
2022-11-22,0.28121
2022-11-23,0.26996
2022-11-24,0.3937
2022-11-25,0.25871
2022-11-28,0.3487
2022-11-29,0.3937
2022-11-30,1.07986
2022-12-01,0.75365
2022-12-02,2.03599
2022-12-03,0.06749
2022-12-04,0.11248
2022-12-05,0.44994
2022-12-06,0.62992
2022-12-07,0.43869
2022-12-08,6.11923
2022-12-09,8.63892
2022-12-10,0.42744
2022-12-11,0.47244
2022-12-12,2.83464
2022-12-13,2.37345
2022-12-14,1.85601
2022-12-15,1.31608
2022-12-16,0.93363
2022-12-17,0.22497
2022-12-18,0.26996
2022-12-19,2.48593
2022-12-20,1.42857
2022-12-21,1.34983
2022-12-22,1.12485
2022-12-23,1.5298
2022-12-24,0.20247
2022-12-25,0.19122
2022-12-26,47.85151
2022-12-27,23.09336
2022-12-28,7.51406
2022-12-29,4.60067
2022-12-30,1.30483
2022-12-31,0.57367
2023-01-01,0.94488
2023-01-02,4.62317
2023-01-03,4.57817
2023-01-04,4.52193
2023-01-05,3.81327
2023-01-06,4.40944
2023-01-07,0.66366
2023-01-08,0.75365
