date,MMF금리
2020-03-20,38.24884
2020-03-21,24.65437
2020-03-22,24.65437
2020-03-23,56.22119
2020-03-24,35.9447
2020-03-25,28.57142
2020-03-26,30.41474
2020-03-27,30.41474
2020-03-28,14.05529
2020-03-29,12.21198
2020-03-30,27.18894
2020-03-31,22.35023
2020-04-01,23.27188
2020-04-02,23.96313
2020-04-03,15.89861
2020-04-04,6.45161
2020-04-05,12.67281
2020-04-06,17.05069
2020-04-07,23.27188
2020-04-08,12.67281
2020-04-09,17.74193
2020-04-10,19.81566
2020-04-11,12.67281
2020-04-12,13.59447
2020-04-13,19.12442
2020-04-14,19.81566
2020-04-15,25.1152
2020-04-16,27.18894
2020-04-17,22.81105
2020-04-18,12.67281
2020-04-19,14.74654
2020-04-20,12.21198
2020-04-21,15.43778
2020-04-22,23.96313
2020-04-23,15.43778
2020-04-24,16.82027
2020-04-25,11.75115
2020-04-26,5.29953
2020-04-27,14.74654
2020-04-28,11.52073
2020-04-29,11.29032
2020-04-30,8.52534
2020-05-01,5.99078
2020-05-02,7.14285
2020-05-03,5.29953
2020-05-04,12.44239
2020-05-05,8.75576
2020-05-06,17.2811
2020-05-07,14.28571
2020-05-08,14.74654
2020-05-09,9.447
2020-05-10,8.29493
2020-05-11,16.12903
2020-05-12,17.05069
2020-05-13,14.28571
2020-05-14,17.05069
2020-05-15,11.0599
2020-05-16,8.52534
2020-05-17,8.29493
2020-05-18,14.97695
2020-05-19,16.35944
2020-05-20,11.29032
2020-05-21,16.35944
2020-05-22,14.28571
2020-05-23,4.60829
2020-05-24,8.06451
2020-05-25,12.90322
2020-05-26,16.35944
2020-05-27,11.98156
2020-05-28,14.97695
2020-05-29,14.51612
2020-05-30,8.29493
2020-05-31,20.27649
2020-06-01,29.49308
2020-06-02,24.19354
2020-06-03,21.65898
2020-06-04,20.50691
2020-06-05,17.97235
2020-06-06,5.99078
2020-06-07,7.14285
2020-06-08,21.8894
2020-06-09,16.12903
2020-06-10,17.74193
2020-06-11,11.75115
2020-06-12,11.29032
2020-06-13,5.76036
2020-06-14,5.29953
2020-06-15,16.82027
2020-06-16,11.98156
2020-06-17,6.91244
2020-06-18,14.74654
2020-06-19,11.0599
2020-06-20,3.45622
2020-06-21,7.60368
2020-06-22,11.75115
2020-06-23,11.52073
2020-06-24,13.13364
2020-06-25,13.13364
2020-06-26,11.52073
2020-06-27,14.74654
2020-06-28,11.52073
2020-06-29,12.90322
2020-06-30,16.12903
2020-07-01,13.13364
2020-07-02,17.74193
2020-07-03,14.05529
2020-07-04,6.45161
2020-07-05,5.29953
2020-07-06,10.59907
2020-07-07,16.82027
2020-07-08,15.20737
2020-07-09,13.82488
2020-07-10,11.29032
2020-07-11,8.06451
2020-07-12,6.68202
2020-07-13,14.74654
2020-07-14,14.28571
2020-07-15,14.28571
2020-07-16,11.98156
2020-07-17,13.13364
2020-07-18,5.76036
2020-07-19,8.75576
2020-07-20,16.58986
2020-07-21,18.43317
2020-07-22,15.20737
2020-07-23,15.89861
2020-07-24,15.6682
2020-07-25,7.8341
2020-07-26,10.36866
2020-07-27,18.43317
2020-07-28,11.98156
2020-07-29,12.21198
2020-07-30,10.59907
2020-07-31,12.44239
2020-08-01,4.8387
2020-08-02,4.60829
2020-08-03,14.51612
2020-08-04,13.13364
2020-08-05,12.67281
2020-08-06,13.82488
2020-08-07,14.74654
2020-08-08,5.76036
2020-08-09,5.99078
2020-08-10,15.6682
2020-08-11,10.59907
2020-08-12,12.67281
2020-08-13,15.43778
2020-08-14,9.90783
2020-08-15,6.45161
2020-08-16,3.91705
2020-08-17,8.29493
2020-08-18,12.21198
2020-08-19,12.21198
2020-08-20,13.82488
2020-08-21,8.52534
2020-08-22,4.8387
2020-08-23,7.37327
2020-08-24,10.82949
2020-08-25,11.98156
2020-08-26,13.13364
2020-08-27,18.894
2020-08-28,12.67281
2020-08-29,8.06451
2020-08-30,3.91705
2020-08-31,12.44239
2020-09-01,18.43317
2020-09-02,14.05529
2020-09-03,14.97695
2020-09-04,18.66359
2020-09-05,6.68202
2020-09-06,6.45161
2020-09-07,14.97695
2020-09-08,15.43778
2020-09-09,15.20737
2020-09-10,14.28571
2020-09-11,14.28571
2020-09-12,5.52995
2020-09-13,6.68202
2020-09-14,10.59907
2020-09-15,18.20276
2020-09-16,14.05529
2020-09-17,10.82949
2020-09-18,13.82488
2020-09-19,8.06451
2020-09-20,2.99539
2020-09-21,8.06451
2020-09-22,9.90783
2020-09-23,11.29032
2020-09-24,7.14285
2020-09-25,10.59907
2020-09-26,4.8387
2020-09-27,3.45622
2020-09-28,10.36866
2020-09-29,10.36866
2020-09-30,4.37788
2020-10-01,4.60829
2020-10-02,4.60829
2020-10-03,3.91705
2020-10-04,6.22119
2020-10-05,11.98156
2020-10-06,16.82027
2020-10-07,12.67281
2020-10-08,13.82488
2020-10-09,5.99078
2020-10-10,4.14746
2020-10-11,4.8387
2020-10-12,8.52534
2020-10-13,10.36866
2020-10-14,14.05529
2020-10-15,11.52073
2020-10-16,11.0599
2020-10-17,7.8341
2020-10-18,8.06451
2020-10-19,11.75115
2020-10-20,17.97235
2020-10-21,15.6682
2020-10-22,13.59447
2020-10-23,8.75576
2020-10-24,2.76497
