date,NH농협증권
2020-03-20,59.69932
2020-03-21,18.81668
2020-03-22,19.39864
2020-03-23,47.47817
2020-03-24,47.38118
2020-03-25,54.31619
2020-03-26,47.47817
2020-03-27,47.28419
2020-03-28,15.42192
2020-03-29,15.90688
2020-03-30,36.76042
2020-03-31,36.56644
2020-04-01,28.85548
2020-04-02,26.57613
2020-04-03,25.6547
2020-04-04,10.81474
2020-04-05,10.42677
2020-04-06,27.20659
2020-04-07,26.62463
2020-04-08,24.87875
2020-04-09,24.2483
2020-04-10,23.08438
2020-04-11,9.16585
2020-04-12,10.76624
2020-04-13,22.25994
2020-04-14,19.15615
2020-04-15,9.8933
2020-04-16,17.36178
2020-04-17,22.7934
2020-04-18,8.14742
2020-04-19,8.63239
2020-04-20,22.93889
2020-04-21,20.56256
2020-04-22,24.2483
2020-04-23,19.8836
2020-04-24,19.8836
2020-04-25,7.51697
2020-04-26,7.71096
2020-04-27,19.78661
2020-04-28,19.05916
2020-04-29,16.44034
2020-04-30,7.90494
2020-05-01,7.27449
2020-05-02,4.75266
2020-05-03,7.17749
2020-05-04,20.56256
2020-05-05,6.40155
2020-05-06,18.08923
2020-05-07,16.58583
2020-05-08,16.05237
2020-05-09,8.77788
2020-05-10,6.88651
2020-05-11,19.05916
2020-05-12,17.60426
2020-05-13,17.74975
2020-05-14,18.13773
2020-05-15,18.08923
2020-05-16,6.54704
2020-05-17,6.54704
2020-05-18,19.54413
2020-05-19,20.51406
2020-05-20,22.06595
2020-05-21,20.65955
2020-05-22,15.90688
2020-05-23,6.88651
2020-05-24,7.22599
2020-05-25,21.82347
2020-05-26,19.64112
2020-05-27,20.36857
2020-05-28,18.18622
2020-05-29,15.13094
2020-05-30,6.35305
2020-05-31,7.56547
2020-06-01,17.99224
2020-06-02,21.3385
2020-06-03,22.93889
2020-06-04,20.99903
2020-06-05,18.4287
2020-06-06,8.68089
2020-06-07,9.50533
2020-06-08,24.87875
2020-06-09,20.07759
2020-06-10,20.32007
2020-06-11,23.32686
2020-06-12,20.22308
2020-06-13,7.46847
2020-06-14,9.45683
2020-06-15,23.61784
2020-06-16,23.71483
2020-06-17,26.72162
2020-06-18,26.04267
2020-06-19,24.53928
2020-06-20,10.28128
2020-06-21,10.71774
2020-06-22,39.08826
2020-06-23,43.45295
2020-06-24,38.84578
2020-06-25,21.92046
2020-06-26,22.16294
2020-06-27,6.74102
2020-06-28,6.69253
2020-06-29,19.15615
2020-06-30,16.34335
2020-07-01,18.13773
2020-07-02,18.4287
2020-07-03,17.16779
2020-07-04,6.54704
2020-07-05,7.80795
2020-07-06,21.53249
2020-07-07,19.10766
2020-07-08,24.73326
2020-07-09,23.76333
2020-07-10,16.34335
