date,NH투자증권고객센터
2020-03-20,4.81171
2020-03-23,6.06694
2020-03-24,3.97489
2020-03-25,5.02092
2020-03-26,7.53138
2020-03-27,5.23012
2020-03-30,5.85774
2020-03-31,5.85774
2020-04-01,3.13807
2020-04-02,2.92887
2020-04-03,3.34728
2020-04-06,5.85774
2020-04-07,2.30125
2020-04-08,3.97489
2020-04-09,1.67364
2020-04-14,3.97489
2020-04-16,4.1841
2020-04-17,3.13807
2020-04-20,1.46443
2020-04-21,3.34728
2020-04-22,1.04602
2020-04-23,2.30125
2020-04-24,3.97489
2020-04-25,1.04602
2020-04-27,1.25523
2020-04-29,1.25523
2020-05-02,1.46443
2020-05-04,3.34728
2020-05-06,1.04602
2020-05-07,2.51046
2020-05-08,1.67364
2020-05-11,2.71966
2020-05-12,3.76569
2020-05-13,2.09205
2020-05-14,2.92887
2020-05-15,2.09205
2020-05-18,3.34728
2020-05-19,3.97489
2020-05-20,1.88284
2020-05-21,1.88284
2020-05-22,1.04602
2020-05-25,3.55648
2020-05-26,2.09205
2020-05-27,1.88284
2020-05-28,1.25523
2020-05-29,1.46443
2020-06-01,1.25523
2020-06-02,1.04602
2020-06-03,1.04602
2020-06-04,1.88284
2020-06-05,1.67364
2020-06-08,2.30125
2020-06-09,1.46443
2020-06-10,1.67364
2020-06-11,2.09205
2020-06-12,2.71966
2020-06-15,3.97489
2020-06-16,2.92887
2020-06-17,4.60251
2020-06-18,5.02092
2020-06-19,4.81171
2020-06-22,7.74058
2020-06-23,13.17991
2020-06-24,10.25104
2020-06-25,2.09205
2020-06-26,4.81171
2020-06-29,2.71966
2020-06-30,2.09205
2020-07-01,2.30125
2020-07-02,3.55648
2020-07-03,3.76569
2020-07-06,3.76569
2020-07-07,5.85774
2020-07-08,3.76569
2020-07-09,6.27615
2020-07-10,3.55648
2020-07-11,1.04602
2020-07-13,1.88284
2020-07-14,3.34728
2020-07-15,3.34728
2020-07-16,11.92468
2020-07-17,5.64853
2020-07-20,3.97489
2020-07-21,4.1841
2020-07-22,4.60251
2020-07-23,4.3933
2020-07-24,3.76569
2020-07-27,2.92887
2020-07-28,6.27615
2020-07-29,3.34728
2020-07-30,5.43933
2020-07-31,5.02092
2020-08-03,1.88284
2020-08-04,2.30125
2020-08-05,4.60251
