date,NPL
2020-03-20,38.67924
2020-03-21,21.02425
2020-03-22,20.48517
2020-03-23,39.48787
2020-03-24,40.02695
2020-03-25,40.7008
2020-03-26,41.6442
2020-03-27,40.56603
2020-03-28,25.47169
2020-03-29,22.77628
2020-03-30,40.43126
2020-03-31,42.85714
2020-04-01,36.92722
2020-04-02,44.74393
2020-04-03,34.36657
2020-04-04,26.01078
2020-04-05,25.33692
2020-04-06,40.83557
2020-04-07,45.95687
2020-04-08,83.42318
2020-04-09,100.0
2020-04-10,62.26415
2020-04-11,39.89218
2020-04-12,38.27493
2020-04-13,64.69002
2020-04-14,61.05121
2020-04-15,41.37466
2020-04-16,56.87331
2020-04-17,41.77897
2020-04-18,30.59299
2020-04-19,31.80592
2020-04-20,59.16442
2020-04-21,56.73854
2020-04-22,53.50404
2020-04-23,51.88679
2020-04-24,44.8787
2020-04-25,28.70619
2020-04-26,25.06738
2020-04-27,49.86522
2020-04-28,42.04851
2020-04-29,47.30458
2020-04-30,24.93261
2020-05-01,26.14555
2020-05-02,27.22371
2020-05-03,29.11051
2020-05-04,40.29649
2020-05-05,28.30188
2020-05-06,48.24797
2020-05-07,49.32614
2020-05-08,37.33153
2020-05-09,28.16711
2020-05-10,25.60646
2020-05-11,42.72237
2020-05-12,46.90026
2020-05-13,47.43935
2020-05-14,44.47439
2020-05-15,37.4663
2020-05-16,30.86253
2020-05-17,24.5283
2020-05-18,47.70889
2020-05-19,46.49595
2020-05-20,41.6442
2020-05-21,45.14824
2020-05-22,36.11859
2020-05-23,24.12398
2020-05-24,28.57142
2020-05-25,43.39622
2020-05-26,42.04851
2020-05-27,44.47439
2020-05-28,39.35309
2020-05-29,38.67924
2020-05-30,28.57142
2020-05-31,26.8194
2020-06-01,41.91374
2020-06-02,40.29649
2020-06-03,43.9353
2020-06-04,42.04851
2020-06-05,38.81401
2020-06-06,23.18059
2020-06-07,21.96765
2020-06-08,45.8221
2020-06-09,46.90026
2020-06-10,45.95687
2020-06-11,45.95687
2020-06-12,39.89218
2020-06-13,21.42857
2020-06-14,19.94609
2020-06-15,37.4663
2020-06-16,41.37466
2020-06-17,37.73584
2020-06-18,40.02695
2020-06-19,44.60916
2020-06-20,24.5283
2020-06-21,22.37196
2020-06-22,51.3477
2020-06-23,57.81671
2020-06-24,46.63072
2020-06-25,49.46091
2020-06-26,40.16172
2020-06-27,21.2938
2020-06-28,30.9973
2020-06-29,50.13477
2020-06-30,37.87061
2020-07-01,39.62264
2020-07-02,39.89218
2020-07-03,35.44474
2020-07-04,19.27223
2020-07-05,18.19407
2020-07-06,38.4097
2020-07-07,45.55256
2020-07-08,40.83557
2020-07-09,40.97035
2020-07-10,38.4097
2020-07-11,21.15902
2020-07-12,20.48517
2020-07-13,33.42318
2020-07-14,36.25336
2020-07-15,40.16172
2020-07-16,42.72237
2020-07-17,42.99191
2020-07-18,27.7628
2020-07-19,27.62803
2020-07-20,50.94339
2020-07-21,60.37735
2020-07-22,53.09973
2020-07-23,47.30458
2020-07-24,42.04851
2020-07-25,27.35849
2020-07-26,29.64959
2020-07-27,47.84366
2020-07-28,50.40431
2020-07-29,51.48247
2020-07-30,55.66037
2020-07-31,51.21293
2020-08-01,26.8194
2020-08-02,29.78436
2020-08-03,43.53099
2020-08-04,42.5876
2020-08-05,41.23989
2020-08-06,40.02695
2020-08-07,35.57951
2020-08-08,22.91105
2020-08-09,24.25876
2020-08-10,35.57951
2020-08-11,36.65768
2020-08-12,38.4097
2020-08-13,42.45283
2020-08-14,41.50943
2020-08-15,18.46361
2020-08-16,15.36388
2020-08-17,22.6415
2020-08-18,31.40161
2020-08-19,34.63611
2020-08-20,41.6442
2020-08-21,34.63611
2020-08-22,23.85444
2020-08-23,25.33692
2020-08-24,40.56603
2020-08-25,38.4097
2020-08-26,32.61455
2020-08-27,39.21832
2020-08-28,30.0539
2020-08-29,20.88948
2020-08-30,18.32884
2020-08-31,37.19676
2020-09-01,41.50943
2020-09-02,34.63611
2020-09-03,45.41778
2020-09-04,35.1752
