date,P2P
2020-03-20,20.95837
2020-03-21,18.73184
2020-03-22,18.34462
2020-03-23,43.27202
2020-03-24,33.22846
2020-03-25,27.97676
2020-03-26,24.39496
2020-03-27,25.24201
2020-03-28,16.45692
2020-03-29,16.94094
2020-03-30,36.68925
2020-03-31,28.21878
2020-04-01,22.82187
2020-04-02,23.2575
2020-04-03,21.17618
2020-04-04,14.56921
2020-04-05,17.9816
2020-04-06,21.82962
2020-04-07,22.84607
2020-04-08,22.91868
2020-04-09,23.66892
2020-04-10,19.11907
2020-04-11,16.52952
2020-04-12,16.48112
2020-04-13,21.73281
2020-04-14,30.4695
2020-04-15,100.0
2020-04-16,25.67763
2020-04-17,24.58857
2020-04-18,47.33785
2020-04-19,19.33688
2020-04-20,23.71732
2020-04-21,28.36398
2020-04-22,28.53339
2020-04-23,23.78993
2020-04-24,24.27395
2020-04-25,19.16747
2020-04-26,18.61084
2020-04-27,21.85382
2020-04-28,20.64375
2020-04-29,20.71636
2020-04-30,14.3998
2020-05-01,16.2391
2020-05-02,15.44046
2020-05-03,19.53049
2020-05-04,39.71442
2020-05-05,18.27202
2020-05-06,24.97579
2020-05-07,22.07163
2020-05-08,21.20038
2020-05-09,16.31171
2020-05-10,16.1907
2020-05-11,22.48305
2020-05-12,21.515
2020-05-13,20.45014
2020-05-14,19.60309
2020-05-15,19.19167
2020-05-16,17.03775
2020-05-17,16.40851
2020-05-18,20.93417
2020-05-19,23.3785
2020-05-20,22.60406
2020-05-21,22.16844
2020-05-22,20.47434
2020-05-23,18.90125
2020-05-24,19.7725
2020-05-25,23.47531
2020-05-26,24.87899
2020-05-27,19.99031
2020-05-28,20.71636
2020-05-29,21.4666
2020-05-30,18.27202
2020-05-31,20.23233
2020-06-01,24.54017
2020-06-02,31.17134
2020-06-03,25.0968
2020-06-04,27.73475
2020-06-05,23.95934
2020-06-06,19.40948
2020-06-07,18.0058
2020-06-08,22.43465
2020-06-09,23.18489
2020-06-10,22.99128
2020-06-11,23.01548
2020-06-12,21.07938
2020-06-13,16.02129
2020-06-14,14.13359
2020-06-15,22.38625
2020-06-16,21.78121
2020-06-17,20.45014
2020-06-18,22.21684
2020-06-19,21.61181
2020-06-20,15.90029
2020-06-21,16.91674
2020-06-22,22.60406
2020-06-23,21.34559
2020-06-24,25.26621
2020-06-25,21.66021
2020-06-26,21.92642
2020-06-27,14.08518
2020-06-28,14.95643
2020-06-29,20.18393
2020-06-30,23.81413
2020-07-01,27.75895
2020-07-02,22.74927
2020-07-03,22.16844
2020-07-04,13.79477
2020-07-05,16.0939
2020-07-06,21.68441
2020-07-07,21.17618
2020-07-08,22.79767
2020-07-09,22.33785
2020-07-10,25.0484
2020-07-11,18.82865
2020-07-12,18.92545
2020-07-13,28.94482
2020-07-14,26.37947
2020-07-15,27.46853
2020-07-16,32.98644
2020-07-17,25.96805
2020-07-18,16.52952
2020-07-19,17.13455
2020-07-20,28.84801
2020-07-21,29.06582
2020-07-22,62.87512
2020-07-23,27.95256
2020-07-24,22.79767
2020-07-25,16.94094
2020-07-26,16.04549
2020-07-27,27.66214
2020-07-28,25.0726
2020-07-29,24.24975
2020-07-30,21.36979
2020-07-31,20.32913
2020-08-01,15.44046
2020-08-02,15.46466
2020-08-03,22.57986
2020-08-04,18.78025
2020-08-05,22.19264
2020-08-06,21.32139
2020-08-07,22.41045
2020-08-08,20.28073
2020-08-09,19.8209
2020-08-10,24.95159
2020-08-11,25.21781
2020-08-12,23.95934
2020-08-13,19.57889
2020-08-14,18.12681
2020-08-15,13.23814
2020-08-16,17.23136
2020-08-17,20.59535
2020-08-18,24.95159
2020-08-19,25.0242
2020-08-20,24.00774
2020-08-21,21.4666
2020-08-22,15.41626
2020-08-23,16.1181
2020-08-24,22.99128
2020-08-25,26.54888
2020-08-26,32.74443
2020-08-27,52.56534
2020-08-28,26.25847
2020-08-29,18.70764
2020-08-30,18.03
2020-08-31,23.49951
2020-09-01,23.98354
2020-09-02,46.5392
2020-09-03,29.64666
2020-09-04,25.82284
2020-09-05,19.43368
2020-09-06,20.37754
2020-09-07,24.34656
2020-09-08,21.85382
2020-09-09,24.56437
2020-09-10,23.45111
2020-09-11,24.56437
2020-09-12,22.19264
2020-09-13,19.62729
2020-09-14,25.1694
2020-09-15,24.95159
2020-09-16,24.75798
2020-09-17,22.33785
2020-09-18,23.16069
2020-09-19,17.40077
2020-09-20,18.99806
2020-09-21,23.52371
2020-09-22,25.96805
2020-09-23,30.92933
2020-09-24,22.28944
2020-09-25,19.38528
2020-09-26,14.76282
2020-09-27,19.60309
2020-09-28,21.90222
2020-09-29,18.36882
2020-09-30,15.27105
2020-10-01,15.36786
2020-10-02,18.03
2020-10-03,19.7483
2020-10-04,23.88673
2020-10-05,25.41142
2020-10-06,19.99031
2020-10-07,19.91771
2020-10-08,18.0058
2020-10-09,13.72216
2020-10-10,12.36689
2020-10-11,13.84317
2020-10-12,20.18393
2020-10-13,20.93417
2020-10-14,17.54598
2020-10-15,19.14327
2020-10-16,15.97289
2020-10-17,16.2391
2020-10-18,14.54501
2020-10-19,20.90997
2020-10-20,22.24104
2020-10-21,24.68538
2020-10-22,20.13552
2020-10-23,17.20716
2020-10-24,13.74636
2020-10-25,15.77928
2020-10-26,18.61084
2020-10-27,18.99806
2020-10-28,20.40174
2020-10-29,18.78025
2020-10-30,17.32817
2020-10-31,12.89932
2020-11-01,15.68247
2020-11-02,18.0058
2020-11-03,18.03
2020-11-04,19.6757
2020-11-05,16.79574
2020-11-06,15.58567
2020-11-07,13.91577
2020-11-08,15.36786
2020-11-09,17.9816
2020-11-10,17.73959
2020-11-11,17.57018
2020-11-12,16.89254
2020-11-13,17.76379
2020-11-14,13.43175
2020-11-15,14.424
2020-11-16,18.68344
2020-11-17,19.6757
2020-11-18,18.70764
2020-11-19,18.68344
2020-11-20,17.47337
2020-11-21,13.67376
2020-11-22,14.73862
2020-11-23,20.18393
2020-11-24,17.66698
2020-11-25,17.23136
2020-11-26,19.16747
2020-11-27,17.03775
2020-11-28,15.22265
2020-11-29,15.10164
2020-11-30,19.19167
2020-12-01,18.17521
2020-12-02,17.78799
2020-12-03,18.80445
2020-12-04,17.08615
2020-12-05,16.69893
2020-12-06,16.2149
2020-12-07,18.41723
2020-12-08,17.83639
2020-12-09,21.00677
2020-12-10,22.33785
2020-12-11,19.19167
2020-12-12,16.67473
2020-12-13,22.94288
2020-12-14,22.65246
2020-12-15,22.41045
2020-12-16,22.55566
2020-12-17,20.28073
2020-12-18,19.57889
2020-12-19,16.2149
2020-12-20,14.90803
2020-12-21,18.97386
2020-12-22,19.33688
2020-12-23,19.33688
2020-12-24,16.50532
2020-12-25,15.90029
2020-12-26,17.32817
2020-12-27,17.25556
2020-12-28,23.11229
2020-12-29,20.76476
2020-12-30,19.94191
2020-12-31,17.35237
2021-01-01,15.70667
2021-01-02,16.1665
2021-01-03,17.40077
2021-01-04,21.61181
2021-01-05,20.83736
2021-01-06,20.25653
2021-01-07,20.08712
2021-01-08,19.96611
2021-01-09,16.72313
2021-01-10,17.01355
2021-01-11,20.13552
2021-01-12,29.18683
2021-01-13,25.19361
2021-01-14,22.31364
2021-01-15,21.07938
2021-01-16,16.65053
2021-01-17,17.13455
2021-01-18,21.5876
2021-01-19,26.16166
2021-01-20,24.83059
2021-01-21,30.4453
2021-01-22,30.80832
2021-01-23,22.14424
2021-01-24,20.95837
2021-01-25,24.63697
2021-01-26,22.57986
