date,P2P대출
2020-03-20,13.20056
2020-03-21,8.1081
2020-03-22,7.82361
2020-03-23,41.19487
2020-03-24,21.62162
2020-03-25,17.21194
2020-03-26,14.99288
2020-03-27,10.52631
2020-03-28,7.31152
2020-03-29,7.14082
2020-03-30,19.11806
2020-03-31,13.22901
2020-04-01,13.37126
2020-04-02,11.57894
2020-04-03,10.12802
2020-04-04,5.83214
2020-04-05,5.74679
2020-04-06,10.75391
2020-04-07,11.55049
2020-04-08,12.88762
2020-04-09,10.78236
2020-04-10,11.43669
2020-04-11,5.71834
2020-04-12,5.4623
2020-04-13,11.266
2020-04-14,14.05405
2020-04-15,55.98862
2020-04-16,13.9118
2020-04-17,12.63157
2020-04-18,11.52204
2020-04-19,6.74253
2020-04-20,13.08677
2020-04-21,17.92318
2020-04-22,15.36273
2020-04-23,12.74537
2020-04-24,12.66002
2020-04-25,6.40113
2020-04-26,6.34423
2020-04-27,12.63157
2020-04-28,13.22901
2020-04-29,14.65149
2020-04-30,7.11237
2020-05-01,6.05974
2020-05-02,4.66571
2020-05-03,8.5064
2020-05-04,100.0
2020-05-05,17.98008
2020-05-06,25.20625
2020-05-07,19.26031
2020-05-08,15.22048
2020-05-09,8.79089
2020-05-10,8.87624
2020-05-11,17.58179
2020-05-12,14.79374
2020-05-13,16.24466
2020-05-14,14.87908
2020-05-15,12.68847
2020-05-16,7.33997
2020-05-17,7.56756
2020-05-18,15.39118
2020-05-19,13.05832
2020-05-20,15.02133
2020-05-21,14.99288
2020-05-22,12.09103
2020-05-23,8.90469
2020-05-24,6.79943
2020-05-25,15.50497
2020-05-26,14.0825
2020-05-27,13.34281
2020-05-28,12.85917
2020-05-29,12.46088
2020-05-30,6.40113
2020-05-31,6.68563
2020-06-01,15.02133
2020-06-02,15.76102
2020-06-03,14.53769
2020-06-04,15.02133
2020-06-05,13.22901
2020-06-06,6.85633
2020-06-07,7.59601
2020-06-08,13.798
2020-06-09,14.0256
2020-06-10,12.23328
2020-06-11,12.77382
2020-06-12,13.34281
2020-06-13,9.87197
2020-06-14,7.68136
2020-06-15,15.67567
2020-06-16,15.16358
2020-06-17,19.37411
2020-06-18,14.79374
2020-06-19,13.68421
2020-06-20,7.79516
2020-06-21,7.11237
2020-06-22,15.04978
2020-06-23,15.76102
2020-06-24,16.04551
2020-06-25,14.48079
2020-06-26,24.03982
2020-06-27,7.82361
2020-06-28,7.42532
2020-06-29,15.30583
2020-06-30,21.93456
2020-07-01,25.1778
2020-07-02,17.86628
2020-07-03,15.02133
2020-07-04,8.47795
2020-07-05,6.79943
2020-07-06,15.78947
2020-07-07,16.69985
2020-07-08,16.7852
2020-07-09,17.29729
2020-07-10,16.07396
2020-07-11,9.50213
2020-07-12,9.70128
2020-07-13,16.30156
2020-07-14,16.50071
2020-07-15,17.66714
2020-07-16,19.91465
2020-07-17,16.07396
2020-07-18,7.16927
2020-07-19,7.76671
2020-07-20,18.17923
2020-07-21,20.22759
2020-07-22,27.99431
2020-07-23,16.7283
2020-07-24,13.7411
2020-07-25,7.56756
2020-07-26,8.3926
2020-07-27,18.32147
2020-07-28,15.44807
2020-07-29,14.33854
2020-07-30,13.99715
2020-07-31,11.49359
2020-08-01,6.91322
2020-08-02,6.74253
2020-08-03,13.22901
2020-08-04,12.43243
2020-08-05,13.99715
2020-08-06,13.34281
2020-08-07,12.88762
2020-08-08,9.10384
2020-08-09,8.84779
2020-08-10,15.39118
2020-08-11,14.90753
2020-08-12,14.76529
2020-08-13,14.31009
2020-08-14,11.66429
2020-08-15,6.34423
2020-08-16,14.0256
2020-08-17,19.63015
2020-08-18,31.66429
2020-08-19,24.21052
2020-08-20,23.38549
2020-08-21,16.18776
2020-08-22,8.64864
2020-08-23,8.25035
2020-08-24,17.21194
2020-08-25,17.98008
2020-08-26,22.56045
2020-08-27,30.32716
2020-08-28,14.50924
2020-08-29,7.11237
2020-08-30,6.85633
2020-08-31,13.62731
2020-09-01,14.39544
2020-09-02,17.78093
2020-09-03,13.42816
2020-09-04,12.09103
2020-09-05,6.97012
2020-09-06,6.60028
2020-09-07,12.06258
2020-09-08,13.76955
2020-09-09,13.37126
2020-09-10,13.25746
2020-09-11,11.89189
2020-09-12,5.88904
2020-09-13,6.57183
2020-09-14,14.22475
2020-09-15,13.37126
2020-09-16,13.45661
2020-09-17,11.57894
2020-09-18,11.23755
2020-09-19,6.54338
2020-09-20,7.11237
2020-09-21,13.94025
2020-09-22,12.29018
2020-09-23,11.43669
2020-09-24,10.35561
2020-09-25,9.30298
2020-09-26,6.34423
2020-09-27,6.00284
2020-09-28,11.46514
2020-09-29,10.8677
2020-09-30,4.92176
2020-10-01,3.89758
2020-10-02,5.5761
2020-10-03,5.94594
2020-10-04,6.54338
2020-10-05,13.57041
2020-10-06,12.48933
2020-10-07,13.28591
2020-10-08,10.35561
