date,RMS
2020-03-20,60.84507
2020-03-21,26.76056
2020-03-22,25.07042
2020-03-23,76.05633
2020-03-24,83.09859
2020-03-25,74.64788
2020-03-26,83.38028
2020-03-27,67.32394
2020-03-28,30.98591
2020-03-29,37.46478
2020-03-30,80.56338
2020-03-31,85.6338
2020-04-01,70.42253
2020-04-02,80.28169
2020-04-03,74.92957
2020-04-04,32.67605
2020-04-05,35.77464
2020-04-06,83.66197
2020-04-07,90.14084
2020-04-08,80.56338
2020-04-09,85.91549
2020-04-10,70.70422
2020-04-11,35.21126
2020-04-12,35.49295
2020-04-13,87.88732
2020-04-14,74.92957
2020-04-15,37.46478
2020-04-16,93.80281
2020-04-17,65.6338
2020-04-18,29.29577
2020-04-19,31.2676
2020-04-20,78.02816
2020-04-21,86.76056
2020-04-22,82.8169
2020-04-23,89.01408
2020-04-24,72.67605
2020-04-25,32.39436
2020-04-26,38.59154
2020-04-27,74.92957
2020-04-28,82.53521
2020-04-29,65.07042
2020-04-30,40.0
2020-05-01,37.46478
2020-05-02,30.98591
2020-05-03,35.77464
2020-05-04,45.91549
2020-05-05,42.25352
2020-05-06,80.0
2020-05-07,81.12676
2020-05-08,77.46478
2020-05-09,38.02816
2020-05-10,33.80281
2020-05-11,77.18309
2020-05-12,76.33802
2020-05-13,78.87323
2020-05-14,78.87323
2020-05-15,79.15492
2020-05-16,34.36619
2020-05-17,41.12676
2020-05-18,85.6338
2020-05-19,94.0845
2020-05-20,89.29577
2020-05-21,86.19718
2020-05-22,67.60563
2020-05-23,26.47887
2020-05-24,37.18309
2020-05-25,78.02816
2020-05-26,87.04225
2020-05-27,81.12676
2020-05-28,81.97183
2020-05-29,66.19718
2020-05-30,31.83098
2020-05-31,33.80281
2020-06-01,75.21126
2020-06-02,75.49295
2020-06-03,80.0
2020-06-04,76.61971
2020-06-05,64.22535
2020-06-06,30.14084
2020-06-07,32.67605
2020-06-08,80.28169
2020-06-09,95.77464
2020-06-10,75.49295
2020-06-11,73.80281
2020-06-12,59.43661
2020-06-13,36.61971
2020-06-14,34.36619
2020-06-15,85.91549
2020-06-16,85.07042
2020-06-17,87.60563
2020-06-18,76.9014
2020-06-19,68.4507
2020-06-20,34.0845
2020-06-21,36.61971
2020-06-22,77.18309
2020-06-23,80.56338
2020-06-24,86.76056
2020-06-25,86.19718
2020-06-26,69.57746
2020-06-27,24.50704
2020-06-28,33.52112
2020-06-29,71.54929
2020-06-30,70.70422
2020-07-01,70.70422
2020-07-02,63.38028
2020-07-03,55.49295
2020-07-04,25.91549
2020-07-05,20.56338
2020-07-06,64.50704
2020-07-07,69.85915
2020-07-08,72.67605
2020-07-09,58.87323
2020-07-10,56.33802
2020-07-11,22.53521
2020-07-12,13.80281
2020-07-13,62.8169
2020-07-14,72.11267
2020-07-15,67.88732
2020-07-16,61.97183
2020-07-17,52.67605
2020-07-18,21.40845
2020-07-19,17.74647
2020-07-20,59.7183
2020-07-21,77.18309
2020-07-22,52.67605
2020-07-23,65.91549
2020-07-24,56.33802
2020-07-25,20.84507
2020-07-26,17.74647
2020-07-27,49.85915
2020-07-28,56.33802
2020-07-29,63.38028
2020-07-30,62.25352
2020-07-31,39.43661
2020-08-01,15.77464
2020-08-02,18.87323
2020-08-03,45.07042
2020-08-04,49.57746
2020-08-05,45.07042
2020-08-06,54.36619
2020-08-07,46.47887
2020-08-08,15.49295
2020-08-09,16.61971
2020-08-10,50.70422
2020-08-11,52.95774
2020-08-12,56.33802
2020-08-13,59.15492
2020-08-14,39.7183
2020-08-15,19.43661
2020-08-16,14.0845
2020-08-17,21.69014
2020-08-18,54.36619
2020-08-19,72.39436
2020-08-20,46.19718
2020-08-21,49.29577
2020-08-22,16.33802
2020-08-23,17.18309
2020-08-24,65.07042
2020-08-25,56.33802
2020-08-26,62.8169
2020-08-27,49.57746
2020-08-28,48.73239
2020-08-29,25.6338
2020-08-30,22.25352
2020-08-31,51.2676
2020-09-01,65.91549
2020-09-02,65.91549
2020-09-03,65.07042
2020-09-04,59.43661
2020-09-05,24.22535
2020-09-06,23.94366
2020-09-07,79.43661
2020-09-08,82.53521
2020-09-09,74.64788
2020-09-10,67.32394
2020-09-11,65.35211
2020-09-12,32.11267
2020-09-13,30.70422
2020-09-14,83.09859
2020-09-15,83.38028
2020-09-16,75.77464
2020-09-17,84.50704
2020-09-18,69.01408
2020-09-19,29.29577
2020-09-20,32.39436
2020-09-21,70.70422
2020-09-22,94.92957
2020-09-23,65.35211
2020-09-24,79.15492
2020-09-25,70.42253
2020-09-26,33.52112
2020-09-27,29.29577
2020-09-28,67.88732
2020-09-29,60.84507
2020-09-30,28.73239
2020-10-01,25.91549
2020-10-02,20.56338
2020-10-03,27.88732
2020-10-04,33.52112
2020-10-05,72.95774
2020-10-06,86.19718
2020-10-07,66.76056
2020-10-08,75.77464
2020-10-09,35.21126
2020-10-10,35.49295
2020-10-11,36.9014
2020-10-12,80.56338
2020-10-13,94.64788
2020-10-14,88.16901
2020-10-15,70.70422
2020-10-16,72.39436
2020-10-17,37.74647
2020-10-18,40.28169
2020-10-19,85.91549
2020-10-20,90.14084
2020-10-21,92.11267
2020-10-22,79.43661
2020-10-23,69.01408
2020-10-24,36.05633
2020-10-25,35.21126
2020-10-26,74.92957
2020-10-27,92.39436
2020-10-28,80.0
2020-10-29,72.11267
2020-10-30,54.92957
2020-10-31,23.38028
2020-11-01,25.35211
2020-11-02,69.01408
2020-11-03,70.70422
2020-11-04,84.50704
2020-11-05,71.2676
2020-11-06,66.19718
2020-11-07,25.6338
2020-11-08,28.73239
2020-11-09,72.67605
2020-11-10,74.64788
2020-11-11,72.11267
2020-11-12,73.80281
2020-11-13,65.07042
2020-11-14,26.76056
2020-11-15,27.88732
2020-11-16,60.28169
2020-11-17,67.88732
2020-11-18,65.6338
2020-11-19,75.77464
2020-11-20,60.56338
2020-11-21,26.19718
2020-11-22,30.98591
2020-11-23,65.35211
2020-11-24,77.18309
2020-11-25,65.6338
2020-11-26,70.42253
2020-11-27,56.05633
2020-11-28,27.04225
2020-11-29,34.36619
2020-11-30,73.23943
2020-12-01,76.33802
2020-12-02,78.59154
2020-12-03,78.30985
2020-12-04,74.64788
2020-12-05,32.11267
2020-12-06,43.38028
2020-12-07,81.12676
2020-12-08,71.54929
2020-12-09,93.23943
2020-12-10,81.40845
2020-12-11,69.01408
2020-12-12,33.52112
2020-12-13,35.49295
2020-12-14,76.33802
2020-12-15,92.11267
2020-12-16,80.28169
2020-12-17,78.02816
2020-12-18,58.87323
2020-12-19,36.05633
2020-12-20,24.50704
2020-12-21,51.83098
2020-12-22,69.01408
2020-12-23,53.23943
2020-12-24,37.74647
2020-12-25,13.80281
2020-12-26,15.77464
2020-12-27,18.59154
2020-12-28,61.12676
2020-12-29,55.77464
2020-12-30,52.11267
2020-12-31,28.4507
2021-01-01,15.77464
2021-01-02,20.56338
2021-01-03,14.36619
2021-01-04,63.38028
2021-01-05,72.95774
2021-01-06,58.30985
2021-01-07,61.12676
2021-01-08,47.60563
2021-01-09,24.78873
2021-01-10,23.38028
2021-01-11,65.91549
2021-01-12,53.80281
2021-01-13,66.47887
2021-01-14,58.59154
2021-01-15,49.01408
2021-01-16,18.59154
2021-01-17,18.30985
2021-01-18,58.59154
2021-01-19,60.28169
2021-01-20,58.02816
2021-01-21,65.6338
2021-01-22,52.95774
2021-01-23,24.50704
2021-01-24,22.25352
2021-01-25,69.01408
2021-01-26,60.28169
2021-01-27,58.87323
2021-01-28,61.40845
2021-01-29,50.98591
2021-01-30,20.0
2021-01-31,21.69014
2021-02-01,53.80281
2021-02-02,69.85915
2021-02-03,59.7183
2021-02-04,63.94366
2021-02-05,57.46478
2021-02-06,26.19718
2021-02-07,21.12676
2021-02-08,52.39436
2021-02-09,59.43661
2021-02-10,47.60563
2021-02-11,16.61971
2021-02-12,12.95774
2021-02-13,13.52112
2021-02-14,20.56338
2021-02-15,48.16901
2021-02-16,62.8169
2021-02-17,58.02816
2021-02-18,59.7183
2021-02-19,47.32394
2021-02-20,18.87323
2021-02-21,16.9014
2021-02-22,69.85915
2021-02-23,52.67605
2021-02-24,58.30985
2021-02-25,55.49295
2021-02-26,49.29577
2021-02-27,18.59154
2021-02-28,16.61971
2021-03-01,21.69014
2021-03-02,54.0845
2021-03-03,64.78873
2021-03-04,72.95774
2021-03-05,55.49295
2021-03-06,19.15492
2021-03-07,19.43661
2021-03-08,87.32394
2021-03-09,80.0
2021-03-10,78.02816
2021-03-11,78.02816
2021-03-12,54.64788
2021-03-13,25.6338
2021-03-14,26.76056
2021-03-15,79.43661
2021-03-16,75.21126
2021-03-17,73.80281
2021-03-18,76.9014
2021-03-19,75.77464
2021-03-20,32.39436
2021-03-21,30.70422
2021-03-22,89.01408
2021-03-23,84.50704
2021-03-24,71.83098
2021-03-25,68.16901
2021-03-26,59.43661
2021-03-27,29.29577
2021-03-28,32.67605
2021-03-29,78.87323
2021-03-30,76.33802
2021-03-31,76.05633
2021-04-01,64.78873
2021-04-02,54.64788
2021-04-03,27.32394
2021-04-04,32.67605
2021-04-05,73.23943
2021-04-06,83.09859
2021-04-07,66.19718
2021-04-08,74.64788
2021-04-09,62.8169
2021-04-10,29.01408
2021-04-11,33.23943
2021-04-12,70.14084
2021-04-13,100.0
2021-04-14,75.21126
2021-04-15,81.97183
2021-04-16,80.56338
2021-04-17,32.95774
2021-04-18,38.02816
2021-04-19,82.53521
2021-04-20,81.40845
2021-04-21,80.84507
2021-04-22,79.43661
2021-04-23,64.50704
2021-04-24,28.16901
2021-04-25,29.85915
2021-04-26,74.36619
2021-04-27,79.7183
2021-04-28,65.6338
2021-04-29,64.50704
2021-04-30,60.28169
2021-05-01,24.50704
2021-05-02,21.97183
2021-05-03,59.43661
2021-05-04,63.38028
2021-05-05,27.88732
2021-05-06,68.16901
2021-05-07,57.46478
2021-05-08,19.43661
2021-05-09,23.09859
2021-05-10,61.69014
2021-05-11,67.32394
2021-05-12,74.92957
2021-05-13,68.4507
2021-05-14,51.83098
2021-05-15,21.97183
2021-05-16,30.70422
2021-05-17,74.36619
2021-05-18,82.8169
2021-05-19,22.8169
2021-05-20,66.47887
2021-05-21,59.43661
2021-05-22,28.16901
2021-05-23,34.0845
2021-05-24,77.18309
2021-05-25,73.80281
2021-05-26,77.46478
2021-05-27,72.11267
2021-05-28,70.98591
2021-05-29,30.14084
2021-05-30,28.73239
2021-05-31,69.57746
2021-06-01,65.6338
2021-06-02,59.43661
2021-06-03,74.92957
2021-06-04,60.28169
2021-06-05,25.6338
2021-06-06,34.36619
2021-06-07,77.18309
2021-06-08,91.2676
2021-06-09,82.53521
2021-06-10,76.61971
2021-06-11,67.32394
2021-06-12,27.88732
2021-06-13,29.01408
2021-06-14,71.54929
2021-06-15,69.85915
2021-06-16,72.11267
2021-06-17,58.02816
2021-06-18,50.98591
2021-06-19,22.53521
2021-06-20,21.97183
2021-06-21,53.80281
2021-06-22,60.0
2021-06-23,55.49295
2021-06-24,56.61971
2021-06-25,44.78873
2021-06-26,17.18309
2021-06-27,19.43661
2021-06-28,57.74647
2021-06-29,55.21126
2021-06-30,66.47887
2021-07-01,52.39436
2021-07-02,51.83098
2021-07-03,19.43661
2021-07-04,24.78873
2021-07-05,59.7183
2021-07-06,63.94366
2021-07-07,52.95774
2021-07-08,55.21126
2021-07-09,40.56338
2021-07-10,14.64788
2021-07-11,16.9014
2021-07-12,57.18309
2021-07-13,59.43661
2021-07-14,64.22535
2021-07-15,51.54929
2021-07-16,49.01408
2021-07-17,18.87323
2021-07-18,15.49295
2021-07-19,54.36619
2021-07-20,54.92957
2021-07-21,56.05633
2021-07-22,49.29577
2021-07-23,41.97183
2021-07-24,13.80281
2021-07-25,13.80281
2021-07-26,50.42253
2021-07-27,50.14084
2021-07-28,44.78873
2021-07-29,45.35211
2021-07-30,41.97183
2021-07-31,13.80281
2021-08-01,12.95774
2021-08-02,35.21126
2021-08-03,52.39436
2021-08-04,53.23943
2021-08-05,37.46478
2021-08-06,43.38028
2021-08-07,17.46478
2021-08-08,14.92957
2021-08-09,47.88732
2021-08-10,48.16901
2021-08-11,61.40845
2021-08-12,51.54929
2021-08-13,46.76056
2021-08-14,20.28169
2021-08-15,14.0845
2021-08-16,21.97183
2021-08-17,64.78873
2021-08-18,53.23943
2021-08-19,51.2676
2021-08-20,46.76056
2021-08-21,14.0845
2021-08-22,17.18309
2021-08-23,54.0845
2021-08-24,60.28169
2021-08-25,59.15492
2021-08-26,55.77464
2021-08-27,50.42253
2021-08-28,15.21126
2021-08-29,11.2676
2021-08-30,51.54929
2021-08-31,67.88732
2021-09-01,56.05633
2021-09-02,56.61971
2021-09-03,46.19718
2021-09-04,21.12676
2021-09-05,21.97183
2021-09-06,58.59154
2021-09-07,69.57746
2021-09-08,68.16901
2021-09-09,49.57746
2021-09-10,53.80281
