date,RSI
2020-03-20,16.3883
2020-03-21,10.02087
2020-03-22,13.7787
2020-03-23,15.65762
2020-03-24,12.21294
2020-03-25,15.65762
2020-03-26,17.95407
2020-03-27,15.86638
2020-03-28,8.97703
2020-03-29,11.48225
2020-03-30,14.19624
2020-03-31,16.3883
2020-04-01,15.13569
2020-04-02,18.26722
2020-04-03,13.46555
2020-04-04,9.60334
2020-04-05,11.58663
2020-04-06,14.82254
2020-04-07,19.93736
2020-04-08,18.05845
2020-04-09,18.68475
2020-04-10,17.43215
2020-04-11,11.37787
2020-04-12,21.08559
2020-04-13,18.58037
2020-04-14,19.93736
2020-04-15,13.67432
2020-04-16,18.89352
2020-04-17,15.86638
2020-04-18,11.1691
2020-04-19,14.19624
2020-04-20,14.71816
2020-04-21,15.24008
2020-04-22,17.53653
2020-04-23,14.61377
2020-04-24,18.05845
2020-04-25,10.96033
2020-04-26,10.96033
2020-04-27,16.28392
2020-04-28,17.01461
2020-04-29,14.92693
2020-04-30,10.02087
2020-05-01,9.8121
2020-05-02,12.10855
2020-05-03,11.58663
2020-05-04,12.31732
2020-05-05,16.70146
2020-05-06,14.30062
2020-05-07,10.96033
2020-05-08,12.21294
2020-05-09,8.66388
2020-05-10,7.93319
2020-05-11,13.56993
2020-05-12,11.58663
2020-05-13,10.33402
2020-05-14,11.69102
2020-05-15,11.69102
2020-05-16,11.06471
2020-05-17,9.49895
2020-05-18,11.48225
2020-05-19,10.75156
2020-05-20,11.58663
2020-05-21,14.40501
2020-05-22,10.75156
2020-05-23,9.08141
2020-05-24,9.39457
2020-05-25,12.73486
2020-05-26,15.762
2020-05-27,11.48225
2020-05-28,11.48225
2020-05-29,9.60334
2020-05-30,8.14196
2020-05-31,9.1858
2020-06-01,13.46555
2020-06-02,14.61377
2020-06-03,17.53653
2020-06-04,17.53653
2020-06-05,15.13569
2020-06-06,9.70772
2020-06-07,10.22964
2020-06-08,12.42171
2020-06-09,13.1524
2020-06-10,14.92693
2020-06-11,15.55323
2020-06-12,11.27348
2020-06-13,8.66388
2020-06-14,9.49895
2020-06-15,14.50939
2020-06-16,11.06471
2020-06-17,11.27348
2020-06-18,14.40501
2020-06-19,11.48225
2020-06-20,7.93319
2020-06-21,8.35073
2020-06-22,11.27348
2020-06-23,12.42171
2020-06-24,12.83924
2020-06-25,11.37787
2020-06-26,11.1691
2020-06-27,7.51565
2020-06-28,9.29018
2020-06-29,11.06471
2020-06-30,11.48225
2020-07-01,13.04801
2020-07-02,10.33402
2020-07-03,11.27348
2020-07-04,9.49895
2020-07-05,10.33402
2020-07-06,13.04801
2020-07-07,14.61377
2020-07-08,13.98747
2020-07-09,22.44258
2020-07-10,18.47599
2020-07-11,11.58663
2020-07-12,11.89979
2020-07-13,15.13569
2020-07-14,14.19624
2020-07-15,13.56993
2020-07-16,14.40501
2020-07-17,13.46555
2020-07-18,8.14196
2020-07-19,8.45511
2020-07-20,12.10855
2020-07-21,12.31732
2020-07-22,16.17954
2020-07-23,15.55323
2020-07-24,13.1524
2020-07-25,11.06471
2020-07-26,11.06471
2020-07-27,14.92693
2020-07-28,12.21294
2020-07-29,17.64091
2020-07-30,17.11899
2020-07-31,13.1524
2020-08-01,12.31732
2020-08-02,16.49269
2020-08-03,18.58037
2020-08-04,16.80584
2020-08-05,15.762
2020-08-06,16.07515
2020-08-07,20.04175
2020-08-08,13.46555
2020-08-09,15.24008
2020-08-10,18.68475
2020-08-11,30.37578
2020-08-12,25.67849
2020-08-13,20.25052
2020-08-14,20.98121
2020-08-15,13.1524
2020-08-16,13.67432
2020-08-17,13.25678
2020-08-18,16.17954
2020-08-19,18.99791
2020-08-20,19.20668
2020-08-21,16.07515
2020-08-22,19.83298
2020-08-23,12.10855
2020-08-24,16.59707
2020-08-25,19.31106
2020-08-26,20.98121
2020-08-27,22.23382
2020-08-28,19.62421
2020-08-29,21.60751
2020-08-30,16.28392
2020-08-31,22.75574
2020-09-01,26.61795
2020-09-02,29.64509
2020-09-03,26.51356
2020-09-04,23.48643
2020-09-05,20.45929
2020-09-06,18.68475
2020-09-07,27.24425
2020-09-08,27.55741
2020-09-09,27.24425
2020-09-10,34.02922
2020-09-11,23.38204
2020-09-12,17.64091
2020-09-13,20.45929
2020-09-14,26.40918
2020-09-15,25.15657
2020-09-16,56.26304
2020-09-17,34.02922
2020-09-18,28.60125
2020-09-19,17.43215
2020-09-20,15.97077
2020-09-21,24.3215
2020-09-22,22.23382
2020-09-23,23.06889
2020-09-24,34.44676
2020-09-25,25.88726
2020-09-26,19.83298
2020-09-27,14.40501
2020-09-28,18.3716
2020-09-29,15.65762
2020-09-30,11.27348
2020-10-01,18.26722
2020-10-02,16.17954
2020-10-03,14.61377
2020-10-04,20.25052
2020-10-05,19.7286
2020-10-06,27.55741
2020-10-07,24.9478
2020-10-08,24.63465
2020-10-09,20.04175
2020-10-10,15.65762
2020-10-11,12.83924
2020-10-12,23.90396
2020-10-13,24.63465
2020-10-14,25.46972
2020-10-15,22.54697
2020-10-16,16.49269
2020-10-17,12.00417
2020-10-18,15.65762
2020-10-19,15.97077
2020-10-20,19.41544
2020-10-21,20.56367
2020-10-22,20.3549
2020-10-23,15.03131
2020-10-24,10.96033
2020-10-25,8.97703
2020-10-26,20.25052
2020-10-27,22.12943
2020-10-28,19.93736
2020-10-29,22.12943
2020-10-30,13.98747
2020-10-31,8.66388
2020-11-01,10.85594
2020-11-02,14.61377
2020-11-03,18.68475
2020-11-04,14.61377
2020-11-05,20.25052
2020-11-06,27.66179
2020-11-07,17.53653
2020-11-08,14.19624
2020-11-09,18.47599
2020-11-10,22.86012
2020-11-11,26.09603
2020-11-12,28.18371
2020-11-13,28.07933
2020-11-14,14.19624
2020-11-15,13.36116
2020-11-16,22.12943
2020-11-17,24.53027
2020-11-18,20.56367
2020-11-19,22.12943
2020-11-20,24.3215
2020-11-21,15.13569
2020-11-22,15.13569
2020-11-23,28.18371
2020-11-24,44.15448
2020-11-25,39.03966
2020-11-26,30.16701
2020-11-27,22.9645
2020-11-28,17.01461
2020-11-29,17.64091
2020-11-30,24.9478
2020-12-01,27.03549
2020-12-02,25.36534
2020-12-03,25.57411
2020-12-04,26.51356
2020-12-05,23.06889
2020-12-06,24.63465
2020-12-07,28.9144
2020-12-08,32.35908
2020-12-09,27.87056
2020-12-10,25.15657
2020-12-11,27.66179
2020-12-12,20.25052
2020-12-13,19.7286
2020-12-14,21.39874
2020-12-15,22.02505
2020-12-16,26.61795
2020-12-17,32.56784
2020-12-18,30.27139
2020-12-19,18.3716
2020-12-20,23.69519
2020-12-21,26.82672
2020-12-22,32.56784
2020-12-23,30.8977
2020-12-24,24.73903
2020-12-25,20.66805
2020-12-26,15.44885
2020-12-27,24.53027
2020-12-28,30.68893
2020-12-29,32.15031
2020-12-30,28.60125
2020-12-31,27.87056
2021-01-01,23.06889
2021-01-02,24.11273
2021-01-03,29.12317
2021-01-04,41.33611
2021-01-05,37.78705
2021-01-06,45.51148
2021-01-07,55.42797
2021-01-08,73.90396
2021-01-09,52.29645
2021-01-10,70.66805
2021-01-11,76.51356
2021-01-12,74.21711
2021-01-13,67.43215
2021-01-14,62.94363
2021-01-15,62.00417
2021-01-16,44.46764
2021-01-17,56.68058
2021-01-18,61.37787
2021-01-19,54.69728
2021-01-20,53.2359
2021-01-21,59.08141
2021-01-22,56.88935
2021-01-23,42.37995
2021-01-24,36.32567
2021-01-25,48.74739
2021-01-26,51.04384
2021-01-27,66.17954
2021-01-28,55.53235
2021-01-29,64.09185
2021-01-30,41.54488
2021-01-31,43.31941
2021-02-01,73.06889
2021-02-02,76.20041
2021-02-03,72.9645
2021-02-04,64.40501
2021-02-05,53.65344
2021-02-06,45.92901
2021-02-07,42.90187
2021-02-08,57.72442
2021-02-09,61.1691
2021-02-10,70.25052
2021-02-11,51.46137
2021-02-12,56.5762
2021-02-13,87.05636
2021-02-14,71.39874
2021-02-15,76.82672
2021-02-16,83.19415
2021-02-17,81.73277
2021-02-18,82.98538
2021-02-19,83.61169
2021-02-20,84.65553
2021-02-21,74.73903
2021-02-22,87.68267
2021-02-23,92.48434
2021-02-24,77.24425
2021-02-25,79.12317
2021-02-26,72.9645
2021-02-27,50.83507
2021-02-28,45.19832
2021-03-01,45.82463
2021-03-02,59.8121
2021-03-03,58.55949
2021-03-04,52.81837
2021-03-05,56.5762
2021-03-06,46.97286
2021-03-07,54.48851
2021-03-08,62.10855
2021-03-09,69.31106
2021-03-10,72.12943
2021-03-11,70.25052
2021-03-12,77.24425
2021-03-13,58.03757
2021-03-14,64.92693
2021-03-15,95.61586
2021-03-16,76.40918
2021-03-17,81.73277
2021-03-18,73.59081
2021-03-19,66.91022
2021-03-20,60.22964
2021-03-21,53.13152
2021-03-22,68.78914
2021-03-23,55.53235
2021-03-24,63.56993
2021-03-25,62.73486
2021-03-26,61.27348
2021-03-27,56.78496
2021-03-28,49.26931
2021-03-29,53.02713
2021-03-30,61.89979
2021-03-31,67.7453
2021-04-01,65.65762
2021-04-02,80.37578
2021-04-03,71.50313
2021-04-04,74.84342
2021-04-05,94.15448
2021-04-06,95.51148
2021-04-07,92.27557
2021-04-08,85.38622
2021-04-09,89.97912
2021-04-10,67.43215
2021-04-11,67.43215
2021-04-12,76.9311
2021-04-13,75.88726
2021-04-14,90.81419
2021-04-15,92.69311
2021-04-16,100.0
2021-04-17,77.87056
2021-04-18,69.20668
2021-04-19,84.8643
2021-04-20,83.40292
2021-04-21,96.24217
2021-04-22,82.35908
2021-04-23,85.80375
2021-04-24,69.31106
2021-04-25,56.78496
2021-04-26,87.68267
2021-04-27,91.54488
2021-04-28,74.00835
2021-04-29,73.06889
2021-04-30,67.53653
2021-05-01,50.73068
2021-05-02,45.19832
2021-05-03,60.33402
2021-05-04,71.60751
2021-05-05,60.75156
2021-05-06,81.00208
2021-05-07,86.95198
2021-05-08,66.49269
2021-05-09,68.68475
2021-05-10,77.66179
2021-05-11,71.92066
2021-05-12,80.16701
2021-05-13,81.73277
2021-05-14,66.59707
2021-05-15,51.46137
2021-05-16,55.84551
2021-05-17,66.70146
2021-05-18,58.24634
2021-05-19,51.56576
2021-05-20,52.6096
2021-05-21,55.84551
2021-05-22,43.73695
2021-05-23,46.76409
2021-05-24,55.63674
2021-05-25,77.34864
2021-05-26,76.3048
2021-05-27,61.7954
2021-05-28,56.47181
2021-05-29,45.30271
2021-05-30,38.93528
2021-05-31,52.92275
2021-06-01,48.22546
2021-06-02,56.99373
2021-06-03,58.87265
2021-06-04,51.77453
2021-06-05,37.78705
2021-06-06,36.43006
2021-06-07,54.27974
2021-06-08,59.49895
2021-06-09,54.27974
2021-06-10,57.51565
2021-06-11,40.70981
2021-06-12,30.58455
2021-06-13,27.66179
2021-06-14,46.86847
2021-06-15,45.09394
2021-06-16,46.45093
2021-06-17,36.01252
2021-06-18,41.23173
2021-06-19,24.21711
2021-06-20,28.49686
2021-06-21,37.36951
2021-06-22,43.21503
2021-06-23,52.81837
2021-06-24,55.84551
2021-06-25,49.26931
2021-06-26,24.84342
2021-06-27,23.48643
2021-06-28,37.05636
2021-06-29,40.81419
2021-06-30,44.46764
2021-07-01,35.07306
2021-07-02,30.37578
2021-07-03,24.9478
2021-07-04,31.31524
2021-07-05,34.23799
2021-07-06,39.14405
2021-07-07,48.0167
2021-07-08,42.48434
2021-07-09,35.17745
2021-07-10,24.53027
2021-07-11,22.23382
2021-07-12,31.83716
2021-07-13,34.8643
2021-07-14,35.69937
2021-07-15,34.8643
2021-07-16,33.19415
2021-07-17,25.67849
2021-07-18,19.93736
2021-07-19,33.61169
2021-07-20,34.02922
2021-07-21,28.60125
2021-07-22,31.00208
2021-07-23,29.33194
2021-07-24,24.21711
2021-07-25,23.59081
2021-07-26,32.04592
2021-07-27,35.07306
2021-07-28,30.37578
2021-07-29,30.16701
2021-07-30,31.31524
2021-07-31,21.60751
2021-08-01,22.75574
2021-08-02,28.70563
2021-08-03,31.94154
2021-08-04,31.41962
2021-08-05,32.77661
2021-08-06,27.13987
2021-08-07,24.63465
2021-08-08,27.13987
2021-08-09,35.90814
2021-08-10,33.40292
2021-08-11,39.77035
2021-08-12,48.22546
2021-08-13,45.72025
2021-08-14,29.64509
2021-08-15,33.92484
2021-08-16,38.83089
2021-08-17,55.01043
2021-08-18,55.2192
2021-08-19,56.88935
2021-08-20,58.76826
2021-08-21,45.09394
2021-08-22,45.92901
2021-08-23,54.5929
2021-08-24,55.53235
2021-08-25,46.86847
2021-08-26,46.97286
2021-08-27,37.26513
2021-08-28,26.20041
2021-08-29,28.81002
2021-08-30,38.62212
2021-08-31,52.40083
2021-09-01,40.29227
2021-09-02,50.10438
2021-09-03,43.84133
2021-09-04,48.0167
2021-09-05,46.45093
2021-09-06,48.643
2021-09-07,56.99373
2021-09-08,55.2192
2021-09-09,53.44467
2021-09-10,44.6764
2021-09-11,27.24425
2021-09-12,32.35908
2021-09-13,45.92901
2021-09-14,46.86847
2021-09-15,41.96242
2021-09-16,44.78079
2021-09-17,36.43006
2021-09-18,31.31524
2021-09-19,23.38204
2021-09-20,27.66179
2021-09-21,35.17745
2021-09-22,35.07306
2021-09-23,46.34655
2021-09-24,36.22129
2021-09-25,26.40918
2021-09-26,23.06889
2021-09-27,31.10647
2021-09-28,33.82045
2021-09-29,38.41336
2021-09-30,38.30897
2021-10-01,34.34237
2021-10-02,27.45302
2021-10-03,25.78288
2021-10-04,29.12317
2021-10-05,48.0167
2021-10-06,55.01043
2021-10-07,50.6263
2021-10-08,38.93528
2021-10-09,27.03549
2021-10-10,24.73903
2021-10-11,30.06263
2021-10-12,39.03966
2021-10-13,34.34237
2021-10-14,39.35281
2021-10-15,43.00626
2021-10-16,28.39248
2021-10-17,29.64509
2021-10-18,39.77035
2021-10-19,47.59916
2021-10-20,46.6597
2021-10-21,47.18162
2021-10-22,39.03966
2021-10-23,25.88726
2021-10-24,25.88726
2021-10-25,36.01252
2021-10-26,58.24634
2021-10-27,48.53862
2021-10-28,44.88517
2021-10-29,42.90187
2021-10-30,42.0668
2021-10-31,38.51774
2021-11-01,52.40083
2021-11-02,65.65762
2021-11-03,50.31315
2021-11-04,52.50521
2021-11-05,50.0
2021-11-06,28.9144
2021-11-07,31.62839
2021-11-08,51.67014
2021-11-09,51.98329
2021-11-10,49.47807
2021-11-11,42.48434
2021-11-12,40.39665
2021-11-13,25.05219
2021-11-14,25.78288
2021-11-15,38.30897
2021-11-16,47.59916
2021-11-17,48.643
2021-11-18,52.50521
2021-11-19,45.61586
2021-11-20,33.5073
2021-11-21,30.58455
2021-11-22,43.31941
2021-11-23,45.61586
2021-11-24,56.5762
2021-11-25,53.86221
2021-11-26,44.88517
2021-11-27,28.39248
2021-11-28,30.48016
2021-11-29,48.43423
2021-11-30,51.14822
2021-12-01,46.45093
2021-12-02,43.00626
2021-12-03,38.51774
2021-12-04,38.1002
2021-12-05,29.85386
2021-12-06,39.56158
2021-12-07,42.69311
2021-12-08,48.53862
2021-12-09,46.86847
2021-12-10,38.41336
2021-12-11,27.76617
2021-12-12,26.09603
2021-12-13,37.89144
2021-12-14,41.02296
2021-12-15,30.27139
2021-12-16,36.22129
2021-12-17,29.01878
2021-12-18,23.90396
2021-12-19,28.81002
2021-12-20,38.51774
2021-12-21,39.77035
2021-12-22,42.17118
2021-12-23,32.67223
2021-12-24,31.00208
2021-12-25,18.26722
2021-12-26,29.12317
2021-12-27,35.69937
2021-12-28,39.97912
2021-12-29,33.71607
2021-12-30,36.74321
2021-12-31,23.79958
2022-01-01,19.10229
2022-01-02,22.86012
2022-01-03,38.72651
2022-01-04,38.62212
2022-01-05,41.23173
2022-01-06,48.22546
2022-01-07,37.36951
2022-01-08,34.65553
2022-01-09,33.40292
2022-01-10,48.32985
2022-01-11,42.0668
2022-01-12,39.4572
2022-01-13,36.53444
2022-01-14,34.02922
2022-01-15,23.38204
2022-01-16,24.42588
2022-01-17,29.43632
2022-01-18,31.31524
2022-01-19,32.77661
2022-01-20,37.4739
2022-01-21,44.15448
2022-01-22,45.82463
2022-01-23,39.66597
2022-01-24,50.83507
2022-01-25,48.43423
2022-01-26,51.87891
2022-01-27,67.53653
2022-01-28,52.6096
2022-01-29,37.05636
2022-01-30,27.13987
2022-01-31,27.76617
2022-02-01,31.00208
2022-02-02,35.28183
2022-02-03,38.51774
2022-02-04,37.78705
2022-02-05,28.81002
2022-02-06,29.85386
2022-02-07,40.39665
2022-02-08,39.14405
2022-02-09,33.71607
2022-02-10,38.41336
2022-02-11,31.524
2022-02-12,28.07933
2022-02-13,19.31106
2022-02-14,32.15031
2022-02-15,26.09603
2022-02-16,31.31524
2022-02-17,30.58455
2022-02-18,30.8977
2022-02-19,19.62421
2022-02-20,24.63465
2022-02-21,34.8643
2022-02-22,28.81002
2022-02-23,28.39248
2022-02-24,41.54488
2022-02-25,34.96868
2022-02-26,28.07933
2022-02-27,18.58037
2022-02-28,27.24425
2022-03-01,24.11273
2022-03-02,31.00208
2022-03-03,25.46972
2022-03-04,26.61795
2022-03-05,19.93736
2022-03-06,18.16283
2022-03-07,24.9478
2022-03-08,25.99164
2022-03-09,20.87682
2022-03-10,25.36534
2022-03-11,22.3382
2022-03-12,17.01461
2022-03-13,15.65762
2022-03-14,26.51356
2022-03-15,27.76617
2022-03-16,27.87056
2022-03-17,32.04592
2022-03-18,25.15657
2022-03-19,28.49686
2022-03-20,25.26096
2022-03-21,29.64509
2022-03-22,32.25469
2022-03-23,36.22129
2022-03-24,37.68267
2022-03-25,33.08977
2022-03-26,26.3048
2022-03-27,26.51356
2022-03-28,38.93528
2022-03-29,46.24217
2022-03-30,46.13778
2022-03-31,48.12108
2022-04-01,42.48434
2022-04-02,30.48016
2022-04-03,31.31524
2022-04-04,36.63883
2022-04-05,41.96242
2022-04-06,40.70981
2022-04-07,38.83089
2022-04-08,31.21085
2022-04-09,26.61795
2022-04-10,20.04175
2022-04-11,30.06263
2022-04-12,35.17745
2022-04-13,33.40292
2022-04-14,29.22755
2022-04-15,27.87056
2022-04-16,21.08559
2022-04-17,27.03549
2022-04-18,32.98538
2022-04-19,34.44676
2022-04-20,27.34864
2022-04-21,32.67223
2022-04-22,28.2881
2022-04-23,19.51983
2022-04-24,19.62421
2022-04-25,30.27139
2022-04-26,30.68893
2022-04-27,32.881
2022-04-28,32.25469
2022-04-29,29.01878
2022-04-30,20.14613
2022-05-01,18.47599
2022-05-02,22.65135
2022-05-03,26.61795
2022-05-04,26.61795
2022-05-05,17.84968
2022-05-06,22.02505
2022-05-07,14.50939
2022-05-08,14.30062
2022-05-09,32.67223
2022-05-10,30.58455
2022-05-11,30.68893
2022-05-12,37.89144
2022-05-13,31.31524
2022-05-14,18.58037
2022-05-15,17.32776
2022-05-16,27.66179
2022-05-17,28.81002
2022-05-18,24.9478
2022-05-19,27.13987
2022-05-20,21.08559
2022-05-21,15.65762
2022-05-22,18.78914
2022-05-23,22.3382
2022-05-24,24.21711
2022-05-25,23.90396
2022-05-26,22.75574
2022-05-27,21.92066
2022-05-28,13.1524
2022-05-29,21.50313
2022-05-30,28.39248
2022-05-31,23.48643
2022-06-01,15.24008
2022-06-02,21.92066
2022-06-03,22.75574
2022-06-04,15.55323
2022-06-05,15.55323
2022-06-06,20.56367
2022-06-07,22.9645
2022-06-08,25.05219
2022-06-09,23.79958
2022-06-10,19.51983
2022-06-11,16.3883
2022-06-12,16.17954
2022-06-13,28.07933
2022-06-14,32.46346
2022-06-15,30.58455
2022-06-16,27.13987
2022-06-17,28.2881
2022-06-18,17.7453
2022-06-19,17.95407
2022-06-20,29.33194
2022-06-21,26.3048
2022-06-22,29.43632
2022-06-23,34.13361
2022-06-24,26.61795
2022-06-25,19.20668
2022-06-26,19.93736
