date,SOXL
2020-03-20,1.11544
2020-03-21,0.7257
2020-03-22,0.98105
2020-03-23,0.65851
2020-03-24,1.42453
2020-03-25,1.3439
2020-03-26,1.45141
2020-03-27,1.06168
2020-03-28,0.52412
2020-03-29,0.51068
2020-03-30,0.53756
2020-03-31,0.88697
2020-04-01,0.73914
2020-04-02,0.81978
2020-04-03,0.76602
2020-04-04,0.65851
2020-04-05,0.4838
2020-04-06,0.86009
2020-04-07,1.3439
2020-04-08,0.86009
2020-04-09,0.96761
2020-04-10,0.60475
2020-04-11,0.37629
2020-04-12,0.26878
2020-04-13,0.49724
2020-04-14,1.102
2020-04-15,1.37078
2020-04-16,0.91385
2020-04-17,1.54549
2020-04-18,0.59131
2020-04-19,0.40317
2020-04-20,0.44348
2020-04-21,0.69883
2020-04-22,0.94073
2020-04-23,1.102
2020-04-24,0.59131
2020-04-25,0.7929
2020-04-26,0.45692
2020-04-27,0.80634
2020-04-28,0.68539
2020-04-29,0.76602
2020-04-30,0.94073
2020-05-01,0.81978
2020-05-02,0.68539
2020-05-03,0.60475
2020-05-04,0.56444
2020-05-05,0.77946
2020-05-06,0.52412
2020-05-07,0.77946
2020-05-08,0.65851
2020-05-09,0.551
2020-05-10,0.43004
2020-05-11,0.64507
2020-05-12,0.51068
2020-05-13,0.64507
2020-05-14,0.57787
2020-05-15,0.47036
2020-05-16,0.81978
2020-05-17,0.34941
2020-05-18,0.51068
2020-05-19,0.69883
2020-05-20,0.67195
2020-05-21,0.80634
2020-05-22,0.75258
2020-05-23,0.25534
2020-05-24,0.18814
2020-05-25,0.28222
2020-05-26,0.44348
2020-05-27,0.47036
2020-05-28,0.53756
2020-05-29,0.29565
2020-05-30,0.25534
2020-05-31,0.13439
2020-06-01,0.36285
2020-06-02,0.49724
2020-06-03,0.80634
2020-06-04,1.08856
2020-06-05,1.00792
2020-06-06,0.77946
2020-06-07,0.45692
2020-06-08,0.92729
2020-06-09,0.88697
2020-06-10,0.90041
2020-06-11,0.68539
2020-06-12,0.80634
2020-06-13,0.32253
2020-06-14,0.20158
2020-06-15,0.53756
2020-06-16,0.4838
2020-06-17,0.28222
2020-06-18,0.20158
2020-06-19,0.43004
2020-06-20,0.16126
2020-06-21,0.06719
2020-06-22,0.22846
2020-06-23,0.44348
2020-06-24,0.32253
2020-06-25,0.34941
2020-06-26,0.10751
2020-06-27,0.08063
2020-06-28,0.06719
2020-06-29,0.06719
2020-06-30,0.26878
2020-07-01,0.36285
2020-07-02,0.25534
2020-07-03,0.20158
2020-07-04,0.12095
2020-07-05,0.21502
2020-07-06,0.26878
2020-07-07,0.51068
2020-07-08,0.2419
2020-07-09,0.38973
2020-07-10,0.28222
2020-07-11,0.22846
2020-07-12,0.10751
2020-07-13,0.38973
2020-07-14,0.10751
2020-07-15,0.26878
2020-07-16,0.13439
2020-07-18,0.10751
2020-07-21,0.53756
2020-07-22,0.18814
2020-07-23,0.14782
2020-07-24,0.2419
2020-07-25,0.14782
2020-07-26,0.1747
2020-07-27,0.2419
2020-07-28,0.40317
2020-07-29,0.34941
2020-07-30,0.37629
2020-07-31,0.41661
2020-08-01,0.14782
2020-08-02,0.12095
2020-08-03,0.47036
2020-08-04,0.38973
2020-08-05,0.43004
2020-08-06,0.49724
2020-08-07,0.28222
2020-08-08,0.26878
2020-08-09,0.13439
2020-08-10,0.22846
2020-08-11,0.18814
2020-08-12,0.26878
2020-08-13,0.36285
2020-08-14,0.18814
2020-08-15,0.08063
2020-08-16,0.09407
2020-08-17,0.28222
2020-08-18,0.45692
2020-08-19,0.25534
2020-08-20,0.36285
2020-08-21,0.40317
2020-08-22,0.34941
2020-08-23,0.21502
2020-08-24,0.40317
2020-08-25,0.29565
2020-08-26,0.49724
2020-08-27,0.61819
2020-08-28,0.32253
2020-08-29,0.22846
2020-08-30,0.25534
2020-08-31,0.4838
2020-09-01,0.71226
2020-09-02,1.08856
2020-09-03,1.80083
2020-09-04,1.02136
2020-09-05,0.49724
2020-09-06,0.51068
2020-09-07,0.29565
2020-09-08,0.76602
2020-09-09,0.86009
2020-09-10,0.68539
2020-09-11,0.60475
2020-09-12,0.36285
2020-09-13,0.14782
2020-09-14,0.53756
2020-09-15,0.63163
2020-09-16,0.68539
2020-09-17,0.47036
2020-09-18,0.30909
2020-09-19,0.40317
2020-09-20,0.10751
2020-09-21,0.18814
2020-09-22,0.2419
2020-09-23,0.21502
2020-09-24,0.25534
2020-09-25,0.37629
2020-09-26,0.1747
2020-09-27,0.1747
2020-09-28,0.22846
2020-09-29,0.33597
2020-09-30,0.30909
2020-10-01,0.25534
2020-10-02,0.36285
2020-10-03,0.28222
