date,SPDRS&P500
2020-03-20,69.39501
2020-03-21,57.65124
2020-03-22,40.56939
2020-03-23,66.54804
2020-03-24,74.73309
2020-03-25,97.50889
2020-03-26,88.61209
2020-03-27,64.41281
2020-03-28,47.68683
2020-03-29,37.72241
2020-03-30,48.0427
2020-03-31,57.29537
2020-04-01,49.82206
2020-04-02,48.75444
2020-04-03,50.5338
2020-04-04,34.1637
2020-04-05,32.74021
2020-04-06,49.82206
2020-04-07,64.76868
2020-04-08,52.31316
2020-04-09,59.4306
2020-04-10,53.38078
2020-04-11,32.02846
2020-04-12,37.01067
2020-04-13,46.61921
2020-04-14,50.17793
2020-04-15,54.09252
2020-04-16,41.28113
2020-04-17,52.31316
2020-04-18,21.35231
2020-04-19,35.94306
2020-04-20,43.77224
2020-04-21,27.758
2020-04-22,43.41637
2020-04-23,37.72241
2020-04-24,39.1459
2020-04-25,36.6548
2020-04-26,33.80782
2020-04-27,41.99288
2020-04-28,49.82206
2020-04-29,41.63701
2020-04-30,30.60498
2020-05-01,34.1637
2020-05-02,20.64056
2020-05-03,25.62277
2020-05-04,28.46975
2020-05-05,34.51957
2020-05-06,33.09608
2020-05-07,35.58718
2020-05-08,34.51957
2020-05-09,28.46975
2020-05-10,22.7758
2020-05-11,27.04626
2020-05-12,29.89323
2020-05-13,24.19928
2020-05-14,21.70818
2020-05-15,29.53736
2020-05-16,17.79359
2020-05-17,19.21708
2020-05-18,32.38434
2020-05-19,43.77224
2020-05-20,40.92526
2020-05-21,31.31672
2020-05-22,32.74021
2020-05-23,20.28469
2020-05-24,16.3701
2020-05-25,37.01067
2020-05-26,36.6548
2020-05-27,38.07829
2020-05-28,35.23131
2020-05-29,29.89323
2020-05-30,14.59074
2020-05-31,12.81138
2020-06-01,24.19928
2020-06-02,29.18149
2020-06-03,45.5516
2020-06-04,36.29893
2020-06-05,36.6548
2020-06-06,24.91103
2020-06-07,17.43772
2020-06-08,36.29893
2020-06-09,47.33096
2020-06-10,34.87544
2020-06-11,36.29893
2020-06-12,41.63701
2020-06-13,15.65836
2020-06-14,13.16725
2020-06-15,24.91103
2020-06-16,30.24911
2020-06-17,29.53736
2020-06-18,20.64056
2020-06-19,16.3701
2020-06-20,15.65836
2020-06-21,13.16725
2020-06-22,19.92882
2020-06-23,24.19928
2020-06-24,23.84341
2020-06-25,25.97864
2020-06-26,30.60498
2020-06-27,17.79359
2020-06-28,10.67615
2020-06-29,15.65836
2020-06-30,23.84341
2020-07-01,24.19928
2020-07-02,16.3701
2020-07-03,11.3879
2020-07-04,2.84697
2020-07-05,4.9822
2020-07-06,10.67615
2020-07-07,20.28469
2020-07-08,22.41992
2020-07-09,24.55516
2020-07-10,24.19928
2020-07-11,14.94661
2020-07-12,14.23487
2020-07-13,32.38434
2020-07-14,30.60498
2020-07-15,24.55516
2020-07-16,19.57295
2020-07-17,19.57295
