date,SQQQ
2020-03-20,9.57629
2020-03-21,8.67009
2020-03-22,4.50649
2020-03-23,12.44183
2020-03-24,9.57629
2020-03-25,9.62527
2020-03-26,7.93534
2020-03-27,7.98432
2020-03-28,3.84521
2020-03-29,2.81655
2020-03-30,4.84937
2020-03-31,5.31471
2020-04-01,6.61278
2020-04-02,5.97599
2020-04-03,3.20842
2020-04-04,3.40435
2020-04-05,1.56747
2020-04-06,3.64927
2020-04-07,6.44134
2020-04-08,6.12294
2020-04-09,6.44134
2020-04-10,3.45334
2020-04-11,1.49399
2020-04-12,1.66544
2020-04-13,3.69826
2020-04-14,5.11878
2020-04-15,8.42517
2020-04-16,5.24124
2020-04-17,5.60862
2020-04-18,3.2574
2020-04-19,1.83688
2020-04-20,4.33504
2020-04-21,6.39235
2020-04-22,7.64144
2020-04-23,2.49816
2020-04-24,2.71858
2020-04-25,1.64095
2020-04-26,1.00416
2020-04-27,2.32672
2020-04-28,2.9635
2020-04-29,2.52265
2020-04-30,3.23291
2020-05-01,3.30639
2020-05-02,2.57163
2020-05-03,1.4695
2020-05-04,3.52681
2020-05-05,2.35121
2020-05-06,1.83688
2020-05-07,2.00832
2020-05-08,2.03281
2020-05-09,2.13078
2020-05-10,0.97967
2020-05-11,2.27773
2020-05-12,2.59613
2020-05-13,2.44917
2020-05-14,3.60029
2020-05-15,2.71858
2020-05-16,1.56747
2020-05-17,1.37154
2020-05-18,2.05731
2020-05-19,2.00832
2020-05-20,2.20426
2020-05-21,2.84104
2020-05-22,1.64095
2020-05-23,1.44501
2020-05-24,0.46534
2020-05-25,0.71026
2020-05-26,1.66544
2020-05-27,1.32255
2020-05-28,1.64095
2020-05-29,1.22458
2020-05-30,1.29806
2020-05-31,0.36737
2020-06-01,0.90619
2020-06-02,1.68993
2020-06-03,1.32255
2020-06-04,1.00416
2020-06-05,1.61645
2020-06-06,1.39603
2020-06-07,1.00416
2020-06-08,1.95934
2020-06-09,3.15944
2020-06-10,3.11045
2020-06-11,4.97183
2020-06-12,5.87803
2020-06-13,3.11045
2020-06-14,1.61645
2020-06-15,6.36786
2020-06-16,2.86554
2020-06-17,1.83688
2020-06-18,1.98383
2020-06-19,1.39603
2020-06-20,1.51849
2020-06-21,0.78373
2020-06-22,1.15111
2020-06-23,2.84104
2020-06-24,2.42468
2020-06-25,2.84104
2020-06-26,1.64095
2020-06-27,4.04114
2020-06-28,1.73891
2020-06-29,3.18393
2020-06-30,2.32672
2020-07-01,2.13078
2020-07-02,3.01249
2020-07-03,1.71442
2020-07-04,0.71026
2020-07-05,0.56331
2020-07-06,1.93485
2020-07-07,3.2819
2020-07-08,2.49816
2020-07-09,2.35121
2020-07-10,2.91452
2020-07-11,1.91036
2020-07-12,0.80822
2020-07-13,2.89003
2020-07-14,5.0453
2020-07-15,3.08596
2020-07-16,2.3757
2020-07-17,1.49399
2020-07-18,1.44501
2020-07-19,0.63678
2020-07-20,1.29806
2020-07-21,2.40019
2020-07-22,1.7879
2020-07-23,1.95934
2020-07-24,4.99632
2020-07-25,1.93485
2020-07-26,1.44501
2020-07-27,2.59613
2020-07-28,2.27773
2020-07-29,1.49399
2020-07-30,1.98383
2020-07-31,2.10629
2020-08-01,1.27357
2020-08-02,0.31839
2020-08-03,1.83688
2020-08-04,2.89003
2020-08-05,2.27773
2020-08-06,2.32672
2020-08-07,4.21258
2020-08-08,2.79206
2020-08-09,1.32255
2020-08-10,2.86554
2020-08-11,2.98799
2020-08-12,3.35537
2020-08-13,2.76757
2020-08-14,2.0818
2020-08-15,1.49399
2020-08-16,0.36737
2020-08-17,1.73891
2020-08-18,14.49914
2020-08-19,10.45799
2020-08-20,7.1516
2020-08-21,6.39235
2020-08-22,2.74308
2020-08-23,1.44501
2020-08-24,3.79622
2020-08-25,2.9635
2020-08-26,3.08596
2020-08-27,7.4455
2020-08-28,3.82072
2020-08-29,2.20426
2020-08-30,1.42052
2020-08-31,2.59613
2020-09-01,5.73108
2020-09-02,7.34753
2020-09-03,9.2334
2020-09-04,36.19887
2020-09-05,21.11192
2020-09-06,5.51065
2020-09-07,7.95983
2020-09-08,34.0191
2020-09-09,26.03477
2020-09-10,10.18858
2020-09-11,11.04579
2020-09-12,8.18025
2020-09-13,3.47783
2020-09-14,6.83321
2020-09-15,7.4455
2020-09-16,7.1516
2020-09-17,17.87901
2020-09-18,10.55596
2020-09-19,9.20891
2020-09-20,2.81655
2020-09-21,15.72373
2020-09-22,14.05829
2020-09-23,6.71075
2020-09-24,18.14842
2020-09-25,7.34753
2020-09-26,4.67793
2020-09-27,2.0818
2020-09-28,4.84937
2020-09-29,4.84937
2020-09-30,4.67793
2020-10-01,5.0698
2020-10-02,20.05878
2020-10-03,7.88635
2020-10-04,2.54714
2020-10-05,4.1636
2020-10-06,3.8697
2020-10-07,4.43301
2020-10-08,4.23708
2020-10-09,2.76757
2020-10-10,3.11045
2020-10-11,1.15111
2020-10-12,5.46167
2020-10-13,13.69091
2020-10-14,6.26989
2020-10-15,9.42934
2020-10-16,5.70658
2020-10-17,2.76757
2020-10-18,1.24908
2020-10-19,2.22875
2020-10-20,4.1636
2020-10-21,3.35537
2020-10-22,2.69409
2020-10-23,3.01249
2020-10-24,1.98383
2020-10-25,1.12662
2020-10-26,2.93901
2020-10-27,7.91084
2020-10-28,7.22507
2020-10-29,10.99681
2020-10-30,7.10262
2020-10-31,6.63727
2020-11-01,3.55131
2020-11-02,4.62894
2020-11-03,4.43301
2020-11-04,7.42101
2020-11-05,20.30369
2020-11-06,12.27038
2020-11-07,6.68626
2020-11-08,2.54714
2020-11-09,7.78839
2020-11-10,11.90301
2020-11-11,8.98848
2020-11-12,6.17193
2020-11-13,4.7514
2020-11-14,3.20842
2020-11-15,2.17976
2020-11-16,3.50232
2020-11-17,5.19226
2020-11-18,4.67793
2020-11-19,7.24957
2020-11-20,4.43301
2020-11-21,3.08596
2020-11-22,2.0818
2020-11-23,2.42468
2020-11-24,4.50649
2020-11-25,7.56796
2020-11-26,6.66176
2020-11-27,6.46583
2020-11-28,6.66176
2020-11-29,2.98799
2020-11-30,5.6576
2020-12-01,8.18025
2020-12-02,9.08645
2020-12-03,6.00048
2020-12-04,6.80871
2020-12-05,5.29022
2020-12-06,3.2574
2020-12-07,4.26157
2020-12-08,7.05363
2020-12-09,6.88219
2020-12-10,9.03747
2020-12-11,5.43717
2020-12-12,4.01665
2020-12-13,2.42468
2020-12-14,2.59613
2020-12-15,4.57996
2020-12-16,3.94317
2020-12-17,3.99216
2020-12-18,4.67793
2020-12-19,3.60029
2020-12-20,2.59613
2020-12-21,6.61278
2020-12-22,6.83321
2020-12-23,4.62894
2020-12-24,3.33088
2020-12-25,2.30222
2020-12-26,2.62062
2020-12-27,2.42468
2020-12-28,3.06147
2020-12-29,4.53098
2020-12-30,4.80039
2020-12-31,2.91452
2021-01-01,3.91868
2021-01-02,1.37154
2021-01-03,2.20426
2021-01-04,3.2574
