date,TQQQ주가
2020-04-08,0.04602
2020-04-18,0.12887
2020-06-23,0.07364
2020-06-24,0.04602
2020-08-14,0.04602
2020-08-26,0.04602
2020-08-27,0.04602
2020-08-29,0.05523
2020-09-01,0.21172
2020-09-02,0.47868
2020-09-03,0.37742
2020-09-04,0.30378
2020-09-05,0.06443
2020-09-09,0.10126
2020-09-10,0.10126
2020-09-11,0.09205
2020-09-12,0.07364
2020-09-15,0.13808
2020-09-16,0.14728
2020-09-18,0.06443
2020-09-19,0.09205
2020-09-21,0.07364
2020-09-22,0.13808
2020-09-23,0.05523
2020-09-24,0.05523
2020-09-30,0.05523
2020-10-02,0.06443
2020-10-06,0.05523
2020-10-09,0.04602
2020-10-13,0.09205
2020-10-14,0.05523
2020-10-15,0.05523
2020-10-16,0.05523
2020-10-21,0.05523
2020-10-24,0.04602
2020-10-27,0.10126
2020-11-05,0.09205
2020-11-06,0.05523
2020-11-10,0.18411
2020-11-13,0.10126
2020-11-14,0.13808
2020-11-17,0.07364
2020-11-19,0.05523
2020-11-25,0.13808
2020-12-01,0.04602
2020-12-02,0.04602
2020-12-03,0.05523
2020-12-04,0.06443
2020-12-05,0.04602
2020-12-08,0.11046
2020-12-09,0.09205
2020-12-10,0.09205
2020-12-15,0.07364
2020-12-16,0.12887
2020-12-17,0.07364
2020-12-18,0.15649
2020-12-19,0.09205
2020-12-21,0.09205
2020-12-22,0.23934
2020-12-23,0.1657
2020-12-24,0.38663
2020-12-25,0.18411
2020-12-26,0.18411
2020-12-27,0.06443
2020-12-28,0.18411
2020-12-29,0.46948
2020-12-30,0.42345
2020-12-31,0.41425
2021-01-01,0.3314
2021-01-02,0.15649
2021-01-03,0.3406
2021-01-04,0.3314
2021-01-05,0.58915
2021-01-06,0.5063
2021-01-07,0.57995
2021-01-08,0.58915
2021-01-09,0.57074
2021-01-10,0.18411
2021-01-11,0.09205
2021-01-12,0.26696
2021-01-13,0.38663
2021-01-14,0.54312
2021-01-15,0.36822
2021-01-16,0.30378
2021-01-18,0.26696
2021-01-19,0.04602
2021-01-20,0.19331
2021-01-21,0.61677
2021-01-22,0.5063
2021-01-23,0.36822
2021-01-24,0.1657
2021-01-25,0.34981
2021-01-26,0.59836
2021-01-27,0.65359
2021-01-28,0.59836
2021-01-29,0.44186
2021-01-30,0.4971
2021-01-31,0.13808
2021-02-01,0.28537
2021-02-02,0.41425
2021-02-03,0.36822
2021-02-04,0.32219
2021-02-05,0.32219
2021-02-06,0.23013
2021-02-07,0.14728
2021-02-08,0.15649
2021-02-09,0.32219
2021-02-10,0.32219
2021-02-11,0.31298
2021-02-12,0.24855
2021-02-13,0.23934
2021-02-14,0.22093
2021-02-15,0.09205
2021-02-16,0.20252
2021-02-17,0.25775
2021-02-18,0.45107
2021-02-19,0.29457
2021-02-20,0.29457
2021-02-22,0.05523
2021-02-23,0.48789
2021-02-24,0.39583
2021-02-25,0.35901
2021-02-26,0.3406
2021-02-27,0.42345
2021-02-28,0.29457
2021-03-01,0.24855
2021-03-02,0.68121
2021-03-03,0.39583
2021-03-04,0.46948
2021-03-05,0.60756
2021-03-06,0.53392
2021-03-07,0.24855
2021-03-08,0.14728
2021-03-09,0.74565
2021-03-10,0.37742
2021-03-11,0.4971
2021-03-12,0.60756
2021-03-13,0.31298
2021-03-14,0.19331
2021-03-15,0.22093
2021-03-16,0.68121
2021-03-17,0.29457
2021-03-18,0.57995
2021-03-19,0.47868
2021-03-20,0.32219
2021-03-22,0.11046
