date,VOO주가
2020-04-18,2.5641
2020-04-24,1.8315
2020-06-08,2.5641
2020-06-20,1.8315
2020-08-08,1.8315
2020-08-21,1.8315
2020-08-25,2.5641
2020-08-26,2.1978
2020-09-02,2.1978
2020-09-04,2.5641
2020-09-05,2.1978
2020-09-07,3.2967
2020-09-09,3.2967
2020-09-11,4.7619
2020-09-12,2.9304
2020-09-14,2.9304
2020-09-15,1.8315
2020-09-16,4.7619
2020-09-17,4.0293
2020-09-19,1.8315
2020-09-21,2.1978
2020-09-22,3.2967
2020-09-23,2.9304
2020-09-25,2.1978
2020-09-26,2.5641
2020-09-29,2.1978
2020-09-30,2.9304
2020-10-02,1.8315
2020-10-03,1.8315
2020-10-04,2.5641
2020-10-06,2.5641
2020-10-07,2.9304
2020-10-08,2.1978
2020-10-09,3.2967
2020-10-10,4.7619
2020-10-11,2.1978
2020-10-13,2.1978
2020-10-14,1.8315
2020-10-15,3.2967
2020-10-16,1.8315
2020-10-20,2.1978
2020-10-21,2.9304
2020-10-22,4.0293
2020-10-23,3.663
2020-10-27,3.2967
2020-10-28,4.3956
2020-10-31,2.9304
2020-11-03,7.326
2020-11-07,2.5641
2020-11-09,3.2967
2020-11-10,4.3956
2020-11-11,2.1978
2020-11-12,2.1978
2020-11-13,1.8315
2020-11-17,3.663
2020-11-18,3.663
2020-11-19,2.1978
2020-11-24,2.9304
2020-11-27,3.2967
2020-11-28,2.5641
2020-11-29,2.5641
2020-11-30,2.1978
2020-12-01,5.8608
2020-12-02,2.9304
2020-12-03,4.7619
2020-12-04,3.2967
2020-12-05,4.7619
2020-12-06,2.1978
2020-12-08,2.9304
2020-12-09,4.3956
2020-12-10,5.8608
2020-12-11,3.2967
2020-12-12,1.8315
2020-12-13,2.1978
2020-12-14,2.5641
2020-12-15,1.8315
2020-12-16,2.1978
2020-12-17,3.663
2020-12-20,2.9304
2020-12-21,1.8315
2020-12-22,1.8315
2020-12-23,4.0293
2020-12-24,2.1978
2020-12-25,1.8315
2020-12-29,6.5934
2020-12-30,3.663
2020-12-31,1.8315
2021-01-01,3.663
2021-01-02,2.1978
2021-01-03,2.1978
2021-01-04,2.1978
2021-01-05,6.2271
2021-01-06,6.2271
2021-01-07,4.3956
2021-01-08,8.7912
2021-01-09,6.9597
2021-01-11,2.1978
2021-01-12,9.5238
2021-01-13,8.4249
2021-01-14,6.9597
2021-01-15,6.2271
