date,WTI유가
2020-03-20,15.87269
2020-03-21,9.42202
2020-03-22,4.29307
2020-03-23,13.81668
2020-03-24,13.30469
2020-03-25,11.14911
2020-03-26,10.39772
2020-03-27,11.10585
2020-03-28,5.64194
2020-03-29,3.34654
2020-03-30,11.60879
2020-03-31,16.27202
2020-04-01,11.28389
2020-04-02,16.95803
2020-04-03,21.08916
2020-04-04,10.13921
2020-04-05,5.15108
2020-04-06,17.72652
2020-04-07,18.25058
2020-04-08,17.60883
2020-04-09,19.06835
2020-04-10,18.66399
2020-04-11,6.507
2020-04-12,4.41277
2020-04-13,12.79773
2020-04-14,9.85052
2020-04-15,9.64331
2020-04-16,12.21936
2020-04-17,15.1716
2020-04-18,8.33668
2020-04-19,7.41027
2020-04-20,55.20539
2020-04-21,100.0
2020-04-22,40.12734
2020-04-23,30.54236
2020-04-24,17.3976
2020-04-25,8.04297
2020-04-26,4.64613
2020-04-27,15.93405
2020-04-28,17.28796
2020-04-29,12.65088
2020-04-30,9.24398
2020-05-01,9.90283
2020-05-02,6.17003
2020-05-03,3.85652
2020-05-04,9.10718
2020-05-05,9.4693
2020-05-06,19.06332
2020-05-07,14.73203
2020-05-08,9.92697
2020-05-09,5.18125
2020-05-10,3.05685
2020-05-11,7.61446
2020-05-12,7.78446
2020-05-13,7.40826
2020-05-14,6.34404
2020-05-15,7.07934
2020-05-16,4.46909
2020-05-17,2.50865
2020-05-18,7.35394
2020-05-19,8.94624
2020-05-20,7.38915
2020-05-21,7.58529
2020-05-22,8.33869
2020-05-23,3.49641
2020-05-24,1.885
2020-05-25,4.795
2020-05-26,5.98998
2020-05-27,5.55142
2020-05-28,6.31387
2020-05-29,4.88854
2020-05-30,3.18359
2020-05-31,1.64158
2020-06-01,5.16114
2020-06-02,5.66709
2020-06-03,6.92645
2020-06-04,6.47481
2020-06-05,5.59165
2020-06-06,3.65333
2020-06-07,1.99364
2020-06-08,5.70431
2020-06-09,6.47682
2020-06-10,5.88838
2020-06-11,5.74857
2020-06-12,6.36215
2020-06-13,2.62231
2020-06-14,1.46354
2020-06-15,4.51738
2020-06-16,5.09274
2020-06-17,4.57572
2020-06-18,4.02249
2020-06-19,4.39064
2020-06-20,2.25517
2020-06-21,1.24326
2020-06-22,3.76196
2020-06-23,4.63305
2020-06-24,4.18745
2020-06-25,4.92878
2020-06-26,3.67244
2020-06-27,1.86388
2020-06-28,0.93546
2020-06-29,2.911
2020-06-30,3.50547
2020-07-01,3.55174
2020-07-02,3.38074
2020-07-03,3.04779
2020-07-04,1.58525
2020-07-05,0.85096
2020-07-06,2.63036
2020-07-07,2.90094
2020-07-08,2.63036
2020-07-09,2.55693
2020-07-10,2.60722
2020-07-11,1.41928
2020-07-12,0.72925
2020-07-13,2.18978
2020-07-14,2.72692
2020-07-15,2.60219
2020-07-16,2.58409
2020-07-17,2.08316
2020-07-18,1.10746
2020-07-19,0.52204
