date,간병보험
2020-03-20,13.12559
2020-03-21,10.1983
2020-03-22,9.25401
2020-03-23,14.73087
2020-03-24,13.5033
2020-03-25,15.4863
2020-03-26,12.93673
2020-03-27,15.29745
2020-03-28,8.59301
2020-03-29,9.44287
2020-03-30,16.90273
2020-03-31,14.54202
2020-04-01,8.40415
2020-04-02,10.29272
2020-04-03,9.44287
2020-04-04,5.76015
2020-04-05,7.64872
2020-04-06,10.1983
2020-04-07,11.70915
2020-04-08,11.14258
2020-04-09,13.5033
2020-04-10,9.91501
2020-04-11,6.13786
2020-04-12,5.38243
2020-04-13,9.53729
2020-04-14,15.67516
2020-04-15,6.13786
2020-04-16,12.74787
2020-04-17,12.8423
2020-04-18,5.85457
2020-04-19,6.42115
2020-04-20,12.8423
2020-04-21,13.78659
2020-04-22,17.28045
2020-04-23,13.5033
2020-04-24,10.95372
2020-04-25,6.23229
2020-04-26,8.59301
2020-04-27,14.73087
2020-04-28,13.88101
2020-04-29,9.15958
2020-04-30,8.12086
2020-05-01,7.64872
2020-05-02,3.305
2020-05-03,7.36543
2020-05-04,11.89801
2020-05-05,8.49858
2020-05-06,10.95372
2020-05-07,10.8593
2020-05-08,9.34844
2020-05-09,6.98772
2020-05-10,7.08215
2020-05-11,9.82058
2020-05-12,11.5203
2020-05-13,11.5203
2020-05-14,9.72615
2020-05-15,8.78186
2020-05-16,5.66572
2020-05-17,4.72143
2020-05-18,12.65344
2020-05-19,15.4863
2020-05-20,11.14258
2020-05-21,12.27573
2020-05-22,11.42587
2020-05-23,7.17658
2020-05-24,7.55429
2020-05-25,12.08687
2020-05-26,11.23701
2020-05-27,10.1983
2020-05-28,9.63172
2020-05-29,8.02644
2020-05-30,6.61
2020-05-31,6.70443
2020-06-01,8.49858
2020-06-02,9.82058
2020-06-03,7.74315
2020-06-04,10.95372
2020-06-05,8.02644
2020-06-06,5.57129
2020-06-07,4.81586
2020-06-08,11.14258
2020-06-09,7.45986
2020-06-10,10.95372
2020-06-11,8.21529
2020-06-12,10.29272
2020-06-13,5.19357
2020-06-14,6.98772
2020-06-15,12.1813
2020-06-16,9.34844
2020-06-17,10.10387
2020-06-18,8.12086
2020-06-19,7.55429
2020-06-20,5.85457
2020-06-21,5.19357
2020-06-22,8.78186
2020-06-23,10.57601
2020-06-24,10.10387
2020-06-25,11.61473
2020-06-26,10.38715
2020-06-27,4.24929
2020-06-28,5.66572
2020-06-29,10.1983
2020-06-30,7.45986
2020-07-01,9.91501
2020-07-02,9.82058
2020-07-03,8.30972
2020-07-04,5.57129
2020-07-05,7.17658
2020-07-06,8.68744
2020-07-07,10.76487
2020-07-08,11.14258
2020-07-09,9.82058
2020-07-10,7.83758
2020-07-11,5.288
2020-07-12,6.79886
2020-07-13,11.80358
2020-07-14,10.10387
2020-07-15,10.67044
2020-07-16,11.14258
2020-07-17,8.12086
2020-07-18,6.70443
2020-07-19,6.13786
2020-07-20,10.95372
2020-07-21,10.00944
2020-07-22,8.59301
2020-07-23,9.72615
2020-07-24,9.44287
2020-07-25,7.45986
2020-07-26,7.74315
2020-07-27,11.33144
2020-07-28,11.14258
2020-07-29,10.38715
2020-07-30,11.23701
2020-07-31,8.02644
2020-08-01,8.68744
2020-08-02,5.66572
2020-08-03,9.34844
2020-08-04,8.49858
2020-08-05,11.04815
2020-08-06,10.48158
2020-08-07,11.89801
2020-08-08,6.79886
2020-08-09,7.36543
2020-08-10,9.06515
2020-08-11,12.65344
2020-08-12,13.5033
2020-08-13,11.42587
2020-08-14,9.06515
2020-08-15,5.09915
2020-08-16,7.55429
2020-08-17,8.02644
2020-08-18,9.63172
2020-08-19,10.29272
2020-08-20,10.48158
2020-08-21,12.74787
2020-08-22,8.21529
2020-08-23,6.89329
2020-08-24,11.89801
2020-08-25,13.69216
2020-08-26,9.44287
2020-08-27,11.33144
2020-08-28,10.00944
2020-08-29,8.59301
2020-08-30,8.12086
2020-08-31,11.61473
2020-09-01,10.76487
2020-09-02,8.87629
2020-09-03,9.06515
2020-09-04,7.08215
2020-09-05,5.66572
2020-09-06,5.38243
2020-09-07,11.42587
2020-09-08,11.04815
2020-09-09,12.93673
2020-09-10,12.46458
2020-09-11,12.8423
2020-09-12,8.78186
2020-09-13,5.47686
2020-09-14,12.27573
2020-09-15,13.5033
2020-09-16,11.42587
2020-09-17,12.37016
2020-09-18,9.53729
2020-09-19,6.23229
2020-09-20,7.27101
2020-09-21,12.8423
2020-09-22,10.00944
2020-09-23,8.97072
2020-09-24,13.59773
2020-09-25,10.10387
2020-09-26,6.79886
2020-09-27,7.08215
