date,간병인보험
2020-03-20,2.77885
2020-03-21,2.44608
2020-03-22,2.17814
2020-03-23,2.91715
2020-03-24,3.14188
2020-03-25,3.39686
2020-03-26,3.32771
2020-03-27,3.21967
2020-03-28,2.42447
2020-03-29,2.26889
2020-03-30,3.22831
2020-03-31,3.15052
2020-04-01,2.54548
2020-04-02,3.03816
2020-04-03,2.46769
2020-04-04,2.12628
2020-04-05,2.29914
2020-04-06,3.07273
2020-04-07,3.17213
2020-04-08,3.09434
2020-04-09,3.21102
2020-04-10,2.92579
2020-04-11,2.14788
2020-04-12,2.36397
2020-04-13,2.97333
2020-04-14,3.13755
2020-04-15,2.29482
2020-04-16,2.87393
2020-04-17,2.87825
2020-04-18,2.02255
2020-04-19,2.13492
2020-04-20,3.07705
2020-04-21,2.91715
2020-04-22,2.8869
2020-04-23,2.93876
2020-04-24,2.92147
2020-04-25,1.9923
2020-04-26,2.42447
2020-04-27,2.70971
2020-04-28,3.01223
2020-04-29,2.73131
2020-04-30,1.90155
2020-05-01,2.09602
2020-05-02,1.95341
2020-05-03,2.19974
2020-05-04,3.07273
2020-05-05,2.51955
2020-05-06,3.28017
2020-05-07,3.13323
2020-05-08,2.90418
2020-05-09,2.44608
2020-05-10,2.39854
2020-05-11,2.99926
2020-05-12,3.18509
2020-05-13,3.05112
2020-05-14,3.18942
2020-05-15,3.13323
2020-05-16,2.08738
2020-05-17,2.00959
2020-05-18,2.77021
2020-05-19,3.11595
2020-05-20,2.95604
2020-05-21,2.94308
2020-05-22,2.73131
2020-05-23,2.03552
2020-05-24,1.91019
2020-05-25,2.848
2020-05-26,2.93876
2020-05-27,2.92579
2020-05-28,2.36397
2020-05-29,2.35533
2020-05-30,1.59903
2020-05-31,1.52556
2020-06-01,2.28186
2020-06-02,2.16085
2020-06-03,2.38558
2020-06-04,2.2905
2020-06-05,2.23432
2020-06-06,1.61631
2020-06-07,1.50395
2020-06-08,3.22399
2020-06-09,2.70538
2020-06-10,2.51523
2020-06-11,2.56277
2020-06-12,2.16517
2020-06-13,1.61631
2020-06-14,1.64657
2020-06-15,2.64488
2020-06-16,2.31211
2020-06-17,2.35965
2020-06-18,2.49794
2020-06-19,2.08306
2020-06-20,1.4737
2020-06-21,1.57742
2020-06-22,2.37693
2020-06-23,2.05281
2020-06-24,2.42447
2020-06-25,2.36829
2020-06-26,2.21703
2020-06-27,1.65089
2020-06-28,1.59903
2020-06-29,2.47633
2020-06-30,2.10035
2020-07-01,2.25593
2020-07-02,2.11763
2020-07-03,2.07009
2020-07-04,1.84969
2020-07-05,1.66817
2020-07-06,2.38558
2020-07-07,2.53252
2020-07-08,2.89122
2020-07-09,2.5887
2020-07-10,2.2905
2020-07-11,1.49531
2020-07-12,2.03552
2020-07-13,2.41151
2020-07-14,2.73131
2020-07-15,2.61031
2020-07-16,2.45473
2020-07-17,2.1911
2020-07-18,1.66817
2020-07-19,1.66817
2020-07-20,2.26889
2020-07-21,2.51091
2020-07-22,2.5887
2020-07-23,2.42447
2020-07-24,2.20407
2020-07-25,2.1911
2020-07-26,2.10035
2020-07-27,2.67513
2020-07-28,2.9085
2020-07-29,2.67513
2020-07-30,2.3294
2020-07-31,2.2516
2020-08-01,1.64224
2020-08-02,1.58606
2020-08-03,2.27321
2020-08-04,2.26889
2020-08-05,2.38558
2020-08-06,2.351
2020-08-07,2.46337
2020-08-08,2.00095
2020-08-09,1.70707
2020-08-10,2.72267
2020-08-11,2.79614
2020-08-12,2.42015
2020-08-13,2.44608
2020-08-14,2.15221
2020-08-15,1.6336
2020-08-16,1.51259
2020-08-17,2.02688
2020-08-18,2.33372
2020-08-19,2.45905
2020-08-20,2.20407
2020-08-21,2.14788
2020-08-22,1.71139
2020-08-23,1.36565
2020-08-24,2.55412
2020-08-25,2.44176
2020-08-26,2.58005
2020-08-27,2.40286
2020-08-28,2.0917
2020-08-29,1.58174
2020-08-30,1.97502
2020-08-31,2.49794
2020-09-01,2.48498
2020-09-02,2.45905
2020-09-03,2.23864
2020-09-04,1.96205
2020-09-05,1.71571
2020-09-06,1.88426
2020-09-07,2.39422
2020-09-08,2.54548
2020-09-09,2.49362
2020-09-10,2.37261
2020-09-11,2.10467
2020-09-12,1.53852
2020-09-13,1.40887
2020-09-14,2.52387
2020-09-15,2.21271
2020-09-16,2.36829
2020-09-17,2.2905
2020-09-18,2.01391
2020-09-19,1.52124
2020-09-20,1.51259
2020-09-21,2.24296
2020-09-22,2.19974
2020-09-23,2.30347
2020-09-24,2.13492
2020-09-25,2.1911
2020-09-26,1.69843
2020-09-27,1.54284
2020-09-28,2.1911
2020-09-29,1.94476
2020-09-30,1.38726
2020-10-01,1.92316
2020-10-02,1.85833
2020-10-03,1.75461
2020-10-04,1.95341
2020-10-05,2.79614
2020-10-06,2.63624
2020-10-07,2.72699
2020-10-08,2.45473
2020-10-09,1.85401
2020-10-10,1.46073
2020-10-11,1.95773
2020-10-12,2.66217
2020-10-13,2.66217
2020-10-14,2.67945
2020-10-15,2.63192
2020-10-16,2.4893
2020-10-17,1.7719
2020-10-18,1.56013
2020-10-19,2.64488
2020-10-20,2.38558
2020-10-21,2.71835
2020-10-22,2.52819
2020-10-23,2.55412
2020-10-24,1.69843
2020-10-25,1.78054
2020-10-26,2.91715
2020-10-27,2.58438
2020-10-28,2.73564
2020-10-29,2.5887
2020-10-30,2.40719
2020-10-31,1.37862
2020-11-01,1.72868
2020-11-02,2.59734
2020-11-03,2.77885
2020-11-04,2.27754
2020-11-05,2.30779
2020-11-06,2.22567
2020-11-07,1.66817
2020-11-08,1.46938
2020-11-09,5.50153
2020-11-10,4.77116
2020-11-11,4.22663
2020-11-12,3.95004
2020-11-13,3.11595
2020-11-14,2.10035
2020-11-15,2.34236
2020-11-16,3.11595
2020-11-17,3.2067
2020-11-18,2.99494
2020-11-19,2.74428
2020-11-20,2.4504
2020-11-21,1.77622
2020-11-22,1.80215
2020-11-23,2.38126
2020-11-24,2.52387
2020-11-25,2.45473
2020-11-26,2.65352
2020-11-27,2.15221
2020-11-28,1.85833
2020-11-29,1.79783
2020-11-30,2.10467
2020-12-01,2.33372
2020-12-02,2.24728
2020-12-03,2.13492
2020-12-04,2.24296
2020-12-05,1.70275
2020-12-06,1.95773
2020-12-07,2.43744
2020-12-08,2.54116
2020-12-09,2.67945
2020-12-10,2.45473
2020-12-11,2.33804
2020-12-12,1.733
2020-12-13,1.62928
2020-12-14,2.5498
2020-12-15,2.45905
2020-12-16,2.34668
2020-12-17,2.39422
2020-12-18,2.26457
2020-12-19,1.87562
2020-12-20,1.98366
2020-12-21,2.38126
2020-12-22,2.52387
2020-12-23,2.32075
2020-12-24,2.45473
2020-12-25,1.58174
2020-12-26,1.75461
2020-12-27,1.87129
2020-12-28,2.69242
2020-12-29,2.47633
2020-12-30,2.43312
