date,개인연금
2020-03-20,32.7571
2020-03-21,24.49457
2020-03-22,20.89071
2020-03-23,33.2845
2020-03-24,30.88192
2020-03-25,33.81189
2020-03-26,33.60679
2020-03-27,29.15323
2020-03-28,23.76208
2020-03-29,36.50747
2020-03-30,51.77263
2020-03-31,48.52036
2020-04-01,39.17374
2020-04-02,34.80808
2020-04-03,34.48578
2020-04-04,24.64107
2020-04-05,27.30735
2020-04-06,28.77234
2020-04-07,31.35071
2020-04-08,27.98124
2020-04-09,25.43217
2020-04-10,25.63726
2020-04-11,22.0334
2020-04-12,30.55962
2020-04-13,37.32786
2020-04-14,30.73542
2020-04-15,27.92264
2020-04-16,29.09463
2020-04-17,29.79783
2020-04-18,23.64488
2020-04-19,24.26018
2020-04-20,30.23732
2020-04-21,32.9329
2020-04-22,34.22209
2020-04-23,32.8157
2020-04-24,27.80544
2020-04-25,22.1799
2020-04-26,24.81687
2020-04-27,29.09463
2020-04-28,26.01816
2020-04-29,35.51128
2020-04-30,26.01816
2020-05-01,22.0627
2020-05-02,18.66393
2020-05-03,23.35188
2020-05-04,30.58892
2020-05-05,27.27805
2020-05-06,30.14942
2020-05-07,28.94813
2020-05-08,29.41693
2020-05-09,22.1213
2020-05-10,25.87166
2020-05-11,37.97245
2020-05-12,35.01318
2020-05-13,32.7571
2020-05-14,30.44242
2020-05-15,26.57486
2020-05-16,25.34427
2020-05-17,28.42074
2020-05-18,30.41312
2020-05-19,31.20421
2020-05-20,30.35452
2020-05-21,32.9036
2020-05-22,27.13155
2020-05-23,20.65631
2020-05-24,26.04746
2020-05-25,34.60298
2020-05-26,34.25139
2020-05-27,30.79402
2020-05-28,30.06152
2020-05-29,25.78376
2020-05-30,18.07793
2020-05-31,21.1837
2020-06-01,28.45004
2020-06-02,41.42982
2020-06-03,31.05772
2020-06-04,40.81453
2020-06-05,74.56782
2020-06-06,43.09991
2020-06-07,24.90477
2020-06-08,30.91122
2020-06-09,28.88953
2020-06-10,30.35452
2020-06-11,31.02842
2020-06-12,24.61177
2020-06-13,18.69323
2020-06-14,20.42191
2020-06-15,26.51626
2020-06-16,25.52007
2020-06-17,23.61558
2020-06-18,32.2297
2020-06-19,27.68825
2020-06-20,16.90594
2020-06-21,22.44359
2020-06-22,26.34046
2020-06-23,27.68825
2020-06-24,30.26662
2020-06-25,28.33284
2020-06-26,25.46147
2020-06-27,17.37474
2020-06-28,18.72253
2020-06-29,25.66656
2020-06-30,26.95575
2020-07-01,25.16847
2020-07-02,23.64488
2020-07-03,24.14298
2020-07-04,14.64986
2020-07-05,21.00791
2020-07-06,28.03984
2020-07-07,26.54556
2020-07-08,27.62965
2020-07-09,25.02197
2020-07-10,23.61558
2020-07-11,17.28684
2020-07-12,22.26779
2020-07-13,28.30354
2020-07-14,31.35071
2020-07-15,33.138
2020-07-16,27.45385
2020-07-17,27.62965
2020-07-18,22.44359
2020-07-19,20.94931
2020-07-20,30.17872
2020-07-21,44.74069
2020-07-22,62.55493
2020-07-23,35.95077
2020-07-24,28.12774
2020-07-25,22.092
2020-07-26,22.1506
2020-07-27,30.79402
2020-07-28,32.7864
2020-07-29,30.61822
2020-07-30,26.19396
2020-07-31,26.10606
2020-08-01,17.31614
2020-08-02,17.57984
2020-08-03,27.95194
2020-08-04,26.75065
2020-08-05,27.04365
2020-08-06,25.16847
2020-08-07,24.78757
2020-08-08,49.98535
2020-08-09,27.80544
2020-08-10,30.76472
2020-08-11,33.78259
2020-08-12,29.65133
2020-08-13,24.11368
2020-08-14,23.76208
2020-08-15,21.1251
2020-08-16,19.27922
