date,건강보험종류
2020-03-20,2.47665
2020-03-21,1.66463
2020-03-22,2.31425
2020-03-23,5.44051
2020-03-24,5.31871
2020-03-25,4.26309
2020-03-26,3.53227
2020-03-27,2.07064
2020-03-28,1.42103
2020-03-29,1.98944
2020-03-30,4.22249
2020-03-31,4.50669
2020-04-01,3.49167
2020-04-02,4.8315
2020-04-03,4.14129
2020-04-04,1.42103
2020-04-05,4.50669
2020-04-06,9.62241
2020-04-07,9.98781
2020-04-08,8.03897
2020-04-09,6.73974
2020-04-10,4.7097
2020-04-11,1.66463
2020-04-12,3.69468
2020-04-13,5.80592
2020-04-14,4.6691
2020-04-15,3.32927
2020-04-16,5.72472
2020-04-17,4.38489
2020-04-18,1.54283
2020-04-19,3.65408
2020-04-20,9.2164
2020-04-21,8.12017
2020-04-22,7.14575
2020-04-23,4.7503
2020-04-24,4.01948
2020-04-25,1.82704
2020-04-26,3.32927
2020-04-27,7.22695
2020-04-28,4.9939
2020-04-29,3.97888
2020-04-30,0.73081
2020-05-01,1.09622
2020-05-02,0.85261
2020-05-03,2.35485
2020-05-04,4.7909
2020-05-05,5.44051
2020-05-06,6.94275
2020-05-07,4.14129
2020-05-08,3.16686
2020-05-09,1.01502
2020-05-10,1.98944
2020-05-11,4.8315
2020-05-12,4.18189
2020-05-13,3.36987
2020-05-14,2.72025
2020-05-15,1.86764
2020-05-16,0.52781
2020-05-17,1.50223
2020-05-18,2.92326
2020-05-19,2.84206
2020-05-20,3.12626
2020-05-21,2.43605
2020-05-22,1.82704
2020-05-23,1.13682
2020-05-24,1.98944
2020-05-25,4.6285
2020-05-26,8.93219
2020-05-27,37.06861
2020-05-28,22.8989
2020-05-29,9.82541
2020-05-30,3.77588
2020-05-31,9.70361
2020-06-01,13.43889
2020-06-02,7.87657
2020-06-03,7.67356
2020-06-04,7.55176
2020-06-05,3.45107
2020-06-06,1.98944
2020-06-07,3.16686
2020-06-08,7.10515
2020-06-09,7.71416
2020-06-10,6.65854
2020-06-11,4.6691
2020-06-12,2.35485
2020-06-13,0.97442
2020-06-14,2.96386
2020-06-15,4.10069
2020-06-16,3.93828
2020-06-17,3.00446
2020-06-18,2.76086
2020-06-19,1.62403
2020-06-20,0.48721
2020-06-21,1.05562
2020-06-22,2.67965
2020-06-23,2.72025
2020-06-24,2.15184
2020-06-25,1.54283
2020-06-26,1.66463
2020-06-27,0.48721
2020-06-28,1.50223
2020-06-29,3.45107
2020-06-30,2.59845
2020-07-01,2.23304
2020-07-02,2.15184
2020-07-03,2.03004
2020-07-04,0.4466
2020-07-05,0.48721
2020-07-06,2.59845
2020-07-07,2.07064
2020-07-08,2.11124
2020-07-09,2.11124
2020-07-10,1.09622
2020-07-11,0.3654
2020-07-12,1.09622
2020-07-13,1.58343
2020-07-14,2.11124
2020-07-15,1.54283
2020-07-16,1.46163
2020-07-17,0.93382
2020-07-18,0.56841
2020-07-19,0.406
2020-07-20,2.15184
2020-07-21,1.09622
2020-07-22,0.73081
2020-07-23,0.85261
2020-07-24,0.64961
2020-07-25,0.2436
2020-07-26,0.4466
2020-07-27,1.42103
2020-07-28,0.85261
2020-07-29,1.01502
2020-07-30,0.69021
2020-07-31,0.56841
2020-08-02,0.4466
2020-08-03,1.46163
2020-08-04,1.09622
2020-08-05,1.33982
2020-08-06,1.46163
2020-08-07,0.89321
2020-08-08,0.77141
2020-08-09,0.93382
2020-08-10,1.66463
2020-08-11,1.50223
2020-08-12,1.21802
2020-08-13,0.81201
2020-08-14,0.81201
2020-08-15,0.3248
2020-08-16,0.73081
2020-08-17,0.73081
2020-08-18,1.21802
2020-08-19,1.13682
2020-08-20,0.81201
2020-08-21,0.93382
2020-08-22,0.52781
2020-08-23,0.85261
2020-08-24,1.01502
2020-08-25,1.33982
2020-08-26,1.01502
2020-08-27,1.13682
2020-08-28,0.60901
2020-08-29,0.3654
2020-08-30,0.93382
2020-08-31,1.82704
2020-09-01,2.07064
2020-09-02,2.11124
2020-09-03,1.42103
2020-09-04,1.33982
2020-09-05,0.52781
2020-09-06,1.01502
2020-09-07,1.74583
2020-09-08,1.90824
2020-09-09,1.98944
2020-09-10,1.13682
2020-09-11,1.17742
2020-09-12,0.64961
2020-09-13,0.73081
2020-09-14,1.86764
2020-09-15,1.98944
2020-09-16,1.70523
2020-09-17,1.05562
2020-09-18,0.73081
2020-09-19,0.2436
2020-09-20,0.3654
2020-09-21,2.31425
2020-09-22,1.70523
2020-09-23,1.50223
2020-09-24,1.62403
2020-09-25,0.81201
2020-09-26,0.2436
2020-09-27,0.73081
2020-09-28,1.25862
2020-09-29,0.77141
2020-10-03,0.3248
2020-10-04,1.09622
2020-10-05,2.07064
2020-10-06,1.86764
2020-10-07,1.58343
2020-10-08,0.89321
2020-10-09,0.3248
2020-10-10,0.3654
2020-10-11,1.05562
2020-10-12,1.94884
2020-10-13,2.92326
2020-10-14,1.82704
2020-10-15,1.29922
2020-10-16,0.73081
2020-10-17,0.3248
2020-10-18,0.64961
2020-10-19,2.15184
2020-10-20,1.66463
2020-10-21,1.70523
2020-10-22,1.38043
2020-10-23,0.64961
