date,골절보험
2020-03-20,23.91304
2020-03-21,15.21739
2020-03-22,13.04347
2020-03-23,50.0
2020-03-24,34.7826
2020-03-25,17.3913
2020-03-26,19.56521
2020-03-27,45.65217
2020-03-28,26.08695
2020-03-29,28.26086
2020-03-30,32.60869
2020-03-31,15.21739
2020-04-01,32.60869
2020-04-02,36.95652
2020-04-03,50.0
2020-04-04,15.21739
2020-04-05,23.91304
2020-04-06,45.65217
2020-04-07,23.91304
2020-04-08,32.60869
2020-04-09,41.30434
2020-04-10,30.43478
2020-04-11,13.04347
2020-04-12,13.04347
2020-04-13,19.56521
2020-04-15,10.86956
2020-04-16,17.3913
2020-04-17,23.91304
2020-04-18,26.08695
2020-04-19,15.21739
2020-04-20,21.73913
2020-04-21,23.91304
2020-04-22,21.73913
2020-04-23,30.43478
2020-04-24,13.04347
2020-04-25,10.86956
2020-04-26,13.04347
2020-04-27,36.95652
2020-04-28,15.21739
2020-04-29,30.43478
2020-04-30,10.86956
2020-05-01,10.86956
2020-05-02,19.56521
2020-05-04,36.95652
2020-05-05,28.26086
2020-05-06,43.47826
2020-05-07,19.56521
2020-05-08,36.95652
2020-05-09,21.73913
2020-05-10,26.08695
2020-05-11,23.91304
2020-05-12,41.30434
2020-05-13,23.91304
2020-05-14,19.56521
2020-05-15,23.91304
2020-05-16,17.3913
2020-05-18,36.95652
2020-05-19,47.82608
2020-05-20,36.95652
2020-05-21,32.60869
2020-05-22,21.73913
2020-05-23,17.3913
2020-05-25,17.3913
2020-05-26,32.60869
2020-05-27,43.47826
2020-05-28,23.91304
2020-05-29,15.21739
2020-05-30,13.04347
2020-05-31,23.91304
2020-06-01,21.73913
2020-06-02,34.7826
2020-06-03,43.47826
2020-06-04,32.60869
2020-06-05,32.60869
2020-06-06,26.08695
2020-06-08,36.95652
2020-06-09,32.60869
2020-06-10,23.91304
2020-06-11,30.43478
2020-06-12,41.30434
2020-06-13,30.43478
2020-06-14,19.56521
2020-06-15,54.34782
2020-06-16,36.95652
2020-06-17,60.86956
2020-06-18,26.08695
2020-06-19,17.3913
2020-06-20,19.56521
2020-06-21,21.73913
2020-06-22,47.82608
2020-06-23,28.26086
2020-06-24,15.21739
2020-06-25,15.21739
2020-06-26,32.60869
2020-06-27,23.91304
2020-06-28,23.91304
2020-06-29,71.73913
2020-06-30,36.95652
2020-07-01,56.52173
2020-07-02,45.65217
2020-07-03,54.34782
2020-07-04,47.82608
2020-07-05,34.7826
2020-07-06,43.47826
2020-07-07,39.13043
2020-07-08,43.47826
2020-07-09,50.0
2020-07-10,32.60869
2020-07-11,28.26086
2020-07-12,21.73913
2020-07-13,52.17391
2020-07-14,43.47826
2020-07-15,39.13043
2020-07-16,45.65217
2020-07-17,32.60869
2020-07-18,30.43478
2020-07-19,28.26086
2020-07-20,56.52173
2020-07-21,67.3913
2020-07-22,56.52173
2020-07-23,32.60869
2020-07-24,28.26086
2020-07-25,17.3913
2020-07-26,26.08695
2020-07-27,26.08695
2020-07-28,47.82608
2020-07-29,26.08695
2020-07-30,47.82608
2020-07-31,32.60869
2020-08-01,39.13043
2020-08-02,10.86956
2020-08-03,36.95652
2020-08-04,67.3913
2020-08-05,30.43478
2020-08-06,26.08695
2020-08-07,36.95652
2020-08-09,15.21739
2020-08-10,41.30434
2020-08-11,63.04347
2020-08-12,58.69565
2020-08-13,36.95652
2020-08-14,26.08695
2020-08-15,19.56521
2020-08-16,21.73913
2020-08-17,54.34782
2020-08-18,58.69565
2020-08-19,54.34782
2020-08-20,36.95652
2020-08-21,41.30434
2020-08-22,21.73913
2020-08-23,41.30434
2020-08-24,41.30434
2020-08-25,34.7826
2020-08-26,26.08695
2020-08-27,30.43478
2020-08-28,23.91304
2020-08-29,34.7826
2020-08-30,26.08695
2020-08-31,21.73913
2020-09-01,32.60869
2020-09-02,34.7826
2020-09-03,23.91304
2020-09-04,21.73913
2020-09-05,15.21739
2020-09-06,15.21739
2020-09-07,30.43478
2020-09-08,30.43478
2020-09-09,45.65217
2020-09-10,41.30434
2020-09-11,54.34782
2020-09-12,26.08695
2020-09-13,28.26086
2020-09-14,47.82608
2020-09-15,45.65217
2020-09-16,56.52173
