date,공매도
2020-03-20,1.10387
2020-03-21,0.57175
2020-03-22,0.49077
2020-03-23,1.58722
2020-03-24,1.2194
2020-03-25,0.8412
2020-03-26,0.79774
2020-03-27,0.79075
2020-03-28,0.46766
2020-03-29,0.5709
2020-03-30,0.61564
2020-03-31,0.78375
2020-04-01,0.8183
2020-04-02,0.69513
2020-04-03,0.4878
2020-04-04,0.34046
2020-04-05,0.37841
2020-04-06,0.56221
2020-04-07,0.68877
2020-04-08,0.61224
2020-04-09,0.52363
2020-04-10,0.80177
2020-04-11,0.4967
2020-04-12,0.41593
2020-04-13,0.43883
2020-04-14,0.41487
2020-04-15,0.27135
2020-04-16,0.34979
2020-04-17,0.49416
2020-04-18,0.31015
2020-04-19,0.36187
2020-04-20,0.5921
2020-04-21,0.45325
2020-04-22,0.48844
2020-04-23,0.46109
2020-04-24,0.38074
2020-04-25,0.2828
2020-04-26,0.33495
2020-04-27,0.47678
2020-04-28,0.51239
2020-04-29,0.44583
2020-04-30,0.28831
2020-05-01,0.23552
2020-05-02,0.24125
2020-05-03,0.23595
2020-05-04,0.39092
2020-05-05,0.32562
2020-05-06,0.43268
2020-05-07,0.41699
2020-05-08,0.3182
2020-05-09,0.20076
2020-05-10,0.29446
2020-05-11,0.3358
2020-05-12,0.32923
2020-05-13,0.35615
2020-05-14,0.40406
2020-05-15,0.44858
2020-05-16,0.25079
2020-05-17,0.28577
2020-05-18,0.34428
2020-05-19,0.40343
2020-05-20,0.403
2020-05-21,0.62581
2020-05-22,0.66567
2020-05-23,0.6292
2020-05-24,0.44053
2020-05-25,0.58956
2020-05-26,0.81046
2020-05-27,0.75449
2020-05-28,0.58341
2020-05-29,0.47763
2020-05-30,0.26224
2020-05-31,0.25036
2020-06-01,0.61754
2020-06-02,0.93745
2020-06-03,1.39409
2020-06-04,1.99341
2020-06-05,1.11871
2020-06-06,1.07143
2020-06-07,1.01546
2020-06-08,1.42907
2020-06-09,1.68283
2020-06-10,1.12443
2020-06-11,4.77481
2020-06-12,1.26562
2020-06-13,0.40152
2020-06-14,0.63026
2020-06-15,0.98621
2020-06-16,0.67775
2020-06-17,0.73351
2020-06-18,0.98006
2020-06-19,0.97603
2020-06-20,0.31121
2020-06-21,0.32583
2020-06-22,0.55967
2020-06-23,0.66588
2020-06-24,0.62836
2020-06-25,0.57642
2020-06-26,0.42251
2020-06-27,0.20245
2020-06-28,0.22302
2020-06-29,0.42399
2020-06-30,0.40215
2020-07-01,0.41996
2020-07-02,0.36166
2020-07-03,0.36357
2020-07-04,0.21242
2020-07-05,0.20266
2020-07-06,0.41721
2020-07-07,0.50646
2020-07-08,0.54737
2020-07-09,0.70849
2020-07-10,0.54144
2020-07-11,0.40491
2020-07-12,0.33707
2020-07-13,0.58574
2020-07-14,0.55776
2020-07-15,0.56073
2020-07-16,0.57832
2020-07-17,0.67987
2020-07-18,0.32329
2020-07-19,0.37417
2020-07-20,0.58108
2020-07-21,0.7511
2020-07-22,0.8747
2020-07-23,0.93957
2020-07-24,0.87067
2020-07-25,0.44222
2020-07-26,0.41742
2020-07-27,1.19184
2020-07-28,0.88424
2020-07-29,1.08139
2020-07-30,1.26795
2020-07-31,0.84904
2020-08-01,0.46703
2020-08-02,0.60588
2020-08-03,1.09178
2020-08-04,1.86684
2020-08-05,1.71696
2020-08-06,2.1664
2020-08-07,2.26158
2020-08-08,1.01483
2020-08-09,1.13609
2020-08-10,2.26328
