date,공모
2020-03-20,13.37613
2020-03-21,5.45746
2020-03-22,6.47405
2020-03-23,13.59015
2020-03-24,14.39272
2020-03-25,15.56982
2020-03-26,14.49973
2020-03-27,13.16211
2020-03-28,6.09951
2020-03-29,6.79507
2020-03-30,12.19903
2020-03-31,15.14178
2020-04-01,13.80417
2020-04-02,13.69716
2020-04-03,14.28571
2020-04-04,7.70465
2020-04-05,6.63456
2020-04-06,14.2322
2020-04-07,17.01444
2020-04-08,15.99785
2020-04-09,14.98127
2020-04-10,12.78758
2020-04-11,6.52755
2020-04-12,6.09951
2020-04-13,14.71375
2020-04-14,14.98127
2020-04-15,6.90208
2020-04-16,13.48314
2020-04-17,14.76725
2020-04-18,6.95559
2020-04-19,6.47405
2020-04-20,12.41305
2020-04-21,15.51631
2020-04-22,15.51631
2020-04-23,14.98127
2020-04-24,12.46655
2020-04-25,5.29695
2020-04-26,6.20652
2020-04-27,13.32263
2020-04-28,14.49973
2020-04-29,12.09202
2020-04-30,7.75815
2020-05-01,7.81166
2020-05-02,5.83199
2020-05-03,5.29695
2020-05-04,10.75441
2020-05-05,6.79507
2020-05-06,13.96468
2020-05-07,13.21562
2020-05-08,12.9481
2020-05-09,6.20652
2020-05-10,5.9925
2020-05-11,14.1252
2020-05-12,14.55323
2020-05-13,12.25254
2020-05-14,13.21562
2020-05-15,12.14553
2020-05-16,5.02942
2020-05-17,6.04601
2020-05-18,12.03852
2020-05-19,15.3558
2020-05-20,14.2322
2020-05-21,13.75066
2020-05-22,12.9481
2020-05-23,5.939
2020-05-24,7.54414
2020-05-25,13.69716
2020-05-26,15.19529
2020-05-27,12.57356
2020-05-28,15.4093
2020-05-29,11.50347
2020-05-30,5.77849
2020-05-31,5.9925
2020-06-01,12.78758
2020-06-02,14.98127
2020-06-03,12.41305
2020-06-04,14.87426
2020-06-05,13.85767
2020-06-06,6.52755
2020-06-07,7.00909
2020-06-08,16.15837
2020-06-09,16.05136
2020-06-10,15.56982
2020-06-11,16.05136
2020-06-12,14.71375
2020-06-13,6.15302
2020-06-14,6.84858
2020-06-15,15.94435
2020-06-16,16.05136
2020-06-17,15.51631
2020-06-18,16.74692
2020-06-19,15.08828
2020-06-20,6.63456
2020-06-21,6.31353
2020-06-22,16.15837
2020-06-23,21.93686
2020-06-24,22.4184
2020-06-25,19.31514
2020-06-26,12.84109
2020-06-27,6.15302
2020-06-28,6.58105
2020-06-29,14.01819
2020-06-30,14.07169
2020-07-01,13.10861
2020-07-02,20.65275
2020-07-03,16.21187
2020-07-04,6.84858
2020-07-05,7.27661
2020-07-06,17.33547
2020-07-07,18.13804
2020-07-08,19.68967
2020-07-09,17.33547
2020-07-10,15.94435
2020-07-11,7.27661
2020-07-12,7.70465
2020-07-13,17.54949
2020-07-14,18.67308
2020-07-15,15.78384
2020-07-16,15.89085
2020-07-17,14.01819
2020-07-18,6.47405
2020-07-19,6.79507
2020-07-20,16.63991
2020-07-21,17.60299
2020-07-22,19.52915
2020-07-23,18.56607
2020-07-24,16.69341
2020-07-25,6.84858
2020-07-26,6.52755
2020-07-27,15.24879
2020-07-28,15.4093
2020-07-29,15.03477
2020-07-30,15.94435
2020-07-31,14.98127
2020-08-01,5.83199
2020-08-02,6.84858
2020-08-03,14.1252
2020-08-04,19.95719
2020-08-05,22.4184
2020-08-06,16.85393
2020-08-07,13.91118
2020-08-08,7.1696
2020-08-09,8.18619
2020-08-10,14.28571
2020-08-11,17.38897
2020-08-12,16.74692
2020-08-13,15.46281
2020-08-14,12.57356
2020-08-15,6.42054
2020-08-16,5.61797
2020-08-17,7.1696
2020-08-18,12.62707
2020-08-19,15.08828
2020-08-20,13.0016
2020-08-21,9.84483
2020-08-22,6.63456
2020-08-23,4.97592
2020-08-24,13.10861
2020-08-25,15.89085
2020-08-26,15.78384
2020-08-27,17.81701
2020-08-28,17.44248
2020-08-29,8.66773
2020-08-30,7.33012
2020-08-31,21.2413
2020-09-01,28.51792
2020-09-02,30.87212
2020-09-03,25.78919
2020-09-04,18.13804
2020-09-05,8.61423
2020-09-06,8.77474
2020-09-07,18.03103
2020-09-08,17.01444
2020-09-09,19.42215
2020-09-10,23.86302
2020-09-11,18.24505
2020-09-12,7.97217
2020-09-13,9.63081
2020-09-14,16.85393
2020-09-15,17.28196
2020-09-16,19.31514
2020-09-17,20.38523
2020-09-18,15.14178
2020-09-19,7.65115
2020-09-20,9.57731
2020-09-21,15.19529
2020-09-22,15.51631
2020-09-23,17.01444
