date,공모주청약
2020-03-20,0.09434
2020-03-21,0.05485
2020-03-22,0.0373
2020-03-23,0.06801
2020-03-24,0.0746
2020-03-25,0.09215
2020-03-26,0.10312
2020-03-27,0.08776
2020-03-28,0.05485
2020-03-29,0.07679
2020-03-30,0.05924
2020-03-31,0.0746
2020-04-01,0.05924
2020-04-02,0.0746
2020-04-03,0.05924
2020-04-04,0.0373
2020-04-05,0.0724
2020-04-06,0.11409
2020-04-07,0.15139
2020-04-08,0.12067
2020-04-09,0.12725
2020-04-10,0.19088
2020-04-11,0.12725
2020-04-12,0.12067
2020-04-13,0.10751
2020-04-14,0.16017
2020-04-15,0.08337
2020-04-16,0.11848
2020-04-17,0.14042
2020-04-18,0.0746
2020-04-19,0.1097
2020-04-20,0.12067
2020-04-21,0.1097
2020-04-22,0.08776
2020-04-23,0.09654
2020-04-24,0.10312
2020-04-25,0.05924
2020-04-26,0.07021
2020-04-27,0.1097
2020-04-28,0.1492
2020-04-29,0.09215
2020-04-30,0.0724
2020-05-01,0.07021
2020-05-02,0.03071
2020-05-03,0.05704
2020-05-04,0.08118
2020-05-05,0.05485
2020-05-06,0.10093
2020-05-07,0.06801
2020-05-08,0.09873
2020-05-09,0.06582
2020-05-10,0.05924
2020-05-11,0.13164
2020-05-12,0.17991
2020-05-13,0.1865
2020-05-14,0.07898
2020-05-15,0.07679
2020-05-16,0.06582
2020-05-17,0.05704
2020-05-18,0.10531
2020-05-19,0.31814
2020-05-20,0.68457
2020-05-21,0.47832
2020-05-22,0.32912
2020-05-23,0.15358
2020-05-24,0.12945
2020-05-25,0.19966
2020-05-26,0.31814
2020-05-27,0.29182
2020-05-28,0.21721
2020-05-29,0.24793
2020-05-30,0.14481
2020-05-31,0.30498
2020-06-01,0.4454
2020-06-02,0.39055
2020-06-03,0.46076
2020-06-04,0.4476
2020-06-05,0.47612
2020-06-06,0.33131
2020-06-07,0.2962
2020-06-08,0.59022
2020-06-09,0.72625
2020-06-10,0.76575
2020-06-11,0.72845
2020-06-12,0.84035
2020-06-13,0.69992
2020-06-14,0.60558
2020-06-15,1.44154
2020-06-16,1.48981
2020-06-17,1.58416
2020-06-18,1.33622
2020-06-19,1.41521
2020-06-20,0.85351
2020-06-21,0.92153
2020-06-22,2.47937
2020-06-23,4.9017
2020-06-24,7.0322
2020-06-25,2.66368
2020-06-26,2.49034
2020-06-27,0.72625
2020-06-28,0.58583
2020-06-29,0.99613
2020-06-30,0.59022
2020-07-01,0.89301
2020-07-02,2.98402
2020-07-03,2.33456
2020-07-04,0.77014
2020-07-05,0.52659
2020-07-06,1.58855
2020-07-07,1.74433
2020-07-08,1.96155
2020-07-09,1.94619
2020-07-10,1.02027
2020-07-11,0.54195
2020-07-12,0.6714
2020-07-13,2.0559
2020-07-14,2.12831
2020-07-15,1.68509
2020-07-16,1.99227
2020-07-17,1.12778
2020-07-18,0.66482
2020-07-19,0.56169
2020-07-20,1.29673
2020-07-21,1.51614
2020-07-22,2.11295
2020-07-23,1.36914
2020-07-24,1.01807
2020-07-25,0.45199
2020-07-26,0.46296
2020-07-27,0.80744
2020-07-28,1.03563
2020-07-29,0.87326
2020-07-30,0.88862
2020-07-31,0.57266
2020-08-01,0.33789
2020-08-02,0.29401
2020-08-03,0.99394
2020-08-04,1.7553
2020-08-05,1.20458
2020-08-06,1.26382
2020-08-07,0.89959
2020-08-08,0.57486
2020-08-09,0.56828
2020-08-10,1.3472
2020-08-11,1.02905
2020-08-12,0.96103
2020-08-13,0.78769
2020-08-14,0.7482
2020-08-15,0.33789
2020-08-16,0.32912
2020-08-17,0.39055
2020-08-18,0.58364
2020-08-19,0.57047
2020-08-20,0.44102
2020-08-21,0.54634
2020-08-22,0.34886
2020-08-23,0.28304
2020-08-24,0.73064
2020-08-25,1.09268
2020-08-26,2.64393
2020-08-27,2.19633
2020-08-28,2.88529
2020-08-29,1.12998
2020-08-30,1.20019
2020-08-31,7.81551
2020-09-01,12.53071
2020-09-02,10.83245
2020-09-03,4.41899
2020-09-04,2.39599
2020-09-05,0.99613
2020-09-06,1.1585
2020-09-07,1.51176
2020-09-08,1.65437
2020-09-09,1.57539
2020-09-10,3.35264
2020-09-11,2.12173
2020-09-12,0.8579
2020-09-13,0.87765
2020-09-14,1.71142
2020-09-15,1.45032
2020-09-16,1.27698
2020-09-17,0.92153
2020-09-18,0.70431
2020-09-19,0.38397
2020-09-20,0.44321
2020-09-21,0.75697
2020-09-22,0.73942
2020-09-23,0.69992
2020-09-24,0.64946
2020-09-25,0.57925
2020-09-26,0.31376
2020-09-27,0.31814
2020-09-28,1.04879
2020-09-29,0.92592
2020-09-30,0.41469
2020-10-01,0.30717
2020-10-02,0.42566
2020-10-03,0.61435
2020-10-04,0.98077
2020-10-05,5.32736
2020-10-06,4.69545
2020-10-07,2.01202
2020-10-08,1.07293
2020-10-09,0.52001
2020-10-10,0.28962
2020-10-11,0.47173
2020-10-12,0.62313
2020-10-13,0.59241
2020-10-14,0.60338
2020-10-15,1.62804
2020-10-16,0.97639
2020-10-17,0.40372
2020-10-18,0.50684
2020-10-19,1.17825
2020-10-20,1.02466
