date,국세완납증명서발급
2020-03-20,44.19786
2020-03-21,5.74866
2020-03-22,6.65775
2020-03-23,62.21925
2020-03-24,57.67379
2020-03-25,57.70053
2020-03-26,56.39037
2020-03-27,45.66844
2020-03-28,6.71122
2020-03-29,6.12299
2020-03-30,53.74331
2020-03-31,47.56684
2020-04-01,59.89304
2020-04-02,65.93582
2020-04-03,47.70053
2020-04-04,7.40641
2020-04-05,8.90374
2020-04-06,59.19786
2020-04-07,56.9786
2020-04-08,48.55614
2020-04-09,45.53475
2020-04-10,35.24064
2020-04-11,4.4385
2020-04-12,5.37433
2020-04-13,45.88235
2020-04-14,41.81818
2020-04-15,10.61497
2020-04-16,45.45454
2020-04-17,36.17647
2020-04-18,5.85561
2020-04-19,7.35294
2020-04-20,49.51871
2020-04-21,45.80213
2020-04-22,44.86631
2020-04-23,44.17112
2020-04-24,36.2032
2020-04-25,4.62566
2020-04-26,6.49732
2020-04-27,47.78074
2020-04-28,43.74331
2020-04-29,33.02139
2020-04-30,4.78609
2020-05-01,6.22994
2020-05-02,2.37967
2020-05-03,4.59893
2020-05-04,34.91978
2020-05-05,7.80748
2020-05-06,45.50802
2020-05-07,40.45454
2020-05-08,29.97326
2020-05-09,4.89304
2020-05-10,5.72192
2020-05-11,41.41711
2020-05-12,38.55614
2020-05-13,35.7754
2020-05-14,37.29946
2020-05-15,29.25133
2020-05-16,3.85026
2020-05-17,4.94652
2020-05-18,39.46524
2020-05-19,34.33155
2020-05-20,32.67379
2020-05-21,29.06417
2020-05-22,23.93048
2020-05-23,3.68983
2020-05-24,5.24064
2020-05-25,32.3262
2020-05-26,30.32085
2020-05-27,30.48128
2020-05-28,29.4385
2020-05-29,21.87165
2020-05-30,2.80748
2020-05-31,3.74331
2020-06-01,31.87165
2020-06-02,32.80748
2020-06-03,29.22459
2020-06-04,26.89839
2020-06-05,22.37967
2020-06-06,2.45989
2020-06-07,4.06417
2020-06-08,27.86096
2020-06-09,28.28877
2020-06-10,28.04812
2020-06-11,29.30481
2020-06-12,23.55614
2020-06-13,3.68983
2020-06-14,4.62566
2020-06-15,36.95187
2020-06-16,34.27807
2020-06-17,30.82887
2020-06-18,32.16577
2020-06-19,25.90909
2020-06-20,3.3155
2020-06-21,5.08021
2020-06-22,38.47593
2020-06-23,36.14973
2020-06-24,36.71122
2020-06-25,32.05882
2020-06-26,26.09625
2020-06-27,3.55614
