date,국제구리가격
2020-03-20,13.97763
2020-03-21,7.58785
2020-03-22,4.12673
2020-03-23,10.33013
2020-03-24,12.14057
2020-03-25,11.07561
2020-03-26,9.71778
2020-03-27,9.42492
2020-03-28,5.48455
2020-03-29,2.90202
2020-03-30,7.93397
2020-03-31,7.96059
2020-04-01,8.97231
2020-04-02,8.43982
2020-04-03,8.70607
2020-04-04,4.9787
2020-04-05,3.08839
2020-04-06,8.14696
2020-04-07,10.25026
2020-04-08,10.25026
2020-04-09,9.26517
2020-04-10,8.17358
2020-04-11,4.7657
2020-04-12,3.27476
2020-04-13,8.20021
2020-04-14,9.45154
2020-04-15,6.76251
2020-04-16,8.62619
2020-04-17,8.25346
2020-04-18,6.09691
2020-04-19,4.92545
2020-04-20,9.23855
2020-04-21,11.07561
2020-04-22,11.10223
2020-04-23,11.34185
2020-04-24,11.07561
2020-04-25,6.38977
2020-04-26,4.02023
2020-04-27,9.21192
2020-04-28,10.25026
2020-04-29,9.29179
2020-04-30,6.46964
2020-05-01,6.65601
2020-05-02,5.77742
2020-05-03,3.38125
2020-05-04,6.78913
2020-05-05,7.24174
2020-05-06,10.56975
2020-05-07,8.94568
2020-05-08,10.56975
2020-05-09,6.70926
2020-05-10,5.19169
2020-05-11,7.77422
2020-05-12,8.97231
2020-05-13,8.04046
2020-05-14,6.46964
2020-05-15,6.46964
2020-05-16,4.68583
2020-05-17,2.58253
2020-05-18,5.96379
2020-05-19,8.89243
2020-05-20,9.50479
2020-05-21,8.91906
2020-05-22,8.43982
2020-05-23,4.9787
2020-05-24,3.14164
2020-05-25,7.80085
2020-05-26,10.96911
2020-05-27,9.13205
2020-05-28,7.32161
2020-05-29,5.67092
2020-05-30,4.41959
2020-05-31,2.28966
2020-06-01,6.15015
2020-06-02,7.82747
2020-06-03,8.86581
2020-06-04,9.37167
2020-06-05,8.28008
2020-06-06,5.77742
2020-06-07,4.28647
2020-06-08,9.02555
2020-06-09,9.87752
2020-06-10,11.47497
2020-06-11,10.35676
2020-06-12,10.54313
2020-06-13,5.93716
2020-06-14,4.57933
2020-06-15,8.35995
2020-06-16,8.5197
2020-06-17,7.90734
2020-06-18,7.7476
2020-06-19,7.32161
2020-06-20,4.89882
2020-06-21,4.41959
2020-06-22,7.21512
2020-06-23,7.80085
2020-06-24,8.12034
2020-06-25,8.49307
2020-06-26,7.80085
2020-06-27,5.85729
2020-06-28,4.04685
2020-06-29,9.23855
2020-06-30,10.59637
2020-07-01,9.90415
2020-07-02,10.22364
2020-07-03,9.34504
2020-07-04,6.38977
2020-07-05,4.28647
2020-07-06,8.5197
2020-07-07,11.2886
2020-07-08,9.71778
2020-07-09,10.48988
2020-07-10,9.21192
2020-07-11,6.12353
2020-07-12,3.19488
2020-07-13,10.06389
2020-07-14,13.47177
2020-07-15,12.48668
2020-07-16,11.15548
2020-07-17,10.38338
2020-07-18,6.23003
2020-07-19,4.49946
2020-07-20,9.05218
2020-07-21,10.72949
2020-07-22,13.07241
2020-07-23,10.80937
2020-07-24,10.78274
2020-07-25,7.18849
2020-07-26,4.1001
2020-07-27,9.34504
2020-07-28,11.02236
2020-07-29,10.75612
2020-07-30,8.97231
2020-07-31,8.06709
2020-08-01,4.73908
2020-08-02,3.75399
2020-08-03,7.42811
2020-08-04,8.43982
2020-08-05,8.99893
2020-08-06,8.65282
2020-08-07,8.35995
2020-08-08,6.2034
2020-08-09,4.04685
2020-08-10,7.21512
2020-08-11,8.06709
2020-08-12,9.37167
2020-08-13,8.59957
2020-08-14,7.21512
2020-08-15,5.61767
2020-08-16,2.34291
2020-08-17,6.44302
2020-08-18,6.94888
2020-08-19,9.26517
2020-08-20,10.06389
2020-08-21,8.97231
2020-08-22,5.11182
2020-08-23,3.56762
2020-08-24,7.58785
2020-08-25,7.72097
2020-08-26,7.90734
2020-08-27,7.88072
2020-08-28,7.80085
2020-08-29,5.93716
2020-08-30,3.56762
2020-08-31,7.61448
2020-09-01,14.164
