date,국제금값
2020-03-20,23.12138
2020-03-21,13.83429
2020-03-22,7.93834
2020-03-23,19.67886
2020-03-24,24.88118
2020-03-25,26.62813
2020-03-26,20.71933
2020-03-27,18.72832
2020-03-28,11.62491
2020-03-29,6.43545
2020-03-30,12.42132
2020-03-31,10.07064
2020-04-01,8.94026
2020-04-02,8.87604
2020-04-03,9.31278
2020-04-04,6.21708
2020-04-05,2.65895
2020-04-06,7.42453
2020-04-07,12.40847
2020-04-08,10.75144
2020-04-09,8.9788
2020-04-10,14.02697
2020-04-11,8.14386
2020-04-12,4.84264
2020-04-13,9.76236
2020-04-14,13.14065
2020-04-15,9.40269
2020-04-16,11.07257
2020-04-17,10.34039
2020-04-18,6.52536
2020-04-19,3.04431
2020-04-20,6.58959
2020-04-21,11.71483
2020-04-22,11.65061
2020-04-23,11.57353
2020-04-24,11.11111
2020-04-25,7.25754
2020-04-26,3.48105
2020-04-27,8.61913
2020-04-28,10.94412
2020-04-29,8.1824
2020-04-30,6.40976
2020-05-01,6.307
2020-05-02,5.90879
2020-05-03,3.39113
2020-05-04,5.27938
2020-05-05,6.85934
2020-05-06,7.91265
2020-05-07,7.92549
2020-05-08,7.60436
2020-05-09,5.12524
2020-05-10,2.04238
2020-05-11,4.76557
2020-05-12,5.98587
2020-05-13,5.87026
2020-05-14,6.26846
2020-05-15,7.39884
2020-05-16,6.06294
2020-05-17,3.00578
2020-05-18,7.16763
2020-05-19,10.26332
2020-05-20,7.8998
2020-05-21,6.91072
2020-05-22,7.55298
2020-05-23,5.228
2020-05-24,2.45343
2020-05-25,5.228
2020-05-26,7.7842
2020-05-27,7.33461
2020-05-28,7.38599
2020-05-29,6.52536
2020-05-30,4.38021
2020-05-31,2.56904
2020-06-01,5.31791
2020-06-02,6.97495
2020-06-03,6.73089
2020-06-04,7.00064
2020-06-05,6.38407
2020-06-06,4.57289
2020-06-07,2.31213
2020-06-08,4.91971
2020-06-09,6.8208
2020-06-10,6.51252
2020-06-11,7.00064
2020-06-12,7.55298
2020-06-13,4.09762
2020-06-14,1.88824
2020-06-15,4.81695
2020-06-16,6.08863
2020-06-17,4.88118
2020-06-18,5.6262
2020-06-19,4.9454
2020-06-20,4.21323
2020-06-21,1.991
2020-06-22,5.43352
2020-06-23,7.74566
2020-06-24,8.38792
2020-06-25,7.25754
2020-06-26,6.01156
2020-06-27,4.95825
2020-06-28,2.26075
2020-06-29,5.15093
2020-06-30,6.24277
2020-07-01,8.52922
2020-07-02,7.70712
2020-07-03,6.5639
2020-07-04,4.9454
2020-07-05,2.32498
2020-07-06,5.36929
2020-07-07,6.307
2020-07-08,7.98972
2020-07-09,8.79897
2020-07-10,8.90173
2020-07-11,4.77842
2020-07-12,2.11946
2020-07-13,5.94733
2020-07-14,8.8375
2020-07-15,8.67052
2020-07-16,8.76043
2020-07-17,6.80796
2020-07-18,4.63712
2020-07-19,2.04238
2020-07-20,5.78034
2020-07-21,8.31085
2020-07-22,11.34232
2020-07-23,12.74245
2020-07-24,13.74438
2020-07-25,10.81567
2020-07-26,4.22607
2020-07-27,12.98651
2020-07-28,20.17983
2020-07-29,100.0
2020-07-30,16.67308
2020-07-31,12.97366
2020-08-01,10.52023
2020-08-02,5.0867
2020-08-03,10.03211
2020-08-04,11.84328
2020-08-05,18.16313
2020-08-06,18.11175
2020-08-07,15.63262
2020-08-08,11.77906
2020-08-09,5.02247
2020-08-10,12.56262
2020-08-11,18.53564
2020-08-12,38.58702
2020-08-13,24.39306
2020-08-14,17.49518
2020-08-15,9.82658
2020-08-16,5.39499
2020-08-17,10.77713
2020-08-18,20.23121
2020-08-19,18.57418
2020-08-20,18.26589
2020-08-21,15.45279
2020-08-22,9.21001
2020-08-23,4.03339
2020-08-24,11.12395
2020-08-25,13.50032
2020-08-26,12.26718
2020-08-27,13.47463
2020-08-28,11.54784
2020-08-29,11.20102
2020-08-30,5.31791
2020-08-31,9.87797
2020-09-01,13.47463
