date,근저당설정비용
2020-03-20,66.54135
2020-03-21,34.21052
2020-03-22,29.3233
2020-03-23,75.18796
2020-03-24,66.54135
2020-03-25,63.90977
2020-03-26,74.43609
2020-03-27,58.27067
2020-03-28,36.09022
2020-03-29,33.0827
2020-03-30,71.42857
2020-03-31,64.28571
2020-04-01,57.89473
2020-04-02,57.51879
2020-04-03,59.77443
2020-04-04,29.3233
2020-04-05,30.07518
2020-04-06,71.05263
2020-04-07,69.17293
2020-04-08,66.91729
2020-04-09,66.16541
2020-04-10,52.63157
2020-04-11,36.8421
2020-04-12,26.69172
2020-04-13,68.42105
2020-04-14,60.15037
2020-04-15,41.72932
2020-04-16,64.66165
2020-04-17,56.39097
2020-04-18,27.81954
2020-04-19,23.30827
2020-04-20,63.53383
2020-04-21,70.30075
2020-04-22,63.53383
2020-04-23,62.03007
2020-04-24,56.01503
2020-04-25,30.82706
2020-04-26,26.69172
2020-04-27,56.76691
2020-04-28,65.78947
2020-04-29,64.28571
2020-04-30,23.30827
2020-05-01,28.94736
2020-05-02,21.05263
2020-05-03,20.67669
2020-05-04,57.14285
2020-05-05,35.71428
2020-05-06,59.02255
2020-05-07,62.78195
2020-05-08,39.84962
2020-05-09,24.81203
2020-05-10,17.29323
2020-05-11,50.37593
2020-05-12,61.27819
2020-05-13,57.89473
2020-05-14,65.03759
2020-05-15,57.51879
2020-05-16,26.69172
2020-05-17,22.18045
2020-05-18,52.25563
2020-05-19,53.00751
2020-05-20,43.98496
2020-05-21,53.75939
2020-05-22,52.25563
2020-05-23,22.93233
2020-05-24,21.80451
2020-05-25,53.75939
2020-05-26,61.27819
2020-05-27,56.39097
2020-05-28,51.12781
2020-05-29,41.72932
2020-05-30,25.93984
2020-05-31,22.55639
2020-06-01,51.12781
2020-06-02,64.28571
2020-06-03,54.13533
2020-06-04,59.02255
2020-06-05,48.1203
2020-06-06,18.04511
2020-06-07,27.4436
2020-06-08,51.12781
2020-06-09,52.25563
2020-06-10,52.25563
2020-06-11,48.49624
2020-06-12,48.87218
2020-06-13,22.18045
2020-06-14,21.42857
2020-06-15,62.78195
2020-06-16,69.54887
2020-06-17,60.52631
2020-06-18,57.14285
2020-06-19,48.1203
2020-06-20,22.18045
2020-06-21,25.5639
2020-06-22,65.78947
2020-06-23,65.78947
2020-06-24,70.67669
2020-06-25,62.78195
2020-06-26,71.05263
2020-06-27,23.30827
2020-06-28,29.69924
2020-06-29,57.89473
2020-06-30,60.52631
2020-07-01,59.77443
2020-07-02,55.26315
2020-07-03,52.63157
2020-07-04,26.69172
2020-07-05,25.5639
2020-07-06,53.38345
2020-07-07,62.03007
2020-07-08,62.78195
2020-07-09,60.15037
2020-07-10,51.12781
2020-07-11,32.70676
2020-07-12,29.3233
2020-07-13,65.03759
2020-07-14,53.38345
2020-07-15,63.90977
2020-07-16,51.12781
2020-07-17,63.53383
2020-07-18,36.09022
2020-07-19,23.68421
2020-07-20,51.87969
2020-07-21,53.38345
2020-07-22,63.53383
2020-07-23,62.40601
2020-07-24,54.51127
2020-07-25,34.21052
2020-07-26,24.43609
2020-07-27,61.27819
2020-07-28,61.65413
2020-07-29,60.52631
2020-07-30,54.51127
2020-07-31,46.99248
2020-08-01,31.57894
2020-08-02,33.45864
2020-08-03,56.01503
2020-08-04,54.13533
2020-08-05,57.51879
2020-08-06,50.0
2020-08-07,39.47368
2020-08-08,24.43609
2020-08-09,33.45864
2020-08-10,56.01503
2020-08-11,53.38345
2020-08-12,63.53383
2020-08-13,65.41353
2020-08-14,47.74436
2020-08-15,21.05263
2020-08-16,13.15789
2020-08-17,34.9624
2020-08-18,57.51879
2020-08-19,51.50375
2020-08-20,49.24812
2020-08-21,42.4812
2020-08-22,20.67669
2020-08-23,30.07518
2020-08-24,63.15789
2020-08-25,59.39849
2020-08-26,50.0
2020-08-27,53.38345
2020-08-28,47.74436
2020-08-29,25.93984
2020-08-30,27.81954
2020-08-31,68.79699
2020-09-01,43.23308
2020-09-02,40.22556
2020-09-03,43.23308
2020-09-04,52.25563
2020-09-05,31.57894
2020-09-06,28.57142
2020-09-07,66.16541
2020-09-08,64.66165
2020-09-09,72.18045
2020-09-10,68.04511
2020-09-11,51.50375
2020-09-12,33.45864
2020-09-13,24.81203
2020-09-14,70.67669
2020-09-15,63.53383
2020-09-16,62.03007
2020-09-17,66.54135
2020-09-18,50.75187
2020-09-19,31.57894
2020-09-20,27.4436
2020-09-21,59.02255
2020-09-22,62.03007
2020-09-23,58.64661
2020-09-24,45.48872
2020-09-25,46.99248
2020-09-26,25.18796
2020-09-27,24.81203
2020-09-28,50.75187
2020-09-29,37.21804
2020-09-30,14.28571
2020-10-01,13.15789
2020-10-02,12.78195
2020-10-03,16.16541
2020-10-04,19.17293
2020-10-05,47.36842
2020-10-06,56.76691
2020-10-07,57.14285
2020-10-08,54.51127
2020-10-09,38.7218
2020-10-10,25.18796
2020-10-11,26.69172
2020-10-12,65.41353
2020-10-13,57.89473
2020-10-14,61.27819
2020-10-15,53.75939
2020-10-16,60.52631
2020-10-17,28.94736
2020-10-18,31.95488
2020-10-19,60.90225
2020-10-20,58.27067
2020-10-21,71.42857
2020-10-22,69.54887
2020-10-23,67.29323
2020-10-24,39.09774
2020-10-25,26.31578
2020-10-26,65.03759
2020-10-27,68.42105
2020-10-28,59.02255
2020-10-29,65.78947
2020-10-30,51.50375
2020-10-31,23.30827
2020-11-01,25.18796
2020-11-02,71.80451
2020-11-03,56.39097
2020-11-04,49.24812
2020-11-05,62.03007
2020-11-06,50.75187
2020-11-07,32.70676
2020-11-08,31.203
2020-11-09,69.92481
2020-11-10,62.40601
2020-11-11,48.49624
2020-11-12,55.63909
2020-11-13,62.40601
2020-11-14,42.10526
2020-11-15,36.46616
2020-11-16,59.77443
2020-11-17,63.15789
2020-11-18,54.88721
2020-11-19,67.66917
2020-11-20,49.62406
2020-11-21,33.45864
2020-11-22,34.9624
2020-11-23,68.04511
2020-11-24,68.42105
2020-11-25,64.66165
2020-11-26,67.29323
2020-11-27,62.40601
2020-11-28,33.83458
2020-11-29,27.81954
2020-11-30,73.68421
2020-12-01,73.68421
2020-12-02,82.33082
2020-12-03,60.52631
2020-12-04,53.38345
2020-12-05,37.59398
2020-12-06,34.21052
2020-12-07,77.81954
2020-12-08,60.15037
2020-12-09,78.57142
2020-12-10,76.31578
2020-12-11,70.67669
2020-12-12,42.85714
2020-12-13,40.6015
2020-12-14,73.30827
2020-12-15,83.45864
2020-12-16,69.54887
2020-12-17,76.31578
2020-12-18,61.27819
2020-12-19,43.60902
2020-12-20,36.09022
2020-12-21,69.54887
2020-12-22,83.83458
2020-12-23,82.70676
2020-12-24,64.28571
2020-12-25,45.11278
2020-12-26,35.71428
2020-12-27,46.2406
2020-12-28,100.0
2020-12-29,68.79699
2020-12-30,73.30827
2020-12-31,48.1203
2021-01-01,28.94736
2021-01-02,31.203
2021-01-03,34.9624
2021-01-04,65.41353
2021-01-05,64.66165
2021-01-06,71.80451
2021-01-07,60.15037
2021-01-08,61.65413
2021-01-09,32.70676
2021-01-10,35.33834
2021-01-11,81.57894
2021-01-12,69.92481
