date,금값
2020-03-20,22.65496
2020-03-21,9.77894
2020-03-22,7.48996
2020-03-23,16.28952
2020-03-24,16.40491
2020-03-25,16.29496
2020-03-26,14.46828
2020-03-27,11.85491
2020-03-28,6.49098
2020-03-29,5.10628
2020-03-30,10.44081
2020-03-31,11.05406
2020-04-01,9.26874
2020-04-02,9.13666
2020-04-03,8.79375
2020-04-04,4.95025
2020-04-05,4.00207
2020-04-06,9.02417
2020-04-07,10.34392
2020-04-08,9.57573
2020-04-09,8.2919
2020-04-10,11.68291
2020-04-11,5.94705
2020-04-12,11.97356
2020-04-13,16.0493
2020-04-14,17.18145
2020-04-15,8.57929
2020-04-16,13.87608
2020-04-17,13.63949
2020-04-18,6.9765
2020-04-19,5.22058
2020-04-20,10.38747
2020-04-21,13.63296
2020-04-22,13.30021
2020-04-23,12.9036
2020-04-24,13.52265
2020-04-25,7.09117
2020-04-26,7.1046
2020-04-27,20.67587
2020-04-28,11.81862
2020-04-29,9.71543
2020-04-30,6.45434
2020-05-01,6.4478
2020-05-02,5.60921
2020-05-03,5.00068
2020-05-04,8.77089
2020-05-05,6.03559
2020-05-06,52.65111
2020-05-07,8.9095
2020-05-08,7.96314
2020-05-09,5.21333
2020-05-10,4.00207
2020-05-11,7.78715
2020-05-12,7.43589
2020-05-13,6.84297
2020-05-14,7.54076
2020-05-15,7.77663
2020-05-16,4.68027
2020-05-17,4.00134
2020-05-18,11.54175
2020-05-19,19.70085
2020-05-20,9.99049
2020-05-21,8.23783
2020-05-22,7.95044
2020-05-23,4.62475
2020-05-24,4.22886
2020-05-25,7.95552
2020-05-26,7.38038
2020-05-27,6.95509
2020-05-28,7.65071
2020-05-29,6.97832
2020-05-30,4.00062
2020-05-31,4.64725
2020-06-01,7.12854
2020-06-02,6.51856
2020-06-03,6.81684
2020-06-04,6.40426
2020-06-05,6.31028
2020-06-06,3.74951
2020-06-07,3.33947
2020-06-08,6.65391
2020-06-09,6.89957
2020-06-10,6.37088
2020-06-11,6.25222
2020-06-12,6.65609
2020-06-13,3.44652
2020-06-14,3.09272
2020-06-15,6.99065
2020-06-16,6.29975
2020-06-17,5.93979
2020-06-18,5.37734
2020-06-19,5.02246
2020-06-20,3.15006
2020-06-21,2.87464
2020-06-22,7.98346
2020-06-23,10.85593
2020-06-24,6.68875
2020-06-25,6.51711
2020-06-26,5.21478
2020-06-27,3.56917
2020-06-28,2.84271
2020-06-29,5.92237
2020-06-30,5.45608
2020-07-01,7.86952
2020-07-02,9.80325
2020-07-03,6.00692
2020-07-04,3.23243
2020-07-05,4.11202
2020-07-06,7.57415
2020-07-07,6.64593
2020-07-08,7.37058
2020-07-09,7.7955
2020-07-10,6.53997
2020-07-11,3.75205
2020-07-12,3.42402
2020-07-13,9.38196
2020-07-14,13.38113
2020-07-15,19.13731
2020-07-16,10.0148
2020-07-17,8.02302
2020-07-18,5.01411
2020-07-19,4.07718
2020-07-20,7.23305
