date,금리인하
2020-03-20,12.44231
2020-03-21,6.63838
2020-03-22,6.06498
2020-03-23,8.59633
2020-03-24,7.39825
2020-03-25,5.06736
2020-03-26,5.61745
2020-03-27,3.76206
2020-03-28,2.05584
2020-03-29,1.90667
2020-03-30,3.64085
2020-03-31,3.53363
2020-04-01,2.89496
2020-04-02,2.61526
2020-04-03,2.02787
2020-04-04,1.22605
2020-04-05,0.94168
2020-04-06,1.71087
2020-04-07,1.65027
2020-04-08,1.53372
2020-04-09,2.71316
2020-04-10,2.19104
2020-04-11,1.05356
2020-04-12,0.91371
2020-04-13,1.29131
2020-04-14,0.99296
2020-04-15,0.52212
2020-04-16,1.48244
2020-04-17,1.56169
2020-04-18,0.75054
2020-04-19,1.0116
2020-04-20,1.49177
2020-04-21,1.29597
2020-04-22,1.25402
2020-04-23,1.14679
2020-04-24,0.92769
2020-04-25,0.71325
2020-04-26,0.72257
2020-04-27,1.05356
2020-04-28,0.96965
2020-04-29,1.04424
2020-04-30,0.84378
2020-05-01,0.58272
2020-05-02,0.44753
2020-05-03,0.48948
2020-05-04,0.88573
2020-05-05,0.62001
2020-05-06,0.99296
2020-05-07,1.03025
2020-05-08,0.98363
2020-05-09,0.62467
2020-05-10,0.60137
2020-05-11,1.39853
2020-05-12,1.73884
2020-05-13,1.31928
2020-05-14,1.82275
2020-05-15,1.13281
2020-05-16,0.7925
2020-05-17,1.20274
2020-05-18,2.12577
2020-05-19,1.57568
2020-05-20,1.9393
2020-05-21,1.93464
2020-05-22,1.93464
2020-05-23,1.39853
2020-05-24,3.96251
2020-05-25,6.89944
2020-05-26,6.00438
2020-05-27,7.63134
2020-05-28,100.0
2020-05-29,12.01342
2020-05-30,2.33555
2020-05-31,2.30758
2020-06-01,3.5616
2020-06-02,2.55932
2020-06-03,2.48473
2020-06-04,1.91133
2020-06-05,1.5244
2020-06-06,0.73656
2020-06-07,0.80182
2020-06-08,1.28199
2020-06-09,1.22605
2020-06-10,1.2074
2020-06-11,1.58034
2020-06-12,0.94168
2020-06-13,0.46151
2020-06-14,0.49414
2020-06-15,0.89506
2020-06-16,0.83912
2020-06-17,0.81115
2020-06-18,0.66197
2020-06-19,0.81115
2020-06-20,0.2797
2020-06-21,0.43354
2020-06-22,0.72257
2020-06-23,0.77385
2020-06-24,0.82979
2020-06-25,0.7319
2020-06-26,0.66197
2020-06-27,0.33564
2020-06-28,0.46617
2020-06-29,0.72723
2020-06-30,0.68528
2020-07-01,0.61535
2020-07-02,0.49414
2020-07-03,0.46617
2020-07-04,0.26106
2020-07-05,0.31233
2020-07-06,0.48948
2020-07-07,0.54542
2020-07-08,0.58738
2020-07-09,0.43354
2020-07-10,0.56407
2020-07-11,0.23308
2020-07-12,0.40557
2020-07-13,0.57806
2020-07-14,0.59204
2020-07-15,0.83912
2020-07-16,1.34725
2020-07-17,0.52212
2020-07-18,0.23308
2020-07-19,0.22376
2020-07-20,0.4755
2020-07-21,0.46617
2020-07-22,0.46151
2020-07-23,0.47084
2020-07-24,0.42422
2020-07-25,0.20045
2020-07-26,0.24241
2020-07-27,0.51279
2020-07-28,0.46151
2020-07-29,0.52678
2020-07-30,0.45685
2020-07-31,0.68994
2020-08-01,0.2191
2020-08-02,0.21444
2020-08-03,0.35429
2020-08-04,0.37294
2020-08-05,0.43354
2020-08-06,0.34963
2020-08-07,0.41489
2020-08-08,0.21444
2020-08-09,0.26106
2020-08-10,0.65731
2020-08-11,1.70621
2020-08-12,0.59204
2020-08-13,0.43354
2020-08-14,0.40557
2020-08-15,0.19113
2020-08-16,0.1585
2020-08-17,0.33098
2020-08-18,0.60603
2020-08-19,0.60137
2020-08-20,0.59204
2020-08-21,0.41489
2020-08-22,0.28436
2020-08-23,0.33098
2020-08-24,0.63866
2020-08-25,0.68062
2020-08-26,0.46151
2020-08-27,2.23765
2020-08-28,1.23071
2020-08-29,0.317
2020-08-30,0.317
2020-08-31,0.58738
2020-09-01,0.45685
2020-09-02,0.54542
2020-09-03,0.42422
2020-09-04,0.48948
2020-09-05,0.25639
2020-09-06,0.24707
2020-09-07,0.48016
2020-09-08,0.66663
2020-09-09,0.49414
2020-09-10,0.51745
2020-09-11,0.68994
2020-09-12,0.27038
2020-09-13,0.41489
2020-09-14,0.45219
2020-09-15,0.49414
2020-09-16,0.50813
2020-09-17,0.60137
2020-09-18,0.39625
2020-09-19,0.22842
2020-09-20,0.1585
2020-09-21,0.34963
2020-09-22,0.41956
2020-09-23,0.38226
2020-09-24,0.39159
2020-09-25,1.14213
2020-09-26,0.28436
2020-09-27,0.28903
2020-09-28,0.43354
2020-09-29,0.24241
2020-09-30,0.1212
2020-10-01,0.09323
2020-10-02,0.13053
2020-10-03,0.13053
2020-10-04,0.16782
2020-10-05,0.44286
2020-10-06,0.37294
2020-10-07,0.34031
2020-10-08,0.4382
2020-10-09,0.23308
2020-10-10,0.2191
2020-10-11,0.26106
2020-10-12,0.4382
2020-10-13,0.34963
2020-10-14,0.54076
2020-10-15,0.24241
2020-10-16,0.41023
2020-10-17,0.16782
2020-10-18,0.21444
2020-10-19,0.5361
2020-10-20,0.68062
2020-10-21,0.4755
2020-10-22,0.41489
2020-10-23,0.32166
2020-10-24,0.317
2020-10-25,0.24707
2020-10-26,0.41489
2020-10-27,0.41023
2020-10-28,0.55475
2020-10-29,0.37294
2020-10-30,0.34031
2020-10-31,0.2191
2020-11-01,0.2191
2020-11-02,0.29369
2020-11-03,0.29369
2020-11-04,0.30767
2020-11-05,0.30767
2020-11-06,0.40091
2020-11-07,0.15383
2020-11-08,0.21444
2020-11-09,0.41489
2020-11-10,0.34031
2020-11-11,0.40091
2020-11-12,0.25639
2020-11-13,0.30301
2020-11-14,0.19113
2020-11-15,0.37294
2020-11-16,3.11873
2020-11-17,1.28199
2020-11-18,0.70859
2020-11-19,0.68994
2020-11-20,0.5967
2020-11-21,0.26572
2020-11-22,0.26572
2020-11-23,0.54076
2020-11-24,0.4382
2020-11-25,0.48016
2020-11-26,0.56407
2020-11-27,0.45219
2020-11-28,0.16316
2020-11-29,0.16316
2020-11-30,0.41489
2020-12-01,0.30767
2020-12-02,0.27504
2020-12-03,0.31233
2020-12-04,0.31233
2020-12-05,0.19113
2020-12-06,0.25173
2020-12-07,0.38226
2020-12-08,0.317
2020-12-09,0.28436
2020-12-10,0.39159
2020-12-11,0.31233
2020-12-12,0.23308
2020-12-13,0.23308
2020-12-14,0.34963
2020-12-15,0.33564
2020-12-16,0.30301
2020-12-17,0.52212
2020-12-18,0.35895
2020-12-19,0.13519
2020-12-20,0.18647
2020-12-21,0.31233
2020-12-22,0.28436
2020-12-23,0.41489
2020-12-24,0.26106
2020-12-25,0.13519
2020-12-26,0.24241
2020-12-27,0.18647
2020-12-28,0.23775
2020-12-29,0.34497
2020-12-30,0.39625
2020-12-31,0.33564
2021-01-01,0.1818
2021-01-02,0.16782
2021-01-03,0.17714
2021-01-04,0.5361
2021-01-05,0.34497
2021-01-06,0.30767
2021-01-07,0.37294
2021-01-08,0.36361
2021-01-09,0.17248
2021-01-10,0.18647
