date,금형제작
2020-03-20,24.26035
2020-03-21,10.65088
2020-03-22,15.08875
2020-03-23,20.11834
2020-03-24,31.36094
2020-03-25,25.73964
2020-03-26,32.24852
2020-03-27,21.30177
2020-03-28,14.20118
2020-03-29,12.72189
2020-03-30,23.96449
2020-03-31,28.40236
2020-04-01,21.59763
2020-04-02,28.1065
2020-04-03,26.92307
2020-04-04,18.34319
2020-04-05,7.39644
2020-04-06,19.52662
2020-04-07,22.4852
2020-04-08,28.69822
2020-04-09,24.85207
2020-04-10,25.14792
2020-04-11,9.46745
2020-04-12,13.3136
2020-04-13,27.81065
2020-04-14,23.96449
2020-04-15,13.01775
2020-04-16,28.1065
2020-04-17,24.55621
2020-04-18,12.72189
2020-04-19,14.20118
2020-04-20,27.81065
2020-04-21,29.28994
2020-04-22,24.55621
2020-04-23,26.62721
2020-04-24,25.14792
2020-04-25,13.3136
2020-04-26,13.3136
2020-04-27,20.71005
2020-04-28,26.92307
2020-04-29,20.71005
2020-04-30,14.79289
2020-05-01,12.42603
2020-05-02,12.42603
2020-05-03,10.35502
2020-05-04,16.8639
2020-05-05,12.13017
2020-05-06,24.85207
2020-05-07,25.73964
2020-05-08,20.11834
2020-05-09,8.28402
2020-05-10,10.65088
2020-05-11,18.93491
2020-05-12,33.13609
2020-05-13,23.37278
2020-05-14,22.4852
2020-05-15,26.0355
2020-05-16,9.17159
2020-05-17,15.38461
2020-05-18,27.81065
2020-05-19,27.81065
2020-05-20,30.47337
2020-05-21,26.92307
2020-05-22,26.62721
2020-05-23,9.46745
2020-05-24,10.94674
2020-05-25,27.51479
2020-05-26,32.24852
2020-05-27,34.31952
2020-05-28,26.0355
2020-05-29,21.89349
2020-05-30,10.94674
2020-05-31,10.94674
2020-06-01,18.34319
2020-06-02,23.96449
2020-06-03,30.47337
2020-06-04,30.76923
2020-06-05,23.37278
2020-06-06,10.05917
2020-06-07,13.3136
2020-06-08,20.11834
2020-06-09,21.30177
2020-06-10,22.18934
2020-06-11,24.26035
2020-06-12,18.63905
2020-06-13,9.76331
2020-06-14,10.94674
2020-06-15,25.44378
2020-06-16,27.81065
2020-06-17,19.82248
2020-06-18,21.59763
2020-06-19,17.75147
2020-06-20,10.35502
2020-06-21,10.35502
2020-06-22,22.18934
2020-06-23,29.28994
2020-06-24,26.62721
2020-06-25,23.96449
2020-06-26,21.00591
2020-06-27,7.39644
2020-06-28,5.6213
