date,기아주식
2020-03-20,6.86644
2020-03-21,2.61956
2020-03-22,2.20281
2020-03-23,5.91387
2020-03-24,5.47727
2020-03-25,5.12006
2020-03-26,4.42548
2020-03-27,4.94145
2020-03-28,1.98452
2020-03-29,1.72653
2020-03-30,4.10795
2020-03-31,3.31414
2020-04-01,3.65151
2020-04-02,2.57987
2020-04-03,2.10359
2020-04-04,1.72653
2020-04-05,1.38916
2020-04-06,2.57987
2020-04-07,3.19507
2020-04-08,2.63941
2020-04-09,2.97678
2020-04-10,3.45306
2020-04-11,1.52808
2020-04-12,1.54792
2020-04-13,3.57213
2020-04-14,2.97678
2020-04-15,1.36931
2020-04-16,1.86544
2020-04-17,2.63941
2020-04-18,1.48839
2020-04-19,1.13117
2020-04-20,2.40127
2020-04-21,2.22266
2020-04-22,1.8456
2020-04-23,1.66699
2020-04-24,2.16312
2020-04-25,0.95256
2020-04-26,1.11133
2020-04-27,1.64715
2020-04-28,1.96467
2020-04-29,1.34947
2020-04-30,0.7938
2020-05-01,0.67473
2020-05-02,0.75411
2020-05-03,0.71442
2020-05-04,1.4487
2020-05-05,0.85334
2020-05-06,1.82575
2020-05-07,1.25024
2020-05-08,1.46854
2020-05-09,0.95256
2020-05-10,1.2304
2020-05-11,1.70668
2020-05-12,1.42885
2020-05-13,1.30978
2020-05-14,1.30978
2020-05-15,1.07164
2020-05-16,0.59535
2020-05-17,0.53582
2020-05-18,1.32962
2020-05-19,1.74637
2020-05-20,1.48839
2020-05-21,1.11133
2020-05-22,1.09148
2020-05-23,0.71442
2020-05-24,0.69458
2020-05-25,1.17086
2020-05-26,1.38916
2020-05-27,1.48839
2020-05-28,1.409
2020-05-29,1.64715
2020-05-30,0.73427
2020-05-31,0.93272
2020-06-01,1.42885
2020-06-02,1.98452
2020-06-03,2.26235
2020-06-04,1.86544
2020-06-05,1.38916
2020-06-06,1.03195
2020-06-07,0.83349
2020-06-08,1.86544
2020-06-09,1.50823
2020-06-10,1.03195
2020-06-11,1.6273
2020-06-12,1.58761
2020-06-13,0.47628
2020-06-14,0.69458
2020-06-15,1.68684
2020-06-16,2.18297
2020-06-17,1.58761
2020-06-18,1.46854
2020-06-19,1.36931
2020-06-20,1.05179
2020-06-21,1.2304
2020-06-22,1.70668
2020-06-23,1.34947
2020-06-24,1.2304
2020-06-25,1.13117
2020-06-26,1.15102
2020-06-27,0.59535
2020-06-28,0.6152
2020-06-29,0.99226
2020-06-30,0.87318
2020-07-01,1.0121
2020-07-02,0.89303
2020-07-03,1.0121
2020-07-04,0.55566
2020-07-05,0.65489
2020-07-06,1.09148
2020-07-07,0.69458
2020-07-08,1.0121
2020-07-09,1.11133
2020-07-10,1.03195
2020-07-11,0.73427
2020-07-12,0.49613
2020-07-13,1.88529
2020-07-14,1.50823
2020-07-15,1.27009
2020-07-16,1.42885
2020-07-17,1.56777
2020-07-18,0.93272
2020-07-19,0.83349
2020-07-20,1.38916
2020-07-21,1.66699
2020-07-22,1.50823
2020-07-23,1.68684
