date,김프
2020-03-20,0.09012
2020-03-21,0.05836
2020-03-22,0.06437
2020-03-23,0.07038
2020-03-24,0.07295
2020-03-25,0.07982
2020-03-26,0.09699
2020-03-27,0.07982
2020-03-28,0.07124
2020-03-29,0.06094
2020-03-30,0.07209
2020-03-31,0.0575
2020-04-01,0.0884
2020-04-02,0.06523
2020-04-03,0.08926
2020-04-04,0.07038
2020-04-05,0.0575
2020-04-06,0.11329
2020-04-07,0.12016
2020-04-08,0.09098
2020-04-09,0.09184
2020-04-10,0.09355
2020-04-11,0.0575
2020-04-12,0.06609
2020-04-13,0.06179
2020-04-14,0.08497
2020-04-15,0.06179
2020-04-16,0.0987
2020-04-17,0.06609
2020-04-18,0.03519
2020-04-19,0.05149
2020-04-20,0.06179
2020-04-21,0.06694
2020-04-22,0.08239
2020-04-23,0.10986
2020-04-24,0.07467
2020-04-25,0.03519
2020-04-26,0.02832
2020-04-27,0.06694
2020-04-28,0.08239
2020-04-29,0.06265
2020-04-30,0.05235
2020-05-01,0.04291
2020-05-02,0.03604
2020-05-03,0.04892
2020-05-04,0.04377
2020-05-05,0.03089
2020-05-06,0.05922
2020-05-07,0.06351
2020-05-08,0.04119
2020-05-09,0.03776
2020-05-10,0.05321
2020-05-11,0.06866
2020-05-12,0.06008
2020-05-13,0.04291
2020-05-14,0.05149
2020-05-15,0.05149
2020-05-16,0.02746
2020-05-17,0.05493
2020-05-18,0.07982
2020-05-19,0.04291
2020-05-20,0.05235
2020-05-21,0.06523
2020-05-22,0.04806
2020-05-23,0.04377
2020-05-24,0.03433
2020-05-25,0.05922
2020-05-26,0.04034
2020-05-27,0.05664
2020-05-28,0.03862
2020-05-29,0.05064
2020-05-30,0.02832
2020-05-31,0.04119
2020-06-01,0.04034
2020-06-02,0.05064
2020-06-03,0.06351
2020-06-04,0.06008
2020-06-05,0.03089
2020-06-06,0.02317
2020-06-07,0.03089
2020-06-08,0.05664
2020-06-09,0.04463
2020-06-10,0.05664
2020-06-11,0.04978
2020-06-12,0.0472
2020-06-13,0.02231
2020-06-14,0.03433
2020-06-15,0.0472
2020-06-16,0.04034
2020-06-17,0.05235
2020-06-18,0.05064
2020-06-19,0.05493
2020-06-20,0.03261
2020-06-21,0.03347
2020-06-22,0.04034
2020-06-23,0.05493
2020-06-24,0.05407
