date,나스닥선물
2020-03-20,8.24561
2020-03-21,2.40757
2020-03-22,1.42981
2020-03-23,13.16973
2020-03-24,8.99521
2020-03-25,10.71405
2020-03-26,8.13451
2020-03-27,6.43737
2020-03-28,1.53836
2020-03-29,0.90539
2020-03-30,6.53187
2020-03-31,5.20251
2020-04-01,6.23305
2020-04-02,6.05342
2020-04-03,4.40608
2020-04-04,0.97818
2020-04-05,0.58954
2020-04-06,4.1758
2020-04-07,4.71682
2020-04-08,4.62232
2020-04-09,3.84718
2020-04-10,2.35394
2020-04-11,0.38139
2020-04-12,0.30903
2020-04-13,3.83654
2020-04-14,2.63573
2020-04-15,2.3135
2020-04-16,2.99542
2020-04-17,2.54719
2020-04-18,0.66617
2020-04-19,0.30307
2020-04-20,2.88304
2020-04-21,3.6335
2020-04-22,3.46791
2020-04-23,2.86346
2020-04-24,2.55613
2020-04-25,0.50186
2020-04-26,0.20389
2020-04-27,2.05299
2020-04-28,2.26242
2020-04-29,1.72267
2020-04-30,1.23784
2020-05-01,1.75971
2020-05-02,0.56911
2020-05-03,0.28987
2020-05-04,2.64509
2020-05-05,1.82994
2020-05-06,2.39395
2020-05-07,2.15685
2020-05-08,1.62519
2020-05-09,0.35841
2020-05-10,0.19325
2020-05-11,2.11003
2020-05-12,2.10152
2020-05-13,2.25859
2020-05-14,2.68383
2020-05-15,1.77801
2020-05-16,0.32521
2020-05-17,0.14472
2020-05-18,1.70181
2020-05-19,1.80227
2020-05-20,1.64946
2020-05-21,1.63413
2020-05-22,1.93125
2020-05-23,0.32946
2020-05-24,0.1626
2020-05-25,1.70565
2020-05-26,1.96232
2020-05-27,1.88826
2020-05-28,2.13216
2020-05-29,1.75417
2020-05-30,0.31754
2020-05-31,0.14685
2020-06-01,1.97382
2020-06-02,1.62988
2020-06-03,1.49494
2020-06-04,1.5971
2020-06-05,1.29105
2020-06-06,0.25029
2020-06-07,0.14047
2020-06-08,1.71927
2020-06-09,1.88145
2020-06-10,1.66819
2020-06-11,2.50377
2020-06-12,4.2886
2020-06-13,0.53974
2020-06-14,0.23369
2020-06-15,5.88315
2020-06-16,4.06512
2020-06-17,3.35851
2020-06-18,3.18782
2020-06-19,2.34159
2020-06-20,0.53336
2020-06-21,0.22943
2020-06-22,2.63573
2020-06-23,2.84856
2020-06-24,2.87112
2020-06-25,5.18676
2020-06-26,2.66382
2020-06-27,0.67425
2020-06-28,0.35713
2020-06-29,5.4064
2020-06-30,3.45173
2020-07-01,3.26231
2020-07-02,2.50292
2020-07-03,2.0896
2020-07-04,0.47674
2020-07-05,0.23156
2020-07-06,2.32201
2020-07-07,2.68085
2020-07-08,2.46546
2020-07-09,2.1377
2020-07-10,2.28413
2020-07-11,0.43418
2020-07-12,0.16899
2020-07-13,1.85803
2020-07-14,3.22315
2020-07-15,2.35266
2020-07-16,3.15888
2020-07-17,2.24241
2020-07-18,0.40778
2020-07-19,0.1758
2020-07-20,2.33904
2020-07-21,2.09981
2020-07-22,2.48036
2020-07-23,2.21474
2020-07-24,3.01202
2020-07-25,0.58146
2020-07-26,0.23624
2020-07-27,2.25305
2020-07-28,2.11216
2020-07-29,2.26966
2020-07-30,3.0465
2020-07-31,2.33351
2020-08-01,0.3831
2020-08-02,0.1443
2020-08-03,1.86059
2020-08-04,2.03341
2020-08-05,1.7746
2020-08-06,2.06619
2020-08-07,2.07427
2020-08-08,0.39331
2020-08-09,0.16771
2020-08-10,1.90273
2020-08-11,1.97339
2020-08-12,2.52676
2020-08-13,1.97339
2020-08-14,1.94061
2020-08-15,0.31286
2020-08-16,0.12216
2020-08-17,1.65584
2020-08-18,2.3003
2020-08-19,1.97935
2020-08-20,3.34617
2020-08-21,2.04533
2020-08-22,0.36139
2020-08-23,0.14089
2020-08-24,1.86101
2020-08-25,2.16664
2020-08-26,2.17941
2020-08-27,2.42417
2020-08-28,1.92103
2020-08-29,0.31031
2020-08-30,0.12855
2020-08-31,2.01425
2020-09-01,2.10535
2020-09-02,2.01553
2020-09-03,2.77663
2020-09-04,7.69437
2020-09-05,1.29062
2020-09-06,0.44865
2020-09-07,4.52059
2020-09-08,11.03501
2020-09-09,12.61977
2020-09-10,10.85963
2020-09-11,8.13195
2020-09-12,1.34979
2020-09-13,0.56826
2020-09-14,6.25561
2020-09-15,5.91039
2020-09-16,6.24667
2020-09-17,10.95328
2020-09-18,7.62073
2020-09-19,1.27232
2020-09-20,0.50015
2020-09-21,13.57709
2020-09-22,14.99457
2020-09-23,11.01713
2020-09-24,17.66436
2020-09-25,10.36969
2020-09-26,1.54985
2020-09-27,0.5921
2020-09-28,8.21453
2020-09-29,6.35692
2020-09-30,5.10929
2020-10-01,4.3201
2020-10-02,24.01447
2020-10-03,3.44748
2020-10-04,1.33021
2020-10-05,8.83601
2020-10-06,9.33574
2020-10-07,9.16675
2020-10-08,5.70607
2020-10-09,3.75438
2020-10-10,0.962
2020-10-11,0.46993
2020-10-12,6.60551
2020-10-13,8.74704
2020-10-14,8.14004
2020-10-15,12.97094
2020-10-16,10.2007
2020-10-17,1.50005
2020-10-18,0.59465
2020-10-19,8.56273
2020-10-20,9.85803
2020-10-21,9.37235
2020-10-22,10.24071
2020-10-23,7.21294
2020-10-24,1.15015
2020-10-25,0.35713
2020-10-26,9.21826
2020-10-27,9.93976
2020-10-28,13.1361
2020-10-29,14.49483
2020-10-30,14.80259
2020-10-31,2.29903
2020-11-01,0.93774
2020-11-02,11.95487
2020-11-03,10.28796
2020-11-04,17.56177
2020-11-05,13.95253
2020-11-06,13.79333
2020-11-07,2.07385
2020-11-08,0.90539
2020-11-09,13.60093
2020-11-10,15.16186
2020-11-11,12.45589
2020-11-12,11.29977
2020-11-13,8.72363
2020-11-14,1.37362
2020-11-15,0.53676
2020-11-16,8.9288
2020-11-17,8.94668
2020-11-18,8.52186
2020-11-19,9.17867
2020-11-20,6.85665
2020-11-21,1.25359
2020-11-22,0.47589
2020-11-23,6.25178
2020-11-24,6.44844
2020-11-25,7.67564
2020-11-26,5.49196
2020-11-27,4.61381
2020-11-28,0.86538
2020-11-29,0.31882
2020-11-30,6.99457
2020-12-01,5.9602
2020-12-02,6.29392
2020-12-03,5.59412
2020-12-04,4.55847
2020-12-05,0.89134
2020-12-06,0.28136
2020-12-07,5.89251
2020-12-08,6.63786
2020-12-09,5.53155
2020-12-10,7.39938
2020-12-11,6.1079
2020-12-12,1.08928
2020-12-13,0.32095
2020-12-14,5.67883
2020-12-15,5.87549
2020-12-16,5.46855
2020-12-17,5.30977
2020-12-18,4.60019
2020-12-19,0.99052
2020-12-20,0.35372
2020-12-21,10.08406
2020-12-22,10.09002
2020-12-23,7.69905
2020-12-24,4.63892
2020-12-25,1.01989
2020-12-26,0.31712
2020-12-27,0.30392
2020-12-28,4.56528
2020-12-29,4.54528
2020-12-30,3.85399
2020-12-31,2.17771
2021-01-01,0.74108
2021-01-02,0.20687
2021-01-03,0.24603
2021-01-04,5.16249
2021-01-05,8.04426
2021-01-06,14.59529
2021-01-07,8.68064
2021-01-08,5.94913
2021-01-09,1.20208
2021-01-10,0.45248
2021-01-11,9.60902
2021-01-12,9.98786
2021-01-13,8.07151
2021-01-14,7.65904
2021-01-15,7.94679
2021-01-16,1.50388
2021-01-17,0.54655
2021-01-18,8.06938
2021-01-19,8.12174
2021-01-20,7.26189
2021-01-21,7.2406
2021-01-22,7.27551
2021-01-23,1.35958
2021-01-24,0.44822
2021-01-25,6.60636
2021-01-26,10.41779
2021-01-27,10.65574
2021-01-28,20.75087
2021-01-29,18.83452
2021-01-30,3.42619
2021-01-31,1.30424
2021-02-01,16.07917
2021-02-02,12.3882
2021-02-03,11.30999
2021-02-04,12.36437
2021-02-05,8.48398
2021-02-06,1.43364
2021-02-07,0.44226
2021-02-08,7.96594
2021-02-09,8.60827
2021-02-10,5.9951
2021-02-11,4.03277
2021-02-12,4.69383
2021-02-13,1.39831
2021-02-14,0.53123
2021-02-15,5.40214
2021-02-16,7.69224
2021-02-17,9.55113
2021-02-18,12.32861
2021-02-19,11.50239
2021-02-20,1.8027
2021-02-21,0.59593
2021-02-22,26.20623
2021-02-23,24.69213
2021-02-24,27.95104
2021-02-25,20.25156
2021-02-26,30.25391
2021-02-27,4.34266
2021-02-28,1.32042
2021-03-01,16.36224
2021-03-02,25.64733
2021-03-03,22.09343
2021-03-04,31.40619
2021-03-05,30.2471
2021-03-06,4.96584
2021-03-07,1.41789
2021-03-08,37.95168
2021-03-09,36.86538
2021-03-10,35.47217
2021-03-11,24.87389
2021-03-12,30.15558
2021-03-13,5.01223
2021-03-14,1.69969
2021-03-15,25.65584
2021-03-16,20.30903
2021-03-17,24.31158
2021-03-18,28.39714
2021-03-19,27.08481
2021-03-20,3.66457
2021-03-21,1.42683
2021-03-22,20.55507
2021-03-23,23.21762
2021-03-24,21.9968
2021-03-25,23.00138
2021-03-26,16.75939
2021-03-27,2.73108
2021-03-28,1.01649
2021-03-29,21.83547
2021-03-30,18.30371
2021-03-31,17.33531
2021-04-01,16.05533
2021-04-02,11.38746
2021-04-03,2.17643
2021-04-04,0.93391
2021-04-05,13.82015
2021-04-06,14.69617
2021-04-07,12.78578
2021-04-08,12.09918
2021-04-09,10.54038
2021-04-10,1.75545
2021-04-11,0.65297
2021-04-12,11.26402
2021-04-13,11.6037
2021-04-14,10.90262
2021-04-15,11.13717
2021-04-16,9.38639
2021-04-17,1.45237
2021-04-18,0.56315
2021-04-19,10.03682
2021-04-20,11.60242
2021-04-21,16.54528
2021-04-22,12.49164
2021-04-23,11.16228
2021-04-24,1.65627
2021-04-25,0.5738
2021-04-26,10.11301
2021-04-27,10.49781
2021-04-28,12.01702
2021-04-29,12.00297
2021-04-30,9.68649
2021-05-01,1.47749
2021-05-02,0.53974
2021-05-03,9.65116
2021-05-04,9.33659
2021-05-05,11.67478
2021-05-06,11.83909
2021-05-07,9.14376
2021-05-08,1.55879
2021-05-09,0.51761
2021-05-10,10.3633
2021-05-11,24.56826
2021-05-12,26.10577
2021-05-13,35.44152
2021-05-14,17.70863
2021-05-15,2.52846
2021-05-16,1.05139
2021-05-17,20.13876
2021-05-18,13.2953
2021-05-19,17.89209
2021-05-20,22.63786
2021-05-21,15.40108
2021-05-22,2.7149
2021-05-23,1.11908
2021-05-24,15.69437
2021-05-25,14.69192
2021-05-26,14.87623
2021-05-27,15.38065
2021-05-28,11.29764
2021-05-29,1.95253
2021-05-30,0.76705
2021-05-31,9.41619
2021-06-01,12.70107
2021-06-02,12.53719
2021-06-03,14.92348
2021-06-04,13.91422
2021-06-05,2.05682
2021-06-06,0.73555
2021-06-07,13.22975
2021-06-08,12.99819
2021-06-09,12.93221
2021-06-10,12.85388
2021-06-11,9.48217
2021-06-12,1.70735
2021-06-13,0.5623
2021-06-14,9.23315
2021-06-15,10.59231
2021-06-16,11.28828
2021-06-17,14.40289
2021-06-18,10.31095
2021-06-19,2.37735
2021-06-20,0.81089
2021-06-21,16.81132
2021-06-22,13.70309
2021-06-23,11.84463
2021-06-24,11.45982
2021-06-25,9.67713
2021-06-26,1.70735
2021-06-27,0.59423
2021-06-28,9.60093
2021-06-29,11.204
2021-06-30,10.763
2021-07-01,10.34457
2021-07-02,8.5274
2021-07-03,1.46557
2021-07-04,0.49675
2021-07-05,7.81951
2021-07-06,10.14919
2021-07-07,10.74044
2021-07-08,20.62956
2021-07-09,17.40129
2021-07-10,2.12876
2021-07-11,0.69085
2021-07-12,12.13365
2021-07-13,12.3218
2021-07-14,12.92369
2021-07-15,12.50611
2021-07-16,11.92763
2021-07-17,2.08875
2021-07-18,0.70575
2021-07-19,19.90124
2021-07-20,22.54847
2021-07-21,18.0432
2021-07-22,13.69713
2021-07-23,10.69745
2021-07-24,1.80397
2021-07-25,0.5755
2021-07-26,14.66893
2021-07-27,14.01511
2021-07-28,16.63467
2021-07-29,12.8492
2021-07-30,18.73661
2021-07-31,2.40374
2021-08-01,0.90241
2021-08-02,12.10003
2021-08-03,13.19484
