date,나스닥종합
2020-03-20,0.11708
2020-03-21,0.0862
2020-03-22,0.01929
2020-03-23,0.06561
2020-03-24,0.1248
2020-03-25,0.08877
2020-03-26,0.12608
2020-03-27,0.0952
2020-03-28,0.04631
2020-03-30,0.02058
2020-03-31,0.06819
2020-04-01,0.04889
2020-04-02,0.06819
2020-04-03,0.05918
2020-04-04,0.03216
2020-04-06,0.02058
2020-04-07,0.03473
2020-04-08,0.03859
2020-04-09,0.04374
2020-04-10,0.02315
2020-04-11,0.01672
2020-04-13,0.00771
2020-04-14,0.03473
2020-04-15,0.03216
2020-04-16,0.03988
2020-04-17,0.04117
2020-04-18,0.02444
2020-04-19,0.00643
2020-04-20,0.01157
2020-04-21,0.0476
2020-04-22,0.0476
2020-04-23,0.02573
2020-04-24,0.03345
2020-04-25,0.02058
2020-04-26,0.00643
2020-04-27,0.01929
2020-04-28,0.02058
2020-04-29,0.01672
2020-04-30,0.03087
2020-05-01,0.02959
2020-05-02,0.02187
2020-05-04,0.00643
2020-05-05,0.02187
2020-05-06,0.02573
2020-05-07,0.03087
2020-05-08,0.01801
2020-05-09,0.009
2020-05-12,0.0283
2020-05-13,0.03216
2020-05-14,0.01286
2020-05-15,0.01543
2020-05-16,0.01029
2020-05-18,0.00771
2020-05-19,0.02444
2020-05-20,0.02187
2020-05-21,0.02058
2020-05-22,0.01543
2020-05-23,0.01157
2020-05-26,0.01672
2020-05-27,0.02187
2020-05-28,0.01157
2020-05-29,0.01929
2020-05-30,0.01415
2020-05-31,0.009
2020-06-01,0.01543
2020-06-02,0.01929
2020-06-03,0.01543
2020-06-04,0.01157
2020-06-05,0.01029
2020-06-06,0.02058
2020-06-08,0.01801
2020-06-09,0.03345
2020-06-10,0.03216
2020-06-11,0.03216
2020-06-12,0.06819
2020-06-13,0.01543
2020-06-15,0.03988
2020-06-16,0.05146
2020-06-17,0.02573
2020-06-18,0.02959
2020-06-19,0.0283
2020-06-20,0.01672
2020-06-23,0.01543
2020-06-24,0.009
2020-06-25,0.02187
2020-06-26,0.02573
2020-06-27,0.0283
2020-06-28,0.00771
2020-06-29,0.01286
2020-06-30,0.01286
2020-07-01,0.009
2020-07-02,0.01801
2020-07-04,0.009
2020-07-06,0.009
2020-07-07,0.01929
2020-07-08,0.02058
2020-07-09,0.01543
2020-07-10,0.02701
2020-07-11,0.01672
2020-07-13,0.01286
2020-07-14,0.02701
2020-07-15,0.03216
2020-07-16,0.03345
2020-07-17,0.00771
2020-07-18,0.02058
2020-07-19,0.00643
2020-07-20,0.02959
2020-07-21,0.03473
2020-07-22,0.02444
2020-07-23,0.02573
2020-07-24,0.03345
2020-07-25,0.01543
2020-07-27,0.009
2020-07-28,0.02187
2020-07-29,0.01801
2020-07-30,0.03216
2020-07-31,0.02444
2020-08-01,0.02187
2020-08-03,0.00643
2020-08-04,0.03087
2020-08-05,0.01929
2020-08-06,0.009
2020-08-07,0.03473
2020-08-08,0.03216
2020-08-10,0.0283
2020-08-11,0.04631
2020-08-12,0.05146
2020-08-13,0.07333
2020-08-14,0.03473
2020-08-15,0.01415
2020-08-17,0.01157
2020-08-18,0.03731
2020-08-19,0.04374
2020-08-20,0.05918
2020-08-21,0.04631
2020-08-22,0.02573
2020-08-23,0.009
2020-08-24,0.01801
2020-08-25,0.05918
2020-08-26,0.03988
2020-08-27,0.07462
2020-08-28,0.03859
2020-08-29,0.05661
2020-08-31,0.03988
2020-09-01,0.09006
2020-09-02,0.09778
2020-09-03,0.12351
2020-09-04,0.1917
2020-09-05,0.17755
2020-09-06,0.01672
2020-09-07,0.02959
2020-09-08,0.07719
2020-09-09,0.11322
2020-09-10,0.07591
2020-09-11,0.08234
2020-09-12,0.05146
2020-09-13,0.00643
2020-09-14,0.04117
2020-09-15,0.06561
2020-09-16,0.07591
2020-09-17,0.10678
2020-09-18,0.10292
2020-09-19,0.06819
