date,다우나스닥
2020-03-20,30.81263
2020-03-21,23.36687
2020-03-22,2.56529
2020-03-23,12.70432
2020-03-24,34.64021
2020-03-25,29.34093
2020-03-26,33.65714
2020-03-27,28.6138
2020-03-28,20.47001
2020-03-29,2.41987
2020-03-30,10.48222
2020-03-31,25.75184
2020-04-01,29.42237
2020-04-02,29.97498
2020-04-03,24.7804
2020-04-04,17.32301
2020-04-05,2.45477
2020-04-06,8.59752
2020-04-07,24.25106
2020-04-08,24.84439
2020-04-09,26.38589
2020-04-10,21.67413
2020-04-11,8.78366
2020-04-12,2.11738
2020-04-13,7.60863
2020-04-14,20.39439
2020-04-15,16.35739
2020-04-16,19.14373
2020-04-17,19.07975
2020-04-18,12.02955
2020-04-19,2.00686
2020-04-20,8.02163
2020-04-21,22.68047
2020-04-22,23.23308
2020-04-23,18.95177
2020-04-24,18.42243
2020-04-25,12.00628
2020-04-26,1.93124
2020-04-27,6.51503
2020-04-28,17.23576
2020-04-29,16.51445
2020-04-30,12.84974
2020-05-01,13.59432
2020-05-02,10.30771
2020-05-03,2.04176
2020-05-04,5.60758
2020-05-05,15.75242
2020-05-06,15.89785
2020-05-07,19.14955
2020-05-08,16.2585
2020-05-09,10.9185
2020-05-10,1.71601
2020-05-11,6.18346
2020-05-12,17.03216
2020-05-13,17.75929
2020-05-14,19.74288
2020-05-15,18.15484
2020-05-16,10.70909
2020-05-17,1.82653
2020-05-18,6.80588
2020-05-19,17.92216
2020-05-20,18.19556
2020-05-21,17.77092
2020-05-22,15.61282
2020-05-23,10.76726
2020-05-24,2.01849
2020-05-25,5.42144
2020-05-26,12.22732
2020-05-27,16.57844
2020-05-28,17.34046
2020-05-29,15.607
2020-05-30,11.56419
2020-05-31,1.73928
2020-06-01,6.14274
2020-06-02,15.32197
2020-06-03,16.01419
2020-06-04,17.50334
2020-06-05,16.74713
2020-06-06,10.56366
2020-06-07,1.56477
2020-06-08,6.1602
2020-06-09,15.74079
2020-06-10,17.54406
2020-06-11,19.77197
2020-06-12,29.98662
2020-06-13,16.8402
2020-06-14,2.0883
2020-06-15,12.51817
2020-06-16,28.91047
2020-06-17,24.79204
2020-06-18,24.52446
2020-06-19,19.12628
2020-06-20,12.94281
2020-06-21,2.16973
2020-06-22,7.1898
2020-06-23,18.25955
2020-06-24,19.02158
2020-06-25,29.30603
2020-06-26,23.12838
2020-06-27,15.96765
2020-06-28,2.25699
2020-06-29,11.75615
2020-06-30,25.72276
2020-07-01,22.0057
2020-07-02,22.66302
2020-07-03,19.49857
2020-07-04,8.42882
2020-07-05,1.92542
2020-07-06,7.24797
2020-07-07,18.91687
2020-07-08,21.01099
2020-07-09,18.56203
2020-07-10,19.94648
2020-07-11,11.49438
2020-07-12,2.00686
2020-07-13,6.27072
2020-07-14,24.12308
2020-07-15,22.77936
2020-07-16,22.6223
2020-07-17,18.23046
2020-07-18,12.10517
2020-07-19,1.75673
2020-07-20,7.32941
2020-07-21,20.58053
2020-07-22,21.38909
2020-07-23,19.87667
2020-07-24,22.35472
2020-07-25,12.87301
2020-07-26,1.83235
2020-07-27,6.70118
2020-07-28,18.10249
2020-07-29,19.30079
2020-07-30,19.9523
2020-07-31,20.67942
2020-08-01,11.36641
2020-08-02,1.91379
2020-08-03,6.31725
2020-08-04,16.75876
2020-08-05,17.86399
2020-08-06,17.15432
2020-08-07,17.92798
2020-08-08,11.79105
2020-08-09,1.80908
2020-08-10,7.4981
2020-08-11,19.86504
2020-08-12,20.86556
2020-08-13,19.63236
2020-08-14,17.49752
2020-08-15,10.267
2020-08-16,1.65784
2020-08-17,6.82915
2020-08-18,17.18922
2020-08-19,20.79576
2020-08-20,20.77831
2020-08-21,18.91105
2020-08-22,11.59909
2020-08-23,1.99523
2020-08-24,7.3585
2020-08-25,21.4589
2020-08-26,21.61014
2020-08-27,18.80053
2020-08-28,17.6255
2020-08-29,10.17392
2020-08-30,1.62875
2020-08-31,6.56157
2020-09-01,17.54406
2020-09-02,16.13053
2020-09-03,20.58635
2020-09-04,37.47309
2020-09-05,24.35576
2020-09-06,2.43732
2020-09-07,8.46373
2020-09-08,21.89517
2020-09-09,33.58734
2020-09-10,26.77563
2020-09-11,27.08975
2020-09-12,17.16595
