date,다이렉트보험
2020-03-20,48.23369
2020-03-21,29.21195
2020-03-22,29.34782
2020-03-23,64.40217
2020-03-24,61.95652
2020-03-25,64.53804
2020-03-26,63.72282
2020-03-27,49.86413
2020-03-28,28.125
2020-03-29,29.21195
2020-03-30,61.1413
2020-03-31,61.68478
2020-04-01,46.33152
2020-04-02,52.03804
2020-04-03,53.66847
2020-04-04,27.98913
2020-04-05,29.48369
2020-04-06,57.74456
2020-04-07,48.77717
2020-04-08,55.84239
2020-04-09,52.17391
2020-04-10,51.63043
2020-04-11,27.30978
2020-04-12,30.57065
2020-04-13,58.83152
2020-04-14,47.2826
2020-04-15,35.32608
2020-04-16,49.59239
2020-04-17,55.70652
2020-04-18,27.98913
2020-04-19,31.11413
2020-04-20,64.13043
2020-04-21,59.91847
2020-04-22,57.88043
2020-04-23,52.17391
2020-04-24,49.18478
2020-04-25,28.5326
2020-04-26,25.0
2020-04-27,64.40217
2020-04-28,59.10326
2020-04-29,50.27173
2020-04-30,30.70652
2020-05-01,33.42391
2020-05-02,25.27173
2020-05-03,23.91304
2020-05-04,56.92934
2020-05-05,30.43478
2020-05-06,61.68478
2020-05-07,50.95108
2020-05-08,52.30978
2020-05-09,29.34782
2020-05-10,28.125
2020-05-11,61.41304
2020-05-12,51.63043
2020-05-13,49.72826
2020-05-14,49.86413
2020-05-15,52.44565
2020-05-16,29.21195
2020-05-17,26.49456
2020-05-18,60.59782
2020-05-19,55.97826
2020-05-20,56.38586
2020-05-21,55.57065
2020-05-22,44.83695
2020-05-23,24.86413
2020-05-24,28.5326
2020-05-25,57.47282
2020-05-26,54.34782
2020-05-27,60.59782
2020-05-28,52.03804
2020-05-29,43.34239
2020-05-30,25.95108
2020-05-31,26.08695
2020-06-01,57.60869
2020-06-02,52.98913
2020-06-03,55.02717
2020-06-04,49.86413
2020-06-05,38.99456
2020-06-06,26.22282
2020-06-07,27.44565
2020-06-08,55.43478
2020-06-09,56.38586
2020-06-10,56.11413
2020-06-11,55.16304
2020-06-12,50.54347
2020-06-13,27.44565
2020-06-14,30.97826
2020-06-15,59.10326
2020-06-16,60.19021
2020-06-17,48.6413
2020-06-18,56.92934
2020-06-19,47.41847
2020-06-20,25.0
2020-06-21,23.09782
2020-06-22,58.42391
2020-06-23,52.30978
2020-06-24,48.09782
2020-06-25,53.94021
2020-06-26,45.92391
2020-06-27,25.0
2020-06-28,25.27173
2020-06-29,57.88043
2020-06-30,55.16304
2020-07-01,51.22282
2020-07-02,47.2826
2020-07-03,42.25543
2020-07-04,22.82608
2020-07-05,26.90217
2020-07-06,52.98913
2020-07-07,50.27173
2020-07-08,43.61413
2020-07-09,47.82608
2020-07-10,42.66304
2020-07-11,25.54347
2020-07-12,23.50543
2020-07-13,57.20108
2020-07-14,53.39673
2020-07-15,54.34782
2020-07-16,48.36956
2020-07-17,40.76086
2020-07-18,20.92391
2020-07-19,25.54347
2020-07-20,60.05434
2020-07-21,50.0
2020-07-22,49.04891
2020-07-23,50.81521
2020-07-24,45.78804
2020-07-25,27.85326
2020-07-26,24.86413
2020-07-27,59.64673
2020-07-28,53.125
2020-07-29,50.54347
2020-07-30,44.97282
2020-07-31,38.04347
2020-08-01,22.41847
2020-08-02,20.92391
2020-08-03,42.3913
2020-08-04,43.20652
2020-08-05,46.46739
2020-08-06,43.47826
2020-08-07,43.88586
2020-08-08,25.95108
