date,달러
2020-03-20,100.0
2020-03-21,24.9716
2020-03-22,20.69277
2020-03-23,73.77691
2020-03-24,58.57416
2020-03-25,50.04688
2020-03-26,45.9041
2020-03-27,44.44855
2020-03-28,17.82393
2020-03-29,14.55025
2020-03-30,41.41791
2020-03-31,34.01598
2020-04-01,34.67705
2020-04-02,35.86448
2020-04-03,28.86474
2020-04-04,14.17382
2020-04-05,12.1087
2020-04-06,32.47127
2020-04-07,32.13908
2020-04-08,28.53982
2020-04-09,27.45079
2020-04-10,27.94148
2020-04-11,11.73094
2020-04-12,11.63056
2020-04-13,27.63241
2020-04-14,24.25307
2020-04-15,14.88046
2020-04-16,31.64839
2020-04-17,27.94148
2020-04-18,12.58618
2020-04-19,11.72632
2020-04-20,26.93501
2020-04-21,39.33892
2020-04-22,29.22599
2020-04-23,25.34803
2020-04-24,24.69753
2020-04-25,11.19733
2020-04-26,10.59569
2020-04-27,24.40628
2020-04-28,23.46849
2020-04-29,22.19786
2020-04-30,13.02932
2020-05-01,12.95337
2020-05-02,10.10566
2020-05-03,9.50997
2020-05-04,20.70466
2020-05-05,11.92709
2020-05-06,21.39413
2020-05-07,18.69171
2020-05-08,18.56756
2020-05-09,9.33298
2020-05-10,8.38462
2020-05-11,19.25241
2020-05-12,18.87399
2020-05-13,17.2071
2020-05-14,17.8477
2020-05-15,17.28833
2020-05-16,8.7036
2020-05-17,8.73134
2020-05-18,19.23788
2020-05-19,19.63677
2020-05-20,18.4117
2020-05-21,16.77849
2020-05-22,20.02509
2020-05-23,10.2602
2020-05-24,9.09523
2020-05-25,23.12838
2020-05-26,21.08175
2020-05-27,19.32967
2020-05-28,20.73306
2020-05-29,17.73081
2020-05-30,9.54101
2020-05-31,9.19429
2020-06-01,21.76132
2020-06-02,21.20459
2020-06-03,23.27895
2020-06-04,20.82089
2020-06-05,22.16814
2020-06-06,10.04821
2020-06-07,8.88257
2020-06-08,23.34169
2020-06-09,24.94716
2020-06-10,25.422
2020-06-11,23.85153
2020-06-12,23.05904
2020-06-13,8.97371
2020-06-14,8.93739
2020-06-15,23.38858
2020-06-16,22.41381
2020-06-17,19.89829
2020-06-18,18.86144
2020-06-19,16.38885
2020-06-20,8.76238
2020-06-21,7.88072
2020-06-22,18.78615
2020-06-23,18.59992
2020-06-24,19.0457
2020-06-25,18.8337
2020-06-26,19.1091
2020-06-27,9.34288
2020-06-28,7.92167
2020-06-29,19.99009
2020-06-30,19.68234
2020-07-01,18.42887
2020-07-02,17.35305
2020-07-03,15.81231
2020-07-04,7.44815
2020-07-05,7.57297
2020-07-06,19.12032
2020-07-07,19.76885
2020-07-08,17.48117
2020-07-09,17.73081
2020-07-10,16.9119
2020-07-11,8.29018
2020-07-12,7.81997
2020-07-13,18.35688
2020-07-14,17.55976
2020-07-15,16.81878
2020-07-16,16.33139
2020-07-17,14.60969
2020-07-18,7.60863
2020-07-19,7.20116
2020-07-20,16.03156
2020-07-21,17.35569
2020-07-22,19.4076
2020-07-23,17.93422
2020-07-24,16.97199
2020-07-25,9.30788
2020-07-26,8.03658
2020-07-27,20.31765
2020-07-28,22.77176
2020-07-29,21.35781
2020-07-30,21.68868
2020-07-31,21.28582
2020-08-01,9.63677
2020-08-02,9.10844
2020-08-03,17.76317
2020-08-04,17.31013
2020-08-05,20.18095
2020-08-06,21.15704
2020-08-07,18.64879
2020-08-08,9.61828
2020-08-09,8.97833
2020-08-10,19.8547
2020-08-11,19.06353
2020-08-12,20.35001
2020-08-13,17.74534
2020-08-14,16.16827
2020-08-15,8.39255
2020-08-16,7.70902
2020-08-17,11.21252
2020-08-18,19.07343
2020-08-19,19.29533
2020-08-20,21.26337
2020-08-21,18.33575
2020-08-22,9.68564
2020-08-23,8.84559
2020-08-24,20.40813
2020-08-25,18.39321
2020-08-26,17.75591
2020-08-27,18.07819
2020-08-28,17.27446
2020-08-29,9.76885
2020-08-30,9.3442
2020-08-31,20.04028
2020-09-01,21.22506
2020-09-02,21.70783
2020-09-03,19.51591
2020-09-04,20.70532
2020-09-05,10.05547
2020-09-06,9.52384
2020-09-07,17.17474
2020-09-08,17.02945
2020-09-09,19.09523
2020-09-10,16.7851
2020-09-11,15.78325
2020-09-12,8.6686
2020-09-13,8.05111
2020-09-14,17.24408
2020-09-15,19.31845
2020-09-16,24.11108
2020-09-17,22.17408
2020-09-18,26.51433
2020-09-19,11.03949
2020-09-20,9.71139
2020-09-21,24.7781
2020-09-22,23.15942
2020-09-23,20.56597
2020-09-24,22.29031
2020-09-25,19.20816
2020-09-26,9.44591
2020-09-27,8.30933
2020-09-28,16.9119
2020-09-29,15.65909
2020-09-30,9.30656
2020-10-01,9.11438
2020-10-02,10.62145
2020-10-03,9.35741
2020-10-04,8.60718
2020-10-05,20.35662
2020-10-06,19.97358
2020-10-07,18.70096
2020-10-08,20.11755
2020-10-09,12.4541
2020-10-10,10.33813
2020-10-11,9.54761
2020-10-12,23.63096
2020-10-13,22.37022
2020-10-14,27.52014
2020-10-15,21.25148
2020-10-16,17.86421
2020-10-17,8.77823
2020-10-18,8.14159
2020-10-19,19.25769
2020-10-20,19.82499
2020-10-21,24.07145
2020-10-22,22.41777
2020-10-23,21.11015
2020-10-24,10.81032
2020-10-25,10.20935
2020-10-26,22.78166
2020-10-27,22.19323
2020-10-28,21.30233
2020-10-29,21.67415
2020-10-30,18.86606
2020-10-31,9.28014
2020-11-01,8.74785
2020-11-02,18.98296
2020-11-03,18.46189
2020-11-04,27.92167
2020-11-05,26.80887
2020-11-06,25.56861
2020-11-07,10.63531
2020-11-08,10.83476
2020-11-09,30.36058
2020-11-10,28.20235
2020-11-11,27.68854
2020-11-12,23.02734
2020-11-13,21.18874
2020-11-14,9.92471
2020-11-15,9.15466
2020-11-16,27.86619
2020-11-17,25.26152
2020-11-18,27.44419
2020-11-19,27.17474
2020-11-20,23.66001
2020-11-21,11.2878
2020-11-22,12.0453
2020-11-23,26.61801
2020-11-24,26.35517
2020-11-25,28.54708
2020-11-26,28.93343
2020-11-27,29.26495
2020-11-28,15.01452
2020-11-29,12.37022
2020-11-30,26.55461
2020-12-01,25.04226
2020-12-02,27.5208
2020-12-03,39.5278
2020-12-04,45.49134
2020-12-05,21.18214
2020-12-06,17.23088
2020-12-07,41.79632
2020-12-08,35.18029
2020-12-09,34.26561
2020-12-10,31.32281
2020-12-11,30.93712
2020-12-12,14.30722
2020-12-13,13.85285
2020-12-14,30.40945
2020-12-15,28.82314
2020-12-16,28.4183
2020-12-17,28.03988
2020-12-18,29.18967
2020-12-19,14.27156
2020-12-20,13.30933
2020-12-21,33.22678
2020-12-22,32.06841
2020-12-23,28.08479
2020-12-24,25.30775
2020-12-25,15.08849
2020-12-26,12.65288
2020-12-27,13.68313
2020-12-28,30.02971
2020-12-29,30.40549
2020-12-30,32.03275
2020-12-31,25.49266
2021-01-01,14.94848
2021-01-02,13.93937
2021-01-03,15.16774
2021-01-04,37.00171
2021-01-05,32.75591
2021-01-06,32.22031
2021-01-07,31.20261
2021-01-08,35.60824
2021-01-09,15.86844
2021-01-10,13.91956
2021-01-11,36.24488
2021-01-12,32.57825
2021-01-13,28.60124
2021-01-14,28.07092
2021-01-15,25.87835
2021-01-16,13.79144
2021-01-17,11.65301
2021-01-18,30.7007
2021-01-19,45.34209
2021-01-20,26.78774
2021-01-21,26.16695
2021-01-22,23.78549
2021-01-23,12.17078
2021-01-24,10.31303
2021-01-25,25.3837
2021-01-26,24.45581
2021-01-27,22.69515
2021-01-28,32.2355
2021-01-29,29.47298
2021-01-30,14.11504
2021-01-31,11.26139
2021-02-01,26.7283
2021-02-02,24.27354
2021-02-03,23.6435
2021-02-04,21.80359
2021-02-05,24.92273
2021-02-06,12.12323
2021-02-07,10.25888
2021-02-08,23.26839
2021-02-09,22.83978
2021-02-10,23.01281
2021-02-11,12.3273
2021-02-12,11.53876
2021-02-13,11.14251
2021-02-14,10.6439
2021-02-15,24.69356
2021-02-16,26.70453
2021-02-17,24.45119
2021-02-18,25.21265
2021-02-19,22.47457
2021-02-20,12.18201
2021-02-21,10.5521
2021-02-22,23.47312
2021-02-23,26.35385
2021-02-24,24.29137
2021-02-25,21.95945
2021-02-26,28.98824
2021-02-27,12.29362
2021-02-28,11.35451
2021-03-01,14.28477
2021-03-02,25.35464
2021-03-03,21.795
2021-03-04,23.46189
2021-03-05,25.01717
2021-03-06,11.54735
2021-03-07,10.40417
2021-03-08,25.89288
2021-03-09,29.86461
2021-03-10,27.69251
2021-03-11,25.29322
2021-03-12,25.34143
2021-03-13,11.67811
2021-03-14,10.78655
2021-03-15,22.9963
2021-03-16,21.7349
2021-03-17,19.89103
2021-03-18,21.52819
2021-03-19,19.70875
2021-03-20,10.60361
2021-03-21,10.32954
2021-03-22,20.42992
2021-03-23,19.51657
2021-03-24,18.68775
2021-03-25,19.19495
2021-03-26,17.04464
2021-03-27,8.52265
2021-03-28,8.13829
2021-03-29,18.33311
2021-03-30,17.87412
2021-03-31,18.60256
2021-04-01,18.8238
2021-04-02,17.66147
2021-04-03,8.97239
2021-04-04,9.18306
2021-04-05,20.3837
2021-04-06,21.126
2021-04-07,22.39928
2021-04-08,19.69885
2021-04-09,19.17646
2021-04-10,9.62686
2021-04-11,8.70756
2021-04-12,18.71153
2021-04-13,19.18901
2021-04-14,21.14449
2021-04-15,19.66318
2021-04-16,19.10051
2021-04-17,10.43059
2021-04-18,10.14793
2021-04-19,19.14476
2021-04-20,20.8024
2021-04-21,20.98005
2021-04-22,18.53652
2021-04-23,19.54629
2021-04-24,9.6546
2021-04-25,8.42557
2021-04-26,18.60454
2021-04-27,19.20023
2021-04-28,16.99247
2021-04-29,18.53255
2021-04-30,16.31422
2021-05-01,8.95984
2021-05-02,8.1363
2021-05-03,17.32994
2021-05-04,17.23154
2021-05-05,11.71311
2021-05-06,17.85761
2021-05-07,15.89023
2021-05-08,9.08268
2021-05-09,8.56293
2021-05-10,18.0696
2021-05-11,18.14885
2021-05-12,17.6509
