date,달러인덱스
2020-03-20,73.16604
2020-03-21,25.9756
2020-03-22,14.31988
2020-03-23,42.18105
2020-03-24,38.94465
2020-03-25,29.89212
2020-03-26,25.67542
2020-03-27,22.4484
2020-03-28,10.65196
2020-03-29,7.51876
2020-03-30,19.50281
2020-03-31,18.03939
2020-04-01,26.39305
2020-04-02,21.36491
2020-04-03,21.4681
2020-04-04,11.60881
2020-04-05,7.03095
2020-04-06,20.06097
2020-04-07,25.36116
2020-04-08,24.07129
2020-04-09,22.06378
2020-04-10,17.76735
2020-04-11,6.25703
2020-04-12,4.92964
2020-04-13,14.25891
2020-04-14,12.11069
2020-04-15,8.49437
2020-04-16,15.32363
2020-04-17,15.69418
2020-04-18,6.95121
2020-04-19,4.43714
2020-04-20,12.22795
2020-04-21,14.53564
2020-04-22,13.70544
2020-04-23,12.106
2020-04-24,11.84333
2020-04-25,5.37992
2020-04-26,3.6726
2020-04-27,9.49343
2020-04-28,9.49343
2020-04-29,8.65853
2020-04-30,5.62851
2020-05-01,6.20075
2020-05-02,4.62945
2020-05-03,3.29268
2020-05-04,8.04878
2020-05-05,5.5347
2020-05-06,8.16604
2020-05-07,8.03939
2020-05-08,7.93621
2020-05-09,3.64446
2020-05-10,2.27485
2020-05-11,6.56191
2020-05-12,7.58442
2020-05-13,7.12007
2020-05-14,7.78142
2020-05-15,8.05347
2020-05-16,3.92589
2020-05-17,2.58442
2020-05-18,7.57973
2020-05-19,7.87054
2020-05-20,7.98311
2020-05-21,8.09568
2020-05-22,8.83677
2020-05-23,4.79831
2020-05-24,2.81894
2020-05-25,8.37711
2020-05-26,7.82363
2020-05-27,7.68292
2020-05-28,7.46716
2020-05-29,7.07786
2020-05-30,3.45215
2020-05-31,2.67823
2020-06-01,6.2242
2020-06-02,7.44371
2020-06-03,8.44277
2020-06-04,16.25703
2020-06-05,17.06848
2020-06-06,6.30393
2020-06-07,4.39024
2020-06-08,12.04502
2020-06-09,11.49155
2020-06-10,11.10225
2020-06-11,11.16791
2020-06-12,11.79174
2020-06-13,4.71388
2020-06-14,2.87054
2020-06-15,9.74202
2020-06-16,8.76641
2020-06-17,7.85647
2020-06-18,7.70637
2020-06-19,6.9606
2020-06-20,3.58348
2020-06-21,2.68292
2020-06-22,6.96998
2020-06-23,7.15759
2020-06-24,7.28424
2020-06-25,10.0938
2020-06-26,7.95966
2020-06-27,3.93058
2020-06-28,2.45309
2020-06-29,7.53752
2020-06-30,7.62664
2020-07-01,6.78236
2020-07-02,5.60975
2020-07-03,5.81144
2020-07-04,2.36866
2020-07-05,1.84803
2020-07-06,5.95684
2020-07-07,6.87617
2020-07-08,5.95684
2020-07-09,5.68949
2020-07-10,5.67542
2020-07-11,2.41557
2020-07-12,1.69324
2020-07-13,4.98123
2020-07-14,5.87242
2020-07-15,6.2242
2020-07-16,7.20919
2020-07-17,6.06003
2020-07-18,3.10506
2020-07-19,2.06848
2020-07-20,5.48311
2020-07-21,7.62664
2020-07-22,10.01407
2020-07-23,9.29643
2020-07-24,9.42307
2020-07-25,4.71388
2020-07-26,3.41932
2020-07-27,10.27673
2020-07-28,18.0347
2020-07-29,16.78236
2020-07-30,14.87804
2020-07-31,12.76735
2020-08-01,6.20075
2020-08-02,4.3621
2020-08-03,10.58161
2020-08-04,11.33677
2020-08-05,12.17636
2020-08-06,13.25515
2020-08-07,12.41088
2020-08-08,7.94559
2020-08-09,5.50656
2020-08-10,12.63602
2020-08-11,14.62476
2020-08-12,14.73264
2020-08-13,11.4681
2020-08-14,9.46529
2020-08-15,4.51219
2020-08-16,2.89399
2020-08-17,5.92401
2020-08-18,10.74108
2020-08-19,13.44746
2020-08-20,18.2317
2020-08-21,15.10318
2020-08-22,7.63602
2020-08-23,5.28611
2020-08-24,14.04784
2020-08-25,13.15196
2020-08-26,11.55253
2020-08-27,11.58536
2020-08-28,12.00281
2020-08-29,6.38367
2020-08-30,3.71951
2020-08-31,11.14446
2020-09-01,11.92307
2020-09-02,12.72983
2020-09-03,14.04315
2020-09-04,15.56285
2020-09-05,6.0741
2020-09-06,3.91651
2020-09-07,8.96341
2020-09-08,11.29924
2020-09-09,14.57317
2020-09-10,11.18198
2020-09-11,10.60037
2020-09-12,4.26829
2020-09-13,2.63133
2020-09-14,7.97842
2020-09-15,9.81238
2020-09-16,10.68011
2020-09-17,11.1257
2020-09-18,12.87054
2020-09-19,5.1454
2020-09-20,3.03939
2020-09-21,9.88273
2020-09-22,13.3818
2020-09-23,14.28236
2020-09-24,18.58348
2020-09-25,14.1651
2020-09-26,7.35928
2020-09-27,4.28236
2020-09-28,11.17729
2020-09-29,9.88742
2020-09-30,6.18198
2020-10-01,5.88649
2020-10-02,6.515
2020-10-03,5.9756
2020-10-04,3.55065
2020-10-05,9.21669
2020-10-06,9.64821
2020-10-07,9.19324
2020-10-08,8.53189
2020-10-09,5.45966
2020-10-10,5.12664
2020-10-11,3.20356
2020-10-12,9.28236
2020-10-13,9.72326
2020-10-14,9.71388
2020-10-15,9.1135
2020-10-16,8.50844
2020-10-17,4.25422
2020-10-18,2.41557
2020-10-19,7.07786
2020-10-20,8.03939
2020-10-21,10.10318
2020-10-22,9.99061
2020-10-23,8.44746
2020-10-24,4.22138
2020-10-25,2.66416
2020-10-26,7.36866
2020-10-27,8.46622
2020-10-28,8.93527
2020-10-29,11.09287
2020-10-30,8.18949
2020-10-31,4.42307
2020-11-01,2.7908
2020-11-02,7.60787
2020-11-03,8.0347
2020-11-04,8.93058
2020-11-05,8.39587
2020-11-06,8.12851
2020-11-07,3.90243
2020-11-08,2.83771
2020-11-09,8.02063
2020-11-10,9.29643
2020-11-11,8.4803
2020-11-12,8.15666
2020-11-13,6.84803
2020-11-14,3.69136
2020-11-15,2.39212
2020-11-16,6.68386
2020-11-17,7.04502
2020-11-18,7.3499
2020-11-19,8.22701
2020-11-20,6.65572
2020-11-21,3.69606
2020-11-22,2.45309
2020-11-23,5.77861
2020-11-24,6.97467
2020-11-25,7.67354
2020-11-26,7.4484
2020-11-27,6.13977
2020-11-28,3.60694
2020-11-29,2.52345
2020-11-30,5.75046
2020-12-01,6.06472
2020-12-02,7.31707
2020-12-03,9.66697
