date,당진부동산
2020-03-20,14.34911
2020-03-21,8.96449
2020-03-22,8.93491
2020-03-23,11.68639
2020-03-24,11.77514
2020-03-25,12.72189
2020-03-26,9.82248
2020-03-27,8.63905
2020-03-28,8.93491
2020-03-29,8.34319
2020-03-30,9.76331
2020-03-31,7.51479
2020-04-01,7.63313
2020-04-02,6.18343
2020-04-03,7.95857
2020-04-04,6.50887
2020-04-05,7.2781
2020-04-06,7.92899
2020-04-07,8.25443
2020-04-08,8.78698
2020-04-09,9.49704
2020-04-10,8.43195
2020-04-11,7.04142
2020-04-12,7.84023
2020-04-13,9.34911
2020-04-14,7.78106
2020-04-15,6.42011
2020-04-16,7.72189
2020-04-17,9.58579
2020-04-18,8.04733
2020-04-19,7.51479
2020-04-20,9.08284
2020-04-21,8.52071
2020-04-22,8.3136
2020-04-23,7.42603
2020-04-24,9.05325
2020-04-25,6.92307
2020-04-26,8.84615
2020-04-27,10.0
2020-04-28,10.02958
2020-04-29,9.02366
2020-04-30,7.60355
2020-05-01,8.46153
2020-05-02,8.04733
2020-05-03,7.15976
2020-05-04,10.4142
2020-05-05,10.35502
2020-05-06,8.75739
2020-05-07,9.76331
2020-05-08,8.01775
2020-05-09,8.60946
2020-05-10,8.43195
2020-05-11,11.27218
2020-05-12,11.59763
2020-05-13,12.04142
2020-05-14,12.45562
2020-05-15,11.0355
2020-05-16,10.53254
2020-05-17,11.06508
2020-05-18,12.60355
2020-05-19,11.62721
2020-05-20,10.88757
2020-05-21,9.02366
2020-05-22,10.71005
2020-05-23,9.31952
2020-05-24,9.70414
2020-05-25,12.6923
2020-05-26,12.18934
2020-05-27,12.45562
2020-05-28,11.42011
2020-05-29,10.8284
2020-05-30,9.64497
2020-05-31,8.84615
2020-06-01,10.79881
2020-06-02,12.33727
2020-06-03,15.05917
2020-06-04,12.33727
2020-06-05,10.79881
2020-06-06,9.31952
2020-06-07,10.14792
2020-06-08,14.52662
2020-06-09,13.52071
2020-06-10,12.42603
2020-06-11,12.13017
2020-06-12,11.36094
2020-06-13,12.78106
2020-06-14,10.65088
2020-06-15,14.20118
2020-06-16,13.69822
2020-06-17,15.14792
2020-06-18,15.59171
2020-06-19,15.88757
2020-06-20,11.6568
2020-06-21,14.94082
2020-06-22,16.95266
2020-06-23,17.39644
2020-06-24,15.71005
2020-06-25,16.27218
2020-06-26,15.53254
2020-06-27,12.60355
2020-06-28,14.64497
2020-06-29,16.80473
