date,대웅제약주가
2020-03-20,3.95176
2020-03-21,0.62314
2020-03-22,0.58274
2020-03-23,4.13668
2020-03-24,4.39464
2020-03-25,5.85072
2020-03-26,5.82275
2020-03-27,5.14677
2020-03-28,0.763
2020-03-29,0.59517
2020-03-30,4.477
2020-03-31,4.72098
2020-04-01,5.00691
2020-04-02,3.8523
2020-04-03,3.52752
2020-04-04,0.55943
2020-04-05,0.36984
2020-04-06,4.04655
2020-04-07,4.27343
2020-04-08,3.79792
2020-04-09,3.58657
2020-04-10,3.74042
2020-04-11,0.36518
2020-04-12,0.33099
2020-04-13,3.21517
2020-04-14,8.64477
2020-04-15,2.73655
2020-04-16,8.15682
2020-04-17,6.5267
2020-04-18,2.29677
2020-04-19,1.31777
2020-04-20,12.22824
2020-04-21,9.11252
2020-04-22,13.87857
2020-04-23,10.05112
2020-04-24,9.23684
2020-04-25,1.38614
2020-04-26,1.15615
2020-04-27,7.41091
2020-04-28,6.20347
2020-04-29,5.87403
2020-04-30,1.03494
2020-05-01,0.93549
2020-05-02,0.49882
2020-05-03,0.44909
2020-05-04,4.70699
2020-05-05,0.69928
2020-05-06,4.9634
2020-05-07,4.59666
2020-05-08,4.61531
2020-05-09,0.72726
2020-05-10,0.41957
2020-05-11,4.25789
2020-05-12,3.98439
2020-05-13,3.73576
2020-05-14,4.73186
2020-05-15,6.5267
2020-05-16,0.99765
2020-05-17,0.77388
2020-05-18,4.64328
2020-05-19,4.6495
2020-05-20,4.1025
2020-05-21,3.7715
2020-05-22,4.16155
2020-05-23,0.54078
2020-05-24,0.52213
2020-05-25,3.92068
2020-05-26,4.47856
2020-05-27,4.79557
2020-05-28,4.83908
2020-05-29,4.96495
2020-05-30,0.58118
2020-05-31,0.51125
2020-06-01,4.99292
2020-06-02,5.18562
2020-06-03,5.83518
2020-06-04,5.81498
2020-06-05,20.42392
2020-06-06,7.82272
2020-06-07,4.46923
2020-06-08,22.89941
2020-06-09,24.04624
2020-06-10,20.64614
2020-06-11,17.04091
2020-06-12,14.92906
2020-06-13,1.94713
2020-06-14,1.51046
2020-06-15,13.88012
2020-06-16,11.45592
2020-06-17,10.78926
2020-06-18,16.0215
2020-06-19,11.09384
2020-06-20,1.29135
2020-06-21,0.91063
