date,대위변제
2020-03-20,8.09141
2020-03-21,2.96479
2020-03-22,1.91476
2020-03-23,8.30759
2020-03-24,8.36936
2020-03-25,8.06053
2020-03-26,10.6856
2020-03-27,7.72081
2020-03-28,3.15009
2020-03-29,2.96479
2020-03-30,8.61642
2020-03-31,8.36936
2020-04-01,8.73996
2020-04-02,10.46942
2020-04-03,8.12229
2020-04-04,2.47066
2020-04-05,2.37801
2020-04-06,7.90611
2020-04-07,9.57381
2020-04-08,8.40024
2020-04-09,8.40024
2020-04-10,7.62816
2020-04-11,2.47066
2020-04-12,3.08832
2020-04-13,8.64731
2020-04-14,8.67819
2020-04-15,2.74861
2020-04-16,8.95614
2020-04-17,9.17232
2020-04-18,3.02655
2020-04-19,2.74861
2020-04-20,8.43113
2020-04-21,9.45027
2020-04-22,7.50463
2020-04-23,8.80172
2020-04-24,7.87523
2020-04-25,3.36627
2020-04-26,2.50154
2020-04-27,10.8709
2020-04-28,8.61642
2020-04-29,7.56639
2020-04-30,2.34712
2020-05-01,2.71772
2020-05-02,1.82211
2020-05-03,1.91476
2020-05-04,6.76343
2020-05-05,2.43977
2020-05-06,8.24583
2020-05-07,7.56639
2020-05-08,7.16491
2020-05-09,3.3045
2020-05-10,2.71772
2020-05-11,7.53551
2020-05-12,8.64731
2020-05-13,9.57381
2020-05-14,7.44286
2020-05-15,6.8252
2020-05-16,3.36627
2020-05-17,3.18097
2020-05-18,9.51204
2020-05-19,8.24583
2020-05-20,8.43113
2020-05-21,9.63557
2020-05-22,7.35021
2020-05-23,2.59419
2020-05-24,2.65596
2020-05-25,8.21494
2020-05-26,9.51204
2020-05-27,9.45027
2020-05-28,8.36936
2020-05-29,6.73255
2020-05-30,2.68684
2020-05-31,2.96479
2020-06-01,6.39283
2020-06-02,8.30759
2020-06-03,8.06053
2020-06-04,8.02964
2020-06-05,6.97961
2020-06-06,2.96479
2020-06-07,2.53242
2020-06-08,8.46201
2020-06-09,8.49289
2020-06-10,7.84434
2020-06-11,8.43113
2020-06-12,7.22668
2020-06-13,2.71772
2020-06-14,2.19271
2020-06-15,7.72081
2020-06-16,7.78258
2020-06-17,7.62816
2020-06-18,7.87523
2020-06-19,5.74428
2020-06-20,1.76034
2020-06-21,2.74861
2020-06-22,7.35021
2020-06-23,8.33848
2020-06-24,7.41198
2020-06-25,7.93699
2020-06-26,7.07226
2020-06-27,2.68684
2020-06-28,2.37801
2020-06-29,7.28844
2020-06-30,7.35021
2020-07-01,8.18406
2020-07-02,8.15318
2020-07-03,6.36195
2020-07-04,2.40889
2020-07-05,2.47066
2020-07-06,7.72081
2020-07-07,8.30759
2020-07-08,7.56639
2020-07-09,7.59728
2020-07-10,6.30018
2020-07-11,3.21185
2020-07-12,2.47066
2020-07-13,7.47374
2020-07-14,8.27671
2020-07-15,7.0105
2020-07-16,8.21494
2020-07-17,6.4546
2020-07-18,1.72946
2020-07-19,2.22359
2020-07-20,7.87523
2020-07-21,7.50463
2020-07-22,7.62816
2020-07-23,7.65904
2020-07-24,6.14576
2020-07-25,1.82211
2020-07-26,2.03829
2020-07-27,7.0105
2020-07-28,7.81346
2020-07-29,8.06053
2020-07-30,7.72081
2020-07-31,6.73255
2020-08-01,1.97652
2020-08-02,2.16182
2020-08-03,6.33106
2020-08-04,7.16491
2020-08-05,6.42371
2020-08-06,6.88696
2020-08-07,6.6399
2020-08-08,2.87214
2020-08-09,2.37801
2020-08-10,8.15318
2020-08-11,8.98702
2020-08-12,8.30759
2020-08-13,7.31933
2020-08-14,6.48548
2020-08-15,1.94564
2020-08-16,1.48239
2020-08-17,2.81037
2020-08-18,7.10315
2020-08-19,7.28844
2020-08-20,6.33106
2020-08-21,5.43545
2020-08-22,2.00741
2020-08-23,2.10006
2020-08-24,8.36936
2020-08-25,7.78258
2020-08-26,8.36936
2020-08-27,8.89437
2020-08-28,5.96046
2020-08-29,1.63681
2020-08-30,2.50154
2020-08-31,6.4546
2020-09-01,7.53551
2020-09-02,7.10315
2020-09-03,6.94873
2020-09-04,6.85608
2020-09-05,1.94564
2020-09-06,2.43977
2020-09-07,100.0
2020-09-08,34.80543
2020-09-09,11.11797
2020-09-10,10.03705
2020-09-11,9.11056
2020-09-12,3.82952
2020-09-13,3.45892
2020-09-14,7.16491
2020-09-15,7.75169
2020-09-16,9.01791
2020-09-17,7.96788
2020-09-18,6.48548
2020-09-19,2.37801
2020-09-20,2.53242
2020-09-21,7.81346
2020-09-22,8.52378
2020-09-23,10.93267
2020-09-24,8.95614
2020-09-25,7.68993
2020-09-26,2.96479
2020-09-27,2.47066
2020-09-28,8.33848
2020-09-29,6.76343
2020-09-30,2.06917
2020-10-01,1.42063
2020-10-02,1.94564
2020-10-03,1.69857
2020-10-04,1.88387
2020-10-05,8.02964
2020-10-06,8.02964
2020-10-07,10.16059
2020-10-08,7.38109
2020-10-09,3.18097
2020-10-10,2.40889
2020-10-11,2.40889
2020-10-12,8.21494
2020-10-13,11.51945
2020-10-14,10.06794
2020-10-15,7.96788
2020-10-16,8.02964
2020-10-17,2.53242
2020-10-18,2.34712
2020-10-19,8.12229
2020-10-20,9.14144
2020-10-21,7.44286
2020-10-22,8.24583
2020-10-23,7.13403
2020-10-24,2.59419
2020-10-25,2.87214
2020-10-26,7.56639
2020-10-27,7.50463
2020-10-28,7.44286
2020-10-29,9.63557
2020-10-30,8.73996
2020-10-31,2.9339
2020-11-01,2.10006
2020-11-02,7.13403
2020-11-03,6.51636
2020-11-04,8.73996
2020-11-05,6.42371
2020-11-06,5.86781
2020-11-07,1.72946
2020-11-08,1.69857
2020-11-09,8.06053
2020-11-10,9.63557
2020-11-11,7.78258
2020-11-12,8.40024
2020-11-13,7.16491
2020-11-14,2.34712
2020-11-15,2.50154
2020-11-16,9.66646
2020-11-17,9.32674
2020-11-18,8.92526
2020-11-19,7.25756
2020-11-20,7.19579
2020-11-21,2.25447
2020-11-22,2.16182
2020-11-23,8.02964
2020-11-24,7.47374
2020-11-25,7.84434
2020-11-26,7.81346
2020-11-27,7.35021
2020-11-28,2.34712
2020-11-29,1.91476
2020-11-30,7.59728
2020-12-01,7.50463
2020-12-02,6.85608
2020-12-03,7.96788
2020-12-04,7.44286
2020-12-05,2.43977
2020-12-06,2.71772
2020-12-07,7.50463
2020-12-08,7.72081
2020-12-09,8.46201
2020-12-10,7.35021
2020-12-11,6.48548
2020-12-12,1.91476
2020-12-13,1.91476
2020-12-14,6.67078
2020-12-15,7.10315
2020-12-16,7.81346
2020-12-17,8.33848
2020-12-18,5.83693
2020-12-19,1.85299
2020-12-20,2.13094
2020-12-21,7.25756
2020-12-22,7.50463
2020-12-23,6.4546
2020-12-24,6.42371
2020-12-25,1.57504
2020-12-26,1.69857
2020-12-27,2.65596
2020-12-28,8.61642
2020-12-29,8.40024
2020-12-30,7.53551
2020-12-31,5.77516
2021-01-01,1.32798
2021-01-02,2.43977
2021-01-03,2.10006
2021-01-04,5.62075
2021-01-05,7.16491
2021-01-06,7.19579
2021-01-07,7.62816
2021-01-08,7.25756
2021-01-09,2.53242
2021-01-10,2.25447
2021-01-11,8.02964
2021-01-12,7.99876
2021-01-13,8.43113
2021-01-14,6.76343
2021-01-15,6.91785
2021-01-16,2.28536
2021-01-17,2.9339
2021-01-18,9.32674
2021-01-19,7.87523
2021-01-20,8.73996
2021-01-21,8.52378
2021-01-22,7.90611
2021-01-23,2.71772
2021-01-24,2.53242
2021-01-25,8.77084
2021-01-26,8.61642
2021-01-27,9.32674
2021-01-28,8.33848
2021-01-29,8.52378
2021-01-30,2.96479
2021-01-31,2.62507
2021-02-01,7.99876
2021-02-02,8.64731
2021-02-03,8.02964
2021-02-04,7.53551
2021-02-05,6.76343
2021-02-06,3.58245
2021-02-07,3.52069
2021-02-08,9.69734
2021-02-09,12.01358
2021-02-10,5.68252
2021-02-11,1.72946
2021-02-12,1.26621
2021-02-13,2.16182
2021-02-14,2.13094
2021-02-15,6.8252
2021-02-16,7.99876
2021-02-17,7.96788
2021-02-18,7.72081
2021-02-19,6.36195
2021-02-20,2.31624
2021-02-21,1.91476
2021-02-22,7.81346
2021-02-23,9.38851
2021-02-24,8.98702
2021-02-25,9.85176
2021-02-26,8.12229
2021-02-27,2.13094
2021-02-28,2.53242
2021-03-01,2.53242
2021-03-02,7.28844
2021-03-03,7.78258
2021-03-04,8.64731
2021-03-05,6.23841
2021-03-06,2.56331
2021-03-07,1.82211
2021-03-08,6.02223
2021-03-09,7.47374
2021-03-10,7.81346
2021-03-11,7.87523
2021-03-12,7.31933
2021-03-13,1.94564
2021-03-14,2.34712
2021-03-15,7.84434
2021-03-16,7.35021
2021-03-17,9.17232
2021-03-18,7.50463
2021-03-19,6.4546
2021-03-20,2.10006
2021-03-21,2.96479
2021-03-22,7.62816
2021-03-23,8.52378
2021-03-24,7.96788
2021-03-25,7.81346
2021-03-26,6.14576
2021-03-27,2.28536
2021-03-28,3.08832
2021-03-29,7.93699
2021-03-30,7.78258
2021-03-31,8.02964
2021-04-01,7.44286
2021-04-02,6.67078
2021-04-03,1.88387
2021-04-04,3.45892
2021-04-05,8.36936
2021-04-06,8.36936
2021-04-07,7.84434
2021-04-08,6.42371
2021-04-09,5.74428
2021-04-10,1.94564
2021-04-11,2.34712
2021-04-12,7.0105
2021-04-13,7.87523
2021-04-14,7.13403
2021-04-15,7.16491
2021-04-16,6.73255
2021-04-17,2.53242
2021-04-18,2.13094
2021-04-19,6.79431
2021-04-20,7.78258
2021-04-21,7.47374
2021-04-22,7.19579
2021-04-23,6.91785
2021-04-24,2.28536
2021-04-25,2.53242
2021-04-26,7.96788
2021-04-27,8.27671
2021-04-28,8.73996
2021-04-29,7.59728
2021-04-30,6.73255
2021-05-01,2.06917
2021-05-02,2.37801
2021-05-03,7.13403
2021-05-04,6.88696
2021-05-05,2.37801
2021-05-06,8.18406
2021-05-07,6.6399
2021-05-08,2.71772
2021-05-09,2.50154
2021-05-10,7.10315
2021-05-11,6.91785
2021-05-12,6.6399
2021-05-13,6.73255
2021-05-14,6.57813
2021-05-15,2.84126
2021-05-16,2.65596
2021-05-17,7.87523
2021-05-18,7.90611
2021-05-19,2.90302
2021-05-20,7.59728
2021-05-21,6.084
2021-05-22,2.06917
2021-05-23,2.59419
2021-05-24,7.87523
2021-05-25,8.40024
2021-05-26,7.25756
2021-05-27,8.21494
2021-05-28,6.76343
2021-05-29,2.53242
2021-05-30,2.81037
2021-05-31,7.81346
2021-06-01,8.06053
2021-06-02,9.14144
2021-06-03,8.09141
2021-06-04,6.2693
2021-06-05,2.53242
2021-06-06,3.33539
2021-06-07,8.12229
2021-06-08,9.20321
2021-06-09,7.90611
2021-06-10,8.06053
2021-06-11,6.42371
2021-06-12,2.43977
2021-06-13,2.65596
2021-06-14,7.78258
2021-06-15,7.53551
2021-06-16,7.38109
2021-06-17,7.62816
2021-06-18,6.4546
2021-06-19,2.74861
2021-06-20,2.84126
2021-06-21,7.87523
2021-06-22,8.80172
2021-06-23,7.96788
2021-06-24,7.90611
2021-06-25,6.084
2021-06-26,2.59419
2021-06-27,1.94564
2021-06-28,7.84434
2021-06-29,7.38109
2021-06-30,6.70166
2021-07-01,6.6399
2021-07-02,6.2693
2021-07-03,2.31624
2021-07-04,2.37801
2021-07-05,5.96046
2021-07-06,8.36936
2021-07-07,7.75169
