date,데이마켓
2020-04-16,1.03519
2021-03-17,1.03519
2021-06-14,6.21118
2021-06-16,3.31262
2021-06-17,3.31262
2021-06-29,3.51966
2021-06-30,1.03519
2021-07-05,1.03519
2021-08-24,1.24223
2021-09-28,3.31262
2021-09-29,1.65631
2022-01-10,1.44927
2022-01-19,1.03519
2022-02-02,1.24223
2022-09-29,5.59006
2022-09-30,1.65631
2022-10-03,11.80124
2022-10-04,7.24637
2022-10-05,8.48861
2022-10-06,4.55486
2022-10-07,4.34782
2022-10-10,6.00414
2022-10-11,6.00414
2022-10-12,8.07453
2022-10-13,6.21118
2022-10-14,5.17598
2022-10-17,6.41821
2022-10-18,5.7971
2022-10-19,5.59006
2022-10-20,5.17598
2022-10-21,3.7267
2022-10-22,1.86335
2022-10-24,10.559
2022-10-25,7.66045
2022-10-26,23.60248
2022-10-27,8.07453
2022-10-28,54.86542
2022-10-29,1.86335
2022-10-31,6.21118
2022-11-01,5.7971
2022-11-02,3.51966
2022-11-03,5.7971
2022-11-04,2.69151
2022-11-07,8.28157
2022-11-08,6.21118
2022-11-09,12.62939
2022-11-10,8.90269
2022-11-11,8.07453
2022-11-14,9.93788
2022-11-15,7.66045
2022-11-16,7.03933
2022-11-17,7.03933
2022-11-18,7.24637
2022-11-19,1.03519
2022-11-20,1.86335
2022-11-21,4.7619
2022-11-22,2.27743
2022-11-23,4.34782
2022-11-25,3.7267
2022-11-26,1.24223
2022-11-28,3.10559
2022-11-29,3.51966
2022-11-30,4.96894
2022-12-01,4.34782
2022-12-02,3.10559
2022-12-05,4.34782
2022-12-06,2.48447
2022-12-07,6.21118
2022-12-08,4.14078
2022-12-09,4.34782
2022-12-12,4.7619
2022-12-13,1.44927
2022-12-14,5.38302
2022-12-15,3.93374
2022-12-16,4.96894
2022-12-19,4.14078
2022-12-20,4.96894
2022-12-21,3.51966
2022-12-22,3.93374
2022-12-23,6.21118
2022-12-27,5.17598
2022-12-28,9.93788
2022-12-29,8.48861
2022-12-30,9.93788
2022-12-31,1.86335
2023-01-01,2.89855
2023-01-03,10.35196
2023-01-04,7.66045
2023-01-05,5.7971
2023-01-06,5.17598
2023-01-09,4.7619
2023-01-10,4.55486
2023-01-11,5.59006
2023-01-12,4.34782
2023-01-13,4.96894
2023-01-16,1.65631
2023-01-17,7.66045
2023-01-18,5.38302
2023-01-19,2.07039
2023-01-20,6.62525
2023-01-21,1.44927
2023-01-23,5.38302
2023-01-24,9.10973
2023-01-25,9.10973
2023-01-26,15.52795
2023-01-27,6.83229
2023-01-28,2.27743
2023-01-30,15.11387
2023-01-31,5.59006
2023-02-01,5.17598
2023-02-02,6.83229
2023-02-03,9.10973
2023-02-06,4.55486
2023-02-07,6.00414
2023-02-08,20.49689
2023-02-09,14.28571
2023-02-10,31.26293
2023-02-11,5.38302
2023-02-12,13.25051
2023-02-13,100.0
2023-02-14,46.99792
2023-02-15,34.98964
2023-02-16,38.50931
2023-02-17,23.39544
2023-02-18,2.48447
