date,데이터라벨링부업
2020-07-15,7.33333
2020-10-17,8.66666
2021-07-08,5.33333
2021-07-15,5.33333
2021-07-26,10.0
2021-11-16,3.33333
2021-12-15,4.66666
2022-07-19,3.33333
2022-07-27,3.33333
2022-08-09,3.33333
2022-08-18,3.33333
2022-08-19,3.33333
2022-08-22,4.0
2022-08-25,4.0
2022-08-26,11.33333
2022-08-29,3.33333
2022-09-01,3.33333
2022-09-06,3.33333
2022-09-13,3.33333
2022-09-20,3.33333
2022-09-21,3.33333
2022-09-23,4.0
2022-09-25,3.33333
2022-09-26,3.33333
2022-09-28,11.33333
2022-09-29,5.33333
2022-10-02,4.0
2022-10-03,4.66666
2022-10-04,4.66666
2022-10-05,6.66666
2022-10-07,3.33333
2022-10-10,4.66666
2022-10-11,3.33333
2022-10-12,4.66666
2022-10-14,4.0
2022-10-16,4.66666
2022-10-17,3.33333
2022-10-18,5.33333
2022-10-19,8.0
2022-10-20,5.33333
2022-10-22,3.33333
2022-10-24,6.0
2022-10-26,5.33333
2022-10-27,4.66666
2022-10-28,4.0
2022-11-03,4.0
2022-11-04,4.66666
2022-11-07,10.0
2022-11-08,3.33333
2022-11-09,4.66666
2022-11-13,4.0
2022-11-14,5.33333
2022-11-15,10.0
2022-11-16,6.66666
2022-11-18,4.0
2022-11-20,3.33333
2022-11-21,8.0
2022-11-22,10.0
2022-11-23,4.66666
2022-11-25,6.0
2022-11-26,3.33333
2022-11-27,8.0
2022-11-28,4.66666
2022-11-29,4.66666
2022-12-01,4.0
2022-12-08,6.66666
2022-12-09,12.0
2022-12-10,4.0
2022-12-11,10.0
2022-12-12,12.66666
2022-12-13,16.0
2022-12-14,17.33333
2022-12-15,12.66666
2022-12-16,5.33333
2022-12-17,3.33333
2022-12-18,3.33333
2022-12-19,8.0
2022-12-20,7.33333
2022-12-21,10.0
2022-12-22,3.33333
2022-12-25,4.66666
2022-12-26,6.66666
2022-12-27,7.33333
2022-12-28,5.33333
2022-12-29,5.33333
2022-12-30,3.33333
2023-01-02,12.0
2023-01-03,11.33333
2023-01-04,3.33333
2023-01-05,10.0
2023-01-08,5.33333
2023-01-09,7.33333
2023-01-10,4.66666
2023-01-11,8.66666
2023-01-13,3.33333
2023-01-14,3.33333
2023-01-15,5.33333
2023-01-16,3.33333
2023-01-17,4.66666
2023-01-18,3.33333
2023-01-19,4.0
2023-01-24,8.66666
2023-01-30,4.66666
2023-01-31,10.0
2023-02-02,4.0
2023-02-04,3.33333
2023-02-07,4.0
2023-02-08,6.0
2023-02-09,3.33333
2023-02-10,5.33333
2023-02-11,4.66666
2023-02-12,4.66666
2023-02-13,12.66666
2023-02-14,38.66666
2023-02-15,48.0
2023-02-16,28.66666
2023-02-17,45.33333
2023-02-18,29.33333
2023-02-19,21.33333
2023-02-20,36.0
2023-02-21,32.0
2023-02-22,31.33333
2023-02-23,28.66666
2023-02-24,36.0
2023-02-25,30.66666
2023-02-26,44.0
2023-02-27,50.66666
2023-02-28,61.33333
2023-03-01,38.66666
2023-03-02,49.33333
2023-03-03,51.33333
2023-03-04,37.33333
2023-03-05,40.0
2023-03-06,64.66666
2023-03-07,66.0
2023-03-08,68.66666
2023-03-09,77.33333
2023-03-10,49.33333
2023-03-11,32.66666
2023-03-12,52.66666
2023-03-13,40.0
2023-03-14,64.0
2023-03-15,61.33333
2023-03-16,45.33333
2023-03-17,54.0
2023-03-18,36.66666
2023-03-19,50.66666
2023-03-20,63.33333
2023-03-21,72.66666
2023-03-22,61.33333
2023-03-23,74.66666
2023-03-24,44.0
2023-03-25,32.0
2023-03-26,30.66666
2023-03-27,62.66666
2023-03-28,80.66666
2023-03-29,66.66666
2023-03-30,66.66666
2023-03-31,54.0
2023-04-01,36.66666
2023-04-02,42.0
2023-04-03,60.0
2023-04-04,64.66666
2023-04-05,56.0
2023-04-06,50.0
2023-04-07,35.33333
2023-04-08,28.0
2023-04-09,28.66666
2023-04-10,38.66666
2023-04-11,45.33333
2023-04-12,53.33333
2023-04-13,41.33333
2023-04-14,46.66666
2023-04-15,21.33333
2023-04-16,31.33333
2023-04-17,44.0
2023-04-18,54.0
2023-04-19,56.0
2023-04-20,40.66666
2023-04-21,32.0
2023-04-22,36.0
2023-04-23,28.66666
2023-04-24,46.66666
2023-04-25,50.66666
2023-04-26,38.66666
2023-04-27,19.33333
2023-04-28,27.33333
2023-04-29,17.33333
2023-04-30,22.0
2023-05-01,32.66666
2023-05-02,25.33333
2023-05-03,26.0
2023-05-04,39.33333
2023-05-05,20.66666
2023-05-06,23.33333
2023-05-07,20.0
2023-05-08,25.33333
2023-05-09,19.33333
2023-05-10,22.0
2023-05-11,20.66666
2023-05-12,16.0
2023-05-13,10.0
2023-05-14,15.33333
2023-05-15,30.66666
2023-05-16,23.33333
2023-05-17,26.0
2023-05-18,32.0
2023-05-19,18.66666
2023-05-20,13.33333
2023-05-21,14.66666
2023-05-22,31.33333
2023-05-23,20.66666
2023-05-24,28.0
2023-05-25,23.33333
2023-05-26,17.33333
2023-05-27,14.66666
2023-05-28,15.33333
2023-05-29,26.66666
2023-05-30,24.66666
2023-05-31,18.66666
2023-06-01,22.0
2023-06-02,18.0
2023-06-03,6.66666
2023-06-04,10.66666
2023-06-05,18.0
2023-06-06,12.66666
2023-06-07,20.66666
2023-06-08,17.33333
2023-06-09,12.0
2023-06-10,14.0
2023-06-11,19.33333
2023-06-12,29.33333
2023-06-13,25.33333
2023-06-14,15.33333
2023-06-15,56.0
2023-06-16,16.66666
2023-06-17,11.33333
2023-06-18,13.33333
2023-06-19,31.33333
2023-06-20,30.0
2023-06-21,20.66666
2023-06-22,16.0
2023-06-23,13.33333
2023-06-24,8.0
2023-06-25,14.0
2023-06-26,16.66666
2023-06-27,20.0
2023-06-28,20.0
2023-06-29,13.33333
2023-06-30,22.0
2023-07-01,6.66666
2023-07-02,12.0
2023-07-03,14.0
2023-07-04,20.0
2023-07-05,12.66666
2023-07-06,12.66666
2023-07-07,11.33333
2023-07-08,4.0
2023-07-09,4.66666
2023-07-10,10.66666
2023-07-11,14.66666
2023-07-12,16.0
2023-07-13,14.0
2023-07-14,4.66666
2023-07-15,4.0
2023-07-16,8.66666
2023-07-17,12.0
2023-07-18,18.0
2023-07-19,10.66666
2023-07-20,8.0
2023-07-21,3.33333
2023-07-22,3.33333
2023-07-23,3.33333
2023-07-24,3.33333
2023-07-25,7.33333
2023-07-26,16.0
2023-07-27,4.66666
2023-07-31,4.66666
2023-08-01,5.33333
2023-08-02,11.33333
2023-08-03,3.33333
2023-08-04,9.33333
2023-08-05,3.33333
2023-08-06,12.0
2023-08-07,4.66666
2023-08-08,13.33333
2023-08-09,6.0
2023-08-10,5.33333
2023-08-11,5.33333
2023-08-13,4.66666
2023-08-14,11.33333
2023-08-16,10.66666
2023-08-17,4.66666
2023-08-18,4.0
2023-08-19,6.66666
2023-08-20,11.33333
2023-08-21,16.0
2023-08-22,12.0
2023-08-23,16.66666
2023-08-24,10.0
2023-08-27,4.0
2023-08-28,7.33333
2023-08-29,7.33333
2023-08-30,12.66666
2023-09-01,10.0
2023-09-02,6.0
2023-09-03,4.66666
2023-09-04,3.33333
2023-09-05,5.33333
2023-09-06,20.0
2023-09-07,8.66666
2023-09-08,7.33333
2023-09-10,5.33333
2023-09-11,9.33333
2023-09-12,6.66666
2023-09-13,8.66666
2023-09-14,4.0
2023-09-15,3.33333
2023-09-16,6.0
2023-09-17,5.33333
2023-09-18,8.0
2023-09-20,4.66666
2023-09-21,3.33333
2023-09-22,3.33333
2023-09-23,4.0
2023-09-24,4.66666
2023-09-25,12.66666
2023-09-26,8.66666
2023-09-27,4.66666
2023-09-29,3.33333
2023-10-01,3.33333
2023-10-02,3.33333
2023-10-03,5.33333
2023-10-04,19.33333
2023-10-05,10.0
2023-10-06,10.0
2023-10-07,4.66666
2023-10-08,6.0
2023-10-09,6.66666
2023-10-10,21.33333
2023-10-11,10.66666
2023-10-12,4.0
2023-10-13,5.33333
2023-10-14,3.33333
2023-10-15,14.0
