date,데이터센터
2020-03-20,0.20449
2020-03-21,0.11488
2020-03-22,0.12637
2020-03-23,0.24585
2020-03-24,0.33776
2020-03-25,0.42047
2020-03-26,0.32627
2020-03-27,0.30559
2020-03-28,0.13326
2020-03-29,0.14475
2020-03-30,0.31708
2020-03-31,0.35843
2020-04-01,0.32397
2020-04-02,0.33086
2020-04-03,0.37682
2020-04-04,0.16313
2020-04-05,0.16543
2020-04-06,0.34924
2020-04-07,0.32397
2020-04-08,0.34924
2020-04-09,0.36992
2020-04-10,0.25963
2020-04-11,0.22517
2020-04-12,0.28031
2020-04-13,0.40209
2020-04-14,0.37452
2020-04-15,0.18151
2020-04-16,0.38371
2020-04-17,0.32167
2020-04-18,0.11258
2020-04-19,0.16543
2020-04-20,0.25963
2020-04-21,0.33546
2020-04-22,0.38141
2020-04-23,0.38141
2020-04-24,0.33546
2020-04-25,0.14015
2020-04-26,0.47562
2020-04-27,0.42966
2020-04-28,0.34924
2020-04-29,0.31708
2020-04-30,0.14475
2020-05-01,0.12177
2020-05-02,0.14705
2020-05-03,0.18151
2020-05-04,0.25504
2020-05-05,0.16773
2020-05-06,0.33086
2020-05-07,0.41817
2020-05-08,0.33546
2020-05-09,0.18841
2020-05-10,0.25963
2020-05-11,0.42277
2020-05-12,0.54684
2020-05-13,0.42737
2020-05-14,0.45494
2020-05-15,0.36533
2020-05-16,0.1953
2020-05-17,0.22057
2020-05-18,0.3975
2020-05-19,0.37682
2020-05-20,0.60658
2020-05-21,0.3975
2020-05-22,0.38141
2020-05-23,0.18381
2020-05-24,0.20449
2020-05-25,0.41588
2020-05-26,0.75823
2020-05-27,0.71458
2020-05-28,0.76972
2020-05-29,0.4871
2020-05-30,0.22517
2020-05-31,0.20679
2020-06-01,0.44575
2020-06-02,0.4894
2020-06-03,0.47332
2020-06-04,1.29589
2020-06-05,0.92137
2020-06-06,0.2941
2020-06-07,0.33776
2020-06-08,0.51697
2020-06-09,0.56982
2020-06-10,0.5928
2020-06-11,0.46643
2020-06-12,0.56752
2020-06-13,0.30789
2020-06-14,0.2918
2020-06-15,0.46413
2020-06-16,0.43196
2020-06-17,0.41817
2020-06-18,0.55833
2020-06-19,0.51468
2020-06-20,0.17232
2020-06-21,0.21368
2020-06-22,0.37222
2020-06-23,0.47562
2020-06-24,0.46872
2020-06-25,0.37222
2020-06-26,0.44115
2020-06-27,0.1976
2020-06-28,0.16313
2020-06-29,0.40669
2020-06-30,0.36303
2020-07-01,0.36992
2020-07-02,0.42507
2020-07-03,0.48481
2020-07-04,0.17692
2020-07-05,0.22747
2020-07-06,0.35614
2020-07-07,0.44345
2020-07-08,0.40669
2020-07-09,0.38371
2020-07-10,0.31937
2020-07-11,0.13556
2020-07-12,0.15854
2020-07-13,0.38371
2020-07-14,0.58361
2020-07-15,0.49859
2020-07-16,0.3883
2020-07-17,0.35843
2020-07-18,0.14934
2020-07-19,0.13556
2020-07-20,0.3883
2020-07-21,0.35154
2020-07-22,0.36073
2020-07-23,0.40669
2020-07-24,0.34005
2020-07-25,0.12177
2020-07-26,0.13556
2020-07-27,0.32627
2020-07-28,0.31248
2020-07-29,0.32397
2020-07-30,0.31937
2020-07-31,0.56982
2020-08-01,0.28031
2020-08-02,0.24585
2020-08-03,0.3883
2020-08-04,0.45034
2020-08-05,0.49859
2020-08-06,0.49859
2020-08-07,0.3883
2020-08-08,0.15624
2020-08-09,0.21828
2020-08-10,0.36303
2020-08-11,0.46643
2020-08-12,0.43196
2020-08-13,0.3883
2020-08-14,0.33776
2020-08-15,0.16773
2020-08-16,0.73526
2020-08-17,0.41358
2020-08-18,0.45724
2020-08-19,0.39979
2020-08-20,0.45034
2020-08-21,0.42277
2020-08-22,0.30099
2020-08-23,0.32856
2020-08-24,0.43656
2020-08-25,0.42047
2020-08-26,0.4963
2020-08-27,0.4894
2020-08-28,0.43885
2020-08-29,0.1976
2020-08-30,0.21138
2020-08-31,0.47562
2020-09-01,0.37682
2020-09-02,0.49859
2020-09-03,0.51927
2020-09-04,1.01557
2020-09-05,0.34005
2020-09-06,0.34005
2020-09-07,2.41487
2020-09-08,1.11897
2020-09-09,0.75823
2020-09-10,0.67552
2020-09-11,0.51697
2020-09-12,0.33776
2020-09-13,0.38601
2020-09-14,0.52157
2020-09-15,0.494
2020-09-16,0.56752
2020-09-17,0.61807
2020-09-18,0.44575
2020-09-19,0.28721
2020-09-20,0.27802
2020-09-21,0.44575
2020-09-22,0.43196
2020-09-23,0.47562
2020-09-24,0.41588
2020-09-25,0.38141
2020-09-26,0.23666
2020-09-27,0.28261
2020-09-28,0.48021
2020-09-29,0.31708
2020-09-30,0.18151
2020-10-01,0.1976
2020-10-02,0.0919
2020-10-03,0.14245
2020-10-04,0.26653
2020-10-05,0.42277
2020-10-06,0.46183
2020-10-07,0.3883
2020-10-08,0.42047
2020-10-09,0.18151
2020-10-10,0.18611
2020-10-11,0.25963
2020-10-12,0.38141
2020-10-13,0.43196
2020-10-14,0.3906
2020-10-15,0.37222
2020-10-16,0.38371
2020-10-17,0.21598
2020-10-18,0.21828
2020-10-19,0.44115
2020-10-20,0.3975
2020-10-21,0.34235
2020-10-22,0.34235
2020-10-23,0.3929
2020-10-24,0.20449
2020-10-25,0.22517
2020-10-26,0.35384
2020-10-27,0.38141
2020-10-28,0.35843
2020-10-29,0.35384
2020-10-30,0.34695
2020-10-31,0.16083
2020-11-01,0.22517
2020-11-02,0.30789
2020-11-03,0.35843
2020-11-04,0.43656
2020-11-05,0.51238
2020-11-06,0.43656
2020-11-07,0.18151
2020-11-08,0.17462
2020-11-09,0.41588
2020-11-10,0.38141
2020-11-11,0.36303
2020-11-12,0.45724
2020-11-13,0.35843
2020-11-14,0.21138
2020-11-15,0.18611
2020-11-16,0.4871
2020-11-17,0.45953
2020-11-18,0.35384
2020-11-19,0.35843
2020-11-20,0.34465
2020-11-21,0.12407
2020-11-22,0.15854
2020-11-23,0.35614
2020-11-24,0.50319
2020-11-25,0.42047
2020-11-26,0.3929
2020-11-27,0.36303
2020-11-28,0.18151
2020-11-29,0.22747
2020-11-30,0.34924
2020-12-01,0.36763
2020-12-02,0.32856
2020-12-03,0.37222
2020-12-04,0.3975
2020-12-05,0.20679
2020-12-06,0.21368
2020-12-07,0.30559
2020-12-08,0.31248
2020-12-09,0.34924
2020-12-10,0.33086
2020-12-11,0.35154
2020-12-12,0.15164
2020-12-13,0.15164
2020-12-14,0.36763
2020-12-15,0.33776
2020-12-16,0.36073
2020-12-17,0.27112
2020-12-18,0.32397
2020-12-19,0.18611
2020-12-20,0.193
2020-12-21,0.33316
2020-12-22,0.32167
2020-12-23,0.40898
2020-12-24,0.40669
2020-12-25,0.17002
2020-12-26,0.17921
2020-12-27,0.16543
2020-12-28,0.43885
2020-12-29,0.40898
2020-12-30,0.37911
2020-12-31,0.23206
2021-01-01,0.16313
2021-01-02,0.24125
2021-01-03,0.24355
2021-01-04,0.4917
2021-01-05,0.44345
2021-01-06,0.3883
2021-01-07,0.36992
2021-01-08,0.31018
2021-01-09,0.12867
2021-01-10,0.20908
2021-01-11,0.35614
2021-01-12,0.36303
2021-01-13,0.3929
2021-01-14,0.34465
2021-01-15,0.34235
2021-01-16,0.17462
2021-01-17,0.21138
2021-01-18,0.30329
2021-01-19,0.35614
2021-01-20,0.41817
2021-01-21,0.35384
2021-01-22,0.61118
2021-01-23,0.3975
2021-01-24,0.33546
2021-01-25,0.53076
2021-01-26,0.53765
2021-01-27,0.42047
2021-01-28,0.43885
2021-01-29,0.3975
2021-01-30,0.17921
2021-01-31,0.1907
2021-02-01,0.44575
2021-02-02,0.46413
2021-02-03,0.67092
2021-02-04,1.10059
2021-02-05,0.51238
2021-02-06,0.30559
2021-02-07,0.25044
2021-02-08,0.45034
2021-02-09,0.52157
2021-02-10,0.29869
2021-02-11,0.1907
2021-02-12,0.17232
2021-02-13,0.20219
2021-02-14,0.25274
2021-02-15,0.3906
2021-02-16,0.44804
2021-02-17,0.50089
2021-02-18,0.42737
2021-02-19,0.30559
2021-02-20,0.26882
2021-02-21,0.20219
2021-02-22,0.40898
2021-02-23,0.38601
2021-02-24,0.42277
2021-02-25,2.8813
2021-02-26,0.53306
2021-02-27,0.22976
2021-02-28,0.20908
2021-03-01,0.1953
2021-03-02,0.41358
2021-03-03,0.37452
2021-03-04,0.3929
2021-03-05,0.31708
2021-03-06,0.17921
2021-03-07,0.17921
2021-03-08,0.46413
2021-03-09,0.41358
2021-03-10,0.48251
2021-03-11,0.3929
2021-03-12,0.50778
2021-03-13,0.61118
2021-03-14,0.32167
2021-03-15,0.47102
2021-03-16,0.5928
2021-03-17,0.73296
2021-03-18,0.47791
2021-03-19,0.42966
2021-03-20,0.27342
2021-03-21,0.30329
2021-03-22,0.45953
2021-03-23,0.34235
2021-03-24,0.42047
2021-03-25,0.35843
2021-03-26,0.35154
2021-03-27,0.15854
2021-03-28,0.15854
2021-03-29,0.36303
2021-03-30,0.43426
2021-03-31,0.43885
2021-04-01,0.3929
2021-04-02,0.38141
2021-04-03,0.15624
2021-04-04,0.20679
2021-04-05,0.37222
2021-04-06,0.3952
2021-04-07,0.36303
2021-04-08,0.40898
2021-04-09,0.33316
2021-04-10,0.16313
2021-04-11,0.16773
2021-04-12,0.37222
2021-04-13,0.46872
2021-04-14,0.3929
2021-04-15,0.42966
2021-04-16,0.40209
2021-04-17,0.13326
2021-04-18,0.20449
2021-04-19,0.40439
2021-04-20,0.46183
2021-04-21,0.45264
2021-04-22,0.55144
2021-04-23,0.42277
2021-04-24,0.1953
2021-04-25,0.20679
2021-04-26,0.43656
2021-04-27,0.3952
2021-04-28,0.43656
2021-04-29,0.38141
2021-04-30,0.34005
2021-05-01,0.17232
2021-05-02,0.22287
2021-05-03,0.31478
2021-05-04,0.43885
2021-05-05,0.26882
2021-05-06,0.42277
2021-05-07,0.40669
2021-05-08,0.22057
2021-05-09,0.33546
2021-05-10,0.46643
2021-05-11,0.53536
2021-05-12,0.494
2021-05-13,0.45034
2021-05-14,0.43196
2021-05-15,0.35843
2021-05-16,0.22747
2021-05-17,0.3952
2021-05-18,0.36303
2021-05-19,0.30559
2021-05-20,0.44115
2021-05-21,0.42737
2021-05-22,0.26653
2021-05-23,0.30329
2021-05-24,0.37222
2021-05-25,0.39979
2021-05-26,0.4871
2021-05-27,0.42277
2021-05-28,0.3929
2021-05-29,0.20908
2021-05-30,0.23666
2021-05-31,0.50549
2021-06-01,0.54455
2021-06-02,0.75134
2021-06-03,0.55604
2021-06-04,0.48251
2021-06-05,0.26423
2021-06-06,0.34235
2021-06-07,0.40439
2021-06-08,0.42507
2021-06-09,0.49859
2021-06-10,0.50319
2021-06-11,0.34924
2021-06-12,0.1953
2021-06-13,0.32627
2021-06-14,0.50778
2021-06-15,0.3975
2021-06-16,0.40439
2021-06-17,0.46413
2021-06-18,0.41817
2021-06-19,0.24125
2021-06-20,0.28721
2021-06-21,0.45953
2021-06-22,0.51008
2021-06-23,0.43885
2021-06-24,0.46872
2021-06-25,0.42047
2021-06-26,0.15624
2021-06-27,0.13096
2021-06-28,0.36303
2021-06-29,0.36763
2021-06-30,0.3975
2021-07-01,0.38141
2021-07-02,0.30789
2021-07-03,0.193
2021-07-04,0.26653
2021-07-05,0.41128
2021-07-06,0.40209
2021-07-07,0.45724
2021-07-08,0.42047
