date,두산로보틱스주가
2020-03-24,0.00908
2020-03-25,0.00568
2020-03-28,0.00795
2020-03-29,0.00795
2020-04-23,0.00908
2020-05-20,0.00908
2020-05-26,0.01022
2020-05-27,0.00908
2020-06-04,0.00568
2020-07-10,0.01136
2020-07-12,0.01136
2020-07-22,0.00681
2020-07-28,0.00568
2020-09-04,0.00568
2020-09-07,0.00795
2020-12-12,0.00568
2020-12-14,0.01136
2020-12-16,0.02499
2020-12-17,0.01363
2020-12-21,0.00795
2020-12-28,0.00568
2021-01-05,0.00908
2021-01-17,0.01022
2021-01-18,0.05339
2021-01-19,0.01136
2021-01-20,0.01022
2021-01-21,0.01704
2021-01-22,0.00568
2021-01-23,0.04431
2021-01-24,0.00908
2021-01-25,0.01249
2021-01-26,0.00908
2021-01-27,0.02499
2021-01-28,0.00795
2021-01-29,0.00681
2021-01-31,0.00795
2021-02-01,0.00568
2021-02-03,0.00568
2021-02-04,0.01022
2021-02-05,0.01136
2021-02-06,0.02954
2021-02-07,0.01363
2021-02-08,0.01931
2021-02-09,0.01022
2021-02-10,0.00568
2021-02-11,0.00681
2021-02-12,0.08975
2021-02-13,0.05567
2021-02-14,0.03067
2021-02-15,0.02272
2021-02-16,0.01136
2021-02-18,0.00568
2021-02-19,0.00795
2021-02-20,0.00681
2021-02-24,0.03976
2021-02-25,0.04885
2021-02-26,0.01363
2021-02-27,0.00795
2021-02-28,0.01136
2021-03-01,0.00908
2021-03-02,0.00568
2021-03-03,0.00795
2021-03-12,0.01136
2021-03-20,0.00908
2021-04-30,0.01817
2021-05-06,0.00568
2021-05-20,0.03749
2021-05-21,0.00568
2021-06-07,0.02499
2021-06-08,0.01022
2021-06-09,0.00568
2021-07-19,0.00568
2021-08-24,0.0693
2021-08-25,0.01249
2021-08-27,0.00568
2021-08-28,0.00568
2021-09-25,0.01477
2021-09-28,0.00568
2021-11-15,0.00681
2021-11-17,0.00795
2021-11-18,0.01022
2021-11-24,0.00568
2021-12-02,0.00681
2021-12-03,0.01022
2021-12-08,0.00908
2021-12-14,0.02045
2021-12-17,0.02726
2021-12-19,0.02158
2021-12-20,0.02613
2021-12-21,0.00568
2021-12-22,0.10907
2021-12-23,0.09089
2021-12-24,0.01022
2021-12-25,0.05226
2021-12-26,0.03976
2021-12-27,0.13293
2021-12-28,0.05908
2021-12-29,0.0409
2021-12-30,0.05453
2021-12-31,0.05112
2022-01-01,0.05908
2022-01-02,0.08862
2022-01-03,0.2045
2022-01-04,0.29085
2022-01-05,0.27608
2022-01-06,0.53512
2022-01-07,0.53058
2022-01-08,0.12838
2022-01-09,0.1227
2022-01-10,0.13974
2022-01-11,0.08293
2022-01-12,0.07271
2022-01-13,0.05794
2022-01-14,0.03294
2022-01-15,0.03181
