date,떼인돈받아드립니다
2020-03-20,38.9408
2020-03-21,30.52959
2020-03-22,23.36448
2020-03-23,38.31775
2020-03-24,39.25233
2020-03-25,44.23676
2020-03-26,42.99065
2020-03-27,40.49844
2020-03-28,34.26791
2020-03-29,19.93769
2020-03-30,36.13707
2020-03-31,44.54828
2020-04-01,44.54828
2020-04-02,54.2056
2020-04-03,51.71339
2020-04-04,28.97196
2020-04-05,29.59501
2020-04-06,46.41744
2020-04-07,48.59813
2020-04-08,48.59813
2020-04-09,44.85981
2020-04-10,47.97507
2020-04-11,33.95638
2020-04-12,33.0218
2020-04-13,51.40186
2020-04-14,43.30218
2020-04-15,33.0218
2020-04-16,44.23676
2020-04-17,43.92523
2020-04-18,28.03738
2020-04-19,25.54517
2020-04-20,45.48286
2020-04-21,32.08722
2020-04-22,41.74454
2020-04-23,38.31775
2020-04-24,40.80996
2020-04-25,35.82554
2020-04-26,36.44859
2020-04-27,54.2056
2020-04-28,59.50155
2020-04-29,42.99065
2020-04-30,40.18691
2020-05-01,43.6137
2020-05-02,31.46417
2020-05-03,22.11838
2020-05-04,43.92523
2020-05-05,35.51401
2020-05-06,55.45171
2020-05-07,49.53271
2020-05-08,48.90965
2020-05-09,34.89096
2020-05-10,35.51401
2020-05-11,60.43613
2020-05-12,47.04049
2020-05-13,57.00934
2020-05-14,51.40186
2020-05-15,49.22118
2020-05-16,23.36448
2020-05-17,22.74143
2020-05-18,44.54828
2020-05-19,47.97507
2020-05-20,46.72897
2020-05-21,45.48286
2020-05-22,40.80996
2020-05-23,20.87227
2020-05-24,22.4299
2020-05-25,40.49844
2020-05-26,52.33644
2020-05-27,52.02492
2020-05-28,53.27102
2020-05-29,36.44859
2020-05-30,23.36448
2020-05-31,19.93769
2020-06-01,33.64485
2020-06-02,31.46417
2020-06-03,17.13395
2020-06-04,13.39563
2020-06-05,11.21495
2020-06-06,11.52647
2020-06-07,5.919
2020-06-08,29.59501
2020-06-09,18.38006
2020-06-10,28.97196
2020-06-11,32.71028
2020-06-12,31.7757
2020-06-13,14.01869
2020-06-14,23.98753
2020-06-15,47.66355
2020-06-16,40.80996
2020-06-17,46.41744
2020-06-18,51.40186
2020-06-19,43.30218
2020-06-20,18.69158
2020-06-21,22.11838
2020-06-22,26.16822
2020-06-23,31.15264
2020-06-24,35.51401
2020-06-25,36.44859
2020-06-26,32.08722
2020-06-27,28.66043
2020-06-28,24.61059
2020-06-29,39.87538
2020-06-30,43.92523
2020-07-01,45.17133
2020-07-02,31.7757
2020-07-03,13.08411
2020-07-04,8.41121
2020-07-05,18.38006
2020-07-06,41.43302
2020-07-07,48.90965
2020-07-08,38.9408
2020-07-09,35.51401
2020-07-10,38.00623
2020-07-11,26.47975
2020-07-12,18.38006
2020-07-13,33.33333
2020-07-14,31.7757
2020-07-15,33.64485
2020-07-16,37.6947
2020-07-17,32.71028
2020-07-18,21.49532
2020-07-19,25.23364
2020-07-20,40.49844
2020-07-21,43.30218
2020-07-22,39.56386
2020-07-23,35.20249
2020-07-24,44.23676
2020-07-25,40.18691
2020-07-26,41.43302
2020-07-27,55.76323
2020-07-28,51.71339
2020-07-29,46.10591
2020-07-30,66.66666
2020-07-31,82.86604
2020-08-01,65.10903
2020-08-02,42.99065
2020-08-03,51.09034
2020-08-04,60.74766
2020-08-05,49.84423
2020-08-06,48.2866
2020-08-07,46.10591
2020-08-08,34.89096
2020-08-09,37.07165
2020-08-10,57.63239
2020-08-11,49.84423
2020-08-12,45.17133
2020-08-13,34.89096
2020-08-14,39.25233
2020-08-15,30.84112
2020-08-16,31.46417
2020-08-17,33.95638
2020-08-18,53.89408
2020-08-19,37.07165
2020-08-20,30.52959
2020-08-21,39.87538
2020-08-22,18.38006
2020-08-23,23.36448
2020-08-24,42.99065
2020-08-25,24.61059
2020-08-26,11.21495
2020-08-27,24.29906
2020-08-28,26.16822
2020-08-29,20.24922
2020-08-30,19.00311
2020-08-31,39.56386
2020-09-01,34.57943
2020-09-02,35.20249
2020-09-03,45.17133
2020-09-04,31.46417
2020-09-05,22.74143
2020-09-06,14.33021
2020-09-07,30.52959
2020-09-08,25.85669
2020-09-09,33.64485
2020-09-10,29.59501
2020-09-11,26.47975
2020-09-12,14.95327
2020-09-13,16.5109
2020-09-14,30.21806
2020-09-15,35.51401
2020-09-16,40.18691
2020-09-17,38.9408
2020-09-18,34.89096
2020-09-19,19.93769
2020-09-20,17.44548
2020-09-21,38.31775
2020-09-22,31.46417
2020-09-23,28.97196
2020-09-24,27.72585
2020-09-25,27.72585
2020-09-26,15.57632
2020-09-27,21.1838
2020-09-28,33.0218
2020-09-29,30.52959
2020-09-30,16.5109
2020-10-01,10.28037
2020-10-02,11.21495
2020-10-03,18.38006
2020-10-04,14.01869
2020-10-05,32.39875
2020-10-06,28.3489
2020-10-07,23.05295
2020-10-08,23.98753
2020-10-09,8.41121
2020-10-10,10.90342
2020-10-11,10.28037
2020-10-12,25.23364
2020-10-13,31.46417
2020-10-14,24.29906
2020-10-15,21.1838
2020-10-16,27.41433
2020-10-17,12.77258
2020-10-18,17.757
2020-10-19,20.87227
2020-10-20,23.36448
2020-10-21,30.52959
2020-10-22,11.52647
2020-10-23,16.82242
2020-10-24,23.36448
2020-10-25,24.92211
2020-10-26,51.71339
2020-10-27,43.6137
2020-10-28,42.99065
2020-10-29,46.10591
2020-10-30,37.07165
2020-10-31,23.98753
2020-11-01,25.23364
2020-11-02,50.77881
2020-11-03,44.54828
2020-11-04,37.07165
2020-11-05,36.44859
2020-11-06,39.56386
2020-11-07,15.88785
2020-11-08,17.13395
2020-11-09,26.47975
2020-11-10,40.18691
2020-11-11,43.30218
2020-11-12,44.85981
2020-11-13,33.33333
2020-11-14,22.11838
2020-11-15,16.82242
