date,라울뒤피
2020-03-20,0.72616
2020-03-21,1.05411
2020-03-22,1.49918
2020-03-23,1.40548
2020-03-24,1.07753
2020-03-25,0.96041
2020-03-26,0.63246
2020-03-27,0.98383
2020-03-28,0.84328
2020-03-29,1.03068
2020-03-30,1.12438
2020-03-31,0.89013
2020-04-01,1.10096
2020-04-02,0.93698
2020-04-03,1.12438
2020-04-04,0.93698
2020-04-05,0.96041
2020-04-06,1.85055
2020-04-07,1.17123
2020-04-08,0.86671
2020-04-09,1.63972
2020-04-10,1.56945
2020-04-11,1.05411
2020-04-12,1.87397
2020-04-13,1.45233
2020-04-14,1.56945
2020-04-15,0.70274
2020-04-16,1.1478
2020-04-17,1.2415
2020-04-18,1.17123
2020-04-19,0.91356
2020-04-20,1.35863
2020-04-21,1.1478
2020-04-22,1.2415
2020-04-23,1.28835
2020-04-24,1.6163
2020-04-25,1.26493
2020-04-26,1.2415
2020-04-27,1.3352
2020-04-28,1.47575
2020-04-29,1.40548
2020-04-30,0.93698
2020-05-01,1.35863
2020-05-02,0.91356
2020-05-03,1.47575
2020-05-04,1.05411
2020-05-05,1.78027
2020-05-06,1.35863
2020-05-07,1.03068
2020-05-08,0.81986
2020-05-09,1.56945
2020-05-10,1.71
2020-05-11,1.49918
2020-05-12,1.10096
2020-05-13,1.54602
2020-05-14,0.63246
2020-05-15,0.81986
2020-05-16,1.03068
2020-05-17,1.21808
2020-05-18,1.68657
2020-05-19,1.87397
2020-05-20,1.4289
2020-05-21,1.3352
2020-05-22,0.86671
2020-05-23,1.10096
2020-05-24,1.17123
2020-05-25,1.45233
2020-05-26,1.10096
2020-05-27,1.35863
2020-05-28,0.89013
2020-05-29,1.03068
2020-05-30,1.28835
2020-05-31,0.98383
2020-06-01,1.10096
2020-06-02,1.21808
2020-06-03,0.93698
2020-06-04,1.2415
2020-06-05,1.03068
2020-06-06,0.98383
2020-06-07,1.71
2020-06-08,1.45233
2020-06-09,1.5226
2020-06-10,1.00726
2020-06-11,1.2415
2020-06-12,1.3352
2020-06-13,0.98383
2020-06-14,0.98383
2020-06-15,1.38205
2020-06-16,4.59123
2020-06-17,1.35863
2020-06-18,1.19465
2020-06-19,1.54602
2020-06-20,1.5226
2020-06-21,2.01452
2020-06-22,1.54602
2020-06-23,1.10096
2020-06-24,1.66315
2020-06-25,1.17123
2020-06-26,1.35863
2020-06-27,0.74959
2020-06-28,1.10096
2020-06-29,1.54602
2020-06-30,1.2415
2020-07-01,1.00726
2020-07-02,1.00726
2020-07-03,1.2415
2020-07-04,1.3352
2020-07-05,1.47575
2020-07-06,1.3352
2020-07-07,1.07753
2020-07-08,1.05411
2020-07-09,1.35863
2020-07-10,1.26493
2020-07-11,1.28835
2020-07-12,1.49918
2020-07-13,1.56945
2020-07-14,1.3352
2020-07-15,1.26493
2020-07-16,1.4289
2020-07-17,1.45233
2020-07-18,0.72616
2020-07-19,1.12438
2020-07-20,1.35863
2020-07-21,0.96041
2020-07-22,0.96041
2020-07-23,1.40548
2020-07-24,1.87397
2020-07-25,0.98383
2020-07-26,1.03068
2020-07-27,1.31178
2020-07-28,1.26493
2020-07-29,1.05411
2020-07-30,1.03068
2020-07-31,1.03068
2020-08-01,1.07753
2020-08-02,1.12438
2020-08-03,0.81986
2020-08-04,0.81986
2020-08-05,1.03068
2020-08-06,0.70274
2020-08-07,1.21808
2020-08-08,0.96041
2020-08-09,0.79643
2020-08-10,0.72616
2020-08-11,1.2415
2020-08-12,0.74959
2020-08-13,1.03068
2020-08-14,0.98383
2020-08-15,0.84328
2020-08-16,0.93698
2020-08-17,0.91356
2020-08-18,1.19465
2020-08-19,1.38205
2020-08-20,1.38205
2020-08-21,1.12438
2020-08-22,1.19465
2020-08-23,0.44506
2020-08-24,0.96041
2020-08-25,1.12438
2020-08-26,0.84328
2020-08-27,0.79643
2020-08-28,1.19465
2020-08-29,1.5226
2020-08-30,1.21808
2020-08-31,1.40548
2020-09-01,1.56945
2020-09-02,1.12438
2020-09-03,1.03068
2020-09-04,0.58561
2020-09-05,0.89013
2020-09-06,1.05411
2020-09-07,1.07753
2020-09-08,0.86671
2020-09-09,1.26493
2020-09-10,1.2415
2020-09-11,1.21808
2020-09-12,0.70274
2020-09-13,1.21808
2020-09-14,1.26493
2020-09-15,1.05411
2020-09-16,1.05411
2020-09-17,1.05411
2020-09-18,0.98383
2020-09-19,0.93698
2020-09-20,1.21808
2020-09-21,0.98383
2020-09-22,0.96041
2020-09-23,1.10096
2020-09-24,1.21808
2020-09-25,0.91356
2020-09-26,0.96041
2020-09-27,0.77301
2020-09-28,0.84328
2020-09-29,0.70274
2020-09-30,0.72616
2020-10-01,0.58561
2020-10-02,0.42164
2020-10-03,0.89013
2020-10-04,0.91356
2020-10-05,0.74959
2020-10-06,0.74959
2020-10-07,0.56219
2020-10-08,0.67931
2020-10-09,0.91356
2020-10-10,0.77301
2020-10-11,0.77301
2020-10-12,1.47575
