date,레버리지ETF교육
2020-08-24,0.06894
2020-08-31,0.10725
2020-09-03,0.06128
2020-09-04,0.12257
2020-09-05,0.16854
2020-09-06,0.12257
2020-09-07,0.32176
2020-09-08,0.43668
2020-09-09,0.7278
2020-09-10,0.52861
2020-09-11,0.56691
2020-09-12,0.12257
2020-09-13,0.09193
2020-09-14,0.63586
2020-09-15,0.58224
2020-09-16,0.58224
2020-09-17,0.59756
2020-09-18,0.32942
2020-09-19,0.0383
2020-09-20,0.06128
2020-09-21,0.49796
2020-09-22,0.65119
2020-09-23,0.93465
2020-09-24,0.96529
2020-09-25,1.03424
2020-09-26,0.19918
2020-09-27,0.15322
2020-09-28,1.17214
2020-09-29,0.8657
2020-09-30,0.23749
2020-10-01,0.13023
2020-10-02,0.26047
2020-10-03,0.29112
2020-10-04,0.34474
2020-10-05,1.57052
2020-10-06,1.66245
2020-10-07,1.52455
2020-10-08,1.33302
2020-10-09,0.42135
2020-10-10,0.22217
2020-10-11,0.22983
2020-10-12,1.27939
2020-10-13,1.47092
2020-10-14,1.52455
2020-10-15,2.10679
2020-10-16,1.69309
2020-10-17,0.37539
2020-10-18,0.32942
2020-10-19,1.0419
2020-10-20,1.44794
2020-10-21,1.06488
2020-10-22,0.91932
2020-10-23,0.36773
2020-10-25,0.11491
2020-10-26,0.36007
2020-10-27,0.37539
2020-10-28,0.22983
2020-10-29,0.32942
2020-10-30,0.8657
2020-10-31,0.27579
2020-11-01,0.42902
2020-11-02,1.50923
2020-11-03,3.17168
2020-11-04,2.44388
2020-11-05,3.15636
2020-11-06,2.84225
2020-11-07,1.11851
2020-11-08,0.88102
2020-11-09,1.85397
2020-11-10,2.17574
2020-11-11,2.02252
2020-11-12,2.62774
2020-11-13,3.05676
2020-11-14,1.41729
2020-11-15,1.18746
2020-11-16,4.09867
2020-11-17,4.23657
2020-11-18,4.15996
2020-11-19,4.34382
2020-11-20,3.37853
2020-11-21,1.3177
2020-11-22,1.85397
2020-11-23,5.3321
2020-11-24,7.55381
2020-11-25,10.12793
2020-11-26,7.51551
2020-11-27,5.80709
2020-11-28,3.13337
2020-11-29,3.24063
2020-11-30,6.7111
2020-12-01,8.13606
2020-12-02,12.32666
2020-12-03,12.0432
2020-12-04,12.87826
2020-12-05,5.65387
2020-12-06,5.7075
2020-12-07,14.01976
2020-12-08,14.41048
2020-12-09,16.48663
2020-12-10,13.1847
2020-12-11,12.05086
2020-12-12,6.54255
2020-12-13,6.38933
2020-12-14,12.03554
2020-12-15,14.65563
2020-12-16,11.98958
2020-12-17,12.42626
2020-12-18,11.51459
2020-12-19,6.94859
2020-12-20,6.45062
2020-12-21,13.5984
2020-12-22,14.3262
2020-12-23,14.92377
2020-12-24,13.53711
2020-12-25,7.06351
2020-12-26,6.4736
2020-12-27,8.06711
2020-12-28,23.09047
2020-12-29,19.08373
2020-12-30,26.82908
2020-12-31,26.34643
2021-01-01,11.71378
2021-01-02,9.82149
2021-01-03,19.32122
2021-01-04,88.74588
2021-01-05,64.69777
2021-01-06,55.55044
2021-01-07,53.69646
2021-01-08,60.89787
2021-01-09,23.45054
2021-01-10,24.06343
2021-01-11,100.0
2021-01-12,76.84823
2021-01-13,40.20531
2021-01-14,25.85612
2021-01-15,29.68666
2021-01-16,12.38029
2021-01-17,12.58714
2021-01-18,39.00252
2021-01-19,27.02826
2021-01-20,17.42894
2021-01-21,16.82371
2021-01-22,16.01164
2021-01-23,7.19374
2021-01-24,6.7494
2021-01-25,17.67409
2021-01-26,20.50869
2021-01-27,16.03462
2021-01-28,22.5925
2021-01-29,26.26982
2021-01-30,11.52991
2021-01-31,11.38435
2021-02-01,19.72726
2021-02-02,17.08419
2021-02-03,12.82463
2021-02-04,11.98191
2021-02-05,11.20049
2021-02-06,3.93779
2021-02-07,4.44342
2021-02-08,7.81429
2021-02-09,8.24331
2021-02-10,6.55021
2021-02-11,3.09507
2021-02-12,2.81161
2021-02-13,2.81161
2021-02-14,3.27893
2021-02-15,9.72956
2021-02-16,7.5768
2021-02-17,7.21673
2021-02-18,7.18608
2021-02-19,6.96391
2021-02-20,2.06849
2021-02-21,1.87696
2021-02-22,6.02926
2021-02-23,7.4772
2021-02-24,8.73362
2021-02-25,9.27756
2021-02-26,13.86654
2021-02-27,3.15636
2021-02-28,3.57772
2021-03-01,3.17934
2021-03-02,7.82961
2021-03-03,5.63855
2021-03-04,5.98329
2021-03-05,7.24737
2021-03-06,2.33662
2021-03-07,2.40557
2021-03-08,6.0599
2021-03-09,8.32758
2021-03-10,5.96797
2021-03-11,5.54661
2021-03-12,5.10227
2021-03-13,1.55519
2021-03-14,1.83865
2021-03-15,3.6007
2021-03-16,3.78457
2021-03-17,3.13337
2021-03-18,4.61196
2021-03-19,4.9184
2021-03-20,1.4556
2021-03-21,1.37899
2021-03-22,3.59304
2021-03-23,3.20232
2021-03-24,4.25955
2021-03-25,3.13337
2021-03-26,2.5971
2021-03-27,1.21044
2021-03-28,1.28706
2021-03-29,2.52815
2021-03-30,2.96483
2021-03-31,2.47452
2021-04-01,2.48218
2021-04-02,3.37087
2021-04-03,1.27173
2021-04-04,1.43262
2021-04-05,2.82693
2021-04-06,2.88056
2021-04-07,2.67371
2021-04-08,2.4592
2021-04-09,2.23703
2021-04-10,0.82739
2021-04-11,1.01892
2021-04-12,2.26767
2021-04-13,3.65433
2021-04-14,3.29426
2021-04-15,3.53941
2021-04-16,3.56239
2021-04-17,1.03424
2021-04-18,0.98061
2021-04-19,3.63901
2021-04-20,3.3249
2021-04-21,4.50471
2021-04-22,3.31724
2021-04-23,2.84225
2021-04-24,1.10319
2021-04-25,1.16448
2021-04-26,2.55879
2021-04-27,3.01846
2021-04-28,3.50877
2021-04-29,3.45514
2021-04-30,3.76924
2021-05-01,1.06488
2021-05-02,1.21811
2021-05-03,3.27893
2021-05-04,3.36321
2021-05-05,1.57818
2021-05-06,2.25235
2021-05-07,2.40557
2021-05-08,0.92698
2021-05-09,0.88102
2021-05-10,3.27893
2021-05-11,4.65027
2021-05-12,4.94139
2021-05-13,7.09415
2021-05-14,3.29426
2021-05-15,1.36367
2021-05-16,1.35601
2021-05-17,2.735
2021-05-18,2.61242
2021-05-19,1.22577
2021-05-20,2.72734
2021-05-21,2.88056
2021-05-22,1.03424
2021-05-23,1.0419
2021-05-24,2.1451
2021-05-25,2.19106
2021-05-26,1.9076
2021-05-27,1.85397
2021-05-28,1.63946
2021-05-29,0.75078
2021-05-30,0.6282
2021-05-31,1.4939
2021-06-01,2.44388
2021-06-02,2.35961
2021-06-03,3.49344
2021-06-04,2.45154
2021-06-05,0.78142
2021-06-06,0.79675
2021-06-07,1.99954
2021-06-08,1.5935
2021-06-09,2.07615
2021-06-10,1.80035
2021-06-11,1.88462
2021-06-12,0.72014
2021-06-13,0.7278
2021-06-14,1.7697
2021-06-15,1.83099
2021-06-16,2.83459
2021-06-17,2.16808
2021-06-18,2.33662
2021-06-19,0.91166
2021-06-20,0.74312
2021-06-21,2.52815
2021-06-22,2.08381
2021-06-23,2.29066
2021-06-24,2.35194
2021-06-25,2.65839
2021-06-26,0.88868
2021-06-27,0.87336
2021-06-28,2.5971
2021-06-29,2.03784
2021-06-30,2.22171
2021-07-01,1.89994
2021-07-02,2.12211
2021-07-03,0.80441
2021-07-04,0.79675
2021-07-05,2.11445
2021-07-06,2.71202
2021-07-07,3.06442
2021-07-08,3.93013
2021-07-09,6.5732
2021-07-10,1.54753
2021-07-11,1.19512
2021-07-12,2.283
2021-07-13,2.12977
2021-07-14,2.35961
2021-07-15,2.17574
2021-07-16,1.78503
2021-07-17,0.57458
2021-07-18,0.72014
2021-07-19,2.72734
2021-07-20,3.71562
2021-07-21,2.62774
2021-07-22,1.99954
2021-07-23,1.70841
2021-07-24,0.68949
2021-07-25,0.51329
2021-07-26,1.92292
2021-07-27,1.67011
2021-07-28,2.1451
2021-07-29,1.63946
2021-07-30,2.35194
2021-07-31,0.71247
2021-08-01,0.70481
2021-08-02,1.89994
2021-08-03,1.62414
2021-08-04,2.22171
2021-08-05,2.13743
2021-08-06,1.65479
2021-08-07,0.73546
2021-08-08,0.79675
2021-08-09,2.56645
2021-08-10,2.6354
2021-08-11,2.35961
2021-08-12,2.82693
2021-08-13,4.71922
2021-08-14,0.92698
2021-08-15,1.07255
2021-08-16,1.1798
2021-08-17,4.58898
2021-08-18,3.27893
2021-08-19,5.89902
2021-08-20,6.09055
2021-08-21,1.7314
2021-08-22,1.60882
2021-08-23,3.64667
2021-08-24,3.22531
2021-08-25,2.68903
2021-08-26,2.71968
2021-08-27,2.39791
2021-08-28,1.05722
2021-08-29,0.89634
2021-08-30,2.24469
2021-08-31,2.32896
2021-09-01,2.05316
2021-09-02,1.96123
2021-09-03,1.92292
2021-09-04,0.78142
2021-09-05,0.87336
2021-09-06,1.71608
2021-09-07,2.10679
2021-09-08,2.07615
2021-09-09,2.78096
2021-09-10,2.12211
2021-09-11,0.69715
2021-09-12,0.78142
2021-09-13,1.70075
2021-09-14,1.9076
2021-09-15,1.5935
2021-09-16,1.85397
2021-09-17,1.4556
2021-09-18,0.45966
2021-09-19,0.48264
2021-09-20,0.66651
2021-09-21,0.81207
2021-09-22,1.06488
2021-09-23,3.11805
