date,로보어드바이저
2020-03-20,12.16931
2020-03-21,8.4656
2020-03-22,9.96472
2020-03-23,11.90476
2020-03-24,10.49382
2020-03-25,13.49206
2020-03-26,11.90476
2020-03-27,11.46384
2020-03-28,9.34744
2020-03-29,12.52204
2020-03-30,13.05114
2020-03-31,15.60846
2020-04-01,13.05114
2020-04-02,9.96472
2020-04-03,10.67019
2020-04-04,5.90828
2020-04-05,8.11287
2020-04-06,12.08112
2020-04-07,11.64021
2020-04-08,11.46384
2020-04-09,11.99294
2020-04-10,11.72839
2020-04-11,8.20105
2020-04-12,7.49559
2020-04-13,11.46384
2020-04-14,10.67019
2020-04-15,10.14109
2020-04-16,11.90476
2020-04-17,10.14109
2020-04-18,7.58377
2020-04-19,7.49559
2020-04-20,11.46384
2020-04-21,9.70017
2020-04-22,11.11111
2020-04-23,10.40564
2020-04-24,8.55379
2020-04-25,6.52557
2020-04-26,5.99647
2020-04-27,10.49382
2020-04-28,9.43562
2020-04-29,9.25925
2020-04-30,9.08289
2020-05-01,6.70194
2020-05-02,3.61552
2020-05-03,5.90828
2020-05-04,8.02469
2020-05-05,6.61375
2020-05-06,11.02292
2020-05-07,11.02292
2020-05-08,9.08289
2020-05-09,6.52557
2020-05-10,8.02469
2020-05-11,9.87654
2020-05-12,11.72839
2020-05-13,11.11111
2020-05-14,10.31746
2020-05-15,12.25749
2020-05-16,6.43738
2020-05-17,6.70194
2020-05-18,10.84656
2020-05-19,12.34567
2020-05-20,10.93474
2020-05-21,10.05291
2020-05-22,11.02292
2020-05-23,5.64373
2020-05-24,6.70194
2020-05-25,14.63844
2020-05-26,15.87301
2020-05-27,14.19753
2020-05-28,13.49206
2020-05-29,11.37566
2020-05-30,7.4074
2020-05-31,7.23104
2020-06-01,10.31746
2020-06-02,11.99294
2020-06-03,12.08112
2020-06-04,11.90476
2020-06-05,10.93474
2020-06-06,5.90828
2020-06-07,6.26102
2020-06-08,11.37566
2020-06-09,11.46384
2020-06-10,11.64021
2020-06-11,11.64021
2020-06-12,11.28747
2020-06-13,8.11287
2020-06-14,6.79012
2020-06-15,10.05291
2020-06-16,12.16931
2020-06-17,10.49382
2020-06-18,16.13756
2020-06-19,18.78306
2020-06-20,4.7619
2020-06-21,7.4074
2020-06-22,11.81657
2020-06-23,10.67019
2020-06-24,14.46208
2020-06-25,15.43209
2020-06-26,12.78659
2020-06-27,5.11463
2020-06-28,5.90828
2020-06-29,11.11111
2020-06-30,11.28747
2020-07-01,10.22927
2020-07-02,8.55379
2020-07-03,8.55379
2020-07-04,4.7619
2020-07-05,5.64373
2020-07-06,8.28924
2020-07-07,11.19929
2020-07-08,11.11111
2020-07-09,9.43562
2020-07-10,6.3492
2020-07-11,5.46737
2020-07-12,4.2328
2020-07-13,9.5238
2020-07-14,12.25749
2020-07-15,9.96472
2020-07-16,8.9947
2020-07-17,9.78835
2020-07-18,5.73192
2020-07-19,4.2328
2020-07-20,11.02292
2020-07-21,11.37566
2020-07-22,11.02292
2020-07-23,8.28924
2020-07-24,9.25925
2020-07-25,3.7037
2020-07-26,5.37918
2020-07-27,6.08465
2020-07-28,9.78835
2020-07-29,8.9947
2020-07-30,10.58201
2020-07-31,9.5238
2020-08-01,4.32098
2020-08-02,5.02645
2020-08-03,15.87301
2020-08-04,23.80952
2020-08-05,20.63492
2020-08-06,12.08112
2020-08-07,12.52204
2020-08-08,7.05467
2020-08-09,9.87654
2020-08-10,10.22927
2020-08-11,11.90476
2020-08-12,11.81657
2020-08-13,10.05291
2020-08-14,9.25925
2020-08-15,5.02645
2020-08-16,6.17283
2020-08-17,8.37742
2020-08-18,9.61199
2020-08-19,7.58377
2020-08-20,9.78835
2020-08-21,5.90828
2020-08-22,5.02645
2020-08-23,5.291
2020-08-24,7.9365
2020-08-25,9.17107
2020-08-26,8.9947
2020-08-27,10.75837
2020-08-28,10.22927
2020-08-29,6.8783
2020-08-30,6.3492
2020-08-31,10.93474
2020-09-01,10.84656
2020-09-02,10.49382
2020-09-03,11.81657
2020-09-04,9.87654
2020-09-05,5.8201
2020-09-06,6.26102
2020-09-07,11.81657
2020-09-08,14.19753
2020-09-09,10.67019
2020-09-10,10.31746
2020-09-11,8.20105
2020-09-12,5.11463
2020-09-13,8.28924
2020-09-14,14.46208
2020-09-15,13.58024
2020-09-16,16.22574
2020-09-17,10.49382
2020-09-18,11.28747
2020-09-19,6.3492
2020-09-20,10.14109
2020-09-21,13.75661
2020-09-22,13.31569
2020-09-23,10.84656
2020-09-24,10.22927
2020-09-25,11.19929
2020-09-26,7.58377
2020-09-27,8.4656
2020-09-28,9.87654
2020-09-29,7.49559
2020-09-30,6.61375
2020-10-01,5.37918
2020-10-02,5.37918
2020-10-03,5.291
2020-10-04,8.28924
2020-10-05,11.64021
2020-10-06,9.25925
2020-10-07,11.46384
2020-10-08,20.45855
2020-10-09,6.3492
2020-10-10,6.70194
2020-10-11,8.28924
2020-10-12,13.05114
2020-10-13,11.28747
2020-10-14,10.05291
2020-10-15,9.34744
2020-10-16,11.28747
2020-10-17,7.67195
2020-10-18,5.99647
2020-10-19,8.81834
2020-10-20,10.58201
2020-10-21,10.84656
2020-10-22,10.67019
2020-10-23,9.5238
2020-10-24,6.8783
2020-10-25,7.9365
2020-10-26,11.90476
2020-10-27,10.58201
2020-10-28,12.08112
2020-10-29,12.52204
2020-10-30,10.14109
2020-10-31,5.55555
2020-11-01,5.8201
2020-11-02,8.4656
2020-11-03,9.25925
2020-11-04,10.58201
2020-11-05,13.05114
2020-11-06,9.34744
2020-11-07,6.96649
2020-11-08,6.70194
2020-11-09,7.9365
2020-11-10,11.99294
2020-11-11,9.78835
2020-11-12,13.49206
2020-11-13,10.67019
2020-11-14,7.9365
2020-11-15,7.49559
2020-11-16,11.37566
