date,루닛주가
2020-03-27,0.01428
2020-03-29,0.04
2020-03-30,0.01714
2020-03-31,0.01428
2020-04-03,0.02
2020-04-04,0.04286
2020-04-05,0.02
2020-04-17,0.02285
2020-04-19,0.02571
2020-04-20,0.02857
2020-04-21,0.02571
2020-04-22,0.02571
2020-04-23,0.02
2020-04-24,0.01428
2020-05-29,0.01428
2020-06-01,0.02285
2020-06-02,0.02571
2020-06-03,0.02571
2020-06-08,0.01714
2020-06-09,0.03143
2020-06-15,0.01428
2020-06-17,0.01714
2020-06-18,0.07714
2020-06-19,0.02285
2020-06-20,0.06
2020-06-21,0.15144
2020-06-22,0.11715
2020-06-24,0.01428
2020-07-08,0.02285
2020-07-09,0.05714
2020-07-10,0.02571
2020-07-11,0.03143
2020-07-12,0.1
2020-07-13,0.04286
2020-07-14,0.02
2020-07-15,0.02285
2020-07-17,0.03428
2020-07-19,0.01714
2020-07-20,0.02285
2020-07-22,0.01428
2020-07-26,0.01714
2020-07-27,0.04286
2020-08-03,0.04
2020-08-04,0.02285
2020-08-06,0.02285
2020-08-07,0.02857
2020-08-08,0.01714
2020-08-09,0.02
2020-08-10,0.02285
2020-08-12,0.01428
2020-09-02,0.01428
2020-09-06,0.01428
2020-09-10,0.02285
2020-09-11,0.01714
2020-09-14,0.02571
2020-09-17,0.06
2020-09-18,0.02
2020-09-20,0.01428
2020-09-21,0.01714
2020-09-23,0.02
2020-09-24,0.01714
2020-09-25,0.02285
2020-09-28,0.01428
2020-09-29,0.02285
2020-09-30,0.01714
2020-10-02,0.01428
2020-10-03,0.04857
2020-10-04,0.01714
2020-10-06,0.01428
2020-10-07,0.02285
2020-10-08,0.02
2020-10-09,0.02
2020-10-11,0.01428
2020-10-14,0.02571
2020-10-15,0.02571
2020-10-16,0.01428
2020-10-17,0.01428
2020-10-18,0.04571
2020-10-30,0.04
2020-11-01,0.02857
2020-11-07,0.02
2020-11-09,0.02
2020-11-13,0.01428
2020-11-25,0.04571
2020-11-26,0.01428
2020-11-27,0.01714
2020-11-29,0.02571
2020-11-30,0.02571
2020-12-03,0.01428
2020-12-04,0.02
2020-12-09,0.03143
2020-12-11,0.02285
2020-12-13,0.01714
2020-12-14,0.03714
2020-12-15,0.02
2020-12-16,0.04571
2020-12-17,0.02
2020-12-18,0.03143
2020-12-19,0.01428
2020-12-22,0.02571
2020-12-23,0.02285
2020-12-24,0.03143
2020-12-26,0.01428
2020-12-27,0.01714
2020-12-28,0.01428
2020-12-30,0.02
2021-01-07,0.02285
2021-01-09,0.01428
2021-01-11,0.01428
2021-01-13,0.01714
2021-01-15,0.18573
2021-01-16,0.02857
2021-01-17,0.02
2021-01-18,0.05714
2021-01-19,0.06571
2021-01-20,0.04571
2021-01-21,0.02571
2021-01-22,0.01714
2021-01-23,0.05143
2021-01-24,0.03714
2021-01-25,0.01428
2021-01-26,0.01714
2021-01-27,0.04286
2021-01-28,0.02
2021-01-29,0.01428
2021-02-01,0.01428
2021-02-02,0.01714
2021-02-03,0.01428
2021-02-06,0.03143
2021-02-07,0.02
2021-02-08,0.02285
2021-02-09,0.02857
2021-02-10,0.03714
2021-02-11,0.02857
2021-02-12,0.02285
2021-02-13,0.02857
2021-02-14,0.04286
2021-02-15,0.03143
2021-02-16,0.03428
2021-02-17,0.04286
2021-02-18,0.01714
2021-02-19,0.03428
2021-02-20,0.03143
2021-02-21,0.01428
2021-02-22,0.02571
2021-02-23,0.03143
2021-02-24,0.02285
2021-02-25,0.03143
2021-02-26,0.07429
2021-02-27,0.03714
2021-02-28,0.04286
2021-03-01,0.03428
2021-03-02,0.05143
2021-03-03,0.04
2021-03-04,0.11429
2021-03-05,0.05143
2021-03-06,0.02
2021-03-07,0.05143
2021-03-08,0.03428
2021-03-09,0.02
2021-03-11,0.04857
2021-03-12,0.02571
2021-03-13,0.02571
2021-03-14,0.03714
2021-03-15,0.04571
2021-03-16,0.06857
2021-03-17,0.07714
2021-03-18,0.07143
2021-03-19,0.05714
2021-03-20,0.04286
2021-03-21,0.02
2021-03-22,0.05429
2021-03-23,0.02857
2021-03-24,0.04286
2021-03-25,0.02
2021-03-26,0.01714
2021-03-27,0.02285
2021-03-28,0.04857
2021-03-29,0.02857
2021-03-30,0.02
2021-03-31,0.02857
2021-04-01,0.01714
2021-04-02,0.02285
2021-04-04,0.01714
2021-04-05,0.04857
2021-04-06,0.03428
2021-04-07,0.02
2021-04-08,0.06286
2021-04-09,0.04857
2021-04-10,0.02571
2021-04-11,0.03714
2021-04-12,0.02
2021-04-13,0.02285
2021-04-14,0.04857
2021-04-15,0.03714
2021-04-16,0.04571
2021-04-17,0.06
2021-04-18,0.03714
2021-04-19,0.03428
2021-04-20,0.03714
2021-04-21,0.05714
2021-04-22,0.04286
2021-04-23,0.06571
2021-04-24,0.07429
2021-04-25,0.04
2021-04-26,0.04286
2021-04-27,0.02857
2021-04-28,0.06857
2021-04-29,0.04857
2021-04-30,0.07143
2021-05-02,0.03428
2021-05-03,0.05143
2021-05-04,0.04857
2021-05-06,0.04
2021-05-07,0.02857
2021-05-09,0.02285
2021-05-10,0.03428
2021-05-11,0.02857
2021-05-12,0.05143
2021-05-14,0.01428
2021-05-16,0.02857
2021-05-17,0.02571
2021-05-18,0.02571
2021-05-19,0.01428
2021-05-20,0.23144
2021-05-21,0.12286
2021-05-22,0.02285
2021-05-23,0.01714
2021-05-24,0.06
2021-05-25,0.01428
2021-05-26,0.02857
2021-05-27,0.02571
2021-05-28,0.02
2021-05-29,0.02857
2021-05-30,0.02
2021-05-31,0.02
2021-06-01,0.02285
2021-06-02,0.03143
2021-06-03,0.06
2021-06-04,0.02285
2021-06-05,0.03714
2021-06-06,0.03714
2021-06-07,0.06286
2021-06-08,0.02571
2021-06-09,0.03143
2021-06-10,0.04571
2021-06-11,0.02285
2021-06-14,0.08286
2021-06-15,0.14001
2021-06-16,0.08286
2021-06-17,0.04571
2021-06-18,0.06571
2021-06-19,0.03143
2021-06-20,0.01428
2021-06-21,0.02285
2021-06-22,0.04571
2021-06-23,0.03143
2021-06-24,0.08572
2021-06-25,0.03714
2021-06-26,0.03143
2021-06-27,0.10858
2021-06-28,0.05714
2021-06-29,0.06
2021-06-30,0.08286
2021-07-01,0.06286
2021-07-02,0.02285
2021-07-03,0.02571
2021-07-05,0.05714
2021-07-06,0.04
2021-07-07,0.04857
2021-07-08,0.03428
2021-07-09,0.01714
2021-07-14,0.04571
2021-07-15,0.02857
2021-07-17,0.01428
2021-07-19,0.03428
2021-07-20,0.07714
